"","Adams","Antelope","Arthur","Banner","Blaine","Boone","Box Butte","Boyd","Brown","Buffalo","Burt","Butler","Cass","Cedar","Chase","Cherry","Cheyenne","Clay","Colfax","Cuming","Custer","Dakota","Dawes","Dawson","Deuel","Dixon","Dodge","Douglas","Dundy","Fillmore","Franklin","Frontier","Furnas","Gage","Garden","Garfield","Gosper","Grant","Greeley","Hall","Hamilton","Harlan","Hayes","Hitchcock","Holt","Hooker","Howard","Jefferson","Johnson","Kearney","Keith","Keya Paha","Kimball","Knox","Lancaster","Lincoln","Logan","Loup","Madison","McPherson","Merrick","Morrill","Nance","Nemaha","Nuckolls","Otoe","Pawnee","Perkins","Phelps","Pierce","Platte","Polk","Red Willow","Richardson","Rock","Saline","Sarpy","Saunders","Scotts Bluff","Seward","Sheridan","Sherman","Sioux","Stanton","Thayer","Thomas","Thurston","Valley","Washington","Wayne","Webster","Wheeler","York"
"Adams",0,314.7,295.883,367.117,305.333,151.867,373.5,269.983,92.233,207.8,117.483,120.433,80.533,145.067,298.683,351.983,328.683,93.45,116.783,137.05,224.933,165.9,151.067,62.833,271.467,181.467,119.25,37.717,290.967,70.683,158.333,229.1,207.267,53.9,215.033,239.6,184.817,275.9,168.333,219.917,79.167,179.267,146.967,273.933,23.65,6.733,142.617,50.55,39.433,144.75,210.1,296.483,342.1,81.267,40.417,44.733,254.333,164.017,149.167,253.867,116.25,397.083,134.1,58.383,106.283,47.233,48.017,265.883,180.633,180.583,128.917,107.1,229.567,76.6,267.2,30.333,76.3,183.817,381.433,63.933,235.067,248.617,446.55,152.667,86.133,260.467,158.8,90.033,95.983,166.4,119.25,189.667,82.683
"Antelope",314.717,0,144.967,213.883,313.067,293.867,220.567,324.067,240.117,183.517,359.817,277.8,334.15,276.267,54.883,270.533,175.433,230.65,327.3,363.7,206.283,408.8,385.35,353.8,118.233,381.917,336.417,312.617,80.05,254.5,183.133,100.567,138.783,299.25,180.45,127.817,139.783,79.733,256.817,111.733,249.183,160.533,177.6,74.783,305.183,317.45,243.133,285,342.817,188.133,117.267,270.133,188.85,243.05,294.433,281.9,163.717,212.4,318.283,142.617,244.017,243.15,265.317,361.767,222.167,322.233,338.633,56.6,157.3,349.7,194.983,256.4,85.667,286.683,262.833,284.25,318.633,240.15,227.5,268.783,120.883,134.433,292.633,339.517,261.45,170,385.333,329.25,338.317,366.867,336.417,257.05,248.5
"Arthur",293.483,147.017,0,151.35,241.883,242.4,89.133,245.633,219.7,153.733,338.167,244.5,313.733,233.667,93.833,125.683,117.133,226.15,294.017,318.583,168.017,363.9,347.817,345.617,61.733,330.2,291.3,292.217,129.017,241.883,205.467,113.9,179.383,311.333,120.183,196.383,141.033,67.083,196.533,79.55,257.65,186.483,178.117,145.1,287.417,298.067,190.167,297.083,325.783,163.083,89.6,195.017,132.85,222.633,274.017,261.483,103.433,163.5,272.567,41.417,220.4,163.517,222.483,339.433,244.867,301.833,336.85,86.467,161.483,298.233,174.567,233.217,154.25,266.267,187.717,272.967,298.217,179.883,147.867,248.367,134.217,147.767,174.35,293.6,241.033,87.75,339.933,309.383,317.9,320.733,291.3,196.783,228.083
"Banner",365.033,214.367,151.867,0,345.9,349.05,79.183,337.083,291.25,234.65,410.95,328.933,385.283,327.417,161.2,198.967,56.183,297.717,378.45,414.833,257.417,464.833,436.483,417.167,102.033,431.85,387.55,363.767,196.367,313.433,277.017,187.35,250.933,382.883,231.6,270.65,212.583,134.45,307.95,162.867,329.2,258.033,249.667,212.467,358.967,369.633,294.283,368.633,397.333,234.633,168.417,282.067,29.4,294.183,345.567,333.033,214.85,258.9,369.433,193.167,295.167,48.25,316.45,410.983,316.433,373.383,408.4,153.817,233.033,399.883,246.117,307.55,228.517,337.817,291.733,344.517,369.767,291.3,32.5,319.917,207.65,221.2,97.717,390.65,312.583,191.767,436.467,380.383,389.45,418,387.55,298.417,299.633
"Blaine",305,314.667,241.9,344.433,0,182.033,266.667,114.6,231.217,180.033,258.467,221.783,312.233,190.683,300.35,150.167,324.717,238.2,258.2,250.717,185.083,232.017,245.1,357.133,268.383,199.033,230.933,303.733,310.75,253.4,227.7,240.65,232.35,322.85,150.55,259.4,198.433,272.8,155.133,209.8,267.35,207.883,200.35,293.733,298.933,309.6,171.55,308.6,337.3,178.25,219.85,85.517,339.017,234.15,285.533,273,193.967,152.617,195.5,211.633,201.8,328.75,188.417,350.95,261.05,313.35,348.367,262.983,190.3,167.067,196.8,214.617,249.367,256.067,56.233,284.483,299.483,129.4,321.933,259.85,246.617,260.167,293.433,197.867,245.4,153.633,234.75,273.283,283.5,201.017,230.933,131.417,239.25
"Boone",151.917,300.283,243.75,348.05,181.333,0,270.283,130.05,90.417,170.15,114.867,47.617,150.667,24.9,284.267,228.967,306.883,96.167,84.033,95.283,175.183,140.583,124.517,204.05,249.683,113.217,68,150.633,276.533,99.067,156.3,207.3,197.783,168.517,140.65,225.183,163.017,254.1,51.467,199.9,113.033,173.3,129.267,259.517,145.833,156.5,65.533,154.267,184.217,122.55,188.3,164.317,320.3,79.817,132.45,119.9,184.067,119.433,49.267,201.733,50.7,342.083,28.983,197.867,119.017,160.25,195.267,244.1,158.117,80.667,107.133,60.833,215.15,91.433,135.317,131.383,137.933,79.2,327.4,95.217,213.267,226.817,355.483,70.283,80.767,157.25,116.633,111.717,121.933,97.433,68,52.833,74.633
"Box Butte",372.05,221.517,88.033,77.767,266.7,269.85,0,259.117,298.267,224.967,365.617,300.667,392.3,278.5,168.35,121,58.05,305.25,346.017,346.033,224.183,385.633,375.267,424.183,108.517,352.65,318.733,370.783,203.517,320.45,284.35,194.683,258.283,389.9,168.917,277.8,219.933,141.6,242.95,164.25,334.4,265.383,257.017,219.617,365.983,376.633,246.333,375.65,404.35,245.283,174.3,204.1,95.85,301.2,352.583,340.05,181.517,219.667,300.017,126.117,276.583,71.783,276.233,418,323.767,380.4,415.417,160.967,240.383,320.683,253.467,289.383,235.667,330.833,212.533,351.533,376.783,217.2,57.117,326.933,215,228.55,85.2,321.033,317.767,112.567,367.383,362.817,373.033,348.183,318.733,219.233,306.65
"Boyd",268.183,325.767,245.267,336.167,115.2,129.683,258.383,0,194.4,191.15,199.2,169.433,252.183,138.333,311.467,140.35,316.45,201.383,200.883,191.433,196.183,156.4,185.817,311.017,279.483,135.433,174.117,266.917,321.867,216.583,230.783,251.75,243.45,286.033,161.65,270.5,209.533,283.917,106.05,220.9,230.533,218.983,203.75,304.833,262.117,272.767,128.083,271.783,302.95,182.15,230.95,54.683,350.117,197.333,248.717,236.183,205.067,156.533,136.233,215.25,158.333,318.95,140.667,298.2,224.217,270.8,314.017,274.083,201.4,107.8,181.617,171.15,260.467,210,59.85,247.667,240.217,113.7,312.117,217.033,257.717,271.267,283.633,138.6,202.567,156.983,173.183,214,224.217,141.75,174.117,96.55,196.433
"Brown",91.75,245.933,219.75,290.983,229.183,89.217,297.367,193.85,0,131.667,137.667,66.9,112,71.617,229.917,275.833,252.533,40.1,113.05,144.383,148.8,187,163.2,143.883,195.333,166.733,121.217,90.467,222.2,40.133,101.95,152.95,143.433,109.6,138.9,170.833,108.667,199.75,92.183,143.767,54.1,118.967,74.917,205.167,85.667,96.333,66.483,95.35,124.05,68.6,133.95,220.333,265.95,20.9,72.283,59.75,178.2,87.883,107.75,177.733,40.117,320.933,60.667,137.7,62.95,100.083,135.117,189.75,103.767,139.15,52.783,39.25,160.8,64.533,191.067,71.217,96.483,107.683,305.283,46.633,158.917,172.467,370.417,128.967,35.533,184.333,166.133,107.1,116.167,151.667,121.217,113.533,26.35
"Buffalo",204.95,182.633,154.4,232,179.45,169.067,225.583,190.45,131.167,0,250.867,168.85,225.2,160.317,168.133,204.067,193.55,137.633,218.367,245.233,57.417,290.55,274.467,257.083,136.35,256.85,217.95,203.683,170.633,153.35,116.933,94.75,94.617,222.8,67.133,119.267,56.267,140.767,123.2,84.783,169.133,97.95,89.583,153.6,198.883,209.55,114.983,208.55,237.267,69.65,74.967,168.333,206.983,134.1,185.483,172.95,94.717,80.717,199.233,112.383,135.083,261.95,149.15,250.9,156.35,213.3,248.317,130.767,69.383,224.9,86.033,147.467,109.233,177.733,141.333,184.433,209.683,106.533,246.3,159.85,100.717,114.267,310.8,220.25,152.5,112.567,266.583,220.3,229.367,247.383,217.95,123.433,139.55
