"","Carson City","Churchill","Clark","Douglas","Elko","Esmeralda","Eureka","Humboldt","Lander","Lincoln","Lyon","Mineral","Nye","Pershing","Storey","Washoe","White Pine"
"Carson City",0,58.143,78.439,576.385,510.225,402.476,389.131,247.915,397.452,687.906,102.109,458.285,358.862,194.94,23.578,51.932,514.302
"Churchill",58.128,0,62.713,556.472,471.091,363.076,369.218,208.781,358.318,667.67,62.709,438.372,319.462,155.806,43.853,84.228,494.389
"Clark",78.91,65.006,0,547.67,435.217,382.402,360.416,172.907,322.444,659.191,82.035,464.436,338.788,119.932,70.7,33.911,485.587
"Douglas",576.456,556.573,548.135,0,353.142,300.777,187.274,561.766,410.587,237.253,516.538,267.182,258.717,566.973,562.181,578.31,66.268
"Elko",510.792,471.297,435.618,352.892,0,478.186,183.51,265.303,114.124,460.227,485.708,103.602,436.126,316.032,476.905,465.793,286.778
"Esmeralda",402.391,363.004,380.935,300.707,477.977,0,305.392,468.39,373.696,390.124,301.445,374.546,43.624,415.415,388.116,425.984,314.379
"Eureka",389.181,369.298,360.86,187.253,183.338,305.429,0,374.491,223.312,298.774,375.065,79.907,263.369,379.698,374.906,391.035,125.17
"Humboldt",248.085,208.59,172.911,561.495,265.114,468.426,374.241,0,152.341,673.016,223.001,294.333,424.812,53.325,214.198,203.086,499.412
"Lander",396.628,357.133,321.454,410.384,114.003,373.733,223.13,151.139,0,521.905,371.544,143.222,331.673,201.868,362.741,351.629,348.301
"Lincoln",687.956,667.774,659.635,237.253,460.477,390.454,298.774,673.266,522.087,0,606.215,378.682,348.394,678.473,673.681,689.81,173.603
"Lyon",102.096,62.709,80.64,516.694,485.514,301.517,375.023,223.204,372.741,606.111,0,444.177,257.903,170.229,87.821,113.643,500.194
"Mineral",458.335,438.452,464.898,267.161,103.43,374.583,79.907,294.583,143.404,378.682,444.219,0,332.523,345.312,444.06,495.073,205.078
"Nye",358.766,319.379,337.31,258.79,436.06,43.613,263.475,424.765,331.779,348.207,257.82,332.629,0,371.79,344.491,382.359,272.462
"Pershing",195.123,155.628,119.949,566.925,315.859,415.464,379.671,53.549,203.086,678.446,170.039,345.078,371.85,0,161.236,150.124,504.842
"Storey",23.542,43.873,69.352,562.115,476.734,388.206,374.861,214.424,363.961,673.636,87.839,444.015,344.592,161.449,0,42.845,500.032
"Washoe",51.11,84.303,33.707,577.946,465.493,425.731,390.692,203.183,352.72,689.467,114.874,494.712,382.117,150.208,42.9,0,515.863
"White Pine",514.352,494.469,486.031,66.268,287.05,314.449,125.17,499.662,348.483,173.603,500.236,205.078,272.389,504.869,500.077,516.206,0
