"","Carson City","Churchill","Clark","Douglas","Elko","Esmeralda","Eureka","Humboldt","Lander","Lincoln","Lyon","Mineral","Nye","Pershing","Storey","Washoe","White Pine"
"Carson City",0,67.75,47.583,376.567,259.033,253.467,242.583,130.75,201.75,421.35,75.25,279.817,226.283,102.95,26.533,34.95,317.883
"Churchill",69,0,65.117,377.883,269.85,245.867,243.9,141.55,212.55,420.567,67.667,281.15,218.683,113.767,59.517,90.667,319.217
"Clark",48.517,66.283,0,349.067,217.167,235.95,215.1,88.883,159.883,393.867,57.75,232.033,208.767,61.083,51.367,22.833,290.4
"Douglas",377.517,383.267,350.533,0,235.267,192.083,135.533,332.75,258.5,162.217,320.633,180.267,167.467,352.917,368.017,367.083,64.367
"Elko",261.433,275.1,219.183,234.233,0,272.6,106.05,137.8,63.55,274.783,259.483,60.467,248,159.75,259.783,235.733,171.2
"Esmeralda",255.5,246.15,237.383,190.117,271.517,0,175.083,274.35,221.317,226.067,180.783,212.317,27.633,246.55,246,259.533,182.367
"Eureka",241.967,247.717,215,133.967,103.917,175.25,0,197.217,122.967,178.767,227.883,44.733,150.65,217.367,232.483,231.533,75.3
"Humboldt",131,144.667,88.767,331.517,137.083,274.367,197.533,0,79.8,376.3,129.067,151.95,247.167,29.333,129.367,105.317,272.833
"Lander",202.583,216.25,160.35,257.183,62.767,221.05,123.2,78.967,0,301.983,200.633,77.617,196.433,100.9,200.933,176.883,198.517
"Lincoln",422.617,421.283,395.633,163.6,276.233,227.367,180.633,377.867,303.6,0,355.9,225.367,202.75,398.017,413.117,412.183,105.333
"Lyon",77.3,67.967,59.183,318.9,257.867,180.15,227.317,129.567,200.583,354.85,0,264.55,152.95,101.783,67.817,79.283,302.617
"Mineral",278.85,284.6,233.867,179.567,59.183,212.133,45.583,152.483,78.233,224.35,264.75,0,187.517,174.417,269.35,250.4,120.883
"Nye",227.85,218.517,209.733,165.933,247.333,27.183,150.9,246.7,197.133,201.883,153.15,188.133,0,218.917,218.367,231.9,158.183
"Pershing",103.1,116.767,60.867,351.6,158.517,246.467,217.633,30.233,101.233,396.4,101.167,173.383,219.267,0,101.467,77.417,292.933
"Storey",25.7,58.733,48.617,367.533,259.483,244.433,233.55,131.2,202.2,412.317,66.217,270.783,217.25,103.4,0,35.983,308.85
"Washoe",33.933,91.167,21.717,365.083,233.167,258.817,231.1,104.883,175.883,409.867,77.317,248.033,231.617,77.1,36.783,0,306.4
"White Pine",317.267,323.033,290.3,62.9,171.783,181.85,75.3,272.517,198.267,103.45,303.183,120.033,157.233,292.667,307.783,306.85,0
