"","Belknap","Carroll","Cheshire","Coos","Grafton","Hillsborough","Merrimack","Rockingham","Strafford","Sullivan"
"Belknap",0,111.641,129.038,208.18,55.886,84.388,86.378,118.697,42.983,121.39
"Carroll",111.403,0,224.948,96.865,123.228,180.298,182.288,214.607,153.958,217.3
"Cheshire",129.138,225.307,0,296.607,115.006,46.827,80.033,151.224,125.107,12.239
"Coos",207.981,96.904,297.887,0,219.806,276.876,278.866,311.185,250.536,307.241
"Grafton",55.098,123.195,114.885,219.734,0,70.235,103.926,136.245,98.735,107.237
"Hillsborough",84.376,180.545,47.442,277.084,70.244,0,74.143,106.462,80.345,39.794
"Merrimack",91.961,188.13,80.264,284.669,110.804,81.072,0,72.783,87.93,118.074
"Rockingham",85.219,213.849,151.441,310.388,136.523,106.791,67.92,0,48.064,143.793
"Strafford",42.787,153.277,125.019,249.816,98.687,80.369,82.359,45.325,0,117.371
"Sullivan",121.874,218.043,12.221,305.48,101.739,39.563,111.641,143.96,117.843,0
