"","Belknap","Carroll","Cheshire","Coos","Grafton","Hillsborough","Merrimack","Rockingham","Strafford","Sullivan"
"Belknap",0,77.217,93.45,162.167,54.033,60.833,61.767,77.067,41.017,87.017
"Carroll",77.8,0,142.1,85.733,86.383,109.483,110.417,125.717,107.25,135.65
"Cheshire",96.183,141.417,0,198.417,97.917,40.35,77.85,99.883,94.9,14.583
"Coos",160.833,84.983,201.15,0,169.417,192.517,193.45,208.75,190.283,208.3
"Grafton",52.883,86.083,97.1,171.033,0,64.467,80.033,95.333,83.25,90.65
"Hillsborough",62.633,107.867,41.25,192.817,64.35,0,51.017,66.317,61.35,34.817
"Merrimack",66.267,111.517,77.933,196.467,82.867,54.933,0,48.4,65,81.117
"Rockingham",84.133,123.833,99.867,208.783,95.167,67.25,46.483,0,49.2,93.433
"Strafford",40.5,105.55,93.5,190.517,82.017,60.867,61.8,48.35,0,87.05
"Sullivan",91.35,136.6,14.217,205.283,91.383,35.517,79.75,95.05,90.067,0
