"","Atlantic","Bergen","Burlington","Camden","Cape May","Cumberland","Essex","Gloucester","Hudson","Hunterdon","Mercer","Middlesex","Monmouth","Morris","Ocean","Passaic","Salem","Somerset","Sussex","Union","Warren"
"Atlantic",0,195.219,121.762,94.162,76.566,56.763,187.941,88.829,196.329,176.322,145.755,178.847,132.443,209.96,123.361,207.537,112.618,185.836,270.174,181.065,182.555
"Bergen",198.448,0,111.963,147.778,248.426,211.664,11.394,147.384,2.595,85.148,102.874,58.94,70.257,45.782,85.959,20.135,194.637,59.23,95.228,20.581,44.592
"Burlington",122.186,112.062,0,45.3,172.599,104.247,103.087,39.967,111.445,57.403,22.975,81.154,60.643,126.795,87.666,122.652,90.736,76.857,187.009,97.9,88.011
"Camden",94.146,148.287,35.829,0,144.559,76.207,139.312,7.326,147.67,83.417,54.627,117.379,96.868,163.02,123.891,158.877,63.548,113.082,223.234,134.125,124.236
"Cape May",75.843,246.417,173.593,145.993,0,66.845,239.139,140.66,247.527,228.153,197.586,230.045,183.641,261.158,174.559,258.735,120.335,237.034,321.372,232.263,233.753
"Cumberland",54.666,210.555,103.932,76.332,66.647,0,201.58,70.999,209.938,158.492,127.925,179.647,159.136,225.288,153.71,221.145,59.689,175.35,285.502,196.393,186.504
"Essex",188.235,15.556,101.845,137.66,238.213,201.546,0,137.266,18.279,75.084,92.76,48.794,60.044,35.718,75.746,16.588,184.519,49.084,85.975,12.501,34.528
"Gloucester",90.166,148.559,41.936,7.589,140.579,72.227,139.584,0,147.942,89.749,60.959,117.651,97.14,163.292,126.65,159.149,54.069,113.354,223.506,134.397,124.508
"Hudson",198.255,2.712,111.77,147.585,248.233,211.471,18.659,147.191,0,87.692,102.681,58.747,70.064,48.326,85.766,22.256,194.444,59.037,97.541,25.104,47.136
"Hunterdon",176.847,90.439,57.716,82.454,227.26,158.908,82.09,91.861,93.184,0,41.316,35.652,85.5,63.766,101.202,96.827,146.249,37.151,128.563,75.194,50.895
"Mercer",145.113,101.721,29.563,54.533,195.526,127.174,92.746,62.894,101.104,41.316,0,70.813,50.302,116.454,74.807,112.311,114.048,42.21,176.668,87.559,77.67
"Middlesex",180.232,56.669,80.84,116.655,230.21,180.541,49.459,116.261,57.779,40.518,71.755,0,52.041,50.543,67.743,69.024,163.514,12.983,115.34,39.995,6.856
"Monmouth",134.53,69.069,60.775,96.59,184.508,160.476,61.791,96.196,70.179,78.987,50.801,52.697,0,83.81,28.737,81.387,143.449,41.563,144.024,54.915,56.405
"Morris",210.563,45.108,126.839,162.654,260.541,226.54,36.757,162.26,47.853,55.348,79.778,43.811,82.372,0,98.074,43.392,209.513,49.115,69.383,29.862,31.527
"Ocean",125.794,80.699,87.287,123.102,175.772,162.76,73.421,122.708,81.809,98.851,75.9,64.327,26.202,95.44,0,93.017,169.961,71.316,155.654,66.545,68.035
"Passaic",208.224,20.349,122.188,158.003,258.202,221.889,17.071,157.609,23.191,91.169,113.103,63.926,80.033,45.155,95.735,0,204.862,69.463,73.42,27.523,50.613
"Salem",111.503,194.488,91.327,63.661,116.398,61.58,185.513,54.23,193.871,145.821,115.32,163.58,143.069,209.221,170.092,205.078,0,159.283,269.435,180.326,170.437
"Somerset",185.812,62.249,76.516,98.161,235.79,176.217,55.039,111.937,63.359,41.155,42.071,13.266,40.951,51.18,73.323,74.604,159.19,0,115.977,45.575,22.074
"Sussex",270.091,94.243,186.367,222.182,320.069,286.068,86.736,221.788,97.62,120.706,177.443,109.169,141.9,67.725,157.602,72.039,269.041,114.473,0,89.39,98.457
"Union",181.391,20.205,97.667,133.482,231.369,197.368,14.218,133.088,25.314,71.436,88.743,37.093,53.2,32.043,68.902,29.168,180.341,44.082,92.257,0,30.88
"Warren",183.401,44.121,88.189,124.004,233.379,187.89,35.772,123.61,46.866,37.555,63.56,6.944,55.21,32.865,70.912,50.509,170.863,23.548,99.616,28.876,0
