"","Atlantic","Bergen","Burlington","Camden","Cape May","Cumberland","Essex","Gloucester","Hudson","Hunterdon","Mercer","Middlesex","Monmouth","Morris","Ocean","Passaic","Salem","Somerset","Sussex","Union","Warren"
"Atlantic",0,112.733,71.467,54.833,47.583,48.267,108.317,53.2,112.767,117.817,84.2,100.283,81.4,119.383,72.133,119.217,86.083,105.933,161.167,101.017,111.6
"Bergen",115.6,0,70.683,91.167,142.817,123.667,20.733,89.9,7.1,64.883,65.217,43.117,55.233,36.933,59.433,23.583,114.833,46.9,72.95,21.95,36.783
"Burlington",73.233,69.217,0,31.083,101.233,63.217,64.067,29.45,68.567,57,24.783,54.833,44.783,77.917,55.7,74.9,59.333,52.467,119.7,59.55,66.683
"Camden",55.833,89.967,31.667,0,83.833,45.817,84.817,9.183,89.317,67.933,37.667,75.583,65.533,98.667,76.45,95.65,42.7,73.217,140.45,80.3,87.433
"Cape May",47.717,141.25,100.55,83.917,0,49.05,136.833,82.3,141.267,146.917,113.3,128.8,109.9,147.9,100.65,147.733,94.45,134.433,189.683,129.533,140.117
"Cumberland",46.35,121.667,61.7,45.067,48.417,0,116.517,43.433,121.017,108.067,74.433,107.283,97.233,130.367,99.783,127.35,48.55,104.917,172.15,112,119.133
"Essex",109.133,18.683,64.067,84.55,136.35,117.05,0,83.283,20.067,56.15,58.733,36.717,48.767,28.2,52.967,19,108.217,40.517,65.65,13.017,28.05
"Gloucester",54.433,89.75,29.783,10.15,82.433,44.433,84.6,0,89.083,73.15,42.883,75.35,65.3,98.45,75.833,95.433,39.033,73,140.233,80.067,87.217
"Hudson",115.2,7.117,70.283,90.767,142.417,123.267,20.85,89.5,0,64.517,64.817,42.717,54.833,36.567,59.033,29.717,114.433,46.5,79.65,21.417,36.417
"Hunterdon",116.4,60.8,54.4,65.333,144.4,106.383,55.1,70.367,62.117,0,42.5,39.033,70.283,45.4,74.483,66.117,103.25,41.95,89.817,48.133,38.417
"Mercer",85.133,63.967,22.617,38,113.133,75.117,58.817,41.35,63.317,44.617,0,49.583,39.533,72.667,47.65,69.65,71.75,43.067,114.45,54.3,61.433
"Middlesex",101.967,42.117,56.6,77.083,129.167,109.583,37.667,75.817,42.15,38.383,51.267,0,41.583,34.133,45.783,48.5,100.75,15.067,78.55,31.117,11.85
"Monmouth",81.283,55.567,46.217,66.7,108.483,99.2,51.15,65.433,55.6,73.817,40.117,43.117,0,62.233,22.367,62.067,90.367,41.967,104.017,43.867,54.45
"Morris",120.6,35.383,79.383,99.867,147.817,132.367,29.55,98.6,36.7,46.367,76.483,33.333,60.217,0,64.433,33.7,123.533,35.383,55.7,22.567,31.367
"Ocean",74.617,57.15,56.767,77.25,101.833,100.367,52.733,75.983,57.183,73.667,48.683,44.7,22.417,63.817,0,63.65,100.917,50.35,105.6,45.433,56.033
"Passaic",120.733,24.6,75.667,96.167,147.95,128.667,18.033,94.9,27.35,67.167,70.35,48.3,60.367,34.817,64.567,0,119.833,52.083,68.983,22.7,39.067
"Salem",86.133,114.55,58.5,41.95,92.717,49.567,109.4,39.133,113.9,104.95,71.25,100.167,90.117,123.25,101.05,120.233,0,97.8,165.033,104.883,112.017
"Somerset",105.983,46.15,53.9,75.5,133.2,106.883,41.7,73.117,46.183,40.517,42,16.1,42.617,36.283,49.817,52.517,98.05,0,80.7,35.15,22.75
"Sussex",163.6,74.717,122.383,142.867,190.817,175.383,67.5,141.617,80.083,92.083,116.967,79.05,103.233,56.15,107.433,67.017,166.533,81.1,0,65.567,74
"Union",101.133,20.75,59.917,80.4,128.35,112.9,15.467,79.133,22.617,52.833,54.5,28.7,40.75,24.8,44.967,26.1,104.067,34.333,66.583,0,24.733
"Warren",113.133,35.517,68.6,89.1,140.35,121.6,29.833,87.833,36.833,39.4,63.133,11.6,52.767,30.45,56.967,40.85,112.767,23.183,73.55,22.867,0
