"","Bernalillo","Catron","Chaves","Cibola","Colfax","Curry","De Baca","Dona Ana","Eddy","Grant","Guadalupe","Harding","Hidalgo","Lea","Lincoln","Los Alamos","Luna","McKinley","Mora","Otero","Quay","Rio Arriba","Roosevelt","San Juan","San Miguel","Sandoval","Santa Fe","Sierra","Socorro","Taos","Torrance","Union","Valencia"
"Bernalillo",0,357.009,344.648,148.949,338.078,380.878,280.988,374.805,468.045,405.404,209.937,293.106,179.314,518.713,322.608,128.885,389.303,24.151,218.612,363.608,328.549,116.019,391.887,260.223,136.365,0,75.197,265.558,151.845,187.01,206.539,410.129,61.017
"Catron",357.186,0,471.499,225.198,693.537,610.225,510.736,342.761,594.438,159.198,516.658,648.565,343.015,645.106,380.291,484.344,32.293,337.177,574.071,421.291,635.27,471.478,614.324,466.347,491.824,357.186,430.656,323.241,207.68,542.469,416.584,765.588,300.812
"Chaves",344.13,471.522,0,443.647,454.87,177.559,135.678,298.652,123.397,485.219,214.559,409.898,262.511,174.065,91.194,363.525,503.816,318.154,335.404,189.602,233.828,350.659,145.718,604.68,270.326,344.13,311.802,349.951,263.66,411.117,183.617,438.1,355.683
"Cibola",149.73,225.419,443.88,0,486.081,480.11,380.22,437.573,567.277,384.618,309.169,441.109,242.977,617.945,385.376,276.888,257.713,129.458,366.615,426.376,427.781,264.022,491.119,244.346,284.368,149.73,223.2,328.326,214.613,335.013,305.771,558.132,130.341
"Colfax",337.798,693.222,454.877,485.162,0,374.795,345.242,711.018,578.274,741.617,274.191,137.103,418.219,628.942,485.553,209.774,725.516,360.364,134.014,527.13,312.947,180.131,406.422,429.54,209.051,337.798,277.843,601.771,488.058,109.464,346.744,174.918,397.23
"Curry",380.205,610.395,178.316,479.722,374.717,0,100.059,473.256,290.76,659.823,172.118,238.614,327.514,230.5,265.798,399.658,642.689,354.229,325.578,364.206,109.705,386.792,31.859,640.755,297.389,380.205,347.935,518.944,405.231,401.291,235.401,269.376,391.758
"De Baca",280.347,510.987,135.805,379.864,345.186,99.89,0,425.429,259.202,559.382,72.26,265.942,228.106,309.87,223.907,299.8,543.281,254.371,225.72,316.379,108.056,286.934,110.899,540.897,197.531,280.347,248.077,419.536,305.823,301.433,135.993,312.328,291.9
"Dona Ana",375.087,357.127,299.515,437.675,711.438,474.181,426.298,0,340.435,200.022,396.817,666.466,360.916,412.005,238.902,502.245,367.04,355.078,591.972,110.383,515.879,489.379,442.34,635.637,509.725,375.087,448.557,111.885,224.976,560.37,293.168,671.952,318.713
"Eddy",467.515,594.569,123.385,567.032,578.255,290.787,259.063,340.101,0,505.975,337.944,533.283,385.558,71.541,214.241,486.91,626.863,441.539,458.789,237.443,357.213,474.044,260.374,728.065,393.711,467.515,435.187,449.695,386.707,534.502,307.002,561.485,479.068
"Grant",405.667,159.145,485.829,384.344,742.018,660.495,559.217,185.611,506.426,0,565.139,697.046,391.496,577.996,398.019,532.825,169.058,385.658,622.552,296.697,683.751,519.959,628.654,666.217,540.305,405.667,479.137,142.465,255.556,590.95,434.312,814.069,349.293
