"","Bernalillo","Catron","Chaves","Cibola","Colfax","Curry","De Baca","Dona Ana","Eddy","Grant","Guadalupe","Harding","Hidalgo","Lea","Lincoln","Los Alamos","Luna","McKinley","Mora","Otero","Quay","Rio Arriba","Roosevelt","San Juan","San Miguel","Sandoval","Santa Fe","Sierra","Socorro","Taos","Torrance","Union","Valencia"
"Bernalillo",0,211.417,193.75,82.65,176.133,217.033,149.15,184.533,277.95,251.133,111.217,154.1,122.017,311.05,180.433,80.367,235.35,20,124.567,203.25,171.583,69.883,223.417,158.067,71.767,0,46.05,134.067,78.483,128,115.983,214.333,42.917
"Catron",209.383,0,298.8,154.05,379.333,383.267,317.817,231.133,376.1,114.467,290.05,357.3,224.15,409.2,237.033,283.55,23.917,201.3,327.767,259.833,350.417,273.083,376.783,306.617,274.967,209.383,249.233,190.65,131.717,331.183,253.433,417.517,184.35
"Chaves",192.833,300.85,0,245.1,254.883,115.55,87.317,197.95,85.667,307.633,123.6,232.85,183.383,118.767,61.25,220.583,324.783,181.15,203.317,136.35,149.583,210.117,89.433,348.267,173.733,192.833,185.067,210.867,167.75,269.35,118.583,276.4,205.783
"Cibola",82.867,155.167,245.617,0,252.817,268.9,201.033,224.317,329.817,269.633,163.1,230.783,164.983,362.933,220.217,157.033,179.1,74.767,201.25,243.033,223.467,146.567,275.283,163.083,148.45,82.867,122.717,173.833,118.267,204.667,167.867,291.017,81.917
"Colfax",176.617,381.517,256.417,252.75,0,240.133,190.3,354.633,340.617,421.233,152.367,88.35,256.267,373.717,282.733,179.833,405.45,190.1,115.867,305.933,197.467,154.55,265.483,331.25,114.233,176.617,151.417,304.15,248.583,96.05,197.217,104.017,213.017
"Curry",217.817,385.133,116.283,270.083,239.917,0,67.8,301.683,189.95,411.35,112,152.617,218.7,159.4,164.967,246.5,409.067,206.133,205.667,240.083,68.85,236.033,26.517,373.25,179.95,217.817,210.967,307.767,252.2,271.683,151.533,173.1,230.75
"De Baca",151.267,319.317,89.567,203.533,190.683,68.167,0,256.017,173.783,359.017,45.45,170.983,152.883,206.883,139.567,179.95,343.25,139.567,139.117,194.417,74.583,169.467,74.55,306.7,113.4,151.267,144.417,241.95,186.367,205.133,85.7,201.4,164.2
"Dona Ana",184.667,227.533,199.7,225.633,354.617,303.8,260.467,0,198.4,119.3,241.183,332.583,199.433,241.867,160.633,258.833,233.333,176.583,303.05,67.533,306.033,248.367,277.683,340.1,250.25,184.667,224.517,61.017,111.1,306.467,181.583,404.8,159.633
"Eddy",276.95,379.933,84.417,329.217,339,189.233,171.433,196.883,0,295.417,207.717,316.967,262.467,43.817,140.333,304.7,403.867,265.267,287.433,167.567,233.7,294.233,167.367,432.383,257.85,276.95,269.183,253.717,246.833,353.467,202.7,360.517,289.9
"Grant",250.05,113.983,307.817,268.05,420,411.9,358.483,120.167,297,0,330.717,397.967,264.817,340.483,265.05,324.233,119.783,241.967,368.433,175.65,391.083,313.75,385.8,405.483,315.633,250.05,289.917,126.4,176.483,371.867,281.467,458.2,225.017
"Guadalupe",111.7,293.15,125.633,163.967,151.117,111.433,43.55,236.75,209.85,332.85,0,129.083,133.617,242.95,151.967,140.383,317.067,100.017,99.55,175.15,65.983,129.917,117.817,267.133,73.833,111.7,104.867,215.783,160.2,165.583,66.45,164.75,124.633
"Harding",155.167,360.083,234.967,231.317,89.183,154.183,171.133,333.2,319.183,399.783,130.933,0,234.833,312.417,261.3,165.5,384.017,168.65,91.4,284.483,111.533,155.017,179.55,307.367,92.8,155.167,129.967,282.717,227.133,155.333,175.783,83.383,191.583
"Hidalgo",121.033,225.433,183.517,163.733,256.583,216.783,151.333,198.55,260.817,265.133,132.05,234.55,0,293.917,121.733,173.05,249.367,109.35,205.017,144.933,196.9,162.567,223.167,276.467,143.65,121.033,137.517,148.067,92.483,220.683,94.167,294.783,89.517
"Lea",313.55,416.533,121.017,365.817,375.6,159.233,208.033,241.683,45.083,340.2,244.317,311.183,299.067,0,176.933,341.3,440.467,301.867,324.033,204.2,219.133,330.833,137.367,468.983,294.45,313.55,305.783,298.517,283.433,390.067,239.3,331.667,326.5
"Lincoln",180.067,239.583,61.767,221.017,283.033,165.867,139.183,157.7,139.067,266.667,151.733,260.983,122.133,172.167,0,230.45,263.517,171.983,231.45,96.1,199.9,219.967,139.75,335.5,183.333,180.067,194.917,149.6,106.483,278.083,92.133,315.35,155.033
"Los Alamos",78.383,283.3,219.65,154.533,178.65,244.467,176.583,256.417,303.867,323,138.65,163.7,171.95,336.967,227.417,0,307.233,91.867,123.85,250.617,199.017,27.7,250.85,213.683,81.367,78.383,39.25,205.933,150.35,88.717,141.9,223.933,114.8
"Luna",234.7,25.317,324.133,179.383,404.65,408.583,343.133,236.65,401.417,119.983,315.367,382.617,249.467,434.533,262.35,308.867,0,226.617,353.083,285.15,375.733,298.4,402.117,301.95,300.283,234.7,274.55,215.967,157.033,356.5,278.767,442.833,209.667
