"","Albany","Allegany","Bronx","Broome","Cattaraugus","Cayuga","Chautauqua","Chemung","Chenango","Clinton","Columbia","Cortland","Delaware","Dutchess","Erie","Essex","Franklin","Fulton","Genesee","Greene","Hamilton","Herkimer","Jefferson","Kings","Lewis","Livingston","Madison","Monroe","Montgomery","Nassau","New York","Niagara","Oneida","Onondaga","Ontario","Orange","Orleans","Oswego","Otsego","Putnam","Queens","Rensselaer","Richmond","Rockland","Saratoga","Schenectady","Schoharie","Schuyler","Seneca","St. Lawrence","Steuben","Suffolk","Sullivan","Tioga","Tompkins","Ulster","Warren","Washington","Wayne","Westchester","Wyoming","Yates"
"Albany",0,494.864,237.84,79.822,533.206,289.806,573.324,292.786,215.463,167.679,140.328,254.187,207.198,129.404,463.601,217.151,253.337,261.191,480.682,198.026,204.522,129.464,98.188,71.489,201.041,66.17,195.047,166.854,155.215,25.139,248.983,483.217,188.082,242.493,332.884,366.502,352.927,279.133,122.317,152.742,254.295,2.948,359.839,190.024,72.347,29.766,61.991,137.14,321.96,324.517,183.697,352.456,205.306,266.199,190.559,98.042,107.269,127.617,360.077,241.807,411.455,439.227
"Allegany",493.852,0,563.673,450.833,52.896,261.799,100.74,203.308,280.54,378.739,420.244,262.159,376.486,522.294,121.967,692.561,624.045,301.124,28.806,302.031,379.309,409.38,407.406,525.824,401.055,518.533,377.663,488.435,466.644,515.128,554.384,151.329,354.373,323.441,222.469,150.333,439.611,305.835,403.155,628.152,580.128,497.165,149.494,380.042,547.757,478.512,443.875,400.692,167.497,510.761,395.744,678.289,350.91,230.86,349.011,488.885,420.433,550.447,144.979,567.64,104.47,155.491
"Bronx",237.648,563.074,0,238.046,614.764,425.358,662.608,360.996,295.434,397.919,370.568,354.477,179.414,120.634,609.251,452.748,488.934,451.814,548.892,301.447,326.6,359.704,254.605,307.086,431.281,167.426,335.98,76.901,118.487,238.326,25.591,664.261,418.322,396.429,511.806,434.712,543.136,469.756,301.772,388.339,18.13,237.193,512.92,186.188,307.944,260.006,255.877,367.38,451.372,560.114,413.937,121.166,435.546,334.409,233.342,162.418,337.509,123.735,438.716,10.517,543.805,620.271
"Broome",78.749,451.047,239.609,0,502.737,260.74,550.581,248.969,171.646,138.613,90.486,210.37,145.361,131.173,434.535,277.458,313.644,232.125,436.865,154.209,133.452,100.398,32.737,110.721,171.975,67.7,125.118,168.623,156.984,100.025,250.752,454.151,159.016,213.427,303.818,322.685,323.861,250.067,78.5,213.049,256.064,82.062,330.773,112.726,132.654,63.409,17.831,108.074,292.894,322.258,154.631,354.225,176.24,222.382,119.686,99.811,73.208,119.72,326.689,243.576,382.389,410.161
"Cattaraugus",532.967,52.682,615.49,502.65,0,260.608,76.169,255.125,332.357,377.548,419.053,313.976,428.303,574.111,80.543,628.701,622.854,314.959,81.586,353.848,378.118,408.189,459.223,531.826,399.864,570.35,376.472,540.252,518.461,554.243,606.201,114.867,353.182,322.25,224.546,202.15,438.42,319.67,454.972,625.35,631.945,536.28,201.311,431.859,544.955,506.187,495.692,399.501,219.314,509.57,394.553,730.106,349.719,282.677,400.828,540.702,432.428,602.264,196.796,619.457,110.949,151.411
"Cayuga",288.898,260.018,426.401,259.719,261.178,0,301.296,133.962,132.112,133.479,174.984,72.481,239.214,411.489,191.573,384.632,378.785,67.558,245.836,127.308,110.49,164.12,265.641,287.757,155.795,352.015,108.844,351.163,329.372,310.174,417.112,211.189,109.113,56.188,76.357,96.75,194.351,72.269,205.682,381.281,442.856,292.211,87.811,242.77,300.886,262.118,241.888,155.432,46.683,265.501,150.484,541.017,105.65,116.948,211.739,380.127,188.359,412.801,84.8,430.368,139.427,167.199
"Chautauqua",574.048,100.309,663.117,550.277,71.851,301.689,0,302.752,379.984,418.629,460.134,361.603,475.93,621.738,121.129,669.782,663.935,356.04,129.213,401.475,419.199,449.27,506.85,572.907,440.945,617.977,417.553,587.879,566.088,595.324,653.828,155.948,394.263,363.331,265.627,249.777,479.501,360.751,502.599,666.431,679.572,577.361,248.938,479.486,586.036,547.268,543.319,440.582,266.941,550.651,435.634,777.733,390.8,330.304,448.455,588.329,473.509,649.891,244.423,667.084,183.786,192.492
"Chemung",292.08,203.029,361.901,249.061,254.719,137.17,302.563,0,78.768,206.267,223.985,136.314,174.714,320.522,249.206,490.789,526.975,233.651,188.847,100.259,180.621,234.7,205.634,324.052,283.586,316.761,184.442,286.663,264.872,313.356,352.612,278.568,236.904,178.266,241.111,74.667,324.973,251.593,201.383,426.38,378.356,295.393,152.875,178.27,345.985,276.74,242.103,239.819,112.698,396.123,278.275,476.517,208.614,29.088,147.239,287.113,218.661,348.675,78.671,365.868,183.76,248.117
"Chenango",214.899,280.862,298.117,171.88,332.552,132.177,380.396,78.784,0,125.094,146.804,61.296,110.93,256.738,351.464,413.608,449.794,158.633,266.68,23.391,94.893,157.519,128.453,246.871,208.568,239.58,109.424,222.879,201.088,236.175,288.828,371.08,161.886,103.248,218.625,152.5,249.955,176.575,124.202,349.199,314.572,218.212,230.708,114.486,268.804,199.559,164.922,162.638,158.191,321.105,203.257,412.733,133.596,52.197,83.455,223.329,141.48,284.891,156.504,302.084,261.593,327.09
"Clinton",165.559,377.95,396.586,136.38,379.11,135.71,419.228,206.228,125.103,0,37.486,129.698,185.286,288.15,309.505,267.865,252.949,107.095,363.768,102.601,31.186,40.781,119.657,164.418,50.54,228.676,21.711,325.6,313.961,186.835,407.729,329.121,27.757,88.397,178.788,230.462,198.831,125.037,66.347,257.942,413.041,168.872,205.743,168.205,177.547,138.779,118.549,30.602,167.864,215.167,47.54,511.202,42.947,179.641,141.828,256.788,49.024,289.462,205.981,400.553,257.359,285.131
