"","Albany","Allegany","Bronx","Broome","Cattaraugus","Cayuga","Chautauqua","Chemung","Chenango","Clinton","Columbia","Cortland","Delaware","Dutchess","Erie","Essex","Franklin","Fulton","Genesee","Greene","Hamilton","Herkimer","Jefferson","Kings","Lewis","Livingston","Madison","Monroe","Montgomery","Nassau","New York","Niagara","Oneida","Onondaga","Ontario","Orange","Orleans","Oswego","Otsego","Putnam","Queens","Rensselaer","Richmond","Rockland","Saratoga","Schenectady","Schoharie","Schuyler","Seneca","St. Lawrence","Steuben","Suffolk","Sullivan","Tioga","Tompkins","Ulster","Warren","Washington","Wayne","Westchester","Wyoming","Yates"
"Albany",0,268.883,139.933,60.183,296.3,167.517,319.633,160.967,119.55,100.8,86.6,160.033,151.7,82.733,251.967,125.717,164.85,143.4,267.417,119.067,128.133,76.283,63.583,51.567,124.3,51.583,119.2,98.267,91.4,21.233,152.117,261.533,107.75,134.217,202.6,203.583,196.033,158.783,88.717,102.65,151.667,6.967,210.117,134.667,50.233,24.133,43.517,81.817,186.683,223.8,111.133,208.35,117.917,153.333,126.75,61.15,83.033,83.267,220.2,142.467,229.017,251.533
"Allegany",268.25,0,311.55,246.633,41,152.317,61.317,110.2,152.217,213.35,235.767,170.2,212.65,295.883,87.567,375.283,385.867,186.283,33.583,171.3,224.217,225.45,233,297.533,235.133,301.95,221.967,267.25,256.967,278.983,310.833,105.167,200.133,181.817,129.9,91.067,246.067,191.417,225.65,352.2,323.283,267.667,99.55,207.45,299.8,257.55,239.333,225.433,117.267,298.733,230.383,379.967,197.95,126.25,192.9,294.417,242.417,306.4,89.583,314.083,87.817,130.567
"Bronx",135.183,309.333,0,146.933,343.55,256.65,363.867,201.4,168.633,222.583,208.4,201.85,119.467,84.383,358,253.133,292.267,250.6,307.85,188.583,229.933,198.067,171.55,178.983,246.083,108.4,238.433,58.117,74.783,138.05,26.85,365.3,229.533,221.817,303.533,244.017,302.717,265.983,209.967,230.067,22.783,134.75,290.1,112.1,177.667,145.933,163,203.617,295.05,351.233,232.917,81.583,239.717,193.783,139.3,97.15,204.817,84.7,266.517,15.683,310.533,355.3
"Broome",58.283,248.083,150.283,0,282.3,168.7,302.633,140.167,98.75,101.983,79.55,139.233,124.683,93.083,253.15,165.317,204.467,144.583,246.617,98.267,113,77.467,33.05,87.567,125.483,55.6,104.75,108.617,101.75,69.017,162.467,262.717,108.933,135.4,203.783,182.783,197.217,159.967,67.917,142.25,162.017,57.7,211.3,94.95,89.85,47.583,17.517,83,187.867,237.65,112.317,218.7,119.1,132.533,105.767,71.5,63.367,91.75,205.283,152.817,230.2,252.717
"Cattaraugus",297.05,40.867,346.083,281.167,0,156.767,56.8,144.733,186.75,217.8,240.217,204.733,247.183,330.417,65.267,398.75,390.3,190.917,69.767,205.833,228.667,229.883,267.533,310.85,239.567,336.483,226.4,301.783,291.5,307.783,345.383,79.15,204.567,186.25,138.35,125.6,250.517,196.05,260.2,375.85,357.817,296.467,134.083,241.983,323.45,280.35,273.867,229.867,151.8,303.183,234.833,414.5,202.383,160.783,227.45,328.95,251.45,340.933,124.117,348.617,95.833,108.75
"Cayuga",168.3,150.783,259.183,169.717,156.367,0,179.7,107.433,96.05,89.05,111.467,64.333,160.283,235.817,112.033,270.017,261.55,55.483,149.317,97.567,98.567,101.15,172.867,182.117,110.817,204.55,96.3,214.867,204.6,179.033,258.467,121.6,75.817,56.15,62.15,85.633,121.767,60.6,137.15,247.1,270.917,167.717,70.2,155.083,194.7,151.617,153.05,101.133,42.6,174.433,106.083,327.6,73.633,102.55,140.533,214.233,122.7,239.367,76.117,261.7,89.083,111.6
"Chautauqua",319.05,62.133,367.35,302.45,57.55,178.767,0,166,208.033,239.8,262.2,226,268.45,351.683,83.267,420.75,412.3,212.917,91.05,227.1,250.667,251.883,288.8,332.85,261.567,357.75,248.4,323.05,312.783,329.783,366.65,101.15,226.567,208.25,160.35,146.867,272.5,218.033,281.467,397.85,379.083,318.467,155.367,263.25,345.45,302.35,295.133,251.867,173.067,325.167,256.817,435.783,224.383,182.067,248.717,350.217,273.45,362.2,145.383,369.883,127.35,130.75
"Chemung",161.15,110.083,204.45,139.55,144.3,105.433,164.617,0,45.117,144.617,140.767,78.217,105.55,188.783,158.75,268.183,307.317,126.967,108.6,64.2,122.5,150.8,125.9,190.433,167.733,194.85,124.4,160.15,149.867,171.883,203.75,176.35,132.717,98.183,131.933,44.767,179.083,142.35,118.567,245.117,216.183,160.567,90.833,100.35,192.7,150.45,132.233,153.617,93.25,231.75,162.983,272.883,123.4,19.15,85.817,187.317,135.317,199.3,67.267,206.983,111.283,166.683
"Chenango",120.983,152.583,171.533,99.367,186.8,94.683,207.117,44.65,0,104.583,100.583,39.883,72.633,155.867,193.767,228,267.15,88.633,151.1,20.217,81.317,110.617,85.717,150.267,129.4,154.667,86.067,127.233,116.95,131.7,170.833,203.333,94.383,59.85,141.583,87.267,140.75,104.017,78.383,204.933,183.267,120.383,133.333,67.433,152.533,110.283,92.067,113.433,133.083,193.417,124.65,239.95,85.067,37.033,52.9,154.4,95.15,166.383,109.767,174.067,153.783,193.333
"Clinton",98.467,211.95,223.183,99.883,217.533,88.75,240.867,143.833,105.183,0,35.133,78.933,146.333,165.983,173.217,193.533,198.833,64.633,210.483,87.333,29.333,31.3,100.35,112.267,47.167,134.7,20.4,181.5,174.633,109.2,235.367,182.767,25.817,55.467,123.833,156.7,117.267,80.017,59.15,177.267,234.917,97.883,131.367,136.667,124.867,81.767,83.2,28.283,107.933,163.783,38.45,291.6,38.6,136.217,114.317,144.4,44.433,169.533,141.45,225.7,150.25,172.767
