"","Alamance","Alexander","Alleghany","Anson","Ashe","Avery","Beaufort","Bertie","Bladen","Brunswick","Buncombe","Burke","Cabarrus","Caldwell","Camden","Carteret","Caswell","Catawba","Chatham","Cherokee","Chowan","Clay","Cleveland","Columbus","Craven","Cumberland","Currituck","Dare","Davidson","Davie","Duplin","Durham","Edgecombe","Forsyth","Franklin","Gaston","Gates","Graham","Granville","Greene","Guilford","Halifax","Harnett","Haywood","Henderson","Hertford","Hoke","Hyde","Iredell","Jackson","Johnston","Jones","Lee","Lenoir","Lincoln","Macon","Madison","Martin","McDowell","Mecklenburg","Mitchell","Montgomery","Moore","Nash","New Hanover","Northampton","Onslow","Orange","Pamlico","Pasquotank","Pender","Perquimans","Person","Pitt","Polk","Randolph","Richmond","Robeson","Rockingham","Rowan","Rutherford","Sampson","Scotland","Stanly","Stokes","Surry","Swain","Transylvania","Tyrrell","Union","Vance","Wake","Warren","Washington","Watauga","Wayne","Wilkes","Wilson","Yadkin","Yancey"
"Alamance",0,325.397,108.709,153.27,212.77,247.119,346.957,283.894,211.55,271.151,306.938,223.012,185.655,162.451,370.607,346.957,264.089,167.145,49.14,385.568,341.778,24.763,136.186,303.87,117.059,156.581,393.629,401.7,164.084,114.191,229.214,61.537,314.384,57.004,412.14,212.201,321.967,11.254,105.241,12.214,45.006,228.753,303.256,65.562,120.859,337.988,292.963,363.405,383.229,221.29,146.834,322.441,90.443,206.769,219.302,154.638,86.022,263.746,251.677,179.271,277.915,102.221,93.332,170.122,308.342,77.518,291.221,185.421,327.558,355.133,228.708,337.988,67.262,229.987,303.87,62.743,153.728,203.873,153.728,263.086,269.01,200.393,193.962,195.891,246.561,144.497,406.766,357.614,341.978,254.192,188.379,97.166,150.46,268.998,294.386,182.226,162.342,171.986,99.708,305.111
"Alexander",323.745,0,293.353,305.567,172.906,101.956,664.289,601.226,464.297,472.647,18.657,108.311,256.609,226.07,687.939,664.289,531.777,165.481,365.331,96.471,659.11,306.661,205.921,80.564,248.12,447.769,710.961,719.032,220.365,215.057,546.546,378.869,582.358,374.336,123.043,529.533,639.299,328.586,422.573,320.031,283.413,546.085,560.082,381.753,438.191,655.32,610.295,680.737,540.227,538.622,464.166,639.773,381.631,130.614,167.593,471.97,298.997,581.078,75.195,217.918,595.247,316.261,389.011,487.454,540.983,260.206,608.553,476.848,644.89,672.465,546.04,655.32,388.074,547.319,80.564,314.982,336.548,425.296,336.548,535.429,105.565,517.725,371.239,187.646,563.893,258.038,117.669,68.585,659.31,571.524,245.684,414.498,467.792,586.33,97.341,499.558,177.035,489.318,276.481,49.482
"Alleghany",106.556,294.531,0,78.149,218.113,252.462,399.675,339.985,240.22,248.57,276.072,192.146,60.121,83.036,426.698,399.675,307.7,136.279,101.263,354.702,397.869,84.801,66.342,218.254,23.248,157.754,449.72,457.791,84.669,78.602,281.932,161.68,358.281,157.147,381.274,312.344,378.058,111.397,205.384,92.369,83.307,284.844,336.005,117.685,221.002,394.079,349.054,419.496,300.305,313.247,199.552,378.532,117.584,186.447,143.36,254.781,121.806,319.837,220.811,92.558,334.006,41.851,89.947,226.213,316.906,92.293,343.939,195.779,380.276,411.224,284.799,394.079,170.885,286.078,218.254,43.737,106.928,201.219,106.928,311.352,197.295,253.111,147.162,108.979,302.652,153.357,375.9,291.905,398.069,306.91,85.885,157.022,250.603,325.089,299.729,234.944,167.685,228.077,108.568,274.245
"Anson",163.331,307.557,78.113,0,278.155,273.002,381.905,368.872,159.402,167.752,300.847,216.921,64.161,118.5,455.585,381.905,226.882,167.27,146.422,358.476,426.756,139.602,162.119,226.837,86.442,128.541,478.607,486.678,124.428,188.111,255.74,197.765,277.463,202.18,385.048,329.395,406.945,168.172,244.485,142.818,140.343,313.731,255.187,139.375,260.103,422.966,377.941,448.383,219.487,342.134,240.839,435.596,119.254,210.893,151.943,293.882,180.729,348.724,245.586,83.483,362.893,51.027,92.283,255.1,236.088,169.08,305.311,208.35,420.368,440.111,313.686,422.966,227.66,343.142,226.837,94.186,31.653,120.401,31.653,230.534,205.878,220.45,66.344,126.535,359.716,230.718,379.674,300.488,426.956,254.447,62.763,185.909,289.704,382.153,331.136,275.036,227.727,292.184,185.355,299.02
"Ashe",212.186,172.799,217.743,278.554,0,75.514,552.73,489.667,391.179,436.05,176.789,102.886,211.254,162.688,576.38,552.73,469.862,126.91,253.772,255.419,547.551,195.102,142.539,192.898,200.388,336.21,599.402,607.473,156.983,126.769,434.987,267.31,520.157,262.777,281.991,417.974,527.74,217.027,311.014,208.472,171.854,434.526,509.029,270.194,326.632,543.761,498.736,569.178,487.785,427.063,352.607,528.214,270.072,81.06,139.434,360.411,187.279,469.519,125.029,189.746,483.688,242.901,277.452,375.895,514.115,148.488,496.994,365.289,533.331,560.906,434.481,543.761,276.515,435.76,192.898,203.423,294.408,388.699,294.408,433.595,157.221,406.166,334.642,159.487,452.334,97.573,276.617,227.465,547.751,459.965,213.978,302.939,356.233,474.771,122.781,387.999,51.611,377.759,138.601,123.304
"Avery",246.699,101.953,252.256,271.516,75.838,0,587.243,524.18,430.246,438.596,105.943,56.455,222.558,181.093,610.893,587.243,497.726,120.504,288.285,184.573,582.064,229.615,160.944,130.066,203.143,370.723,633.915,641.986,175.388,170.08,469.5,301.823,554.67,297.29,211.145,452.487,562.253,251.54,345.527,242.985,206.367,469.039,543.542,304.707,361.145,578.274,533.249,603.691,490.331,461.576,387.12,562.727,304.585,67.332,122.616,394.924,221.792,504.032,54.183,183.867,518.201,277.414,311.965,410.408,506.932,183.001,531.507,399.802,567.844,595.419,468.994,578.274,311.028,470.273,130.066,237.936,302.497,391.245,302.497,468.108,94.389,440.679,337.188,142.669,486.847,157.121,205.771,156.619,582.264,494.478,211.633,337.452,390.746,509.284,58.133,422.512,86.124,412.272,199.276,52.458
"Beaufort",346.774,665.116,400.382,393.482,552.489,586.838,0,177.473,214.481,241.242,646.657,562.731,454.702,502.17,264.186,0,155.157,506.864,296.601,725.287,235.357,361.878,475.905,643.589,456.778,283.736,287.208,283.28,503.803,453.91,139.415,289.149,116.598,293.52,751.859,299.234,247.346,335.976,302.691,358.989,384.725,238.294,144.641,291.483,299.128,231.567,163.367,162.357,241.465,243.247,200.702,92.012,311.826,546.488,559.021,301.347,425.741,157.325,591.396,518.99,208.776,386.024,338.785,235.54,166.871,417.237,75.402,222.876,67.151,248.712,236.943,231.567,336.477,134.518,643.589,357.715,369.68,253.609,369.68,176.904,608.729,177.874,326.068,535.61,149.647,484.216,746.485,697.333,223.558,137.128,455.543,248.395,295.069,122.645,634.105,165.924,502.061,205.924,439.427,644.83
"Bertie",283.276,601.618,341.515,369.983,488.991,523.34,179.008,0,270.942,367.96,583.159,499.233,395.835,438.672,87.168,179.008,243.87,443.366,237.734,661.789,58.339,311.642,412.407,580.091,393.28,261.092,110.19,133.929,440.305,390.412,185.342,225.651,208.266,230.022,688.361,97.001,69.885,272.478,202.212,295.491,321.227,83.333,236.309,232.616,183.367,54.549,50.843,104.211,333.133,69.753,178.127,111.48,252.959,482.99,495.523,136.323,362.243,21.982,527.898,455.492,31.315,327.157,279.918,113.861,258.539,353.739,166.952,235.773,137.548,71.694,81.471,54.549,268.727,80.03,580.091,298.848,340.678,300.682,340.678,250.06,545.231,215.827,322.736,472.112,50.753,420.718,682.987,633.835,74.207,216.309,464.6,185.577,166.448,57.292,570.607,160.439,438.563,115.353,375.929,581.332
"Bladen",210.602,466.028,239.741,159.173,391.8,431.473,214.513,307.193,0,44.135,459.318,375.392,222.632,276.971,393.906,214.513,62.604,325.741,150.207,516.947,365.077,201.156,316.656,385.308,258.17,62.361,416.928,424.999,282.899,293.221,78.885,200.553,122.624,204.924,543.519,267.422,345.266,247.38,247.273,200.442,224.951,251.758,100.348,143.16,233.808,361.287,316.262,327.2,95.87,280.161,131.644,235.203,121.096,369.364,310.414,269.535,265.052,287.045,404.057,241.954,301.214,197.134,132.163,203.728,81.249,256.548,137.919,65.247,225.584,378.432,251.713,361.287,247.881,203.3,385.308,226.994,135.371,38.951,135.371,48.54,364.349,56.267,91.759,285.006,219.874,323.527,538.145,458.959,365.277,74.712,221.234,159.799,263.257,242.311,473.416,111.611,341.372,156.719,278.738,457.491
"Brunswick",268.895,475.189,248.902,168.334,436.694,440.634,229.412,366.31,44.14,0,468.479,384.553,231.793,286.132,453.023,229.412,74.389,334.902,208.5,526.108,424.194,281.571,325.817,394.469,267.331,113.95,476.045,484.116,292.06,304.925,122.695,259.67,124.97,264.041,552.68,326.539,404.383,306.497,306.39,258.735,282.312,310.875,102.694,201.453,292.925,420.404,375.379,350.05,51.735,339.278,190.761,273.789,179.389,378.525,319.575,328.652,322.698,346.162,413.218,251.115,360.331,206.295,171.326,262.845,83.595,311.049,152.818,109.057,264.17,437.549,310.83,420.404,306.998,293.064,394.469,236.155,144.532,59.842,144.532,78.041,373.51,100.077,100.92,294.167,309.638,372.113,547.306,468.12,424.394,101.954,230.395,218.916,322.374,265.161,518.31,155.421,386.266,242.106,327.324,466.652
"Buncombe",306.728,19.535,276.336,299.476,176.432,106.24,647.272,584.209,458.206,466.556,0,91.294,250.518,209.053,670.922,647.272,525.686,148.464,348.314,83.15,642.093,289.644,188.904,67.243,231.103,430.752,693.944,702.015,203.348,198.04,529.529,361.852,576.267,357.319,109.722,512.516,622.282,311.569,405.556,303.014,266.396,529.068,553.991,364.736,421.174,638.303,593.278,663.72,526.906,521.605,447.149,622.756,364.614,113.597,150.576,454.953,281.98,564.061,58.178,211.827,578.23,299.244,371.994,470.437,534.892,243.189,591.536,459.831,627.873,655.448,529.023,638.303,371.057,530.302,67.243,297.965,330.457,419.205,330.457,529.338,88.548,500.708,365.148,170.629,546.876,241.021,104.348,55.264,642.293,554.507,239.593,397.481,450.775,569.313,106.029,482.541,160.018,472.301,259.464,58.17
"Burke",219.536,109.544,189.144,212.284,103.512,56.83,560.08,497.017,371.014,379.364,91.085,0,163.326,121.861,583.73,560.08,438.494,61.272,261.122,169.715,554.901,202.452,101.712,88.819,143.911,343.56,606.752,614.823,116.156,110.848,442.337,274.66,489.075,270.127,196.287,425.324,535.09,224.377,318.364,215.822,179.204,441.876,466.799,277.544,333.982,551.111,506.086,576.528,431.099,434.413,359.957,535.564,277.422,24.682,63.384,367.761,194.788,476.869,35.824,124.635,491.038,212.052,284.802,383.245,447.7,155.997,504.344,372.639,540.681,568.256,441.831,551.111,283.865,443.11,88.819,210.773,243.265,332.013,243.265,442.146,53.142,413.516,277.956,83.437,459.684,153.829,190.913,141.761,555.101,467.315,152.401,310.289,363.583,482.121,114.964,395.349,71.103,385.109,172.272,89.258
"Cabarrus",184.097,259.673,60.137,70.683,211.445,229.717,454.531,394.841,229.413,237.763,257.562,173.636,0,51.79,481.554,454.531,296.893,102.348,151.185,310.592,452.725,162.342,95.409,178.953,91.391,198.552,504.576,512.647,57.718,121.401,313.093,239.221,347.474,234.688,337.164,389.885,432.914,188.938,282.925,175.712,160.848,339.7,325.198,165.344,298.543,448.935,403.91,474.352,289.498,368.103,254.408,433.388,145.223,163.009,104.059,332.322,193.721,374.693,202.301,31.623,388.862,68.268,116.184,281.069,306.099,142.919,375.322,222.016,435.132,466.08,339.655,448.935,248.426,340.934,178.953,93.659,101.664,190.412,101.664,300.545,157.994,290.461,136.355,69.678,357.508,164.008,331.79,252.604,452.925,324.458,24.941,211.878,328.144,379.945,293.061,289.8,161.017,282.933,159.194,255.735
"Caldwell",161.995,230.463,79.216,120.389,165.887,184.159,502.539,439.476,279.119,287.469,212.004,128.078,53.089,0,526.189,502.539,346.599,72.211,198.91,290.634,497.36,140.24,58.173,151.669,69.289,248.258,549.211,557.282,6.282,75.843,384.796,217.119,397.18,212.586,317.206,367.783,477.549,166.836,260.823,153.61,144.199,384.335,374.904,215.332,276.441,493.57,448.545,518.987,339.204,376.872,302.416,478.023,215.21,122.379,40.985,310.22,159.783,419.328,156.743,31.581,433.497,99.991,192.99,325.704,355.805,120.992,446.803,310.427,483.14,510.715,384.29,493.57,226.324,385.569,151.669,124.739,151.37,240.118,151.37,350.251,130.71,355.975,186.061,42.394,402.143,118.45,311.832,225.32,497.56,409.774,55.813,252.748,306.042,424.58,247.503,337.808,115.459,327.568,137.267,210.177
"Camden",369.996,688.338,428.235,456.703,575.711,610.06,265.728,87.315,357.662,454.68,669.879,585.953,482.555,525.392,0,265.728,330.59,530.086,324.454,748.509,54.204,398.362,499.127,666.811,480,347.812,23.021,99.081,527.025,477.132,272.062,312.371,294.986,316.742,775.081,158.511,70.665,359.198,252.118,382.211,407.947,168.244,323.029,319.336,270.087,33.787,106.448,147.925,419.853,131.263,264.847,198.2,339.679,569.71,582.243,197.833,448.963,108.702,614.618,542.212,108.281,413.877,366.638,200.581,345.259,440.459,253.672,322.493,224.268,18.954,166.382,33.787,355.447,166.75,666.811,385.568,427.398,387.402,427.398,336.78,631.951,302.547,409.456,558.832,137.473,507.438,769.707,720.555,92.107,303.029,551.32,272.297,205.962,144.012,657.327,247.159,525.283,202.073,462.649,668.052
"Carteret",346.774,665.116,400.382,393.482,552.489,586.838,0,177.473,214.481,241.242,646.657,562.731,454.702,502.17,264.186,0,155.157,506.864,296.601,725.287,235.357,361.878,475.905,643.589,456.778,283.736,287.208,283.28,503.803,453.91,139.415,289.149,116.598,293.52,751.859,299.234,247.346,335.976,302.691,358.989,384.725,238.294,144.641,291.483,299.128,231.567,163.367,162.357,241.465,243.247,200.702,92.012,311.826,546.488,559.021,301.347,425.741,157.325,591.396,518.99,208.776,386.024,338.785,235.54,166.871,417.237,75.402,222.876,67.151,248.712,236.943,231.567,336.477,134.518,643.589,357.715,369.68,253.609,369.68,176.904,608.729,177.874,326.068,535.61,149.647,484.216,746.485,697.333,223.558,137.128,455.543,248.395,295.069,122.645,634.105,165.924,502.061,205.924,439.427,644.83
"Caswell",264.632,533.762,307.475,226.907,470.347,499.207,155.023,244.419,62.592,74.667,527.052,443.126,290.366,344.705,331.132,155.023,0,393.475,214.459,584.681,302.303,236.921,384.39,453.042,325.904,110.557,354.154,351.407,350.633,363.498,69.541,207.007,83.433,211.378,611.253,264.534,288.645,253.834,253.727,276.847,302.583,248.87,61.157,209.341,240.262,298.513,231.494,275.661,107.884,277.273,124.26,199.4,156.861,437.098,378.148,266.647,343.599,224.271,471.791,309.688,244.593,264.868,167.928,200.84,45.927,335.095,78.429,92.546,189.781,315.658,248.825,298.513,254.335,163.139,453.042,294.728,203.105,98.452,203.105,21.747,432.083,64.349,159.493,352.74,181.419,402.074,605.879,526.693,291.685,27.565,288.968,166.253,260.369,190.772,551.963,126.116,419.919,171.224,357.285,525.225
"Catawba",166.272,166.711,135.88,184.463,127.477,120.407,506.816,443.753,343.193,351.543,148.252,64.326,117.163,68.597,530.466,506.816,410.673,0,207.858,226.882,501.637,149.188,48.448,146.001,90.647,290.296,553.488,561.559,62.892,57.584,389.073,221.396,474.243,216.863,253.454,372.06,481.826,171.113,265.1,162.558,125.94,388.612,463.115,224.28,280.718,497.847,452.822,523.264,403.278,381.149,306.693,482.3,224.158,58.627,45.17,314.497,141.524,423.605,92.991,95.655,437.774,158.788,231.538,329.981,419.879,102.733,451.08,319.375,487.417,514.992,388.567,497.847,230.601,389.846,146.001,157.509,215.444,304.192,215.444,387.681,110.324,360.252,250.135,55.331,406.42,100.565,248.08,198.928,501.837,414.051,119.887,257.025,310.319,428.857,178.541,342.085,77.049,331.845,119.008,146.425
"Chatham",49.979,366.744,101.977,146.024,254.117,288.466,296.49,236.8,150.414,210.015,348.285,264.359,151.409,199.131,323.513,296.49,213.622,208.492,0,426.915,294.684,63.473,172.866,340.55,153.739,95.445,346.535,354.606,200.764,155.538,178.747,59.115,263.917,33.185,453.487,197.323,274.873,47.046,96.148,53.576,87.268,181.659,252.789,17.427,111.766,290.894,245.869,316.311,261.75,210.062,96.367,275.347,29,248.116,260.649,145.545,127.369,216.652,293.024,215.951,230.821,100.899,55.959,123.028,257.875,118.865,240.754,124.524,277.091,308.039,181.614,290.894,93.704,182.893,340.55,59.31,116.719,142.737,116.719,212.619,310.357,149.926,116.266,232.571,199.467,185.844,448.113,398.961,294.884,203.725,225.059,53.837,141.367,221.904,335.733,131.759,203.689,124.892,141.055,346.458
