"","Alamance","Alexander","Alleghany","Anson","Ashe","Avery","Beaufort","Bertie","Bladen","Brunswick","Buncombe","Burke","Cabarrus","Caldwell","Camden","Carteret","Caswell","Catawba","Chatham","Cherokee","Chowan","Clay","Cleveland","Columbus","Craven","Cumberland","Currituck","Dare","Davidson","Davie","Duplin","Durham","Edgecombe","Forsyth","Franklin","Gaston","Gates","Graham","Granville","Greene","Guilford","Halifax","Harnett","Haywood","Henderson","Hertford","Hoke","Hyde","Iredell","Jackson","Johnston","Jones","Lee","Lenoir","Lincoln","Macon","Madison","Martin","McDowell","Mecklenburg","Mitchell","Montgomery","Moore","Nash","New Hanover","Northampton","Onslow","Orange","Pamlico","Pasquotank","Pender","Perquimans","Person","Pitt","Polk","Randolph","Richmond","Robeson","Rockingham","Rowan","Rutherford","Sampson","Scotland","Stanly","Stokes","Surry","Swain","Transylvania","Tyrrell","Union","Vance","Wake","Warren","Washington","Watauga","Wayne","Wilkes","Wilson","Yadkin","Yancey"
"Alamance",0,183.083,76.283,116.117,135.017,163.117,212.917,155.3,150.267,174.717,169.45,126.533,104.95,96.05,213.133,212.917,155.283,96.383,43.033,228.217,192.3,24.117,86.05,175.05,70.233,110.25,231.65,232.4,100.033,70.517,125.45,38.233,174,35.7,235.633,129.033,190.767,12.683,62.367,10.5,30.817,127,158.4,57.05,68.417,188.733,165.65,213.85,207.95,148.367,85.633,187.333,60.683,128.15,121.567,91.167,56.55,142.133,141.05,100.317,160.667,72.917,77.517,93.45,163.75,54.25,174.15,112.817,199.75,199.5,126.9,188.733,62.367,128.1,175.05,47.2,94.9,138.767,94.9,158.05,163,115.517,120.1,114.75,134.083,88.25,229.733,207.717,189.583,135.567,103.717,61.017,89.317,152.767,210.583,106.533,91.683,99.383,62.633,188.783
"Alexander",181.833,0,186.617,186.95,151.7,88.817,384.2,326.567,289.267,284.617,19.017,71.15,157.933,133.183,384.417,384.2,316.15,98.133,205.967,78.583,363.583,171.567,124.05,53.467,159.333,262.45,402.933,403.683,126.983,125.383,296.717,209.517,346.983,206.983,86,300.317,362.05,183.95,233.65,180.45,158.3,298.283,330.8,220.15,239.7,360,336.933,385.117,307.25,319.65,256.917,358.6,212.867,91.633,97.3,262.433,180.117,313.417,53.95,136.033,331.95,203.833,218.45,264.733,322.317,150.683,345.433,278.433,371.033,370.783,298.183,360,231.933,299.383,53.467,175.317,212.617,258.717,212.617,318.867,73.583,286.8,230.167,117.817,305.35,146.017,80.1,58.117,360.867,306.85,149.817,232.3,260.6,324.05,64.8,277.817,130.333,270.667,157.35,38.317
"Alleghany",74.1,187.933,0,73.1,146.317,174.417,273.717,216.383,164.517,159.867,174.3,131.4,55.867,73.633,274.233,273.717,191.383,101.233,85.217,233.067,253.4,61.717,62.35,149.883,23.567,141.283,292.733,293.483,77.617,63.2,186.25,101.783,222.217,99.25,240.483,192.583,251.85,76.217,125.917,69.767,60.067,188.083,206.033,99.417,131.95,249.817,226.733,274.933,197.933,205.85,146.433,248.417,92.717,134.25,103.483,154.7,83.9,203.217,145.9,75.533,221.767,37.017,74.9,154.533,197.55,68.083,234.967,156.35,260.55,260.583,188,249.817,124.2,189.183,149.883,39.017,80.217,133.95,80.217,194.1,142.117,176.317,105.417,89.567,195.167,100.367,234.6,200.917,250.667,196.367,72.233,122.867,152.867,213.85,221.867,167.333,102.983,160.483,74.75,193.633
"Anson",114.133,190.4,72.7,0,174.1,181.683,260.167,224.683,104.5,99.85,176.383,133.467,54.75,76.417,282.517,260.167,131.367,109.733,113.217,230.183,261.683,101.633,106.733,141.383,77.55,97.35,301.033,301.783,78.317,113.5,167.817,135.483,162.2,139,237.6,202.733,260.15,116.25,166.533,107.933,101.2,196.383,146.017,104.4,172.583,258.117,235.033,283.233,137.917,214.133,135.667,251.017,95.017,135.083,94.983,195.317,126.017,211.517,147.983,62.517,230.05,43.5,72.383,162.833,137.533,119.55,194.5,124.017,252.083,268.883,196.283,258.117,164.233,191.8,141.383,77.183,27.833,73.933,27.833,134.083,133.617,137.233,45.4,86.05,197.767,133.717,231.7,192.417,258.967,154.3,44.117,131.15,193.483,216.467,241.567,158.85,130.767,163.267,126.217,195.717
"Ashe",135.333,151.883,148.217,174.15,0,69.35,337.683,280.067,255.95,256.167,148.65,92.117,134.683,110.85,337.917,337.683,280.067,102.317,159.45,207.417,317.083,125.067,101.7,162.817,129.667,215.933,356.433,357.183,104.633,98.6,250.217,163.017,298.783,160.483,214.833,253.817,315.55,137.45,187.15,133.95,111.783,251.767,283.167,173.65,193.183,313.5,290.433,338.617,294.25,273.15,210.417,312.1,166.367,72.667,112.117,215.933,133.483,266.9,112.55,121.25,285.45,154.533,171.95,218.233,288.517,104.05,298.933,231.933,324.533,324.267,251.683,313.5,185.433,252.867,162.817,128.817,176.517,230.267,176.517,278.35,139.15,240.3,201.717,132.617,258.85,86.717,208.933,186.9,314.35,260.35,133.45,185.8,214.083,277.533,116.817,231.317,47.95,224.167,107.233,113.1
"Avery",162.817,88.883,175.7,178.133,70.017,0,365.183,307.55,280.467,275.817,85.633,51.45,149.133,125.333,365.4,365.183,307.35,90.283,186.95,144.4,344.567,152.55,116.2,102.833,151.483,243.433,383.917,384.667,119.133,117.533,277.7,190.5,326.267,187.967,151.817,281.3,343.033,164.933,214.633,161.433,139.283,279.267,310.65,201.133,220.683,340.983,317.917,366.1,313.9,300.633,237.9,339.583,193.85,66.1,89.45,243.417,160.967,294.4,49.533,127.233,312.933,182.033,199.433,245.717,313.517,131.533,326.417,259.417,352.017,351.767,279.167,340.983,212.917,280.367,102.833,156.3,203.817,249.917,203.817,305.85,79.183,267.783,221.367,109.967,286.333,114.317,145.917,123.9,341.85,287.833,141.017,213.283,241.583,305.033,59.867,258.8,75.433,251.65,138.2,50.083
"Beaufort",214.367,384.633,273.667,263.65,336.567,364.667,0,132.033,176.1,184.25,371,328.083,309.75,297.6,189.883,0,134.933,297.933,192.767,429.767,169.05,230.967,287.6,376.6,271.767,190.25,208.4,202.533,301.583,272.05,122.067,183.167,103.083,186.517,437.183,182,184.933,206.683,208,224.883,232.367,178.033,124.633,183.45,201.333,165.467,130.183,160.917,183.317,184.25,137.65,90.45,193.95,329.7,323.117,195.45,258.1,118.867,342.6,301.85,155.55,250.717,213.567,152.15,139.817,255.8,76.583,163.233,76.2,176.233,176.717,165.467,227.333,111.133,376.6,236.967,249.983,206.633,249.983,149.95,364.55,149.783,224.183,316.283,113.067,289.783,431.283,409.25,159.717,121.5,304.233,163.367,192.033,97.683,412.117,117.883,293.233,137.283,264.167,390.333
"Bertie",156.383,326.65,216.933,222.983,278.583,306.683,133.183,0,180.95,201.633,313.017,270.1,253,239.617,61.383,133.183,173.55,239.95,136.033,371.783,40.55,172.017,229.6,318.617,213.783,151.967,79.883,90.583,243.6,214.067,126.25,125.183,143.867,128.533,379.2,80.217,55.167,148.7,139.917,166.883,174.383,65.867,165.417,126.717,123.7,36.967,40.517,79.283,224.083,56.417,100.95,80.683,137.217,271.7,265.133,113.45,200.117,18.1,284.617,243.867,25.783,193.967,156.817,66.833,180.6,197.817,116.3,141.017,106.683,47.733,63.65,36.967,166.15,56.15,318.617,180.217,201.783,165.683,201.783,176.367,306.567,139.483,191.017,258.3,40.5,231.8,373.3,351.267,47.767,152.55,247.283,105.65,106.117,47.083,354.133,100.4,235.25,78.233,206.183,332.35
"Bladen",148.517,290.417,163.75,103.567,254.583,281.717,169.567,175.233,0,37.133,276.4,233.483,154.767,176.45,233.067,169.567,45.483,209.767,113.433,330.217,212.233,139.267,202.583,241.417,175.717,54.8,251.583,252.333,178.333,190.083,65.433,119.033,85.2,122.383,337.633,152.1,210.7,142.533,150.067,140.15,151.95,145.75,69,104.6,151.2,208.667,185.583,225.1,75.2,163.5,83.35,174.533,97.017,235.117,195,165.55,176.117,162.067,248,162.55,180.6,127.183,106.233,122.267,60.517,173.817,103.883,53.867,173.183,219.433,145.667,208.667,163.2,136.483,241.417,138.8,89.9,34,89.9,36.567,233.633,45.6,64.1,186.067,142.467,207.8,331.733,292.45,209.517,57.1,144.15,99.217,162.133,161.15,330.133,84.667,211.25,111.55,182.183,295.733
"Brunswick",172.45,286.217,159.533,99.35,254.933,277.5,179.283,198.933,37.267,0,272.2,229.283,150.567,172.233,256.783,179.283,50.483,205.55,137.35,326,235.95,159.033,198.367,237.2,171.517,71.25,275.3,276.05,174.133,186.45,100.417,142.733,81.317,146.083,333.417,175.817,234.417,166.25,173.783,164.083,158.6,169.467,65.117,128.533,174.917,232.367,209.3,254.317,38.7,187.217,107.05,190.533,120.95,230.9,190.8,189.267,183.417,185.767,243.8,158.333,204.317,122.983,115.333,145.967,56.633,176.95,113.6,88.833,189.183,243.133,169.367,232.367,186.9,163.183,237.2,134.583,85.683,40.667,85.683,53.183,229.433,80.567,59.883,181.867,169.167,209.233,327.517,288.233,233.217,73.4,139.933,122.933,185.85,190.383,330.5,119.65,211.6,134.65,183.617,291.533
