"","Adams","Barnes","Benson","Billings","Bottineau","Bowman","Burke","Burleigh","Cass","Cavalier","Dickey","Divide","Dunn","Eddy","Emmons","Foster","Golden Valley","Grand Forks","Grant","Griggs","Hettinger","Kidder","LaMoure","Logan","McHenry","McIntosh","McKenzie","McLean","Mercer","Morton","Mountrail","Nelson","Oliver","Pembina","Pierce","Ramsey","Ransom","Renville","Richland","Rolette","Sargent","Sheridan","Sioux","Slope","Stark","Steele","Stutsman","Towner","Traill","Walsh","Ward","Wells","Williams"
"Adams",0,244.027,132.668,64.692,210.579,686.311,355.029,407.976,240.535,76.052,269.299,292.139,521.013,119.796,432.499,197.704,454.227,116.636,352.557,143.978,646.217,339.106,278.942,278.537,142.357,396.624,378.707,367.931,323.896,401.182,356.461,238.211,437.626,125.881,190.806,108.345,325.275,280.616,371.227,159.352,330.18,252.396,527.414,647.661,561.517,339.106,257.522,199.466,175.029,51.633,364.058,215.405,81.558
"Barnes",244.937,0,292.503,301.907,443.693,581.14,502.459,302.805,12.744,260.495,165.354,169.375,494.067,229.655,327.328,214.76,449.173,134.973,120.809,144.051,541.046,233.935,170.053,405.268,192.174,291.453,273.536,361.934,340.952,296.011,473.423,105.618,585.056,250.532,147.345,291.089,141.628,476.528,545.877,389.832,168.965,148.451,647.399,542.49,456.346,233.935,152.351,395.332,71.291,193.304,538.708,305.553,221.959
"Benson",132.668,292.758,0,124.677,153.946,538.965,267.293,260.63,306.898,203.803,210.311,277.988,382.906,66.831,285.153,77.844,316.12,181.86,363.058,153.322,498.871,191.714,242.213,186.052,105.291,277.122,231.361,229.824,185.789,253.836,254.207,224.06,349.89,253.632,166.989,27.96,345.456,225.162,310.711,120.125,316.029,212.508,425.16,500.315,414.171,191.714,156.999,111.73,238.031,182.483,303.542,85.004,96.075
"Billings",64.692,300.997,124.667,0,161.895,661.365,332.113,383.03,297.505,86.341,287.249,310.089,482.298,128.999,407.553,176.066,420.119,173.606,386.227,168.066,621.271,314.114,296.892,255.621,160.307,414.574,353.761,335.993,308.189,376.236,333.545,256.161,414.71,136.17,208.756,100.935,366.291,231.932,322.543,102.144,348.13,270.346,504.498,622.715,536.571,314.114,275.472,176.55,231.999,108.602,315.374,207.404,99.508
"Bottineau",210.579,443.853,153.877,161.895,0,522.255,194.037,279.112,431.574,217.13,361.406,429.083,364.314,208.08,332.234,228.939,302.135,309.897,514.153,292.67,482.161,249.235,393.308,134.838,246.511,387.089,278.492,215.21,197.449,300.917,215.561,375.155,268.03,266.959,318.084,152.205,496.551,70.036,160.647,59.75,467.124,363.603,372.755,483.605,397.461,249.235,308.094,81.899,366.068,260.394,153.478,142.525,224.112
"Bowman",686.476,581.08,539.134,661.544,522.335,0,325.534,281.611,595.22,730.269,498.633,566.31,162.785,552.559,383.641,479.568,235.274,686.548,586.438,544.684,64.089,348.896,530.535,423.024,529.113,401.17,310.635,307.097,361.466,323.365,322.285,512.382,325.179,802.107,496.039,564.827,568.836,471.694,406.786,574.773,540.161,500.83,254.769,38.65,118.685,348.896,431.262,469.515,622.821,705.85,376.911,464.292,623.114
"Burke",354.99,502.576,267.175,332.074,194.028,325.338,0,258.14,516.716,411.159,420.129,487.806,168.265,321.378,357.404,287.662,211.13,423.195,572.876,363.14,317.685,307.958,452.031,99.069,324.809,445.269,283.722,192.04,196.495,296.452,80.009,433.878,99.025,460.988,376.807,265.503,555.274,127.208,103.178,235.842,525.847,422.326,195.146,286.688,208.141,307.958,366.817,158.497,463.669,404.805,73.303,208.333,337.41
"Burleigh",407.989,302.593,260.647,383.057,279.16,281.814,258.785,0,316.733,451.782,220.146,287.823,194.741,274.072,105.154,201.081,149.847,408.061,372.893,266.197,241.72,70.409,252.048,181.056,250.626,193.019,32.148,66.22,82.944,42.036,188.953,233.895,341.382,523.62,217.552,286.34,355.291,234.565,302.203,296.286,325.864,222.343,348.073,243.164,157.02,70.409,152.775,225.899,344.334,427.363,295.034,185.805,344.627
"Cass",239.655,12.612,305.821,296.625,430.609,594.458,515.777,316.123,0,255.213,178.672,172.319,507.385,238.176,340.646,228.078,462.491,129.691,121.142,145.017,554.364,247.253,183.371,418.586,193.14,304.771,286.854,375.252,354.27,309.329,486.741,118.936,598.374,245.25,160.663,285.807,141.961,489.846,559.195,384.55,169.298,161.769,660.717,555.808,469.664,247.253,165.669,388.393,66.009,188.022,552.026,318.871,216.677
"Cavalier",76.052,259.58,203.793,86.341,217.13,730.037,411.168,451.702,256.088,0,313.025,326.336,561.424,190.913,476.225,261.026,499.245,132.189,368.11,185.518,689.943,382.832,322.668,334.747,213.474,440.35,422.433,415.119,387.218,444.908,412.671,262.579,485.161,49.828,234.532,179.462,388.929,287.167,377.778,181.27,348.552,296.122,589.886,691.387,605.243,382.832,301.248,255.676,190.582,55.777,370.609,286.53,133.111
"Dickey",269.353,165.033,210.225,287.303,361.415,498.862,420.181,220.527,179.173,313.146,0,65.958,411.789,185.846,165.046,132.482,366.895,270.501,151.028,127.561,458.768,151.657,32.693,322.99,148.365,129.175,191.258,279.656,258.674,213.733,391.145,62.835,502.778,386.06,110.139,235.918,133.426,394.25,463.599,328.083,103.999,19.548,565.121,460.212,374.068,151.657,70.073,313.054,206.774,288.727,456.43,223.275,205.991
"Divide",292.104,169.054,278.048,310.054,429.238,566.685,488.004,288.35,172.32,325.851,65.958,0,479.612,227.592,191.491,200.305,434.718,274.522,85.069,150.312,463.762,219.48,33.264,390.813,190.111,127.039,259.081,347.479,326.497,281.556,458.968,66.856,570.601,390.081,132.89,289.944,67.467,462.073,531.422,388.687,38.041,62.456,632.944,528.035,441.891,219.48,137.896,380.877,210.795,298.689,524.253,291.098,228.742
"Dunn",502.113,494.524,382.806,479.197,361.521,162.793,168.379,195.055,508.664,558.323,412.077,479.754,0,396.231,297.085,323.24,71.27,535.358,564.824,398.718,149.42,262.34,443.979,242.815,379.169,384.95,224.079,155.454,197.675,236.809,165.13,425.826,226.456,608.152,409.483,408.499,547.222,291.485,249.631,382.965,517.795,414.274,156.046,124.143,39.876,262.34,344.706,305.62,536.265,559.884,219.756,307.964,457.552
"Eddy",119.688,230.169,66.831,129.51,208.183,552.29,321.53,273.955,239.114,190.805,185.821,227.627,396.231,0,298.478,72.922,329.445,153.36,308.98,85.604,512.196,205.039,194.671,221.757,38.431,277.497,244.686,243.149,199.114,267.161,289.912,173.699,404.127,240.634,99.271,62.281,289.044,279.399,364.948,162.124,265.668,168.125,460.865,513.64,427.496,205.039,139.03,165.967,173.608,166.962,357.779,122.042,68.422
"Emmons",432.486,327.09,285.144,407.554,332.245,384.006,357.472,105.671,341.23,476.279,165.234,191.668,296.933,298.569,0,225.578,252.039,432.558,273.967,290.694,312.579,94.906,158.404,260.281,275.123,88.397,76.402,164.8,174.614,62.989,287.533,258.392,440.069,548.117,242.049,310.837,256.365,331.541,400.89,320.783,227.69,190.007,450.265,345.356,259.212,94.906,177.272,250.345,368.831,451.86,393.721,210.302,369.124
"Foster",197.673,214.913,77.912,176.605,229.102,479.537,287.868,201.202,229.053,261.062,132.466,200.143,323.478,72.99,225.725,0,256.692,212.117,285.213,75.477,439.443,132.286,164.368,190.677,55.928,199.277,171.933,170.396,126.361,194.408,258.832,146.215,370.465,327.676,89.144,103.605,267.611,261.937,331.286,195.77,238.184,134.663,429.785,440.887,354.743,132.286,79.154,180.741,176.006,236.643,324.117,90.962,134.311
"Golden Valley",454.228,449.666,316.12,419.808,302.132,235.117,211.117,150.197,463.806,498.934,367.219,434.896,71.322,329.545,252.227,256.554,0,468.672,519.966,332.032,194.97,217.482,399.121,183.426,312.483,340.092,179.221,86.295,130.989,191.951,186.484,380.968,269.194,548.763,318.056,341.813,502.364,232.096,299.734,323.576,472.937,369.416,198.784,196.467,110.323,217.482,299.848,246.231,432.561,493.198,262.494,241.278,390.866
"Grand Forks",116.754,133.67,181.833,173.724,309.901,685.455,423.248,407.12,130.178,132.312,269.669,293.377,534.533,152.436,431.643,211.224,467.747,0,242.2,135.716,645.361,338.25,274.368,346.756,165.879,395.768,377.851,381.451,337.416,400.326,424.68,209.933,505.845,122.349,184.73,165.099,263.019,381.117,466.666,263.842,290.356,252.766,595.633,646.805,560.661,338.25,256.666,267.685,64.672,65.121,459.497,264.57,95.969
"Grant",353.336,122.069,362.366,386.024,513.556,586.382,572.322,372.668,121.143,368.894,150.276,85.069,563.93,308.778,273.813,284.623,519.036,243.372,0,223.174,522.292,303.798,117.582,475.131,271.297,185.569,343.399,431.797,410.815,336.424,543.286,136.022,654.919,358.931,217.208,365.914,20.818,546.391,615.74,464.657,54.329,146.774,717.262,612.353,526.209,303.798,222.214,465.195,179.69,301.703,608.571,375.416,296.784
"Griggs",144.045,144.565,153.251,168.066,292.758,544.519,363.207,266.184,146.004,185.585,127.507,150.347,398.817,85.604,290.707,75.508,332.031,136.64,223.376,0,504.425,197.314,137.15,266.016,48.123,254.832,236.915,245.735,201.7,259.39,334.171,96.419,445.804,252.199,49.014,147.956,203.44,337.276,406.625,246.699,188.388,110.604,505.124,505.869,419.725,197.314,115.73,256.08,100.529,161.166,399.456,166.301,86.754
"Hettinger",646.256,540.86,498.914,621.324,482.115,64.089,317.799,241.391,555,690.049,458.413,463.818,149.42,512.339,312.481,439.348,195.003,646.328,522.348,504.464,0,308.676,490.315,382.804,488.893,337.08,270.415,266.877,321.246,283.145,314.55,472.162,366.481,761.887,455.819,524.607,504.746,431.474,399.051,534.553,476.071,460.61,296.071,98.99,109.543,308.676,391.042,429.295,582.601,665.63,369.176,424.072,582.894
