"","Adams","Barnes","Benson","Billings","Bottineau","Bowman","Burke","Burleigh","Cass","Cavalier","Dickey","Divide","Dunn","Eddy","Emmons","Foster","Golden Valley","Grand Forks","Grant","Griggs","Hettinger","Kidder","LaMoure","Logan","McHenry","McIntosh","McKenzie","McLean","Mercer","Morton","Mountrail","Nelson","Oliver","Pembina","Pierce","Ramsey","Ransom","Renville","Richland","Rolette","Sargent","Sheridan","Sioux","Slope","Stark","Steele","Stutsman","Towner","Traill","Walsh","Ward","Wells","Williams"
"Adams",0,144.367,86.4,42.183,127.967,370.817,226.317,224.933,143.067,48.25,167.533,171.817,315.35,75,239.083,116.633,273.117,80.133,197.9,88.917,351.6,189.65,174.45,172.417,87.35,232.383,208.333,218.933,190.517,227.667,219.35,147.75,271.217,78.65,115.433,76.083,201.9,169.367,224.983,95.433,200.9,158.667,331.667,347.3,300.933,189.65,149.05,123.683,106.2,36.183,221.833,137.3,53.983
"Barnes",144.85,0,165.7,182.183,256.1,301.2,296.95,155.317,20.5,139.233,96.967,94.117,252.167,134.483,169.483,117.533,235.617,77.55,71.383,83.317,282,120.05,95.15,227.933,112.367,162.767,138.717,189.85,191.417,158.05,271.85,63.417,341.833,130.7,81.133,178.733,85.133,277.667,316.017,231.117,103.633,88.1,338.5,277.7,231.317,120.05,79.45,224.35,45.183,109.983,312.883,177.05,133.233
"Benson",85.4,165.633,0,81.8,97.65,300.5,172.783,154.617,178.367,126.367,132.95,163.2,239.317,48.75,168.783,49.117,197.083,117.333,215.2,92.233,281.3,118.65,147.617,112,67.05,178.633,138.017,142.917,114.483,157.367,155.933,139.15,217.683,156.767,105.05,24.233,206.9,137.4,191.867,74.933,192.3,136.85,268.25,277,230.633,118.65,97.967,70.133,144.033,118.983,188.717,57.117,67.617
"Billings",42.183,180.6,83.217,0,102.883,377.483,216.05,231.6,179.3,56.967,181.083,185.367,305.233,90.467,245.767,119.667,267,116.367,236.033,103.483,358.283,195.617,188,162.133,100.9,245.933,215,212.483,191.467,234.333,209.083,161.3,260.95,87.367,128.983,75.633,229.083,144.283,199.9,65.533,214.45,172.217,321.4,353.983,307.6,195.617,162.6,113.4,142.45,71.45,196.767,134.1,67.533
"Bottineau",127.317,254.967,97.083,101.933,0,315.383,125.833,183.367,258.717,134.733,222.283,252.533,229.983,133.733,197.25,138.45,191.75,195.167,304.517,181.25,296.183,153.5,236.95,91.35,158.483,238.233,166.8,141.7,129.233,185.833,133.833,228.467,167.517,165.133,194.367,100.617,296.217,41.383,97,36.75,281.617,226.183,230.75,291.883,245.517,153.5,187.283,49.8,221.867,160.9,93.867,91.967,145.45
"Bowman",369.933,298.883,299.483,376.267,314.133,0,217.317,153.233,311.617,401.35,266.2,296.45,98.783,308.95,206.783,259.15,139.3,369.25,351.75,285.55,37.5,185.767,280.867,246.733,292.75,241.833,166.517,172.25,201.267,187.25,205.5,272.4,200.733,422.417,273.983,318.7,343.45,278.867,270.017,321.083,328.35,270.1,154.3,24.217,74.9,185.767,225.95,276.55,336.25,389.467,246.75,258.967,343.183
"Burke",226.533,295.733,172.05,216.033,125.7,218.117,0,172.45,308.467,260.433,263.05,293.3,125.25,208.7,218.8,179.217,153.45,270.133,345.3,222.333,218.817,194.283,277.717,71.983,206.967,272.5,183.017,126.383,129.567,203.733,59.9,269.25,72.85,290.85,235.15,175.583,337,87.583,82.7,154.2,322.4,266.95,132.867,194.617,153.45,194.283,228.067,107.917,288.883,260.117,59.45,140.5,220.417
"Burleigh",225.583,154.533,155.117,231.917,183.417,154.817,172.883,0,167.267,256.983,121.85,152.1,105.783,164.6,62.433,114.8,89.233,224.9,204.083,141.183,135.617,41.4,136.517,115.7,148.383,116.133,22.167,47.583,56.567,38.15,127.7,128.05,217.783,278.05,129.617,174.35,195.8,153.483,191.95,176.733,181.2,125.75,192.117,131.317,84.95,41.4,81.6,134.833,191.9,245.117,188.817,114.617,198.833
"Cass",142.883,20.833,177.983,180.217,259.667,313.483,309.233,167.6,0,137.267,109.267,101.983,264.45,142.2,181.767,129.817,247.9,75.583,74.367,95.583,294.283,132.333,107.45,240.217,124.65,175.05,151,202.133,203.7,170.35,284.133,75.7,354.133,128.733,93.433,176.767,88.117,289.95,328.317,229.15,106.617,100.383,350.783,289.983,243.617,132.333,91.733,232.15,43.217,108.017,325.167,189.333,131.267
"Cavalier",48.167,137.733,127.783,57.333,134.167,402.65,260.017,256.767,136.433,0,199.383,199.133,349.817,118.6,270.933,159.467,311.567,73.5,191.283,116.183,383.45,221.5,206.3,206.717,130.95,264.217,240.167,257.067,233.35,259.5,253.65,168.433,301.7,30.4,147.267,119.867,205.017,175.567,231.183,110.117,224.3,190.5,364.933,379.15,332.783,221.5,180.9,157.983,99.583,35.233,228.05,178.683,87.033
