"","Adams","Allen","Ashland","Ashtabula","Athens","Auglaize","Belmont","Brown","Butler","Carroll","Champaign","Clark","Clermont","Clinton","Columbiana","Coshocton","Crawford","Cuyahoga","Darke","Defiance","Delaware","Erie","Fairfield","Fayette","Franklin","Fulton","Gallia","Geauga","Greene","Guernsey","Hamilton","Hancock","Hardin","Harrison","Henry","Highland","Hocking","Holmes","Huron","Jackson","Jefferson","Knox","Lake","Lawrence","Licking","Logan","Lorain","Lucas","Madison","Mahoning","Marion","Medina","Meigs","Mercer","Miami","Monroe","Montgomery","Morgan","Morrow","Muskingum","Noble","Ottawa","Paulding","Perry","Pickaway","Pike","Portage","Preble","Putnam","Richland","Ross","Sandusky","Scioto","Seneca","Shelby","Stark","Summit","Trumbull","Tuscarawas","Union","Van Wert","Vinton","Warren","Washington","Wayne","Williams","Wood","Wyandot"
"Adams",0,232.045,265.116,471.594,272.224,145.769,332.116,386.791,259.364,187.882,65.193,191.003,161.654,351.268,446.729,277.292,299.411,414.937,11.34,158.884,134.683,237.701,135.222,200.169,86.862,215.716,264.158,427.053,467.206,307.284,94.849,160.212,42.637,157.392,164.361,147.71,202.656,201.735,278.214,233.798,464.658,266.015,370.798,287.846,209.158,233.766,339.877,262.968,439.187,410.594,150.904,331.144,279.037,72.731,86.114,101.965,132.548,108.35,117.51,252.436,157.483,128.502,127.134,438.943,205.896,243.358,178.705,49.956,245.504,227.758,144.214,264.155,122.317,330.508,244.048,358.654,350.21,457.959,332.428,31.85,97.054,275.038,428.621,84.129,189.582,165.855,186.766,197
"Allen",232.619,0,138.473,261.414,328.155,127.959,385.04,270.271,174.159,243.813,195.158,384.984,355.635,211.7,274.296,236.323,221.009,213.955,243.959,107.707,168.477,32.159,329.203,101.066,280.843,170.123,360.621,207.144,251.737,325.166,318.452,92.143,197.293,351.373,74.704,341.691,258.587,108.1,78.591,330.261,254.478,182.406,227.903,384.309,263.055,289.697,117.691,159.414,229.007,221.565,134.637,176.808,374.469,200.707,326.002,295.946,326.529,349.918,311.491,284.969,107.817,117.792,136.17,219.665,270.56,297.255,55.99,289.844,299.401,324.221,338.195,64.471,183.104,373.632,127.261,238.697,403.234,247.779,226.848,243.209,178.322,371.501,239.592,278.11,42.74,126.537,51.184,123.853
"Ashland",262.963,138.577,0,197.192,247.875,228.719,205.085,120.587,41.384,163.533,196.092,298.428,310.732,76.866,172.327,96.175,80.861,140.535,289.375,223.709,107.579,109.402,301.908,217.136,271.656,75.184,283.677,152.651,192.804,145.211,309.265,162.16,227.637,324.078,154.746,239.612,178.307,74.067,68.236,253.317,190.256,42.258,96.396,307.365,114.317,209.417,71.135,32.79,164.785,136.192,83.252,56.742,194.514,231.051,320.175,286.759,281.189,322.623,262.287,116.683,227.215,171.828,235.476,164.541,193.616,216.951,169.09,284.017,130.62,247.277,310.9,81.125,121.855,193.677,31.064,92.45,223.279,183.557,66.224,248.484,206.64,294.557,154.219,255.333,129.179,242.607,177.151,85.567
"Ashtabula",468.908,260.351,196.549,0,425.522,374.059,263.472,181.457,235.748,349.557,382.116,484.452,496.756,156.964,120.292,265.022,232.342,99.737,475.399,353.807,293.603,230.837,487.932,343.838,457.68,261.208,469.701,62.923,53.602,256.344,495.289,338.243,422.754,510.102,320.804,425.636,364.331,269.184,182.705,439.341,17.849,217.256,159.081,493.389,343.603,395.441,142.771,218.814,34.214,100.709,278.369,145.2,305.647,426.168,506.199,472.783,467.213,508.647,448.311,300.426,353.917,363.892,382.27,42.462,379.64,342.102,282.13,470.041,309.483,433.301,496.924,202.601,307.879,304.81,233.58,169.875,334.412,36.5,172.112,434.508,401.757,455.382,84.877,441.357,266.29,369.309,297.284,280.684
"Athens",274.311,333.129,251.276,423.315,0,336.161,204.963,259.536,225.067,87.38,191.295,204.879,214.217,275.573,328.542,136.527,158.646,349.277,280.802,338.081,166.233,321.792,283.309,414.385,263.083,181.419,85.608,378.774,400.334,179.797,277.051,305.195,281.117,305.479,297.781,168.457,75.156,239.471,302.172,64.516,416.379,186.58,274.431,114.952,97.3,42.184,319.221,228.671,390.908,341.738,200.019,296.847,84.183,298.301,289.944,253.441,262.59,304.024,243.688,92.278,341.732,298.69,347.707,390.664,92.262,59.341,312.125,275.444,79.744,60.162,292.301,306.545,171.729,158.723,237.367,254.243,145.18,409.68,259.563,239.911,322.624,53.145,353.047,246.76,297.148,367.427,320.186,216.813
"Auglaize",146.105,126.937,224.863,374.35,333.642,0,393.534,335.293,223.081,249.3,154.476,318.475,289.126,320.375,382.971,317.698,299.171,322.63,137.668,15.265,201.371,156.198,262.694,64.477,214.334,203.017,391.63,320.08,360.412,359.917,251.943,64.296,130.784,284.864,75.667,275.182,264.074,161.482,199.116,361.27,367.414,256.999,336.578,415.318,270.576,295.184,234.769,217.882,341.943,330.24,167.531,285.483,340.455,74.068,212.416,229.437,260.02,283.409,244.982,295.105,22.267,42.51,19.885,332.601,269.375,304.776,79.747,176.258,306.922,355.23,271.686,190.455,178.726,391.926,203.795,307.156,411.628,360.715,280.93,176.7,49.533,402.51,348.267,211.601,90.624,45.908,89.652,156.747
"Belmont",331.563,385.057,202.78,267.997,209.425,394.301,0,100.305,187.13,164.273,248.547,340.933,353.237,168.866,150.202,101.991,120.607,242.57,338.054,396.221,216.547,353.075,344.413,463.616,320.335,234.716,278.243,272.067,222.615,73.09,338.155,355.509,338.369,366.583,348.095,282.117,170.794,267.449,304.943,269.423,251.966,165.547,167.724,306.56,127.125,176.949,273.874,217.869,284.201,209.844,250.333,214.494,89.55,356.441,368.854,314.545,323.694,365.128,304.792,100.143,399.872,356.83,405.847,283.957,198.073,125.624,362.439,332.696,93.005,265.069,353.405,324.839,229.869,35.662,231.845,147.536,41.364,261.34,152.856,297.163,380.764,239.285,191.312,304.012,347.462,489.087,370.5,267.127
"Brown",382.65,267.287,117.467,182.151,266.742,336.788,100.54,0,133.263,221.971,295.858,398.631,410.935,68.461,64.356,106.242,73.562,88.389,389.141,355.815,207.345,235.305,402.111,345.846,371.422,174.95,335.56,154.297,136.769,97.564,409.031,270.229,335.706,424.281,262.815,339.815,228.492,182.136,187.173,326.74,166.12,112.801,49.954,363.877,184.823,234.647,156.104,132.556,166.431,87.492,191.321,96.724,146.867,339.12,419.941,386.525,381.392,422.826,362.49,141.646,355.925,279.897,343.545,166.187,255.771,183.322,277.159,383.783,150.703,322.386,411.103,207.069,221.621,146.03,146.532,29.242,175.632,185.203,52.126,348.25,314.709,296.602,87.505,355.099,268.298,371.317,285.22,193.636
"Butler",257.789,173.36,41.343,238.457,222.78,229.555,187.088,136.18,0,138.438,170.997,273.333,285.637,118.131,213.592,77.982,71.954,181.8,264.28,224.545,82.484,144.185,276.813,272.186,246.561,43.65,258.582,193.916,234.069,111.039,284.17,162.996,230.566,298.983,155.582,214.517,153.212,74.903,103.019,228.222,231.521,33.351,137.661,282.27,80.985,184.322,120.381,16.934,206.05,177.457,76.067,98.007,136.814,231.887,295.08,261.664,256.094,297.528,237.192,90.368,230.47,172.664,236.312,205.806,168.521,119.097,169.926,258.922,103.281,222.182,285.805,115.908,96.76,175.68,44.984,108.043,205.282,224.822,81.817,223.389,207.476,269.462,195.484,230.238,154.949,258.18,177.987,86.403
"Carroll",187.707,246.525,164.672,350.693,87.143,249.557,163.887,218.794,138.463,0,104.691,193.225,205.529,230.367,325.828,112.589,134.708,294.036,194.198,251.477,79.629,235.188,196.705,327.781,176.479,94.815,143.667,306.152,346.305,139.055,190.447,218.591,194.513,218.875,211.177,134.409,17.575,152.867,215.568,113.307,343.757,115.935,233.689,167.355,40.929,48.685,232.617,142.067,318.286,289.693,113.415,210.243,110.808,211.697,203.34,166.837,175.986,217.42,157.084,84.207,255.128,212.086,261.103,318.042,44.854,54.64,225.521,188.84,77.275,104.658,205.697,219.941,85.125,162.279,150.763,213.501,181.981,337.058,211.527,153.307,236.02,140.086,307.72,160.156,210.544,280.823,233.582,130.209
"Champaign",65.193,195.836,197.374,383.395,188.537,154.443,248.429,298.592,171.165,104.195,0,147.623,166.937,263.069,358.53,196.095,218.214,326.738,76.533,156.363,69.489,201.492,140.505,244.756,92.145,127.517,215.878,338.854,379.007,223.597,129.754,129.827,54.22,162.675,128.152,99.404,118.969,125.319,198.477,185.518,376.459,184.818,282.599,239.566,125.471,150.079,265.319,174.769,350.988,322.395,85.71,242.945,195.35,118.677,140.664,107.248,137.831,161.22,100.551,168.749,160.014,116.972,173.08,350.744,124.404,159.671,142.496,104.506,161.817,179.478,149.497,189.816,57.123,246.821,149.357,270.455,266.523,369.76,244.229,68.973,143,226.758,340.422,75.822,153.373,185.709,150.557,102.661
"Clark",189.833,383.517,298.839,484.86,204.594,317.445,339.285,394.192,272.63,191.602,192.432,0,29.348,364.534,459.995,290.447,312.566,428.203,196.366,319.365,207.044,389.173,86.894,369.439,105.502,228.982,168.714,440.319,480.472,314.453,99.956,311.684,196.639,96.039,315.833,67.559,156.444,280.282,349.735,142.836,477.924,279.17,384.064,165.966,216.327,204.42,366.784,276.234,452.453,423.86,240.83,344.41,286.206,261.074,118.513,92.894,62.376,107.609,66.493,259.605,323.016,279.974,315.477,452.209,159.673,199.715,330.177,144.849,252.673,164.942,95.886,343.426,210.951,337.677,284.93,371.92,357.379,471.225,345.694,155.475,285.397,183.867,441.887,121.068,341.054,348.711,338.238,257.624
"Clermont",160.484,354.168,309.759,495.78,213.581,288.096,350.205,405.112,283.55,202.522,163.083,29.348,0,375.454,470.915,301.367,323.486,439.123,167.017,290.016,217.964,359.824,57.545,340.09,76.153,239.902,177.701,451.239,491.392,325.373,70.607,282.335,167.29,79.715,286.484,68.998,217.296,291.202,360.655,151.823,488.844,290.09,394.984,174.953,227.247,248.406,377.704,287.154,463.373,434.78,251.75,355.33,297.126,231.725,89.164,63.545,33.027,78.26,39.83,270.525,293.667,250.625,286.128,463.129,139.345,261.447,300.828,115.5,263.593,173.929,66.537,386.278,221.871,348.597,295.85,382.84,368.299,482.145,356.614,126.126,256.048,192.854,452.807,91.719,311.705,319.362,308.889,268.544
"Clinton",350.447,211.909,78.088,157.122,278.573,305.375,169.269,72.284,91.047,231.096,263.655,365.991,378.295,0,123.439,118.073,77.84,92.728,356.938,300.437,175.142,179.927,369.471,290.468,339.219,142.747,351.24,112.581,143.916,109.395,376.828,238.816,304.293,391.641,231.402,307.175,245.87,150.723,131.795,320.88,150.186,70.585,22.835,374.928,196.654,276.98,100.726,100.353,124.715,85.32,159.908,38.668,158.698,307.707,387.738,354.322,348.752,390.186,329.85,153.477,300.547,248.484,312.132,124.471,261.179,195.153,228.76,351.58,162.534,314.84,378.463,151.691,189.418,157.861,115.119,31.603,187.463,143.487,21.53,316.047,283.296,308.433,96.629,322.896,212.92,315.939,243.914,162.223
