"","Adair","Alfalfa","Atoka","Beaver","Beckham","Blaine","Bryan","Caddo","Canadian","Carter","Cherokee","Choctaw","Cimarron","Cleveland","Coal","Comanche","Cotton","Craig","Creek","Custer","Delaware","Dewey","Ellis","Garfield","Garvin","Grady","Grant","Greer","Harmon","Harper","Haskell","Hughes","Jackson","Jefferson","Johnston","Kay","Kingfisher","Kiowa","Latimer","Le Flore","Lincoln","Logan","Love","Major","Marshall","Mayes","McClain","McCurtain","McIntosh","Murray","Muskogee","Noble","Nowata","Okfuskee","Oklahoma","Okmulgee","Osage","Ottawa","Pawnee","Payne","Pittsburg","Pontotoc","Pottawatomie","Pushmataha","Roger Mills","Rogers","Seminole","Sequoyah","Stephens","Texas","Tillman","Tulsa","Wagoner","Washington","Washita","Woods","Woodward"
"Adair",0,382.292,251.723,535.678,451.4,353.894,304.459,284.093,150.312,453.087,355.08,229.316,272.588,131.522,246.186,393.466,422.025,201.968,99.289,387.437,70.193,98.504,443.12,263.604,353.514,442.149,304.093,491.559,423.626,468.025,100.447,197.054,253.02,296.748,316.424,247.579,297.624,207.652,197.022,202.22,519.598,491.335,426.236,327.443,267.361,16.302,299.47,183.936,135.673,309.439,81.859,287.491,62.864,167.574,247.769,137.343,143.357,74.831,168.239,324.352,212.491,303.405,222.228,270.122,473.811,70.305,216.531,32.855,375.659,799.64,457.32,78.85,57.16,291.475,354.804,234.527,403.877
"Alfalfa",382.143,0,300.634,320.978,101.923,100.547,330.552,322.817,354.563,98.018,200.722,161.594,179.688,302.948,278.338,146.466,119.111,368.922,287.412,73.742,396.314,380.479,201.898,195.182,437.079,213.616,387.658,113.81,192.578,244.251,342.135,425.465,134.732,239.08,276.946,325.956,131.209,364.573,394.211,430.631,176.876,276.635,275.099,142.174,213.017,373.992,148.333,412.347,333.363,233.016,359.325,140.446,386.144,276.265,136.859,304.09,314.798,450.618,282.7,133.738,369.412,258.977,197.905,352.855,140.664,447.797,226.72,356.987,136.058,732.884,125.495,307.103,364.682,130.127,38.361,166.588,189.177
"Atoka",251.659,289.884,0,565.239,415.293,317.787,53.072,32.706,101.608,416.98,452.329,196.74,263.718,263.781,22.36,207.38,240.562,74.962,201.07,351.33,301.989,287.038,455.142,361.084,136.029,177.493,86.608,375.879,435.648,488.512,185.533,139.954,215.662,393.997,65.037,332.32,286.351,44.071,108.678,145.12,390.747,520.896,120.848,369.813,297.047,236.97,153.169,157.49,116.46,96.073,174.715,166.952,291.819,154.706,210.411,151.678,275.616,325.91,300.498,164.968,48.909,63.943,152.418,51.805,437.704,321.384,129.038,261.431,194.043,548.253,316.469,213.662,197.539,171.606,248.516,188.666,433.438
"Beaver",536.052,320.966,564.226,0,229.785,248.472,594.236,586.409,574.182,250.309,216.032,381.213,328.127,417.721,541.93,450.796,440.078,588.541,460.525,249.731,491.684,455.148,142.228,272.623,729.895,517.946,680.474,282.64,161.722,94.529,513.55,645.084,354.351,279.562,540.63,336.01,294.491,584.192,613.83,650.25,315.787,54.08,538.783,227.871,316.753,527.901,412.017,631.966,552.982,496.7,536.169,400.038,481.522,495.884,356.478,518.082,429.571,604.527,376.804,436.899,589.031,522.569,417.524,646.503,204.092,549.909,446.339,510.896,432.989,1034.206,378.429,457.79,521.38,404.022,359.328,386.207,131.858
"Beckham",451.517,101.927,413.981,229.852,0,152.812,443.991,436.164,423.937,20.523,249.283,230.968,249.062,372.322,391.685,248.394,221.039,438.296,356.786,79.653,465.688,449.853,98.854,257.814,579.65,306.784,530.229,52.854,115.087,189.634,411.509,494.839,204.106,296.029,390.385,395.33,200.583,433.947,463.585,500.005,115.92,196.661,388.538,190.735,255.958,443.366,261.772,481.721,402.737,346.455,428.699,249.793,455.518,345.639,206.233,373.464,384.172,519.992,352.074,230.928,438.786,372.324,267.279,496.258,37.026,517.171,296.094,426.361,237.986,795.356,148.643,376.477,434.056,253.777,140.289,235.962,151.34
"Blaine",354.244,100.532,316.708,248.406,152.703,0,346.718,338.891,326.664,154.39,123.446,133.695,80.609,220.341,294.412,203.278,199.762,341.023,259.513,67.697,368.415,352.58,138.309,107.293,482.377,270.428,432.956,192.862,118.815,171.679,314.236,397.566,106.833,149.244,293.112,234.224,46.973,336.674,366.312,402.732,255.928,204.063,291.265,52.27,105.437,346.093,164.499,384.448,305.464,249.182,331.426,152.52,358.245,248.366,108.96,276.191,232.191,422.719,190.968,189.381,341.513,275.051,170.006,398.985,134.501,419.898,198.821,329.088,185.471,786.688,208.237,279.204,336.783,156.504,105.569,138.689,116.605
"Bryan",304.023,330.77,52.7,595.213,445.267,347.761,0,21.77,153.972,446.954,483.017,227.428,293.692,316.145,73.767,175.843,212.065,127.326,253.434,381.304,354.353,339.402,485.116,391.772,143.233,128.245,93.812,372.475,465.622,518.486,237.897,192.318,243.037,424.685,54.266,363.008,316.325,96.435,161.042,197.484,367.615,550.87,71.6,399.787,327.021,289.334,183.162,209.854,168.824,103.828,227.079,197.64,344.183,206.113,240.323,204.042,327.98,378.274,296.791,189.802,101.273,82.125,183.106,95.519,467.678,373.748,159.726,313.795,190.639,497.981,274.514,266.026,249.903,202.054,269.795,219.354,463.412
"Caddo",283.797,311.999,32.474,587.354,437.408,339.902,22.507,0,133.746,439.095,474.444,218.855,285.833,295.919,53.541,187.219,223.441,107.1,233.208,373.445,334.127,319.176,477.257,383.199,141.546,146.928,92.125,383.851,457.763,510.627,217.671,172.092,237.777,416.112,47.828,354.435,308.466,76.209,140.816,177.258,378.991,543.011,90.283,391.928,319.162,269.108,175.284,189.628,148.598,97.39,206.853,189.067,323.957,185.887,232.526,183.816,307.754,358.048,288.218,187.083,81.047,73.552,174.533,82.758,459.819,353.522,151.153,293.569,202.015,517.688,285.89,245.8,229.677,193.721,270.631,210.781,455.553
"Canadian",150.162,349.486,101.738,568.54,418.594,321.088,154.474,134.108,0,420.281,424.409,200.041,267.019,200.851,96.201,286.875,379.896,51.983,139.854,354.631,218.106,217.994,458.443,332.933,203.529,278.895,154.108,458.753,438.949,491.813,84.036,95.36,218.963,366.077,166.439,316.908,289.652,57.667,77.272,100.526,477.469,524.197,222.25,373.114,300.348,135.473,213.855,82.242,14.963,176.342,73.218,196.289,207.936,116.249,213.712,90.462,212.686,224.413,237.568,219.002,62.506,155.585,162.392,120.137,441.005,219.887,121.2,164.568,272.556,649.655,415.191,147.621,96.042,248.003,312.675,191.967,436.739
"Carter",452.906,98.005,415.37,250.392,20.539,154.201,445.38,437.553,425.326,0,250.672,232.357,250.451,373.711,393.074,227.533,200.178,439.685,358.175,81.042,467.077,451.242,121.108,259.203,581.039,293.95,531.618,38.471,137.341,207.803,412.898,496.228,205.495,297.418,391.774,396.719,201.972,435.336,464.974,501.394,101.537,218.915,389.927,192.124,257.347,444.755,263.161,483.11,404.126,347.844,430.088,251.182,456.907,347.028,207.622,374.853,385.561,521.381,353.463,227.006,440.175,373.713,268.668,497.647,59.28,518.56,297.483,427.75,217.125,780.973,135.809,377.866,435.445,255.166,124.186,237.351,152.729
