"","Adair","Alfalfa","Atoka","Beaver","Beckham","Blaine","Bryan","Caddo","Canadian","Carter","Cherokee","Choctaw","Cimarron","Cleveland","Coal","Comanche","Cotton","Craig","Creek","Custer","Delaware","Dewey","Ellis","Garfield","Garvin","Grady","Grant","Greer","Harmon","Harper","Haskell","Hughes","Jackson","Jefferson","Johnston","Kay","Kingfisher","Kiowa","Latimer","Le Flore","Lincoln","Logan","Love","Major","Marshall","Mayes","McClain","McCurtain","McIntosh","Murray","Muskogee","Noble","Nowata","Okfuskee","Oklahoma","Okmulgee","Osage","Ottawa","Pawnee","Payne","Pittsburg","Pontotoc","Pottawatomie","Pushmataha","Roger Mills","Rogers","Seminole","Sequoyah","Stephens","Texas","Tillman","Tulsa","Wagoner","Washington","Washita","Woods","Woodward"
"Adair",0,201.583,157.933,313.433,235.017,190.167,191.233,178.95,95.65,237.1,192.133,120.7,146.4,71.3,157.833,218,219.117,128.217,56.517,203.667,47.75,73.533,264.917,140.617,209.417,249.033,178.483,261.617,252.917,260.017,63.5,135.967,134.867,161,200.85,142.667,161.283,130.917,138.483,147.167,283.283,294.167,222.867,188.467,142.667,13.25,159,127.083,88.767,184.867,60.383,156.333,44.067,103.067,131.4,79.667,82.983,45.683,90.567,172.933,136.683,180.35,133.1,162.267,251.967,56.283,127.733,26.15,211.217,448.55,240.917,43.883,40.933,155.367,199.467,124.317,232.5
"Alfalfa",200.667,0,197.25,199.783,63.683,64.4,206.683,206.517,187.3,60.7,132.767,95.467,102.65,177.75,178.733,94.067,74,203.133,152.75,44.867,216.15,208.717,123.833,128.717,280.317,133.25,249.383,77.783,116.417,153.667,189.867,234.35,76.517,158.567,180.6,181.75,80.833,194.45,221.733,245.55,118.317,180.517,163.617,91.433,123.817,202.333,99.75,225.467,180.033,146.267,193.267,99.167,209,152.15,77.65,166.333,190,236.05,159.3,97.583,200.217,169.283,111.533,230.867,89.033,248,130.35,197.667,89.083,403.133,81.283,161.7,194.883,95.917,29.933,94.117,118.85
"Atoka",157.083,199.417,0,343.017,235,190.167,35.55,23.267,62.367,237.1,259.75,122.767,161.717,153.3,19.3,141.95,164.983,51.033,125.1,203.667,180.133,173.783,272.35,208.533,83.683,119.933,52.75,250.7,260.35,296.9,115.15,97.783,134.333,228.617,45.183,225.383,177.033,26.033,78.617,108.967,259.5,323.75,82.533,229.25,182.9,147.45,99.933,102.1,72.2,67.533,104.45,109.85,172.983,103.75,130.85,89.517,164.983,200.367,172.567,110.017,31.1,43.2,97.4,34.217,251.967,210.983,82.45,161.65,136.467,292.867,201.55,126.767,120.583,115.05,175.1,117.483,262.083
"Beaver",313.367,199.95,344.9,0,143.517,156.633,358.983,354.167,331.617,157.6,132.6,239.783,206.517,256.133,326.383,294.45,273.95,347.467,280.183,157.833,314.683,284.45,88.4,174.65,416.267,333.617,385.333,177.45,100.383,58.133,313.633,378.667,220.833,171.267,332.917,210.717,185.217,338.767,366.05,389.867,195.533,41.15,315.933,143.333,202.95,315.033,252.067,369.783,324.35,298.567,319.967,249.4,303.467,296.483,221.967,309.617,268.383,348.75,234.967,266,344.55,316.917,255.867,369.1,125.567,348.367,274.667,310.367,287.667,571.667,244.683,273.067,310.917,248.433,229.883,238.433,82.917
"Beckham",234.85,63.3,234.767,141.25,0,90.517,248.85,244.033,221.483,14.083,156.933,129.633,136.833,211.933,216.25,157.383,137.317,237.317,186.933,47.033,250.333,242.9,63.733,159.833,306.117,196.35,275.183,33.933,70.967,124.917,224.05,268.533,110.7,184.233,222.783,215.917,115.017,228.633,255.917,279.733,75.233,131.9,205.8,115.6,156.967,236.517,141.933,259.65,214.217,188.433,227.45,139.267,243.167,186.333,111.833,200.517,224.183,270.233,193.483,157.433,234.4,206.783,145.717,258.967,26.767,282.183,164.517,231.85,152.4,448.55,101.167,195.883,229.067,138.3,93.25,128.3,97.6
"Blaine",191.233,62.7,191.15,154.733,89.3,0,205.233,200.417,177.867,91.383,84.517,86.033,53.2,144.6,172.633,140.683,134.583,193.7,143.317,47.15,206.717,199.283,84.05,72.883,262.5,179.867,231.583,115.9,72.067,108.617,180.433,224.917,67.083,97.517,179.167,145.417,31.9,185.017,212.3,236.117,157.217,135.467,162.183,40.2,70,192.9,98.317,216.033,170.6,144.817,183.833,95.65,199.567,142.717,68.217,156.9,156.85,226.617,122.983,112.25,190.783,163.167,102.1,215.35,88.05,238.567,120.917,188.233,133.917,417.917,129.45,152.267,185.45,94.683,79.633,84.683,73.8
"Bryan",189.917,209.583,33.917,358.85,250.833,205.983,0,14.333,95.2,252.917,276.967,139.983,177.55,186.133,52.117,123.117,144.383,83.867,157.933,219.483,212.967,206.617,288.167,225.75,95.333,90.85,64.4,245.617,276.183,312.733,147.967,130.6,148.483,245.833,41.317,242.6,192.85,58.867,111.45,141.8,239.917,339.583,53.467,245.083,198.717,180.283,117.167,134.917,105.033,76.15,137.267,127.067,205.817,136.583,146.75,122.35,197.817,233.2,195.383,121.633,63.933,54.183,114.617,66.2,267.8,243.817,99.667,194.467,131.383,265.2,178.917,159.6,153.417,127.117,188.85,134.7,277.917
"Caddo",177.883,209.317,21.883,352.917,244.917,200.067,15.733,0,83.167,247,269.65,132.667,171.617,174.1,40.083,125.117,146.4,71.833,145.9,213.567,200.933,194.583,282.25,218.433,91.25,100.117,60.317,247.633,270.25,306.8,135.95,118.583,144.233,238.517,34.417,235.283,186.933,46.833,99.417,129.767,241.933,333.65,62.733,239.15,192.8,168.25,109.833,122.9,93,69.25,125.25,119.75,193.783,124.55,140.767,110.317,185.783,221.167,188.067,119.917,51.9,46.867,107.3,53.217,261.867,231.783,92.35,182.45,133.4,273.05,180.917,147.567,141.383,124.95,185,127.383,271.983
"Canadian",95.4,188.317,63.983,329.75,221.75,176.9,97.283,85,0,223.833,234.867,109.5,148.45,114.033,63.883,189.833,199.85,34.267,91.617,190.4,128.883,130.25,259.083,183.35,115.467,181.65,84.533,248.35,247.083,283.633,53.45,64.883,121.067,203.733,106.9,185.383,163.767,36.95,52.85,76.083,264.017,310.483,144.267,215.983,169.633,85.767,137.65,56,10.5,116.85,42.75,133.4,121.733,68.55,117.6,56.033,125.7,138.683,133.3,148.933,42.733,103.767,94.867,68.317,238.7,149.3,78.65,102.483,179.1,354.6,221.65,87.033,58.883,135.467,180.2,104.217,248.817
"Carter",235.767,59.883,235.683,155.75,14.483,91.45,249.767,244.95,222.4,0,157.867,130.567,137.75,212.85,217.167,148.3,128.233,238.25,187.85,47.967,251.25,243.817,76.8,160.767,307.05,185.917,276.117,24.517,84.033,133.333,224.983,269.467,111.617,185.167,223.7,216.85,115.933,229.55,256.833,280.65,65.817,144.967,206.717,116.517,157.883,237.433,142.85,260.583,215.133,189.35,228.367,140.2,244.1,187.267,112.767,201.433,225.117,271.15,194.417,154.017,235.333,207.717,146.65,259.9,39.817,283.1,165.45,232.767,143.317,439.133,90.733,196.8,229.983,139.217,87.35,129.217,98.517
"Cherokee",191.217,131.6,259.083,134.383,154.967,83.217,275.983,268.35,233.083,157.05,0,151,107.717,133.983,240.55,223.3,205.617,255.617,158.033,112.817,190.683,160.433,121.85,56.833,324.417,262.483,293.483,181.567,109.867,76.5,191.483,271.033,142.317,44.35,250.45,86.7,98.367,246.933,274.217,282.233,222.883,132.717,233.467,41.233,90.25,192.883,169.6,262.15,226.2,216.1,197.817,166.933,179.467,194.1,143.283,187.483,146.233,226.6,112.817,183.533,252.7,231.1,170.033,277.267,149.483,224.35,188.833,188.217,216.517,489.2,195.117,150.917,188.767,165.967,162.25,152.617,84.7
"Choctaw",121.483,97.183,121.933,238.633,130.617,85.767,138.833,131.2,108.65,132.7,151.1,0,55.033,98.567,103.417,113.417,114.533,124.483,73.567,99.267,136.967,129.533,167.95,99.883,193.283,144.1,162.367,157.233,155.967,192.517,110.683,155.7,29.933,119.967,113,120.567,69.917,115.8,143.083,166.9,178.7,219.367,117.933,124.867,74.033,123.15,54.067,146.817,101.383,84.817,114.617,51.417,129.8,73.5,26.467,87.683,110.817,156.867,86.833,68,121.567,93.95,32.883,146.133,147.583,168.817,51.7,118.483,106.633,373.667,136.333,82.517,115.7,50.433,94.883,8.567,157.7
"Cimarron",147.033,101.217,161.267,204.6,134.65,52,175.533,170.533,147.983,136.733,109.95,55.9,0,98.75,142.733,119.517,120.633,163.817,99.117,97.017,162.517,155.083,133.917,55.167,232.617,158.7,201.683,161.25,121.917,158.467,136.233,195.033,37.367,75.9,149.45,99.567,26.45,155.133,182.417,206.233,184.8,185.317,132.467,83.167,24.433,148.7,68.6,186.15,140.717,115.1,150.3,65.95,155.367,112.833,38.333,125.3,111,182.417,77.133,82.533,160.9,133.283,72.217,185.467,137.917,194.367,91.017,144.033,112.733,388.2,142.433,108.067,141.25,64.967,100.983,54.8,123.65
"Cleveland",71.85,178.35,154.583,256.383,211.783,144.75,187.883,175.6,113.717,213.867,135.083,97.467,98.867,0,145.95,194.767,195.883,136.25,38.667,180.433,86,67.533,207.85,83.567,205.05,225.8,174.117,238.4,195.85,202.95,72.117,151.667,111.633,103.95,173.317,85.917,119.2,127.567,154.833,162.867,260.05,237.1,199.633,131.4,85.617,73.517,135.767,142.783,106.833,158.783,78.45,133.1,78.85,75.3,108.167,68.117,12.25,107.233,24.4,149.7,133.333,154.283,109.867,157.9,230.667,119.183,101.667,68.85,187.983,445.2,217.683,31.55,69.4,132.133,176.233,101.083,175.433
