"","Baker","Benton","Clackamas","Clatsop","Columbia","Coos","Crook","Curry","Deschutes","Douglas","Gilliam","Grant","Harney","Hood River","Jackson","Jefferson","Josephine","Klamath","Lake","Lane","Lincoln","Linn","Malheur","Marion","Morrow","Multnomah","Polk","Sherman","Tillamook","Umatilla","Union","Wallowa","Wasco","Washington","Wheeler","Yamhill"
"Baker",0,621.969,492.553,631.126,533.904,850.704,314.773,970.392,359.284,773.128,329.33,559.698,255.016,388.9,647.86,586.965,675.675,590.059,464.237,663.515,653.663,598.99,253.563,593.588,263.707,495.773,584.446,343.675,605.026,218.039,57.434,143.846,329.42,520.286,625.692,545.595
"Benton",623.046,0,134.874,269.561,182.558,217.928,232.445,337.616,202.178,186.446,378.21,66.78,437.825,233.827,338.995,38.597,293.818,348.918,473.292,76.833,394.747,18.647,531.295,46.747,442.13,127.95,47.235,320.973,147.548,427.377,575.819,626.698,312.928,155.657,183.016,92.907
"Clackamas",492.411,134.631,0,171.576,70.957,363.366,219.317,483.054,230.835,285.79,247.575,72.36,457.626,103.192,438.339,99.627,393.162,448.262,522.427,176.177,494.091,111.652,551.096,106.25,311.495,23.46,97.108,190.338,142.079,296.742,445.184,496.063,182.293,57.339,162.745,61.169
"Clatsop",631.527,268.893,171.838,0,107.017,378.432,381.303,498.12,392.821,420.052,386.691,206.622,619.612,242.308,572.601,233.889,527.424,582.524,684.413,310.439,628.353,245.914,713.082,240.512,450.611,164.464,231.37,329.454,104.728,435.858,584.3,635.179,321.409,125.426,68.443,144.711
"Columbia",534.711,182.226,71.528,107.104,0,410.961,284.487,530.649,296.005,333.385,289.875,119.955,522.796,145.492,485.934,147.222,440.757,495.857,620.231,223.772,541.686,159.247,616.266,153.845,353.795,55.558,144.703,232.638,134.665,339.042,487.484,538.363,224.593,48.18,155.331,83.54
"Coos",851.272,217.978,363.1,378.294,410.784,0,419.577,128.667,389.31,137.308,606.436,295.006,619.103,462.053,268.705,266.823,223.528,386.1,508.81,192.908,324.457,259.413,712.573,274.973,670.356,356.176,261.949,549.199,274.515,655.603,804.045,854.924,541.154,383.883,309.983,356.476
"Crook",314.738,232.489,219.687,381.606,284.384,419.994,0,539.682,44.712,337.981,176.701,238.89,240.565,221.874,333.288,233.34,361.103,275.487,336.304,232.729,339.091,225.595,334.035,226.488,221.598,246.253,261.601,167.975,355.506,315.679,372.031,441.027,181.683,270.766,376.172,280.856
"Curry",970.982,337.688,482.81,498.004,530.494,128.83,539.287,0,509.02,223.845,726.146,414.716,717.653,581.763,247.203,386.533,201.435,364.598,518.221,312.618,302.955,379.123,811.123,394.683,790.066,475.886,381.659,668.909,394.225,775.313,923.755,974.634,660.864,503.593,429.693,476.186
"Deschutes",359.55,202.173,230.704,392.623,295.401,389.678,45,519.477,0,295.943,193.363,208.574,239.114,232.891,291.25,203.024,319.065,233.449,294.266,202.413,297.053,195.279,332.584,196.172,262.247,269.744,231.285,178.992,327.026,326.696,475.138,526.017,192.7,297.451,362.494,270.044
"Douglas",773.02,186.038,284.848,419.535,332.532,137.522,341.325,223.939,295.503,0,528.184,216.754,501.479,383.801,155.03,188.571,109.853,272.425,371.859,114.656,210.782,181.161,594.949,196.721,592.104,277.924,225.715,470.947,335.291,577.351,725.793,776.672,462.902,305.631,370.759,278.224
