"","Baker","Benton","Clackamas","Clatsop","Columbia","Coos","Crook","Curry","Deschutes","Douglas","Gilliam","Grant","Harney","Hood River","Jackson","Jefferson","Josephine","Klamath","Lake","Lane","Lincoln","Linn","Malheur","Marion","Morrow","Multnomah","Polk","Sherman","Tillamook","Umatilla","Union","Wallowa","Wasco","Washington","Wheeler","Yamhill"
"Baker",0,340.933,263.567,358.7,303.317,489.55,226.25,583.683,261.933,414.35,187.567,304.3,176.317,207.567,461.833,318.883,476.55,403.933,302.083,357.617,453.85,325.55,185.983,324.467,153.85,266.833,326.083,192.467,340.667,120.133,42.15,98.283,180.35,287.95,362.45,312.917
"Benton",341.383,0,81.583,189.65,125.3,179.833,185.833,273.967,160.917,108.217,228.85,49.4,304.567,138.55,190.983,30.467,166.233,224.983,302.483,51.5,231.233,19.65,390.883,38.35,258.55,82,42.35,188.917,120.267,244.283,318.333,359.483,182.967,102.983,153.3,82.033
"Clackamas",262.617,81.267,0,118.067,60.517,229.883,169.267,324.017,177.733,154.667,150.083,44.617,315.083,59.783,237.433,59.2,212.683,271.433,354.033,97.95,277.7,65.883,401.417,64.8,179.783,24.267,66.417,110.133,97.883,165.517,239.567,280.717,104.2,45.167,119.667,55.867
"Clatsop",356.617,190.05,116.767,0,83.783,342.7,273.417,436.833,281.883,263.45,244.083,153.4,419.233,153.783,346.217,167.983,321.467,380.217,458.183,206.733,386.483,174.667,505.567,173.583,273.783,113.3,175.2,204.15,98.483,259.517,333.567,374.717,198.2,106.867,63.75,124.2
"Columbia",303.933,124.917,61.917,84.767,0,273.533,220.733,367.667,229.2,198.333,191.4,88.283,366.55,101.1,281.1,102.867,256.35,315.1,392.6,141.617,321.35,109.533,452.883,108.467,221.1,52.4,110.067,151.467,103.817,206.833,280.883,322.033,145.517,50.95,125.6,75.25
"Coos",489.033,181.417,229.233,343.783,272.95,0,308.467,104.95,283.55,107.433,376.483,197.033,416.183,286.183,178.533,178.117,153.783,262.15,362.883,141.967,218.783,177.633,502.517,186,406.2,229.65,215.85,336.55,246.15,391.917,465.983,507.133,330.617,250.633,279.183,242.983
"Crook",226.75,187.817,169.583,276.3,220.917,310.2,0,404.333,37.35,234.9,130.067,181.783,151.183,147.133,237.233,183.867,251.967,179.333,213.65,178.083,229.267,182.517,237.517,177.383,167.75,184.433,201.483,114.283,258.267,205.383,267.8,321.517,122.733,205.55,280.05,225.4
"Curry",583.333,275.717,323.55,438.1,367.267,104.767,402.767,0,377.867,176.317,470.8,291.35,502.217,380.5,190.5,272.417,161.9,274.117,379.617,236.267,230.75,271.95,588.55,280.317,500.5,323.967,310.167,430.867,340.467,486.233,560.3,601.433,424.933,344.95,373.5,337.3
"Deschutes",261.617,162.85,178.083,284.783,229.4,285.25,36.033,376.3,0,200.9,147.8,156.833,147.75,155.617,203.25,158.917,217.983,145.35,179.667,153.133,195.267,157.55,234.083,152.417,197.317,189.433,176.517,122.767,249.967,213.883,287.933,329.083,131.233,210.417,283,202.783
"Douglas",413.15,107.667,153.35,261.417,197.067,107.2,232.583,177.017,201.55,0,300.617,121.167,334.55,210.317,88.267,102.233,63.517,171.883,256.383,66.083,128.533,101.75,420.883,110.117,330.317,153.767,140.333,260.683,215.167,316.05,390.1,431.25,254.733,174.75,248.183,167.117
