"","Adams","Allegheny","Armstrong","Beaver","Bedford","Berks","Blair","Bradford","Bucks","Butler","Cambria","Cameron","Carbon","Centre","Chester","Clarion","Clearfield","Clinton","Columbia","Crawford","Cumberland","Dauphin","Delaware","Elk","Erie","Fayette","Forest","Franklin","Fulton","Greene","Huntingdon","Indiana","Jefferson","Juniata","Lackawanna","Lancaster","Lawrence","Lebanon","Lehigh","Luzerne","Lycoming","McKean","Mercer","Mifflin","Monroe","Montgomery","Montour","Northampton","Northumberland","Perry","Philadelphia","Pike","Potter","Schuylkill","Snyder","Somerset","Sullivan","Susquehanna","Tioga","Union","Venango","Warren","Washington","Wayne","Westmoreland","Wyoming","York"
"Adams",0,49.767,235.234,186.853,55.627,305.236,37.013,235.731,388.045,142.328,28.484,263.352,69.961,190.359,379.192,159.531,111.165,163.835,258.651,209.829,173.522,219.756,415.679,241.424,305.675,209.245,149.704,208.213,122.107,188.584,88.832,67.446,169.707,374.384,363.42,267.49,174.981,259.955,386.439,347.093,225.388,288.361,205.273,197.672,316.715,243.95,262.417,348.808,250.733,232.372,374.547,89.164,148.805,373.466,94.761,48.596,300.563,215.169,314.659,133.945,265.847,231.41,171.153,351.696,84.597,349.336,241.365
"Allegheny",50.956,0,189.023,195.215,50.637,300.246,9.246,227.454,383.055,146.476,28.563,217.141,42.194,184.045,374.202,187.781,94.255,172.197,253.661,163.618,191.061,209.175,369.468,231.929,309.823,163.034,103.493,212.361,128.331,142.373,51.036,71.594,187.246,369.394,317.209,262.5,173.949,254.965,340.228,300.882,179.177,292.509,209.421,151.461,270.504,197.739,216.206,343.818,204.522,186.161,369.557,87.923,102.594,368.476,48.55,94.578,254.352,210.179,268.448,87.734,269.995,221.915,188.692,346.706,105.605,303.125,236.375
"Armstrong",229.209,181.165,0,397.048,225.787,169.397,186.343,213.588,247.793,315.899,206.816,61.884,219.291,121.632,289.628,239.854,151.261,350.45,185.614,32.058,369.314,122.459,214.211,284.002,419.011,99.103,85.324,288.619,306.584,65.727,157.814,249.847,365.499,284.633,161.952,196.94,352.202,156.15,184.971,111.392,22.309,401.697,318.146,111.401,104.432,13.643,60.949,197.165,49.265,75.871,284.796,169.144,103.569,283.715,139.117,272.831,88.28,135.128,102.376,100.503,379.183,273.988,366.945,268.649,283.858,147.868,176.598
"Beaver",186.527,195.637,402.428,0,226.359,475.333,210.878,283.52,558.142,49.323,175.026,430.546,243.826,360.456,549.289,160.73,249.242,27.348,428.748,377.023,131.991,389.853,582.873,239.314,200.456,355.115,318.646,129.919,105.828,355.778,251.491,145.929,119.336,544.481,530.614,437.587,66.256,430.052,528.201,514.287,392.582,183.142,72.346,358.108,483.909,411.144,429.611,518.905,417.927,378.242,544.644,271.452,294.675,543.563,240.631,166.117,467.757,385.266,481.853,301.7,160.628,225.603,78.637,521.793,105.487,516.53,411.462
"Bedford",54.761,48.617,231.039,225.525,0,258.113,44.164,269.47,340.922,206.11,82.749,259.157,48.403,143.236,332.069,229.797,136.271,202.507,211.528,205.634,185.545,172.633,386.17,273.945,368.642,159.505,145.509,298.587,134.13,184.389,95.18,125.78,181.73,327.261,359.225,220.367,187.004,212.832,310.981,342.898,221.193,351.328,268.24,140.888,312.52,239.755,258.222,301.685,246.538,182.632,327.424,129.939,144.61,326.343,90.566,63.471,296.368,168.046,310.464,129.75,328.814,263.931,183.176,304.573,136.156,345.141,194.242
"Berks",305.577,299.433,165.278,475.775,258.801,0,294.98,442.73,116.091,456.36,333.565,126.034,240.992,152.602,107.238,403.057,306.028,452.757,70.45,184.012,435.795,114.025,164.995,447.205,582.214,167.295,242.174,451.822,384.38,184.25,249.104,376.596,431.98,102.43,172.846,55.384,437.254,48.671,89.806,156.07,187.382,564.9,481.349,174.211,200.918,159.32,122.331,80.51,127.702,168.139,102.593,309.864,223.609,101.512,279.473,313.721,253.353,104.981,267.449,263.706,542.386,437.191,433.426,79.742,386.406,158.313,92.586
"Blair",37.629,9.214,192.362,210.724,46.282,295.891,0,230.793,378.7,161.985,44.072,220.48,34.88,181.014,369.847,191.12,97.594,187.706,249.306,166.957,223.323,210.411,372.807,235.268,325.332,166.373,106.832,239.885,143.84,145.712,53.274,87.103,219.508,365.039,320.548,258.145,189.458,250.61,343.567,304.221,182.516,308.018,224.93,154.8,273.843,201.078,219.545,339.463,207.861,189.5,365.202,91.262,105.933,364.121,51.889,101.249,257.691,205.824,271.787,91.073,285.504,225.254,220.954,342.351,121.114,306.464,232.02
"Bradford",236.435,226.69,223.892,284.631,271.312,441.725,231.868,0,501.102,203.482,209.518,315.193,264.816,303.137,515.681,129.206,133.713,306.124,391.422,198.667,377.765,328.267,479.495,67.254,152.878,282.126,203.293,151.089,280.002,240.425,219.698,198.799,365.11,510.873,393.271,402.748,312.03,385.912,438.28,367.074,197.832,167.019,205.729,270.553,271.985,228.257,314.258,450.474,302.574,305.253,511.036,156.099,220.53,509.955,179.806,280.057,228.685,340.936,208.069,186.347,153.593,57.24,324.411,488.185,254.153,369.196,382.406
"Bucks",386.865,380.721,243.29,557.063,340.089,114.668,376.268,499.88,0,537.648,414.853,214.519,322.28,233.89,67.8,460.207,371.614,534.045,155.905,262.024,517.083,195.313,135.239,504.355,639.364,248.583,305.677,508.972,465.668,262.262,330.392,457.884,513.268,43.503,163.788,140.839,518.542,153.282,82.382,147.012,265.394,622.05,538.499,255.499,245.132,237.332,194.546,62.232,222.95,249.427,62.968,389.497,304.897,61.887,359.47,395.009,331.365,186.269,345.461,320.856,599.536,494.341,514.714,46.821,467.694,149.255,178.041
"Butler",142.787,147.077,323.643,48.989,206.962,455.936,162.318,204.735,538.745,0,123.908,351.761,195.266,341.059,529.892,81.945,170.457,86.695,409.351,298.238,154.798,370.456,504.088,177.191,165.601,306.555,239.861,67.796,86.431,276.993,202.931,77.573,142.143,525.084,451.829,418.19,89.063,410.655,474.848,435.502,313.797,148.287,65.199,294.982,405.124,332.359,350.826,487.042,339.142,329.682,525.247,155.286,257.098,524.166,192.071,146.72,388.972,365.869,403.068,222.915,125.773,163.48,101.444,502.396,76.532,437.745,392.065
