"","Adams","Allegheny","Armstrong","Beaver","Bedford","Berks","Blair","Bradford","Bucks","Butler","Cambria","Cameron","Carbon","Centre","Chester","Clarion","Clearfield","Clinton","Columbia","Crawford","Cumberland","Dauphin","Delaware","Elk","Erie","Fayette","Forest","Franklin","Fulton","Greene","Huntingdon","Indiana","Jefferson","Juniata","Lackawanna","Lancaster","Lawrence","Lebanon","Lehigh","Luzerne","Lycoming","McKean","Mercer","Mifflin","Monroe","Montgomery","Montour","Northampton","Northumberland","Perry","Philadelphia","Pike","Potter","Schuylkill","Snyder","Somerset","Sullivan","Susquehanna","Tioga","Union","Venango","Warren","Washington","Wayne","Westmoreland","Wyoming","York"
"Adams",0,36.4,142.15,128.733,49.35,182.383,37.6,197.833,231.333,103.45,23.683,147.517,69.2,140.6,220.867,122.217,91.25,115.217,158.45,119.867,115.733,138.05,235.467,192.233,193,127.267,87.567,152.017,83.567,106.267,80.6,51.083,111.1,222.95,200.567,164.833,118.617,161.55,217.067,191.167,138.45,179.767,138.683,119.917,198.583,139.167,149.75,215.717,142.75,145.7,219.983,75.3,90.267,218.217,57.817,36.067,175.533,136.517,179.7,85.3,171.933,185.367,109.85,208.483,74.117,196.05,149.95
"Allegheny",38.367,0,116.567,135.45,33.967,167,11.633,173.5,215.933,109.467,24.1,121.917,43.217,120.667,205.467,123.033,75.683,121.933,143.05,94.283,134.717,123.933,209.867,182.767,199.017,101.683,61.967,158.033,95.717,80.667,46.3,57.1,130.083,207.55,174.967,149.433,125.533,146.15,191.483,165.567,112.85,185.783,144.7,94.333,172.983,113.583,124.167,200.333,117.167,120.117,204.583,70.35,64.683,202.817,32.217,61.517,149.95,121.117,154.117,59.717,177.95,175.883,128.833,193.083,80.35,170.45,134.55
"Armstrong",137.617,110.05,0,222,131.483,141.917,111,174.45,157.8,190.85,123.35,43.283,142.583,99.767,164.5,139.033,95.517,221.167,138.033,32.5,233.967,93.817,131.233,198.767,232.283,83.083,58.467,177.767,194.95,41.617,113.55,156.35,229.333,166.817,96.333,140.65,224.767,115.6,112.85,89.1,20.667,219.05,177.417,98.55,78.133,12.933,45.533,125.683,38.533,63.967,163.85,110,74.15,162.083,85.867,160.767,55.1,101.933,59.267,69.667,211.217,191.9,228.083,152.617,179.6,91.833,132.567
"Beaver",129.7,135.833,225.717,0,131.483,260.35,141.7,190.267,309.3,59.85,124.033,231.067,173.3,218.567,298.817,93.267,140.033,19.633,236.417,203.433,84,216,319.017,171.6,112.95,226.7,172.467,76.783,72.1,189.817,180.05,111.533,77.2,300.917,284.117,242.8,45.083,239.517,300.7,274.717,222,99.717,52.883,214.767,282.133,222.733,233.317,293.683,226.317,245.133,297.933,155.933,189.7,296.167,157.25,97.567,259.1,214.467,263.267,178.55,91.883,157.933,54.283,286.45,73.817,279.6,227.9
"Bedford",50.633,34,136.65,130.883,0,142.433,28.25,193.583,191.383,126.883,50.233,142,44.65,100.65,180.9,143.117,95.767,117.367,118.5,114.367,115.85,98.083,225.85,202.85,200.533,110.083,82.05,164.917,83.683,100.75,70.767,83.233,111.217,182.983,195.05,124.883,118.733,121.6,182.783,185.65,132.933,187.3,146.217,96.85,193.067,133.667,144.25,175.767,137.25,128.517,180.017,90.433,84.767,178.25,52.3,40.117,170.033,96.55,174.2,79.8,179.467,195.983,109.967,168.533,79.183,190.55,109.983
"Berks",184.517,167.9,137.85,261.683,143.733,0,162.15,285.35,77.533,257.683,184.133,112.75,145.783,102.683,67.05,234.867,191.1,248.167,44.683,146.767,246.65,68.167,116.033,294.6,328.117,100.633,149.267,273.6,214.483,143.217,152.6,217.117,242.033,69.133,108.783,39.717,249.55,49.7,72.95,101,157.567,314.883,273.25,102.65,178.033,134.8,110.917,65.933,120.833,105.55,66.167,197.667,130.067,64.4,163.15,170.917,191.983,64.683,196.15,165.5,307.05,287.733,240.767,54.683,210,105.883,61.383
"Blair",38.433,11.783,115.817,140.75,28.85,161.883,0,172.75,210.833,114.767,29.4,121.167,34.517,120.1,200.367,122.283,74.933,127.217,137.95,93.533,135.317,117.55,209.117,182.017,204.317,100.933,61.217,161.017,101,79.917,45.617,62.4,130.683,202.45,174.217,144.333,130.817,141.05,190.733,164.817,112.1,191.083,150,93.583,172.233,112.833,123.417,195.233,116.417,119.367,199.483,69.6,63.933,197.717,31.467,59.567,149.2,116.017,153.367,58.967,183.25,175.15,129.433,187.983,85.633,169.717,129.45
"Bradford",197.467,172.3,172.817,191.45,193.733,287.367,173.25,0,316.35,160.283,180.467,201.833,204.85,218.3,325.85,107.517,109.65,201.25,265.783,165.367,245.65,221.567,269.817,54.6,94.017,199.3,143.25,122.467,208.567,160.6,176.367,162.883,238.85,327.933,213.517,268.4,206.733,261.933,271.4,240.633,153.95,96.65,146.867,191.95,155.4,176.333,204.083,284.25,197.083,217.733,324.967,126.717,158.167,323.2,142.767,220.617,129.833,229.683,114.933,149.317,123.983,47.733,215.95,313.467,204.583,241.617,260.317
"Bucks",233.517,216.9,153.983,310.683,192.733,78.617,211.15,315.067,0,306.683,233.133,138.65,194.783,151.683,55.25,264.6,221.067,297.167,99.65,162.9,295.65,117.167,107.583,324.333,357.85,149.633,184.033,303.317,263.483,159.367,201.6,266.117,291.017,54.983,111.5,94.683,298.533,101.067,78.167,103.733,173.7,344.617,302.967,151.65,184.5,150.95,127.567,70.583,146.4,154.55,54.6,235.567,179.067,52.833,211.433,219.917,208.133,113.683,212.283,195.233,336.783,317.45,289.767,43.367,258.983,108.617,116.35
"Butler",101.683,108.067,195.783,58.033,128.45,257.317,113.95,160.35,306.267,0,91.5,201.15,145.533,215.533,295.8,63.333,110.117,66.55,233.383,173.5,109.417,212.983,289.1,150.083,96.983,198.95,142.55,55.267,69.083,159.9,152.3,62.517,102.617,297.883,254.2,239.767,70.5,236.483,270.717,244.8,192.083,83.75,42.667,191.6,252.217,192.817,203.4,283.55,196.4,217.383,294.917,125.583,157.483,293.15,129.483,94.533,229.183,211.45,233.333,148.617,75.917,136.417,79.7,283.417,73.45,249.683,224.883
"Cambria",23.45,23.4,129.15,121.55,49.75,182.783,29.267,180.383,231.733,91.683,0,134.5,60.867,133.25,221.25,110.433,73.783,108.017,158.85,106.867,120.817,136.517,222.467,177.5,181.233,114.267,74.55,140.233,81.8,93.267,67.617,39.3,116.183,223.333,187.55,165.233,111.617,161.95,204.067,178.167,125.45,167.983,126.9,106.917,185.567,126.167,136.75,216.117,129.75,132.7,220.367,57.85,77.267,218.6,44.817,46.617,162.533,136.9,166.7,72.3,160.167,170.633,114.933,208.883,66.433,183.05,150.333
"Cameron",149.167,121.583,39.967,233.55,143.017,112.25,122.533,201.05,137.467,202.383,134.9,0,155.8,72.083,144.167,150.583,107.05,232.717,110.35,48.883,245.517,66.117,110.9,210.317,243.833,55.383,70.017,189.3,206.5,45.35,120.017,167.883,240.883,146.483,76,112.967,236.317,85.933,92.517,66.6,59.683,230.6,188.95,70.4,92.567,37.4,15.583,105.35,7.75,36.283,143.517,121.55,84.583,141.75,97.417,172.317,94.117,74.233,98.267,81.217,222.767,203.433,239.617,132.283,191.133,71.483,104.867
"Carbon",69.167,42.517,146.55,171.483,43.033,145.667,33.15,203.483,194.617,145.5,60.133,155.15,0,103.883,184.15,153.017,105.667,157.95,121.733,124.267,155.883,101.333,229.1,212.75,235.05,101.333,91.95,191.75,123.717,110.65,39.65,93.117,151.25,186.233,200.317,128.117,161.55,124.833,186.017,190.933,142.833,221.8,180.717,90.167,202.967,143.567,154.15,179.017,148.833,119.767,183.267,100.333,92.067,181.5,62.2,80.15,179.933,99.8,184.1,89.7,213.983,205.867,150,171.767,116.367,195.817,113.233
"Centre",143.25,119.45,95.433,220.417,102.45,103.317,120.867,217.483,153.967,218.133,132.767,69.95,104.5,0,141.783,167,123.233,206.883,79.167,104.783,205.383,37.5,174.917,226.733,260.267,38.183,81.4,205.733,173.2,103.867,84.75,165.767,200.75,143.867,145.967,84.333,208.267,77.883,131.85,136.567,115.15,247.017,205.383,29.383,154.05,92.1,85.533,124.833,63.633,49.833,140.9,129.8,62.2,139.133,95.283,129.633,149.567,45.617,153.733,97.633,239.2,219.867,199.5,129.4,168.717,141.45,70.667
"Chester",223.633,207.017,160.183,300.8,182.85,68.733,201.267,324.45,54.75,296.8,223.25,144.85,184.9,141.8,0,273.983,230.217,287.283,89.767,169.1,284.817,107.283,127.433,333.717,367.233,139.75,188.383,312.717,253.6,165.567,191.717,256.233,281.133,32.967,117.7,88.467,288.65,91.183,84.367,109.933,179.9,354,312.367,141.767,190.7,157.15,133.767,77.35,152.6,144.667,23.5,236.783,169.183,21.9,202.267,210.033,214.333,103.8,218.483,204.617,346.167,326.85,279.883,23.267,249.1,114.817,106.467
"Clarion",120.633,120,144.183,94.017,141.433,235.083,120.95,107.15,264.067,62.85,110.433,149.55,152.55,166,273.55,0,58.517,107.233,213.483,121.9,149.883,169.267,237.5,93.417,104.3,147,90.95,43.3,106.7,108.3,124.067,81.467,142.95,275.633,202.6,216.1,110.833,209.65,219.1,193.2,140.483,91.067,49.417,139.65,200.617,141.2,151.783,231.95,144.783,165.433,272.667,74.417,105.883,270.9,90.467,132.167,177.567,177.383,181.733,97.017,83.233,86.55,120.033,261.167,106.717,198.083,208.017
"Clearfield",90.517,73.133,100.583,141.7,94.567,192.383,74.083,108.183,220.45,110.533,73.5,105.933,105.683,123.3,230.867,58.717,0,153.633,170.8,78.3,177.433,126.567,193.9,117.433,151.983,104.317,47.333,97.45,138.417,64.7,77.2,79.433,172.8,232.95,158.983,173.417,157.233,166.95,175.5,149.6,96.883,138.733,97.1,96.967,157,97.6,108.183,188.35,101.183,122.75,229.983,19.833,62.267,228.217,43.6,113.667,133.967,134.683,138.133,54.917,130.917,110.567,166.45,218.483,123.05,154.483,165.317
"Clinton",116.467,122.617,228.367,20.217,118.25,247.133,128.483,201.717,296.083,68.05,110.817,233.717,160.083,205.35,285.6,108.8,153.533,0,223.2,206.083,70.767,202.783,321.683,183.05,124.4,213.483,173.767,88.217,58.883,192.483,166.833,98.3,63.967,287.683,286.767,229.583,31.85,226.3,287.483,277.383,224.667,111.15,64.317,201.55,284.783,225.383,235.967,280.467,228.967,231.917,284.717,159.583,176.483,282.95,144.033,84.35,261.75,201.25,265.917,171.517,103.333,169.383,41.067,273.233,60.6,282.267,214.683
"Columbia",159.617,143,129.567,236.783,118.833,45.683,137.25,263.733,98.117,232.767,159.233,104.067,120.883,77.717,87.65,213.267,169.5,223.267,0,138.917,221.75,46.567,149.2,273,306.517,79.033,127.667,252,189.583,135.367,131,192.217,217.117,89.733,141.45,19.967,224.633,49.933,106.133,132.067,149.267,293.283,251.65,81.05,188.183,126.233,119.667,99.117,97.767,83.95,86.767,176.067,108.467,85,141.55,146.017,183.7,43.083,187.867,143.9,285.45,266.133,215.867,75.267,185.083,136.95,21.033
"Crawford",118.783,91.2,33.4,203.167,112.633,146.2,92.15,164.55,162.083,172.017,104.517,47.567,123.75,104.917,168.783,120.2,76.667,202.333,143.183,0,215.133,98.95,135.533,179.933,213.45,88.217,39.633,158.933,176.117,13.133,94.717,137.517,210.5,171.117,100.617,145.8,205.933,119.883,117.133,91.233,33.283,200.217,158.583,90.033,93.417,33.05,49.817,129.983,42.817,69.117,168.133,91.167,56.25,166.367,67.033,141.933,70.383,107.067,74.55,50.833,192.383,173.05,209.25,156.9,160.75,96.117,137.7
"Cumberland",116.283,133.367,239.117,83.2,116.417,245.283,134.833,245.333,294.233,108.467,121.567,244.483,156.867,203.5,285.417,149.633,179.867,69.683,221.35,216.833,0,200.933,328.717,226.667,167.467,212.933,184.533,131.85,58.783,203.233,177.583,108.1,12.117,285.85,297.533,227.733,52.933,224.45,285.633,288.133,235.417,154.233,113.15,199.7,295.55,236.133,246.717,278.617,239.717,231.367,282.867,172.65,187.233,281.117,154.783,82.5,272.5,199.4,276.667,182.267,146.4,213,40.033,271.383,60.567,293.017,212.85
