"","Adjuntas","Aguada","Aguadilla","Aguas Buenas","Aibonito","Anasco","Arecibo","Arroyo","Barceloneta","Barranquitas","Bayamon","Cabo Rojo","Caguas","Camuy","Canovanas","Carolina","Catano","Cayey","Ceiba","Ciales","Cidra","Coamo","Comerio","Corozal","Culebra","Dorado","Fajardo","Florida","Guanica","Guayama","Guayanilla","Guaynabo","Gurabo","Hatillo","Hormigueros","Humacao","Isabela","Jayuya","Juana Diaz","Juncos","Lajas","Lares","Las Marias","Las Piedras","Loiza","Luquillo","Manati","Maricao","Maunabo","Mayaguez","Moca","Morovis","Naguabo","Naranjito","Orocovis","Patillas","Penuelas","Ponce","Quebradillas","Rincon","Rio Grande","Sabana Grande","Salinas","San German","San Juan","San Lorenzo","San Sebastian","Santa Isabel","Toa Alta","Toa Baja","Trujillo Alto","Utuado","Vega Alta","Vega Baja","Vieques","Villalba","Yabucoa","Yauco"
"Adjuntas",0,71.592,70.741,114.411,74.644,119.012,46.599,87.818,65.113,80.842,109.299,100.342,106.148,61.013,145.115,138.897,110.609,89.953,169.299,84.59,98.167,58.862,108.301,101.275,-1,100.332,176.752,54.163,72.452,82.104,55.551,124.589,117.829,58.702,98.364,139.537,82.088,24.895,35.487,124.539,93.697,32.66,60.934,133.031,163.787,175.641,70.118,58.039,108.572,107.664,62.068,93.343,157.441,114.587,62.569,94.105,18.019,25.913,72.1,129.27,164.192,79.481,61.25,89.219,138.526,116.299,47.692,55.411,99.499,100.262,125.627,20.94,88.793,82.118,-1,45.89,117.589,63.028
"Aguada",71.288,0,7.283,164.786,152.127,18.223,58.944,165.301,82.711,158.325,126.897,39.237,160.804,45.974,158.697,152.479,128.207,167.436,198.765,102.188,175.65,136.345,143.627,118.873,-1,117.93,189.615,91.596,68.59,159.587,76.96,137.993,163.649,47.842,33.281,185.357,27.684,112.296,112.97,170.359,47.301,38.691,39.334,178.851,170.133,181.987,87.716,49.137,186.055,24.884,10.051,110.941,203.261,132.185,127.992,171.588,88.651,97.363,34.658,10.161,170.538,52.108,138.733,46.752,141.325,169.772,24.816,122.726,117.097,117.86,148.097,89.313,106.391,99.716,-1,123.373,199.206,68.971
"Aguadilla",70.731,7.521,0,158.079,156.425,22.521,52.237,169.599,76.004,137.261,120.19,43.535,154.097,39.267,151.99,145.772,121.5,171.734,192.058,95.481,174.792,140.643,136.92,112.166,-1,111.223,182.908,84.889,72.888,163.885,81.258,131.286,156.942,41.135,37.579,178.65,20.977,105.589,117.268,163.652,51.599,38.134,38.777,172.144,163.426,175.28,81.009,53.435,190.353,29.182,9.494,104.234,196.554,125.478,121.285,175.886,92.949,101.661,27.951,17.415,163.831,56.406,143.031,51.05,134.618,163.065,24.259,127.024,110.39,111.153,141.39,82.606,99.684,93.009,-1,127.671,192.499,73.269
"Aguas Buenas",112.467,164.721,158.271,0,32.318,178.976,105.935,72.337,85.149,34.327,27.517,160.306,9.302,119.877,45.338,39.12,41.104,29.641,69.522,90.583,13.507,75.084,18.432,65.034,-1,56.459,76.975,98.167,132.416,66.623,115.515,15.636,18.052,117.566,158.328,39.76,140.952,126.031,81.765,24.762,153.661,132.862,161.136,33.254,64.01,75.864,79.866,161.481,61.508,167.628,158.703,86.929,57.664,28.045,50.419,52.992,114.226,94.31,130.964,189.234,64.415,139.445,56.244,149.183,38.749,24.175,147.894,71.966,56.218,54.411,25.85,132.008,64.585,66.732,-1,92.168,53.609,122.992
"Aibonito",73.495,151.617,156.494,32.824,0,140.004,96.234,48.15,75.448,12.573,78.133,121.334,41.045,110.176,80.012,73.794,75.778,20.342,104.196,54.983,19.822,16.998,22.516,38.012,-1,91.133,111.649,73.294,93.444,42.436,76.543,59.486,52.726,107.865,119.356,74.434,131.251,60.608,42.793,59.436,114.689,105.704,135.281,67.928,98.684,110.538,70.165,122.509,68.904,128.656,157.262,45.942,92.338,34.435,27.094,54.437,75.254,55.338,121.263,150.262,99.089,100.473,32.057,110.211,73.423,51.196,120.736,33.014,48.1,89.085,60.524,93.658,58.249,101.406,-1,38.635,88.283,84.02
"Anasco",110.718,17.916,22.793,180.249,140.482,0,72.291,153.656,96.058,146.68,140.244,27.592,171.986,59.321,172.044,165.826,141.554,155.791,212.112,115.535,164.005,124.7,156.974,132.22,-1,131.277,202.962,104.943,56.945,147.942,65.315,151.34,183.667,61.189,21.636,205.375,41.031,124.282,101.325,190.377,35.656,52.201,23.046,198.869,183.48,195.334,101.063,29.443,174.41,13.239,23.561,124.288,223.279,145.532,141.339,159.943,77.006,85.718,48.005,16.596,183.885,40.463,127.088,35.107,154.672,182.137,26.452,111.081,130.444,131.207,161.444,102.66,119.738,113.063,-1,111.728,183.427,57.326
"Arecibo",48.389,58.608,52.158,106.717,96.498,72.454,0,134.142,24.642,85.899,68.828,93.468,102.735,13.764,100.628,94.41,70.138,122.881,140.696,44.119,123.43,105.186,85.558,60.804,-1,59.861,131.546,33.527,118.776,128.428,101.875,79.924,105.58,11.453,87.512,127.288,34.839,53.75,81.811,112.29,101.532,29.529,57.803,120.782,112.064,123.918,29.647,62.009,149.036,79.115,52.59,52.872,145.192,74.116,69.923,140.429,68.313,72.237,24.851,68.502,112.469,106.339,107.574,100.983,83.256,111.703,44.561,101.735,59.028,59.791,90.028,30.767,48.322,41.647,-1,92.214,141.137,109.352
"Arroyo",87.299,165.421,170.298,73.141,48.408,153.808,133.121,0,143.656,59.289,101.966,135.138,64.878,147.535,103.845,97.627,99.611,48.683,74.51,149.09,56.897,49.916,67.031,123.541,-1,114.966,81.963,156.674,107.248,5.987,90.347,83.319,76.559,145.224,133.16,50.079,168.61,100.863,56.597,83.269,128.493,119.508,149.085,56.348,122.517,89.5,138.373,136.313,22.295,142.46,171.066,94.505,62.652,82.471,75.732,7.828,89.058,69.142,158.622,164.066,122.922,114.277,31.076,124.015,97.256,41.954,134.54,46.798,114.725,112.918,84.357,107.462,123.092,125.239,-1,67,31.312,97.824
"Barceloneta",67.068,82.159,75.709,85.12,74.901,96.005,23.373,143.98,0,64.302,47.231,117.019,81.138,37.315,79.031,72.813,48.541,101.284,119.099,22.522,101.833,76.603,63.961,39.207,-1,38.264,109.949,15.605,137.455,138.266,120.554,58.327,83.983,35.004,111.063,105.691,58.39,54.544,100.49,90.693,125.083,50.3,78.574,99.185,90.467,102.321,7.449,82.78,127.439,102.666,76.141,31.275,123.595,52.519,48.326,124.635,86.992,90.916,48.402,92.053,90.872,129.89,127.887,124.534,61.659,90.106,65.332,143.609,37.431,38.194,68.431,49.446,26.725,20.05,-1,64.579,119.54,128.031
"Barranquitas",79.84,157.962,137.451,34.284,12.72,146.349,85.115,58.977,64.329,0,39.205,127.679,43.587,99.057,75.427,69.209,45.397,30.882,103.807,43.864,26.961,23.343,16.105,25.465,-1,45.365,106.345,62.175,99.789,53.263,82.888,47.63,52.337,96.746,125.701,74.045,120.132,52.574,49.138,59.047,121.034,112.042,141.626,67.539,86.863,98.717,59.046,128.854,79.731,135.001,163.607,34.823,91.949,21.888,15.975,65.264,81.599,61.683,110.144,156.607,87.268,106.818,45.231,116.556,58.055,58.46,127.074,39.359,35.553,43.317,64.827,100.003,45.702,53.852,-1,32.638,87.894,90.365
"Bayamon",110.965,126.056,119.606,42.769,49.153,139.902,67.27,101.629,46.484,40.172,0,160.916,38.787,81.212,36.68,30.462,6.65,58.933,76.748,51.918,37.883,104.376,27.433,23.659,-1,17.794,67.598,59.502,161.708,95.915,144.807,9.755,41.632,78.901,154.96,63.34,102.287,83.94,111.057,48.342,182.953,94.197,122.471,56.834,48.116,59.97,41.201,126.677,85.088,146.563,120.038,48.264,81.244,18.363,65.315,82.284,143.518,123.602,92.299,135.95,48.521,168.737,85.536,178.475,19.308,47.755,109.229,101.258,14.843,15.746,26.08,93.343,25.92,28.067,-1,121.46,77.189,152.284
"Cabo Rojo",100.316,39.109,43.986,169.847,130.08,27.496,93.484,143.254,117.251,136.278,161.437,0,161.584,80.514,200.551,194.333,162.747,145.389,224.735,136.728,153.603,114.298,163.737,153.413,-1,152.47,232.188,126.136,46.543,137.54,54.913,180.025,173.265,82.382,11.234,194.973,62.224,113.88,90.923,179.975,13.785,73.394,41.379,188.467,219.223,231.077,122.256,36.709,164.008,16.148,44.754,145.481,212.877,166.725,140.114,149.541,66.604,75.316,69.198,37.754,219.628,30.061,116.686,12.017,193.962,171.735,59.519,100.679,151.637,152.4,181.063,120.479,140.931,134.256,-1,101.326,173.025,46.924
"Caguas",105.214,159.976,153.526,9.292,41.164,171.723,101.19,65.084,80.404,51.47,38.714,153.053,0,115.132,40.593,34.375,36.359,22.388,60.157,85.838,22.937,67.831,27.725,60.289,-1,51.714,67.61,93.422,125.163,59.37,108.262,20.067,8.687,112.821,151.075,30.395,136.207,118.778,74.512,15.397,146.408,128.117,156.391,23.889,59.265,71.119,75.121,154.228,52.143,160.375,153.958,82.184,48.299,55.247,65.991,45.739,106.973,87.057,126.219,181.981,59.67,132.192,48.991,141.93,34.004,10.289,143.149,64.713,51.473,49.666,21.105,127.263,59.84,61.987,-1,84.915,44.244,115.739
"Camuy",61.533,46.045,39.595,119.384,109.165,59.891,13.542,147.286,37.309,98.566,81.495,80.905,115.402,0,113.295,107.077,82.805,135.548,153.363,56.786,136.097,118.33,98.225,73.471,-1,72.528,144.213,46.194,110.258,141.572,118.628,92.591,118.247,2.752,74.949,139.955,22.276,66.894,94.955,124.957,88.969,38.63,45.403,133.449,124.731,136.585,42.314,58.649,161.703,66.552,40.027,65.539,157.859,86.783,82.59,158.899,81.457,85.381,12.288,55.939,125.136,93.776,120.718,88.42,95.923,124.37,31.273,114.879,71.695,72.458,102.695,43.911,60.989,54.314,-1,105.358,153.804,110.639
"Canovanas",144.305,158.256,151.806,45.315,80.255,172.102,99.47,104.175,78.684,75.336,36.994,192.144,41.333,113.412,0,6.733,34.639,61.479,40.057,84.118,62.028,106.922,62.597,58.569,-1,49.994,30.907,91.702,164.254,98.461,147.353,35.64,27.28,111.101,190.166,37.975,134.487,116.14,113.603,22.977,185.499,126.397,154.671,31.469,8.578,23.279,73.401,158.877,59.723,178.763,152.238,80.464,51.355,53.527,97.515,77.456,146.064,126.148,124.499,168.15,8.395,171.283,88.082,181.021,27.163,30.37,141.429,103.804,49.753,47.946,13.447,125.543,58.12,60.267,-1,124.006,51.824,154.83
