"","Adjuntas","Aguada","Aguadilla","Aguas Buenas","Aibonito","Anasco","Arecibo","Arroyo","Barceloneta","Barranquitas","Bayamon","Cabo Rojo","Caguas","Camuy","Canovanas","Carolina","Catano","Cayey","Ceiba","Ciales","Cidra","Coamo","Comerio","Corozal","Culebra","Dorado","Fajardo","Florida","Guanica","Guayama","Guayanilla","Guaynabo","Gurabo","Hatillo","Hormigueros","Humacao","Isabela","Jayuya","Juana Diaz","Juncos","Lajas","Lares","Las Marias","Las Piedras","Loiza","Luquillo","Manati","Maricao","Maunabo","Mayaguez","Moca","Morovis","Naguabo","Naranjito","Orocovis","Patillas","Penuelas","Ponce","Quebradillas","Rincon","Rio Grande","Sabana Grande","Salinas","San German","San Juan","San Lorenzo","San Sebastian","Santa Isabel","Toa Alta","Toa Baja","Trujillo Alto","Utuado","Vega Alta","Vega Baja","Vieques","Villalba","Yabucoa","Yauco"
"Adjuntas",0,98.517,96.2,80.5,72.267,89.133,52.167,66.017,61.767,82.033,89.867,79.483,73.567,63.317,109.417,103.3,89.733,63.517,112.9,79.1,79.183,53.05,95.233,93.8,-1,83.383,117.017,72.9,52.817,60.3,42.15,89.6,80.7,60.167,68.983,93.667,83.567,39.533,31.817,83.917,73.117,50.383,90.833,91.683,114.683,122.183,67.3,95.233,87.583,78.45,86.517,83.1,107.25,108.633,97.417,72.883,35.75,26.183,72.433,101.883,111.317,57.3,45.883,64.35,96.483,89.367,70.217,47.2,83.55,82.583,95.017,33.467,75.233,72.9,-1,44.317,103.817,46.983
"Aguada",98,0,12.133,121.167,129.433,22.217,59.883,123.183,68.933,139.183,97.033,43,117.3,47.05,119.167,113.033,96.9,120.683,146.083,86.267,136.35,110.217,128.4,100.967,-1,90.55,137.967,83.367,58.933,117.45,63.683,102.883,119.35,45.683,35.783,132.333,30.867,120.733,88.983,122.567,51.217,48.133,52.917,130.333,124.967,132.467,74.467,66.6,144.75,27.75,13.467,90.267,145.9,115.8,114.667,130.05,74.95,80.083,34.633,14.85,121.617,50.267,103.05,46.8,105.933,125.733,30.5,103.1,90.733,89.75,113.017,81.683,82.4,80.083,-1,101.483,144.133,60.1
"Aguadilla",96.6,13.183,0,114.45,129.717,22.517,53.167,123.483,62.233,134.45,90.317,43.3,110.583,40.333,112.45,106.333,90.183,120.983,139.383,79.55,132.217,110.517,121.683,94.25,-1,83.85,131.25,76.65,59.233,117.75,63.983,96.167,112.633,38.967,36.083,125.617,24.15,114.017,89.283,115.85,51.517,46.733,51.517,123.617,118.267,125.75,67.75,66.9,145.05,28.033,12.067,83.55,139.2,109.1,107.95,130.333,75.25,80.383,27.917,26.833,114.9,50.55,103.35,47.1,99.217,119.017,29.117,103.4,84.017,83.033,106.3,74.983,75.683,73.367,-1,101.783,137.417,60.4
"Aguas Buenas",79.4,124.583,116.967,0,49.717,122.917,71.833,57.367,59.7,56.4,36.217,113.283,13.183,82.233,48.817,42.7,36.883,26.433,52.3,70.083,21.75,61.15,31.417,60.333,-1,45.6,56.4,76.95,86.6,51.633,75.95,24.167,20.083,79.083,102.783,33.067,102.483,104.883,56.817,23.317,106.917,98.3,138.75,31.083,54.083,61.583,58.617,124.183,57.817,112.233,120.95,68.133,46.65,44.683,82.133,62.9,78.5,68.617,91.35,135.667,50.717,91.083,44.767,98.15,35.883,26.483,118.133,56.017,47.933,43.8,34.417,94.517,50.067,52.283,-1,69.333,44.883,80.767
"Aibonito",70.6,125.367,127.983,51.3,0,114.117,108.567,56.683,96.433,21.15,71.8,104.467,47.017,118.967,82.867,76.75,70.933,34.1,86.35,85.5,31.1,25.483,39.25,64.083,-1,79.65,90.467,108.617,77.8,50.967,67.15,63.05,54.15,115.817,93.983,67.117,139.217,97.867,48.017,57.367,98.1,117.133,136.217,65.133,88.133,95.633,95.35,115.383,78.267,103.433,128.667,72.85,80.7,56.133,44.917,63.55,69.7,59.817,128.083,126.867,84.767,82.283,44.1,89.35,69.933,62.817,136.967,46.683,77.65,77.85,68.467,97.95,92.1,86.333,-1,54.75,78.933,71.967
"Anasco",91.05,20.3,22.917,126.533,118.3,0,69.2,112.067,78.25,128.067,106.35,31.867,119.6,56.367,128.483,122.35,106.217,109.567,155.4,95.567,125.233,99.083,137.7,110.283,-1,99.867,147.267,92.683,47.8,106.333,52.567,112.183,126.733,55,24.667,139.717,40.183,116.517,77.867,129.95,40.1,58.25,37.083,137.717,134.283,141.783,83.783,48.083,133.633,16.617,23.583,99.583,153.283,125.117,123.983,118.917,63.817,68.967,43.95,22.083,130.933,39.133,91.933,35.683,115.233,135.4,41.95,91.983,100.033,99.067,122.333,91,91.717,89.383,-1,90.367,149.867,48.967
"Arecibo",54.933,62.417,54.783,73.267,111.9,71.717,0,115.683,21.05,93.267,49.133,92.5,69.4,20.05,71.267,65.15,49,82.1,98.2,38.367,91.033,102.7,80.5,53.067,-1,42.667,90.067,35.467,102.467,109.95,91.817,54.983,71.45,16.9,85.283,84.433,40.317,72.067,81.467,74.683,100.717,36.733,77.2,82.433,77.083,84.567,26.583,89.883,109.183,77.233,58.767,42.383,98.017,67.917,66.767,122.533,90.333,75.85,29.167,76.05,73.717,99.75,95.55,96.3,58.033,77.833,56.567,96.85,42.833,41.85,65.117,33.017,34.5,32.183,-1,93.983,96.233,96.633
"Arroyo",65.767,120.533,123.15,57.867,56.933,109.267,111.8,0,97.683,73.283,75.717,99.633,50.933,122.95,86.8,80.667,74.85,40.9,70.317,108.05,56.567,47.517,72.6,98.317,-1,83.583,74.433,114.917,72.967,11.75,62.3,66.967,58.067,119.8,89.133,57.633,143.217,91.233,43.183,61.283,93.267,112.3,131.383,60.85,92.05,81.183,96.583,110.533,26.5,98.583,123.817,114.35,64.667,95.917,87.5,11.783,64.867,54.983,132.067,122.033,88.7,77.45,31.133,84.5,73.85,67.133,132.133,42.383,85.9,81.767,72.383,93.1,88.033,90.25,-1,55.683,42.733,67.133
"Barceloneta",61.65,69.8,62.183,58.05,96.667,79.117,17.05,97.8,0,78.05,33.917,99.9,54.183,27.45,56.05,49.917,33.783,66.867,82.967,23.15,75.8,95.2,65.283,37.85,-1,27.433,74.833,22.167,109.183,92.067,98.517,39.75,56.233,24.3,92.683,69.217,47.7,75.383,88.183,59.45,108.117,43.517,83.983,67.217,61.85,69.35,9.517,96.667,93.967,84.633,66.167,27.15,82.783,52.683,51.55,103.333,97.05,82.55,36.567,83.45,58.5,107.15,85.2,103.7,42.8,62.617,63.35,96.45,27.6,26.633,49.9,39.733,19.283,16.95,-1,91.75,81.017,103.333
"Barranquitas",80.667,135.433,135.25,53.483,22.2,124.183,90.117,72.45,77.983,0,60.55,114.533,66.667,100.517,88.367,82.25,65.867,46.017,105.783,67.05,42.467,35.55,25.417,43.4,-1,68.783,107.167,90.15,87.867,66.733,77.217,69.067,73.583,97.367,104.05,86.55,120.767,84.833,58.083,76.8,108.167,116.567,146.283,84.567,94.183,101.667,76.9,125.45,94.033,113.5,138.733,54.4,100.133,35.433,26.467,79.317,79.767,69.883,109.633,136.933,90.817,92.35,56.033,99.417,75.133,79.967,136.4,56.75,56.967,66.967,82.217,108.017,71.4,75.433,-1,49.933,98.367,82.033
"Bayamon",89.367,97.517,89.9,35.467,72.983,106.833,44.767,75.2,32.633,57.717,0,127.617,31.583,55.167,33.45,27.333,10.95,44.283,60.383,43.017,55.083,79,37.883,33.633,-1,18.55,52.25,49.883,104.45,69.483,93.783,16.833,33.633,52.017,120.4,46.617,75.417,95.25,74.667,36.867,124.75,71.233,111.7,44.633,39.267,46.75,31.55,124.383,71.367,112.35,93.883,41.067,60.2,25.033,65.467,80.75,96.35,86.467,64.283,111.167,35.9,108.933,62.617,115.983,20.217,40.033,91.067,73.867,21.217,16.733,27.3,67.45,23,25.217,-1,87.167,58.433,98.617
"Cabo Rojo",80.333,41.533,44.15,115.817,107.583,30.267,90.433,101.35,99.483,117.35,127.583,0,108.883,77.6,144.75,138.617,127.45,98.85,148.233,116.817,114.517,88.367,130.567,131.517,-1,121.1,152.333,113.917,37.1,95.617,41.85,124.917,116.017,76.233,13.95,129,61.417,105.8,67.15,119.233,18.55,79.483,59.1,127,150.017,157.5,105.017,51.3,122.917,19.583,44.817,120.817,142.583,146.35,128.367,108.2,53.117,58.25,65.183,43.017,146.65,28.417,81.217,15.95,131.8,124.683,61.867,81.267,121.283,120.3,130.35,107.667,112.95,110.633,-1,79.65,139.15,38.267
"Caguas",73.4,118.75,111.133,14.167,46.45,116.9,66,51.35,53.867,62.667,31.917,107.267,0,76.4,42.983,36.867,31.05,20.433,45.433,64.25,29.367,55.15,45.6,54.5,-1,39.767,49.55,71.117,80.6,45.633,69.933,23.167,13.233,73.25,96.767,26.217,96.65,98.867,50.817,16.45,100.9,92.467,132.917,24.217,48.25,55.75,52.783,118.167,50.967,106.217,115.117,62.3,39.783,52.4,86.433,56.9,72.5,62.617,85.517,129.667,44.883,85.083,38.767,92.133,30.05,18.083,112.3,50.017,42.1,37.967,28.583,88.683,44.233,46.45,-1,63.317,38.017,74.767
"Camuy",62.35,47.467,39.85,79.917,118.533,56.767,18.633,123.083,27.683,99.917,55.783,77.55,76.05,0,77.917,71.783,55.65,88.733,104.833,45.017,97.667,110.117,87.15,59.717,-1,49.3,96.7,42.117,93.483,117.367,98.25,61.617,78.1,5.8,70.35,91.083,25.367,79.483,88.883,81.317,85.783,40.617,68.667,89.083,83.717,91.217,33.217,91.367,115.833,62.3,43.833,49.017,104.65,74.55,73.417,125.2,97.75,83.25,14.233,61.117,80.367,84.817,102.967,81.367,64.667,84.483,48.25,104.267,49.467,48.5,71.767,40.433,41.15,38.817,-1,101.383,102.883,94.65
"Canovanas",108.567,119.95,112.333,46.767,81.617,129.25,67.183,86.517,55.067,86.267,33.1,142.433,42.9,77.6,0,8.433,32.233,55.6,36.583,65.433,64.533,90.317,66.433,55.7,-1,40.967,28.467,72.3,115.767,80.783,105.1,32.65,38.883,74.45,131.933,44.767,97.85,117.683,85.983,35.017,136.067,93.65,134.117,42.783,11.95,22.967,53.983,146.8,69.517,134.783,116.317,63.483,43.8,53.583,87.883,89.383,107.667,97.767,86.717,133.6,11.833,120.233,73.917,127.3,26.55,45.7,113.483,85.183,43.283,39.15,20.6,89.867,45.433,47.633,-1,98.483,56.583,109.917
"Carolina",104.55,115.933,108.317,42.75,77.6,125.233,63.167,82.5,51.05,82.25,29.083,138.417,38.883,73.583,11.167,0,28.217,51.583,43.5,61.417,60.517,86.3,62.417,51.683,-1,36.95,35.367,68.283,111.75,76.767,101.083,28.633,40.933,70.433,127.917,52.467,93.833,113.667,81.967,42.717,132.05,89.633,130.1,50.483,18.85,29.883,49.967,142.783,77.217,130.767,112.3,59.467,50.717,49.567,83.867,88.05,103.65,93.75,82.7,129.583,18.75,116.217,69.9,123.283,22.533,47.317,109.467,81.167,39.267,35.133,16.75,85.85,41.417,43.617,-1,94.467,64.283,105.9
"Catano",90.317,98.467,90.85,36,70.85,107.767,45.717,75.75,33.583,64.967,11.8,128.55,32.133,56.117,34,27.867,0,44.817,60.917,43.967,53.75,79.533,45.133,34.217,-1,19.483,52.783,50.833,104.983,70.017,94.333,17.7,34.183,52.967,121.35,47.167,76.367,96.2,75.2,37.4,125.283,72.183,112.65,45.167,39.8,47.3,32.5,125.333,71.917,113.3,94.833,42.017,60.733,32.283,66.4,81.283,96.883,87,65.233,112.117,36.45,109.467,63.15,116.533,20.75,40.567,92.017,74.4,21.817,17.683,27.85,68.4,23.95,26.167,-1,87.717,58.967,99.15
"Cayey",63,117.767,120.383,28.167,31.783,106.5,80.1,40.95,67.983,46.117,46.017,96.867,21.233,90.517,57.1,50.967,45.15,0,60.583,78.35,17.917,44.75,33.967,68.617,-1,53.883,64.683,85.217,70.2,35.217,59.533,37.267,28.367,87.367,86.367,41.35,110.767,88.467,40.417,31.583,90.5,109.517,128.6,39.35,62.367,69.85,66.9,107.767,62.517,95.817,121.05,76.4,54.917,57.283,69.867,47.8,62.1,52.2,99.633,119.25,59,74.667,28.35,81.733,44.15,37.033,129.35,39.617,56.2,52.067,42.7,90.333,58.35,60.55,-1,52.917,53.15,64.35
