"","Abbeville","Aiken","Allendale","Anderson","Bamberg","Barnwell","Beaufort","Berkeley","Calhoun","Charleston","Cherokee","Chester","Chesterfield","Clarendon","Colleton","Darlington","Dillon","Dorchester","Edgefield","Fairfield","Florence","Georgetown","Greenville","Greenwood","Hampton","Horry","Jasper","Kershaw","Lancaster","Laurens","Lee","Lexington","Marion","Marlboro","McCormick","Newberry","Oconee","Orangeburg","Pickens","Richland","Saluda","Spartanburg","Sumter","Union","Williamsburg","York"
"Abbeville",0,110.579,189.416,48.471,184.13,171.148,288.61,321.364,78.396,341.536,163.477,139.66,293.757,55.486,227.568,282.24,332.86,330.856,74.749,156.476,292.022,379.813,93.021,22.4,213.674,371.687,290.303,245.739,187.741,61.432,244.493,119.289,332.811,322.208,38.263,81.663,116.392,179.652,97.412,106.436,67.067,127.364,251.115,118.282,322.645,168.929
"Aiken",110.044,0,85.665,163.321,74.115,58.811,184.862,191.47,193.246,211.642,260.565,179.075,217.156,170.336,109.729,205.639,256.259,200.962,35.314,125.711,215.421,261.408,184.375,88.207,109.926,295.086,186.555,169.138,180.593,120.875,167.892,68.221,256.21,245.607,78.307,91.27,255.238,88.77,213.242,245.282,54.737,223.828,174.514,186.889,246.044,214.306
"Allendale",200.995,87.096,0,247.782,43.293,27.54,99.388,164.648,277.707,184.82,305.532,223.498,255.886,254.797,55.572,235.693,271.25,174.14,131.57,180.356,230.412,251.745,283.492,184.463,24.452,285.728,101.081,207.868,225.016,231,206.622,119.037,271.201,284.414,163.111,184.286,316.743,71.847,312.359,306.787,155.111,268.795,174.914,231.856,191.641,258.729
"Anderson",48.473,163.835,236.169,0,293.455,217.901,416.018,359.84,29.589,380.012,124.642,178.173,316.589,7.015,325.736,320.716,371.336,369.332,128.005,194.952,330.498,418.289,48.636,65.917,260.427,410.163,417.711,284.215,226.254,68.844,282.969,202.26,371.287,360.684,85.016,146.372,54.519,265.172,48.415,59.926,110.684,95.15,289.591,140.909,361.121,168.983
"Bamberg",183.577,74.313,43.742,278.885,0,33.607,123.488,121.693,301.793,141.865,279.328,196.454,228.842,289.224,35.952,192.738,228.295,131.185,108.847,153.312,187.457,208.79,257.288,161.74,52.522,242.773,125.181,180.824,197.972,204.796,179.578,91.762,228.246,241.459,151.84,158.082,326.723,28.553,286.155,320.16,121.066,242.591,118.215,205.652,148.686,231.685
"Barnwell",181.944,60.081,27.523,228.731,33.615,0,126.72,158.737,303.194,178.909,280.729,198.695,231.083,235.746,56.839,212.623,248.18,168.229,94.615,155.553,207.342,228.675,258.689,147.508,51.784,262.658,128.413,183.065,200.213,206.197,181.819,91.497,248.131,261.344,144.06,159.483,297.692,56.037,287.556,287.736,114.038,243.992,145.699,207.053,168.571,233.926
"Beaufort",297.031,190.105,96.72,401.154,123.059,123.75,0,150.244,424.062,111.68,401.597,318.723,312.285,411.493,88.215,259.099,294.656,112.006,227.606,275.581,253.818,219.861,379.557,341.571,71.956,309.134,31.167,303.093,320.241,327.065,241.28,228.131,294.607,307.82,259.147,280.351,448.992,159.967,408.424,442.429,281.231,364.86,198.32,327.921,215.047,353.954
"Berkeley",321.462,192.035,169.332,344.546,125.908,159.129,149.415,0,367.454,52.532,344.989,262.115,213.065,354.885,123.238,159.879,195.436,41.852,257.761,218.973,129.163,80.191,322.949,284.963,159.051,153.956,191.408,185.917,263.633,270.457,140.868,171.523,148.523,208.6,276.183,223.743,392.384,103.359,351.816,385.821,224.623,308.252,107.915,271.313,66.774,297.346
"Calhoun",78.253,193.615,265.949,29.623,299.803,301.259,422.366,366.188,0,386.36,131.337,184.521,323.284,29.839,332.084,327.064,377.684,375.68,157.785,201.3,336.846,424.637,47.198,112.162,352.326,416.511,424.059,290.563,232.602,105.919,289.317,208.608,377.635,367.032,114.796,152.72,25.678,271.52,32.97,19.115,172.318,101.845,295.939,147.257,367.469,175.678
"Charleston",344.058,214.631,191.928,367.142,148.504,181.725,111.971,54.701,390.05,0,367.585,284.711,278.759,377.481,145.834,225.573,261.13,13.347,280.357,241.569,220.292,98.758,345.545,307.559,123.547,170.782,134.642,269.081,286.229,293.053,207.754,194.119,185.364,274.294,298.779,246.339,414.98,125.955,374.412,408.417,247.219,330.848,164.794,293.909,120.991,319.942
"Cherokee",164.678,263.693,308.781,127.35,282.088,283.544,404.651,348.473,134.021,368.645,0,66.394,196.915,121.437,314.369,250.889,292.399,357.965,188.113,112.062,272.656,360.447,83.823,144.148,334.611,352.321,406.344,139.864,110.123,100.501,225.127,190.893,313.445,246.514,181.758,135.005,158.951,253.805,118.383,177.351,160.133,42.493,231.749,45.572,303.279,46.031
"Chester",139.606,178.865,223.767,162.767,196.201,198.53,318.764,262.586,185.675,282.758,66.318,0,113.818,173.106,228.482,193.066,243.686,272.078,143.334,42.254,202.848,290.639,141.17,119.076,248.724,282.513,320.457,76.134,46.966,88.678,155.319,112.767,243.637,173.462,160.763,76.305,210.605,167.918,170.037,204.042,109.203,78.815,161.941,45.378,233.471,36.009
"Chesterfield",292.795,217.436,256.545,317.878,228.979,231.308,312.742,213.144,324.549,277.216,198.484,113.377,0,311.965,246.265,59.435,87.012,266.536,237.172,122.151,76.989,186.865,274.351,256.296,282.078,147.739,314.435,55.2,67.508,241.79,71.716,151.338,104.515,50.235,266.856,195.076,349.479,200.696,308.911,367.879,215.296,233.021,108.823,160.486,152.508,151.434
"Clarendon",55.488,170.85,243.184,7.015,287.542,288.998,410.105,353.927,29.837,374.099,118.729,172.26,310.676,0,319.823,314.803,365.423,363.419,135.02,189.039,324.585,412.376,42.723,72.202,267.442,404.25,411.798,278.302,220.341,93.658,277.056,196.347,365.374,354.771,92.031,140.459,54.767,259.259,43.969,65.168,116.969,89.237,283.678,134.996,355.208,163.07
"Colleton",219.2,109.936,56.05,311.016,35.941,56.837,88.636,122.905,333.924,143.077,311.459,228.585,246.928,321.355,0,193.742,229.299,132.397,144.47,185.443,188.461,209.794,289.419,197.363,48.272,243.777,90.329,212.955,230.103,236.927,175.923,137.993,229.25,242.463,200.6,190.213,358.854,57.774,318.286,352.291,156.689,274.722,132.963,237.783,149.69,263.816
"Darlington",285.745,210.386,239.067,308.829,195.643,211.908,259.45,159.852,331.737,223.924,266.409,196.589,60.429,319.168,192.973,0,56.71,213.244,230.122,153.447,15.406,136.196,287.232,249.246,228.786,95.537,261.143,79.902,103.915,234.74,44.827,144.288,56.661,42.297,259.806,188.026,356.667,156.138,316.099,350.104,208.246,272.535,83.942,235.596,99.216,169.03
"Dillon",332.415,257.056,275.098,355.499,231.674,247.939,295.481,195.883,378.407,259.955,295.764,243.259,86.436,365.838,229.004,56.467,0,249.275,276.792,200.117,47.712,135.573,333.902,295.916,264.817,74.624,297.174,144.711,159.339,281.41,91.497,190.958,31.4,49.359,306.476,234.696,403.337,192.169,362.769,396.774,254.916,319.205,119.973,282.266,135.247,278.49
"Dorchester",331.345,201.918,179.215,354.429,135.791,169.012,111.617,41.988,377.337,11.579,354.872,271.998,266.046,364.768,133.121,212.86,248.417,0,267.644,228.856,207.579,104.443,332.832,294.846,123.193,176.467,134.288,256.368,273.516,280.34,195.041,181.406,248.368,261.581,286.066,233.626,402.267,113.242,361.699,395.704,234.506,318.135,152.081,281.196,108.278,307.229
"Edgefield",74.73,35.299,130.892,128.007,108.85,93.546,230.086,256.921,157.932,277.093,184.381,143.351,237.731,135.022,144.464,226.214,276.834,266.413,0,146.286,235.996,323.787,141.829,52.893,155.15,315.661,231.779,189.713,201.168,94.818,188.467,88.796,276.785,266.182,42.993,70.649,195.928,122.496,160.505,185.972,34.115,147.644,195.089,125.517,266.619,178.575
"Fairfield",156.9,125.907,180.694,179.984,153.128,155.457,275.691,219.513,202.892,239.685,112.13,42.31,122.182,190.323,185.409,149.993,200.613,229.005,145.643,0,159.775,247.566,158.387,120.377,205.651,239.44,277.384,70.507,55.502,105.895,112.246,59.809,200.564,189.961,148.77,59.157,227.822,124.845,187.254,221.259,97.21,143.69,118.868,75.523,190.398,78.173
"Florence",291.67,216.311,234.353,314.754,190.929,207.194,254.736,129.255,337.662,219.21,272.334,202.514,76.951,325.093,188.259,15.423,47.465,208.53,236.047,159.372,0,114.616,293.157,255.171,224.072,73.957,256.429,103.966,118.295,240.665,50.752,150.213,35.081,60.629,265.731,193.951,362.592,151.424,322.024,356.029,214.171,278.46,79.228,241.521,63.42,237.745
"Georgetown",379.151,263.562,257.815,402.235,214.391,230.656,218.207,80.263,425.143,99.132,359.815,289.995,186.363,412.574,211.721,135.992,135.766,103.391,323.528,246.853,113.026,0,380.638,342.652,247.534,73.477,240.878,191.385,219.834,328.146,138.171,243.55,101.211,160.746,353.212,281.432,450.073,174.886,409.505,443.51,301.652,365.941,130.842,329.002,68.175,325.226
"Greenville",92.608,183.803,283.225,48.252,256.532,257.988,379.095,322.917,47.214,343.089,81.249,141.25,273.196,42.339,288.813,283.793,334.413,332.409,141.442,158.029,293.575,381.366,0,88.993,309.055,373.24,380.788,247.292,189.331,62.648,246.046,165.337,334.364,323.761,126.19,109.449,72.144,228.249,31.576,65.581,129.047,51.757,252.668,93.912,324.198,125.59
"Greenwood",21.961,88.726,184.319,65.543,162.277,146.973,341.124,284.946,111.284,305.118,143.435,118.994,257.339,71.644,197.891,245.822,296.442,294.438,52.896,120.032,255.604,343.395,88.955,0,208.577,335.269,342.817,209.321,167.075,42.272,208.075,97.436,296.393,285.79,37.644,59.71,136.214,190.278,107.631,146.284,45.214,106.698,214.697,97.616,286.227,148.263
"Hampton",225.075,118.149,24.764,271.862,52.514,51.794,74.936,159.507,354.308,138.99,331.843,248.969,283.53,278.877,43.988,230.344,265.901,139.316,155.65,205.827,225.063,246.396,309.803,208.543,0,280.379,76.629,233.339,250.487,257.311,212.525,140.927,265.852,279.065,187.191,210.597,340.823,81.068,338.67,330.867,179.191,295.106,169.565,258.167,186.292,284.2
"Horry",371.417,296.058,289.628,394.501,246.204,262.469,310.011,153.967,417.409,171.369,352.081,282.261,147.83,404.84,243.534,95.469,74.033,175.628,315.794,239.119,73.675,73.673,372.904,334.918,279.347,0,311.704,183.713,198.341,320.412,130.499,229.96,40.395,99.013,345.478,273.698,442.339,206.699,401.771,435.776,293.918,358.207,134.484,321.268,97.017,317.492
"Jasper",301.959,195.033,101.648,403.305,125.21,128.678,31.117,190.413,426.213,134.301,403.748,320.874,314.436,413.644,90.366,261.25,296.807,134.627,232.534,277.732,255.969,277.302,381.708,343.722,76.884,311.285,0,305.244,322.392,329.216,243.431,230.282,296.758,309.971,264.075,282.502,451.143,162.118,410.575,444.58,283.382,367.011,200.471,330.072,217.198,356.105
"Kershaw",244.594,169.235,208.344,267.678,180.778,183.107,303.341,194.023,290.586,267.335,142.494,76.175,55.161,278.017,213.059,79.87,144.898,256.655,188.971,71.62,104.06,191.786,246.081,208.095,233.301,183.725,305.034,0,28.472,193.589,53.174,103.137,144.849,99.464,218.655,146.875,315.516,152.495,274.948,308.953,167.095,156.721,78.548,123.284,134.618,94.589
"Lancaster",187.613,180.79,225.692,210.774,198.126,200.455,320.689,264.511,233.682,284.683,141.638,46.863,67.796,221.113,230.407,103.379,158.995,274.003,200.526,55.491,117.691,220.184,189.177,167.083,250.649,197.822,322.382,28.389,0,136.685,81.572,114.692,158.946,126.324,199.721,110.108,258.612,169.843,218.044,252.049,148.161,127.409,106.943,93.972,163.016,65.551
"Laurens",62.87,120.883,230.708,68.853,204.015,205.471,326.578,270.4,107.692,290.572,97.296,88.733,242.793,95.123,236.296,231.276,281.896,279.892,95.202,105.512,241.058,328.849,63.187,42.34,256.538,320.723,328.271,194.775,136.814,0,193.529,112.82,281.847,271.244,79.95,56.932,132.622,175.732,92.054,126.059,66.127,60.559,200.151,51.456,271.681,102.103
"Lee",243.389,168.03,207.139,266.473,179.573,181.902,241.724,140.848,289.381,206.198,224.053,154.233,71.742,276.812,175.247,38.993,91.723,195.518,187.766,111.091,50.885,138.611,244.876,206.89,211.06,130.55,243.417,53.213,81.662,192.384,0,101.932,91.674,68.634,217.45,145.67,314.311,151.29,273.743,307.748,165.89,230.179,37.106,193.24,81.443,189.464
"Lexington",119.181,68.849,119.016,195.392,104.836,91.493,227.399,171.221,218.3,191.393,195.835,114.345,152.426,205.731,137.117,140.909,191.529,180.713,88.585,60.981,150.691,241.665,173.795,97.344,140.909,230.356,229.092,104.408,115.863,121.303,103.162,0,191.48,180.877,104.853,74.589,243.23,76.553,202.662,236.667,53.293,159.098,89.669,122.159,181.314,149.576
"Marion",332.78,257.421,275.463,355.864,232.039,248.304,295.846,148.494,378.772,186.153,313.444,243.624,105.118,366.203,229.369,56.832,31.321,184.022,277.157,200.482,35.038,101.621,334.267,296.281,265.182,40.718,297.539,145.076,159.704,281.775,91.862,191.323,0,56.301,306.841,235.061,403.702,192.534,363.134,397.139,255.281,319.57,120.338,282.631,91.544,278.855
"Marlboro",321.502,246.143,287.464,344.586,244.04,260.305,307.847,208.249,367.494,272.321,247.723,173.535,50.192,354.925,241.37,42.326,49.525,261.641,265.879,189.204,60.078,160.381,322.989,285.003,277.183,99.432,309.54,99.484,126.834,270.497,68.695,180.045,56.208,0,295.563,223.783,392.424,204.535,351.856,385.861,244.003,308.292,132.339,271.353,147.613,200.673
"McCormick",38.226,78.818,151.495,85.013,152.369,133.227,250.689,286.835,114.938,307.007,180.748,160.795,267.645,92.028,189.647,256.128,306.748,296.327,42.988,148.415,265.91,353.701,126.59,37.654,175.753,345.575,252.382,219.627,199.732,79.585,218.381,104.682,306.699,296.096,0,88.093,152.934,164.145,133.954,142.978,51.559,144.011,225.003,134.929,296.533,185.576
"Newberry",81.642,91.289,184.028,131.401,157.335,158.791,279.898,223.72,154.309,243.892,131.844,73.773,196.113,141.74,189.616,184.596,235.216,233.212,70.664,58.806,194.378,282.169,109.804,59.7,209.858,274.043,281.591,148.095,110.123,57.312,146.849,66.14,235.167,224.564,88.093,0,179.239,129.052,138.671,172.676,36.533,95.107,153.471,55.939,225.001,108.997
"Oconee",106.918,254.598,315.029,54.588,324.768,296.761,447.331,391.153,25.713,411.325,156.302,209.486,348.249,54.804,357.049,352.029,402.649,400.645,186.45,226.265,361.811,449.602,72.163,137.127,339.287,441.476,449.024,315.528,257.567,130.884,314.282,233.573,402.6,391.997,143.461,177.685,0,296.485,42.554,13.07,197.283,126.81,320.904,172.222,392.434,200.643
"Orangeburg",179.615,88.938,72.288,250.58,28.545,56.032,159.14,102.962,273.488,123.134,251.023,168.149,200.537,260.919,57.758,156.848,192.405,112.454,122.662,125.007,151.567,172.9,228.983,157.778,81.068,206.883,160.833,152.519,169.667,176.491,151.273,77.557,192.356,205.569,165.655,129.777,298.418,0,257.85,291.855,112.587,214.286,89.91,177.347,112.796,203.38
"Pickens",97.381,194.97,310.89,48.457,284.197,285.653,406.76,350.582,32.818,370.754,115.731,168.915,307.678,44.003,316.478,311.458,362.078,360.074,159.14,185.694,321.24,409.031,32.167,106.691,336.72,400.905,408.453,274.957,216.996,90.313,273.711,193.002,362.029,351.426,133.924,137.114,42.498,255.914,0,42.946,156.712,86.239,280.333,131.651,351.863,160.072
"Richland",97.072,244.752,305.183,50.574,318.191,286.915,440.754,384.576,19.136,404.748,175.176,202.909,367.123,65.086,350.472,345.452,396.072,394.068,176.604,219.688,355.234,443.025,65.586,147.065,329.441,434.899,442.447,308.951,250.99,124.307,307.705,226.996,396.023,385.42,133.615,171.108,13.18,289.908,42.042,0,190.706,145.684,314.327,165.645,385.857,219.517
"Saluda",67.017,54.756,161.103,115.082,121.085,112.71,291.453,235.275,174.132,255.447,156.405,109.235,216.085,121.183,156.699,204.568,255.188,244.767,34.13,96.855,214.35,302.141,129.627,45.18,185.361,294.015,293.146,168.067,148.172,66.127,166.821,53.122,255.139,244.536,51.559,36.533,199.062,112.585,158.494,192.557,0,119.668,173.443,91.401,244.973,144.459
"Spartanburg",126.403,225.418,270.506,96.063,243.813,245.269,366.376,310.198,102.734,330.37,37.096,79.131,229.043,90.15,276.094,271.074,321.694,319.69,149.838,145.31,280.856,368.647,52.536,105.873,296.336,360.521,368.069,148.888,127.828,62.226,233.327,152.618,321.645,278.642,143.483,96.73,127.664,215.53,87.096,146.064,121.858,0,239.949,42.312,311.479,81.437
"Sumter",250.548,175.189,187.31,273.632,143.886,160.151,207.693,107.844,296.54,172.167,231.212,161.392,108.833,283.971,141.216,84.493,120.05,161.487,194.925,118.25,79.212,130.787,252.035,214.049,177.029,134.508,209.386,78.026,106.499,199.543,37.09,109.091,120.001,133.214,224.609,152.829,321.47,104.381,280.902,314.907,173.049,237.338,0,200.399,65.398,196.623
"Union",115.271,186.931,232.019,125.174,205.326,206.782,327.889,271.711,148.082,291.883,41.488,45.15,160.699,135.513,237.607,232.587,283.207,281.203,125.272,75.037,242.369,330.16,103.577,94.741,257.849,322.034,329.582,114.907,93.847,51.068,194.84,114.131,283.158,272.555,132.351,58.243,173.012,177.043,132.444,166.449,91.141,41.616,201.462,0,272.992,52.469
"Williamsburg",314.471,203.443,197.696,337.555,154.272,170.537,218.079,66.754,360.463,118.532,295.135,225.315,152.464,347.894,151.602,99.278,134.835,107.852,258.848,182.173,63.282,68.17,315.958,277.972,187.415,97.018,219.772,134.643,163.092,263.466,81.429,173.014,91.585,147.999,288.532,216.752,385.393,114.767,344.825,378.83,236.972,301.261,65.416,264.322,0,260.546
"York",166.299,214.028,258.93,169.337,231.364,233.693,353.927,297.749,176.008,317.921,46.027,36.026,150.692,163.424,263.645,166.551,278.849,307.241,173.577,88.754,238.011,325.802,125.81,145.769,283.887,317.676,355.62,92.168,62.695,102.096,190.482,147.93,278.8,200.291,183.379,106.548,200.938,203.081,160.37,219.338,139.446,84.48,197.104,52.675,268.634,0
