"","Abbeville","Aiken","Allendale","Anderson","Bamberg","Barnwell","Beaufort","Berkeley","Calhoun","Charleston","Cherokee","Chester","Chesterfield","Clarendon","Colleton","Darlington","Dillon","Dorchester","Edgefield","Fairfield","Florence","Georgetown","Greenville","Greenwood","Hampton","Horry","Jasper","Kershaw","Lancaster","Laurens","Lee","Lexington","Marion","Marlboro","McCormick","Newberry","Oconee","Orangeburg","Pickens","Richland","Saluda","Spartanburg","Sumter","Union","Williamsburg","York"
"Abbeville",0,95.983,151.767,43.067,158.617,143.767,234.083,205.433,74.367,210.4,119.633,119.617,205.183,52.95,191.033,182.167,200.767,199.533,61.85,124.65,181.517,266.417,79.383,24.717,174.617,236,232.083,169.617,161.133,52.767,155.9,103,209.733,210.55,32.217,77.85,95.617,155.067,92.35,87.033,58.633,99.017,170.767,99.717,213.85,145.533
"Aiken",96.5,0,74.6,138.267,65.483,51.233,156.933,146.267,169.583,151.233,148.733,107.317,144.25,148.167,94.1,121.217,139.833,140.367,35.133,82.633,120.583,206.717,139.867,78.467,97.483,175.067,154.95,108.683,115.317,104.267,94.967,45.25,148.8,149.617,68.783,81.383,184.7,76.133,168.183,176.117,48.833,126.15,109.833,119.483,152.917,134
"Allendale",151.567,77.2,0,189.45,36.417,26.017,83.667,125.517,220.767,130.483,203.25,159.733,194.483,199.35,47,153.183,168.217,119.617,99.267,135.417,148.95,188.733,187.917,142.6,24.217,200.2,81.683,158.917,167.733,163.233,145.2,105.2,177.167,179.983,120.517,137.933,229.533,61.217,216.233,220.967,116.85,180.683,134.15,174.017,141.7,186.4
"Anderson",42.333,135.75,188.267,0,179.583,180.267,238.617,210.383,34.483,215.35,85.217,125.4,203.583,11.35,201.95,187.117,205.733,204.5,101.617,129.6,186.467,271.367,41.15,63.9,211.117,240.95,236.633,174.583,166.917,64.117,160.867,126.383,214.683,215.517,68.717,92.117,58.117,156.333,52.517,48.783,101.6,68.383,175.717,99.8,218.817,113.533
"Bamberg",156.967,65.783,35.633,182.417,0,30.533,94.267,90.917,185.683,95.883,168.183,125.15,159.917,173.067,30.633,118.583,133.617,85.033,95.6,100.833,114.367,154.15,152.85,138.933,42.083,165.617,92.283,124.333,133.167,128.15,110.633,81.033,142.583,145.4,129.233,102.867,209.317,24.8,181.167,204.333,105.267,145.6,99.65,138.933,107.117,151.833
"Barnwell",141.883,52.3,25,179.783,31.4,0,107.333,119.45,199.433,124.417,181.933,138.4,173.167,189.667,48.033,144.333,159.367,113.55,82.117,114.1,140.1,179.9,166.6,125.45,47.883,191.367,105.35,137.583,146.417,141.917,123.883,79.817,168.317,171.15,110.85,116.617,219.867,49.317,194.917,211.3,95.8,159.367,124.183,152.683,132.85,165.083
"Beaufort",234.25,159.7,85.65,241.633,95.217,108.9,0,118.433,244.917,95.633,227.417,184.383,203.283,232.283,70,148.967,164,88.583,181.95,160.067,144.733,167.4,212.067,215,61.45,195.983,29.55,183.567,192.4,187.383,148.35,139.2,172.95,175.767,203.2,162.1,268.55,101.05,240.383,263.567,185.217,204.833,129.933,198.167,137.483,211.067
"Berkeley",204.517,144.233,124.3,211.217,88.933,117.2,119.083,0,214.483,48.317,196.983,153.95,167.85,201.867,84.7,113.533,128.567,37.467,158.933,129.65,110.817,66.75,181.65,184.567,105.583,127.433,118.533,155.6,161.967,156.967,112.467,108.783,125.167,140.333,193.25,131.667,238.117,70.617,209.967,233.133,154.8,174.4,90.05,167.733,54.267,180.633
"Calhoun",73.7,167.117,219.633,33.967,184.833,197.367,243.867,215.633,0,220.6,91.167,130.65,209.533,32.75,207.2,192.367,210.983,209.75,132.983,134.85,191.717,276.617,40.567,92.7,226.917,246.2,241.883,179.833,172.167,75.267,166.117,131.633,219.933,220.767,100.083,97.367,26.15,161.583,28.417,21.167,124.617,74.317,180.967,105.05,224.067,119.467
"Charleston",212.133,151.85,131.917,218.833,96.567,124.817,97.1,48.55,222.1,0,204.6,161.583,181.033,209.483,92.317,126.717,141.75,15.65,166.55,137.267,122.483,84.733,189.267,192.183,114.1,146.467,113.85,160.767,169.583,164.583,126.1,116.4,157.667,153.517,200.867,139.283,245.75,78.25,217.583,240.767,162.417,182.033,107.683,175.367,98.617,188.267
