"","Aurora","Beadle","Bennett","Bon Homme","Brookings","Brown","Brule","Buffalo","Butte","Campbell","Charles Mix","Clark","Clay","Codington","Corson","Custer","Davison","Day","Deuel","Dewey","Douglas","Edmunds","Fall River","Faulk","Grant","Gregory","Haakon","Hamlin","Hand","Hanson","Harding","Hughes","Hutchinson","Hyde","Jackson","Jerauld","Jones","Kingsbury","Lake","Lawrence","Lincoln","Lyman","Marshall","McCook","McPherson","Meade","Mellette","Miner","Minnehaha","Moody","Oglala Lakota","Pennington","Perkins","Potter","Roberts","Sanborn","Spink","Stanley","Sully","Todd","Tripp","Turner","Union","Walworth","Yankton","Ziebach"
"Aurora",0,131.732,569.112,242.181,12.326,246.584,173.948,681.772,455.231,241.639,275.095,135.106,184.36,85.751,98.693,690.847,186.932,130.356,63.215,792.897,239.114,289.336,712.835,261.718,121.404,361.075,510.165,66.912,202.012,182.014,727.336,315.086,193.898,239.526,299.601,188.998,360.59,78.528,97.305,266.428,217.168,329.376,233.616,139.232,309.8,668.264,215.803,130.697,91.65,34.776,642.247,628.805,263.227,328.478,172.899,164.563,170.237,320.699,354.123,466.177,218.876,139.134,270.728,374.438,213.199,472.628
"Beadle",131.792,0,417.299,177.906,120.126,146.503,285.842,559.511,303.418,111.517,178.364,97.452,296.254,145.594,210.325,539.034,84.226,102.193,162.51,641.084,143.144,178.787,561.022,141.401,219.374,238.054,358.352,147.225,71.89,88.896,605.075,184.964,165.99,109.404,176.531,63.852,237.569,54.167,144.552,177.346,138.431,175.796,195.357,133.682,205.865,466.241,111.737,76.351,203.544,165.913,490.434,476.992,193.456,208.161,241.274,39.098,282.131,190.577,231.102,314.364,143.103,224.028,177.559,264.675,233.147,350.367
"Bennett",569.241,417.272,0,357.312,570.684,506.293,468.502,428.476,134.455,374.922,298.242,511.808,442.448,561.315,505.231,225.992,385.527,516.549,622.232,282.053,296.552,475.022,176.253,419.502,416.742,205.87,127.258,625.929,368.948,393.416,474.04,252.644,359.303,333.985,281.244,353.423,226.026,469.888,560.273,318.544,306.646,240.709,600.788,442.549,502.11,285.357,482.55,444.292,498.45,551.096,73.134,245.898,359.776,343.037,731.916,377.97,464.791,244.061,187.436,95.781,336.416,417.27,473.794,390.699,400.624,286.894
"Bon Homme",238.605,177.722,357.512,0,240.048,324.33,98.048,715.484,251.027,293.435,69.32,271.444,86.921,276.651,172.2,594.948,91.011,266.694,291.596,696.998,74.748,359.127,533.766,321.741,117.158,151.628,414.266,295.293,253.256,96.439,761.048,338.586,45.139,289.881,86.318,173.976,146.522,202.555,325.686,48.862,67.769,233.477,373.079,124.235,383.692,572.365,289.564,152.843,154.28,220.46,430.647,532.906,27.278,388.501,401.28,148.371,109.172,330.003,183.748,261.973,36.152,99.5,357.899,445.015,45.097,497.607
"Brookings",12.323,120.236,569.875,242.944,0,242.495,174.711,677.683,455.994,230.143,275.858,131.017,185.123,81.662,99.456,691.61,187.695,126.267,59.126,793.66,239.877,285.247,713.598,257.629,122.167,361.838,510.928,62.823,190.516,182.777,723.247,303.59,194.661,228.03,300.364,182.478,361.353,67.032,93.216,267.191,217.931,330.139,229.527,115.604,305.711,669.027,211.714,122.791,92.413,45.767,643.01,629.568,263.99,324.389,168.81,156.657,171,309.203,354.886,466.94,219.639,139.897,266.639,370.349,213.962,468.539
"Brown",247.541,146.542,505.533,324.53,242.058,0,409.882,438.282,405.22,154.519,284.038,127.011,420.294,154.31,334.627,597.383,237.245,131.752,204.296,657.951,248.818,44.094,619.371,98.442,357.338,343.728,397.166,195.125,150.231,245.134,483.846,256.07,312.614,185.092,282.205,169.526,343.243,189.426,147.313,283.02,258.912,277.598,97.362,276.143,62.681,505.175,37.914,221.625,327.584,280.938,578.668,535.341,324.252,164.31,157.611,174.892,406.171,261.683,336.776,416.166,289.727,375.068,45.321,129.196,379.771,307.819
"Brule",173.462,286.126,468.544,100.529,174.905,409.822,0,823.888,362.059,401.839,180.352,298.344,11.592,248.989,107.057,703.352,199.437,293.594,226.453,805.402,184.258,452.574,725.34,430.145,63.375,262.66,522.67,230.15,361.66,194.519,869.452,446.99,122.3,398.285,197.35,282.38,257.554,238.454,260.543,159.894,177.279,341.881,396.854,151.737,473.038,680.769,379.041,222.053,89.137,155.317,541.679,641.31,112.33,496.905,336.137,256.775,11.608,438.407,293.258,373.005,145.662,71.292,433.966,537.676,52.833,606.011
"Buffalo",682.473,559.413,428.264,715.508,676.99,438.3,823.444,0,503.938,457.006,647.401,546.571,833.856,597.899,747.927,246.782,628.223,551.312,639.228,295.219,639.844,394.986,283.602,420.1,756.976,573.549,305.119,630.057,488.408,636.112,45.564,378.424,703.592,451.541,630.403,539.228,593.679,613.028,587.044,674.046,649.938,483.405,520.489,685.245,420.401,143.794,468.558,610.508,741.146,793.792,369.116,189.51,715.278,353.703,580.738,563.775,819.733,373.365,552.381,465.264,680.705,761.63,418.758,309.987,770.749,209.41
"Butte",455.438,303.469,134.453,250.825,456.881,405.319,362.015,504.094,0,261.119,191.755,398.005,335.961,447.512,391.428,383.558,271.724,402.746,508.429,416.507,190.065,361.219,310.707,305.699,310.255,99.383,202.876,512.126,255.145,279.613,549.658,182.295,252.816,220.182,174.757,239.62,119.539,356.085,446.47,212.057,200.159,126.906,499.814,328.746,401.136,360.975,368.747,330.489,384.647,437.293,207.588,321.516,253.289,272.688,618.113,264.167,358.304,173.712,80.949,38.914,229.929,310.783,359.991,320.35,294.137,308.766
"Campbell",241.664,111.423,374.946,293.442,229.998,154.531,401.378,456.959,261.065,0,225.335,147.217,411.79,198.545,325.861,457.81,206.157,151.958,239.874,550.55,217.778,110.431,479.798,73.045,334.91,203.649,257.593,230.703,40.418,214.046,502.523,116.497,281.526,40.937,208.337,122.387,223.779,164.039,197.503,251.98,227.872,133.443,249.026,263.179,150.348,397.774,117.959,186.506,319.08,275.785,448.081,395.768,293.212,103.665,294.225,139.773,397.667,122.11,194.357,272.011,258.639,339.564,109.203,158.797,348.683,247.815
