"","Aurora","Beadle","Bennett","Bon Homme","Brookings","Brown","Brule","Buffalo","Butte","Campbell","Charles Mix","Clark","Clay","Codington","Corson","Custer","Davison","Day","Deuel","Dewey","Douglas","Edmunds","Fall River","Faulk","Grant","Gregory","Haakon","Hamlin","Hand","Hanson","Harding","Hughes","Hutchinson","Hyde","Jackson","Jerauld","Jones","Kingsbury","Lake","Lawrence","Lincoln","Lyman","Marshall","McCook","McPherson","Meade","Mellette","Miner","Minnehaha","Moody","Oglala Lakota","Pennington","Perkins","Potter","Roberts","Sanborn","Spink","Stanley","Sully","Todd","Tripp","Turner","Union","Walworth","Yankton","Ziebach"
"Aurora",0,89.733,287.067,136,15.467,143.817,89.3,405.2,251.983,166.367,159.1,82.383,96.583,51.867,52.85,358.2,97.483,78.85,38.667,446.917,138.117,171.167,362.383,160.083,65.233,194.25,250.6,42.617,134.033,95.283,461.1,202.583,111.967,157.267,158.983,123.45,206.167,56.033,58.083,150.467,124.283,162.233,129.3,72.383,179,329.1,126.967,94.383,53.433,25.733,333.1,307.983,152.117,198.9,90.533,107.733,87.6,209.35,187.95,239.883,129.583,74.867,168.033,220.317,121.067,284.1
"Beadle",89.25,0,235.7,119.017,79.65,96.1,156.75,332.683,200.617,81.417,113.117,63.783,164.033,92.883,119.95,306.817,58.233,66.483,104.417,395.55,91.767,108.617,311.017,88.433,132.617,145.867,199.233,98.717,49.1,66.383,388.583,117.65,110.55,72.317,109.7,40.8,157.783,35.717,94.883,116.367,92.417,111.033,125.15,84.817,129.317,283.167,71.833,59.433,120.9,104.683,281.733,256.617,128.483,127.25,146.533,28.333,155.05,124.417,139.567,188.517,96.367,136.267,112.9,160.883,146.617,211.583
"Bennett",285.783,235.5,0,226.6,288.05,299.65,287.15,243.467,102.55,218.9,188.9,293.25,283.033,324.65,253.283,153.083,199.417,295.933,311.283,191.6,186.867,267.917,112.4,237.583,262.217,128.217,76.283,315.233,206.683,203.6,299.35,147.483,224.783,185.4,177.183,194.85,147.933,267.483,326.667,201.017,191.4,127.8,354.117,224.967,293.9,154.783,276.233,244.167,254.217,277.317,46.017,133.667,229.167,201.217,363.15,211.25,285.45,134.517,117.867,57.867,210.6,261.25,272.2,228.9,254.35,167.367
"Bon Homme",134.883,118.367,227,0,137.15,200.317,70.3,383.733,182.6,183.667,48.95,167.033,63.283,178.25,101.417,324.15,62.367,163.5,160.383,412.867,49.35,212.4,339.4,192.217,79.25,99.7,216.567,164.333,150.233,65.917,439.633,192.283,35.4,169.217,60.55,105.95,103.617,126.25,179.8,36.2,44.45,128.2,243.217,81.483,233.517,295.05,176.033,109.767,96.167,126.417,273.017,273.933,23.883,231.033,212.25,100.467,76.7,179.317,114.483,170.483,25.883,68.267,216.7,264.667,34.6,278.317
"Brookings",14.45,80.883,288.117,137.033,0,142.95,90.333,404.333,253.033,157.517,160.133,81.517,97.617,51,53.9,359.233,98.517,77.983,37.8,447.95,139.167,170.3,363.433,159.217,66.267,195.283,251.65,41.75,125.183,96.317,460.233,193.733,113.017,148.4,160.017,116.883,207.2,47.183,57.217,151.517,125.317,163.283,128.433,74.467,178.133,330.133,126.1,88.333,54.483,30.433,334.133,309.017,153.15,198.033,89.667,101.683,88.633,200.5,188.983,240.917,130.617,75.917,167.167,219.45,122.117,283.233
"Brown",144.917,97.733,298.8,202.467,143.017,0,220.15,267.583,263.467,105.25,179.983,83,227.433,107.567,183.7,365.167,149.55,85.683,124.05,435.183,158.633,31.983,369.35,64.75,196.083,212.75,242.517,122,93.983,153.733,323.467,157.983,194,113.683,176.567,107.667,224.667,122.067,98.5,183.233,163.183,173.883,63.417,176.567,40.317,304.533,29.817,151.717,184.283,160.25,344.817,314.95,211.4,102.867,100.717,112.867,218.433,164.75,206.45,251.367,179.817,205.717,43.5,81.133,230.067,184.833
"Brule",87.767,156.117,287.133,72.983,90.05,218.433,0,421.5,242.717,221.433,109.083,157.017,10.6,126.483,54.317,361.917,101.2,153.483,113.283,450.633,109.317,245.783,366.1,229.983,34.733,159.833,254.333,117.233,188,99,477.4,230.033,72.7,206.967,120.683,143.7,163.75,130.383,132.7,96.333,104.4,165.95,203.933,76.1,253.617,332.817,201.583,129.017,49.067,79.317,333.15,311.7,83.017,268.8,165.15,138.233,7.817,217.067,174.433,230.617,85.85,39.1,242.65,294.95,36.567,316.067
"Buffalo",405,334.717,243.617,384.617,403.1,268.583,422.367,0,313.333,278.033,351.55,324.85,429.65,358.4,385.567,173.55,331.7,327.55,384.133,197.967,341.617,239,181.3,245.867,398.217,313.3,178.25,382.083,287.333,335.883,55.25,226.733,376.15,264.717,339.833,321.483,333.317,361.55,354.35,366.2,346.15,260.083,316.167,357.25,253.483,92.633,285.883,376.733,386.5,409.6,229.217,120.433,394.367,208.817,353.45,337.883,420.65,216.9,307.633,268.633,361.983,401.867,258.667,188.767,412.233,123.267
"Butte",251.417,201.15,102.217,183.017,253.7,265.083,243.567,311.9,0,184.533,145.317,258.9,239.45,290.3,218.917,252.317,165.067,261.583,276.933,293.817,143.283,233.567,214.617,203.217,218.65,84.633,144.733,280.883,172.333,169.25,367.8,134,181.2,151.05,133.6,160.483,104.35,233.133,292.3,157.433,147.817,93.45,319.533,190.617,259.317,223.217,241.883,209.8,219.867,242.967,148.233,202.1,185.583,187.733,328.8,176.9,241.867,121.033,74.283,45.7,167.017,217.667,237.85,215.417,210.767,204.033
"Campbell",168.233,82.717,218.85,185.25,158.633,106.533,222.983,278.55,183.767,0,152.183,100.367,230.267,133.9,186.183,286.5,132.317,103.05,159.633,375.483,142.233,75.017,290.683,54.833,198.833,137.933,163.833,157.583,35.333,136.5,334.45,79.317,176.783,33.983,140.45,85.8,157.967,114.7,135.9,166.817,146.767,94.183,161,157.867,100.783,244.833,83.333,136.7,187.117,183.683,264.867,236.283,194.983,72.233,187.55,97.85,221.283,86.083,131.717,171.65,162.6,202.483,79.317,109.033,212.85,157.45
