"","Anderson","Bedford","Benton","Bledsoe","Blount","Bradley","Campbell","Cannon","Carroll","Carter","Cheatham","Chester","Claiborne","Clay","Cocke","Coffee","Crockett","Cumberland","Davidson","Decatur","DeKalb","Dickson","Dyer","Fayette","Fentress","Franklin","Gibson","Giles","Grainger","Greene","Grundy","Hamblen","Hamilton","Hancock","Hardeman","Hardin","Hawkins","Haywood","Henderson","Henry","Hickman","Houston","Humphreys","Jackson","Jefferson","Johnson","Knox","Lake","Lauderdale","Lawrence","Lewis","Lincoln","Loudon","Macon","Madison","Marion","Marshall","Maury","McMinn","McNairy","Meigs","Monroe","Montgomery","Moore","Morgan","Obion","Overton","Perry","Pickett","Polk","Putnam","Rhea","Roane","Robertson","Rutherford","Scott","Sequatchie","Sevier","Shelby","Smith","Stewart","Sullivan","Sumner","Tipton","Trousdale","Unicoi","Union","Van Buren","Warren","Washington","Wayne","Weakley","White","Williamson","Wilson"
"Anderson",0,45.104,196.392,51.09,296.747,174.078,123.969,55.932,320.525,321.014,155.699,326.687,371.689,183.143,377.485,15.586,379.032,140.462,200.943,225.053,85.4,177.398,370.191,392.052,201.869,126.587,344.629,97.601,352.21,410.679,67.883,377.636,473.709,302.039,369.824,225.919,416.857,356.493,326.687,326.956,156.111,196.524,230.69,325.99,85.753,242.498,301.614,430.715,394.472,314.607,200.441,67.393,252.858,416.483,132.63,413.597,468.633,147.289,213.807,280.38,225.053,166.709,260.711,24.991,216.971,416.598,448.331,252.184,187.337,426.313,127.43,184.33,227.349,284.379,377.824,223.977,78.078,344.944,452.018,292.764,238.714,466.384,136.171,447.177,140.306,483.218,354.09,393.355,401.157,467.749,176.349,116.267,99.426,126.587,528.225
"Bedford",45.085,0,248.176,20.767,354.436,225.862,186.713,82.797,266.15,365.333,138.967,272.312,416.008,227.152,421.804,67.075,324.657,236.299,261.992,276.837,124.546,123.023,315.816,337.677,261.995,79.925,290.254,63.013,396.529,454.998,119.667,421.955,518.028,247.664,315.449,208.641,461.176,302.118,272.312,272.581,139.715,179.246,176.315,271.615,134.913,294.282,345.933,376.34,340.097,260.232,113.175,68.555,304.642,362.108,121.261,457.916,512.952,56.187,265.591,263.102,276.837,227.758,321.69,33,277.95,362.223,393.956,142.939,248.386,348.721,184.013,236.114,288.328,267.101,323.449,275.761,129.862,389.263,397.643,238.389,184.339,510.703,119.775,392.802,123.91,527.537,398.409,338.98,346.782,512.068,159.071,98.989,148.586,79.925,473.85
"Benton",202.514,250.656,0,245.293,92.477,24.855,214.095,223.4,487.993,159.568,323.167,494.155,210.243,271.593,216.039,186.955,546.5,126.006,261.853,58.728,222.421,344.866,537.659,559.52,240.302,294.055,512.097,285.804,190.764,249.233,165.459,216.19,312.263,469.507,537.292,414.122,255.411,523.961,494.155,494.424,286.209,384.727,398.158,493.458,202.709,81.052,140.168,598.183,561.94,482.075,367.909,232.169,91.412,583.951,300.098,252.151,307.187,314.757,39.135,507.977,58.728,255.159,218.91,218.525,166.282,584.066,615.799,419.652,275.787,593.781,237.608,68.425,131.907,518.808,545.292,72.338,126.361,183.498,619.486,460.232,406.182,304.938,303.639,614.645,307.774,321.772,192.644,560.823,568.625,306.303,364.552,304.47,189.552,294.055,695.693
"Bledsoe",50.813,20.767,242.674,0,343.029,220.36,198.408,94.492,287.083,367.296,152.087,238.877,417.971,238.847,423.767,65.245,345.59,247.994,273.687,271.335,136.241,143.956,336.749,358.61,273.69,93.045,311.187,55.559,398.492,456.961,114.166,423.918,519.991,268.597,259.169,183.877,463.139,323.051,238.877,293.514,151.41,154.482,197.248,292.548,135.412,288.78,347.896,397.273,361.03,281.165,116.23,50.556,299.14,383.041,134.381,459.879,514.915,64.673,260.089,238.338,271.335,239.453,333.385,25.833,289.645,383.156,414.889,145.994,260.081,369.654,195.708,230.612,300.023,242.337,344.382,270.259,124.36,391.226,418.576,259.322,205.272,512.666,131.47,413.735,135.605,529.5,400.372,282.7,367.715,514.031,134.307,74.225,149.085,93.045,494.783
"Blount",317.345,357.779,92.567,369.474,0,145.986,181.381,258.149,509.413,51.082,337.697,515.575,104.795,210.402,107.553,301.786,603.481,124.143,200.662,117.239,218.052,366.286,559.079,580.94,179.111,326.486,533.517,410.742,82.278,140.747,243.528,107.704,203.777,490.927,558.712,519.18,146.925,545.381,515.575,515.844,225.018,477.969,419.578,514.878,234.283,89.85,31.682,619.603,583.36,503.495,419.866,347,42.425,605.371,306.124,146.866,198.701,366.714,106.884,529.397,117.239,193.968,113.625,333.356,84.081,605.486,637.219,441.072,214.596,606.048,176.417,140.835,70.716,540.228,566.712,111.42,241.192,45.897,640.906,481.652,433.022,196.452,285.581,636.065,289.716,213.286,87.196,582.243,590.045,197.817,457.794,440.537,196.363,326.486,717.113
"Bradley",177.534,225.676,25.07,220.313,130.57,0,189.115,198.42,463.013,154.837,298.187,469.175,205.512,266.862,211.308,161.975,521.52,129.72,257.122,58.876,197.441,319.886,512.679,534.54,235.571,269.075,487.117,260.824,186.033,244.502,140.479,211.459,307.532,444.527,512.312,389.142,250.68,498.981,469.175,469.444,241.177,359.747,373.178,468.478,177.729,76.321,135.437,573.203,536.96,457.095,342.929,207.189,86.681,558.971,275.118,247.42,302.456,289.777,47.63,482.997,58.876,250.428,214.179,193.545,161.551,559.086,590.819,394.672,271.056,568.801,192.576,45.456,127.176,493.828,520.312,76.052,101.381,178.767,594.506,435.252,381.202,300.207,278.659,589.665,282.794,317.041,187.913,535.843,543.645,301.572,339.572,279.49,164.572,269.075,670.713
"Campbell",120.962,185.19,211.274,196.885,180.462,188.96,0,98.284,336.824,191.359,165.108,342.986,242.034,70.148,247.83,105.403,430.892,62.325,87.948,143.247,45.463,193.697,386.49,408.351,88.874,153.897,360.928,238.153,222.555,281.024,105.763,247.981,344.054,318.338,386.123,346.591,287.202,372.792,342.986,343.255,52.429,305.38,246.989,342.289,52.423,142.333,171.959,447.014,410.771,330.906,247.277,203.81,159.431,432.782,133.535,283.942,338.978,194.125,199.366,356.808,143.247,53.714,147.716,144.831,103.976,432.897,464.63,268.483,74.342,433.459,10.554,111.666,114.354,367.639,394.123,131.591,140.083,215.289,468.317,309.063,260.433,336.729,112.992,463.476,117.127,353.563,224.435,409.654,417.456,338.094,285.205,267.948,22.38,153.897,544.524
"Cannon",55.794,83.853,221.336,95.548,256.753,199.022,101.87,0,285.183,267.65,120.357,291.345,318.325,129.469,324.121,40.235,343.69,118.363,164.309,164.903,42.227,142.056,334.849,356.71,164.312,91.245,309.287,155.975,298.846,357.315,68.86,324.272,420.345,266.697,334.482,252.597,363.493,321.151,291.345,291.614,49.714,223.202,195.348,290.648,41.313,218.624,248.25,395.373,359.13,279.265,165.099,138.521,235.722,381.141,97.288,360.233,415.269,111.947,184.501,305.167,164.903,130.075,224.007,79.663,180.267,381.256,412.989,216.842,150.703,390.971,86.33,142.181,190.645,315.998,342.482,181.828,103.022,291.58,416.676,257.422,203.372,413.02,96.241,411.835,100.376,429.854,300.726,358.013,365.815,414.385,203.027,185.77,77.327,91.245,492.883
"Carroll",318.821,265.66,484.363,285.453,508.393,462.049,340.67,287.965,0,519.29,204.898,44.213,569.965,381.109,575.761,303.262,85.698,390.256,415.949,471.178,321.252,159.748,48.632,83.422,415.952,202.619,23.07,285.684,550.486,608.955,355.854,575.912,671.985,84.199,60.964,104.307,615.133,47.863,44.213,70.389,293.672,135.576,129.349,17.13,351.267,470.264,499.89,122.085,85.842,13.705,162.885,331.423,487.362,107.853,223.352,611.873,666.909,187.166,501.778,57.978,471.178,381.715,475.647,298.105,431.907,107.968,139.701,138.682,402.343,81.537,337.97,472.301,442.285,68.809,56.265,459.522,366.049,543.22,143.388,31.856,165.114,664.66,254.834,138.547,262.093,681.494,552.366,84.495,92.527,666.025,141.225,210.805,361.578,202.619,219.595
"Carter",326.827,367.261,151.545,378.956,51.34,155.468,190.863,267.631,518.895,0,347.179,525.057,72.177,219.884,59.752,311.268,612.963,133.625,183.853,126.721,227.534,375.768,568.561,590.422,161.744,335.968,542.999,420.224,44.074,92.946,253.01,59.903,155.976,500.409,568.194,528.662,99.124,554.863,525.057,525.326,234.5,487.451,429.06,524.36,243.765,99.332,22.513,629.085,592.842,512.977,429.348,356.482,76.431,614.853,315.606,137.973,150.9,376.196,116.366,538.879,126.721,203.45,104.732,342.838,93.986,614.968,646.701,450.554,224.078,615.53,185.899,150.317,80.198,549.71,576.194,120.902,250.674,27.211,650.388,491.134,442.504,148.651,295.063,645.547,299.198,165.485,54.578,591.725,599.527,150.016,467.276,450.019,205.845,335.968,726.595
"Cheatham",155.146,138.506,320.688,151.804,335.181,298.374,167.458,124.29,204.298,346.078,0,210.46,396.753,207.897,402.549,139.587,282.694,217.044,242.737,297.966,148.04,46.573,253.964,275.825,242.74,66.68,228.402,152.035,377.274,435.743,192.179,402.7,498.773,157.201,253.597,214.065,441.921,240.266,210.46,169.801,120.46,214.932,83.959,209.763,178.055,297.052,326.678,313.404,278.245,198.38,137.174,197.774,314.15,300.256,40.284,438.661,493.697,108.007,338.103,224.282,297.966,208.503,302.435,164.643,258.695,290.409,332.104,135.957,229.131,285.261,164.758,308.626,269.073,235.113,261.597,286.31,202.374,370.008,335.791,176.537,92.698,491.448,71.766,330.95,79.025,508.282,379.154,277.128,284.93,492.813,174.438,181.83,188.366,66.68,411.998
"Chester",324.615,271.454,490.157,238.929,514.187,467.843,346.464,293.759,45.129,525.084,210.692,0,575.759,386.903,581.555,309.056,126.1,396.05,421.743,476.972,327.046,165.542,89.034,71.605,421.746,208.413,63.472,182.158,556.28,614.749,361.648,581.706,677.779,121.31,41.783,69.808,620.927,75.286,0,107.5,299.466,100.331,135.143,28.35,357.061,476.058,505.684,149.508,113.265,34.519,114.422,252.599,493.156,90.353,229.146,617.667,672.703,166.943,507.572,15.679,476.972,387.509,481.441,258.077,437.701,135.391,167.124,84.701,408.137,121.939,343.764,478.095,448.079,26.51,96.667,465.316,371.843,549.014,170.811,69.63,170.908,670.454,260.628,165.97,267.887,687.288,558.16,65.314,80.71,671.819,105.98,175.56,367.372,208.413,247.018
