"","Anderson","Bedford","Benton","Bledsoe","Blount","Bradley","Campbell","Cannon","Carroll","Carter","Cheatham","Chester","Claiborne","Clay","Cocke","Coffee","Crockett","Cumberland","Davidson","Decatur","DeKalb","Dickson","Dyer","Fayette","Fentress","Franklin","Gibson","Giles","Grainger","Greene","Grundy","Hamblen","Hamilton","Hancock","Hardeman","Hardin","Hawkins","Haywood","Henderson","Henry","Hickman","Houston","Humphreys","Jackson","Jefferson","Johnson","Knox","Lake","Lauderdale","Lawrence","Lewis","Lincoln","Loudon","Macon","Madison","Marion","Marshall","Maury","McMinn","McNairy","Meigs","Monroe","Montgomery","Moore","Morgan","Obion","Overton","Perry","Pickett","Polk","Putnam","Rhea","Roane","Robertson","Rutherford","Scott","Sequatchie","Sevier","Shelby","Smith","Stewart","Sullivan","Sumner","Tipton","Trousdale","Unicoi","Union","Van Buren","Warren","Washington","Wayne","Weakley","White","Williamson","Wilson"
"Anderson",0,50.883,128.417,54.3,181.9,110.15,100.15,58.933,179.733,185.233,104.117,203.75,240.283,143.35,211.7,17.533,243.833,125.45,163.7,135.467,86.333,110.117,219.983,222.033,166.6,82.75,196.367,89.1,213.117,233.517,58.85,216.817,262.6,189.017,222.917,175.1,245.533,201.75,203.75,195.883,95.133,167.733,140.5,181.983,85.45,145.567,170.083,255.25,229.6,174.317,138.267,66.433,149.55,237.55,85.2,245.783,263.75,97.317,128.25,218.667,135.467,130.967,224.033,27.15,177.333,236.1,245.617,156.333,147.933,241.767,102.567,118.367,152.967,227.8,224.8,155.55,67.45,200,245.15,167.133,174.667,256.2,98.467,246.283,100.883,265.867,223.9,245.45,230.85,262.85,139.633,102.4,85.067,82.75,296.717
"Bedford",50.8,0,166.383,22.6,214.7,148.117,126.7,78.117,163.75,218.783,102.6,187.767,273.85,163.95,245.25,58.617,227.85,150.817,187.9,173.433,117.033,94.133,204,206.05,189.3,66.517,180.383,64.25,246.683,267.083,96.817,250.383,296.15,173.033,206.933,150.117,279.1,185.767,187.767,179.9,100.667,142.75,124.517,166,123.15,183.517,203.65,239.267,213.617,158.333,100.95,63.75,187.517,221.567,87.317,279.333,297.317,56.483,166.2,193.7,173.433,155.167,246.9,32.183,200.2,220.117,229.633,128.433,172.133,229.933,123.617,156.333,175.833,202.817,208.817,193.517,105.417,233.55,229.167,151.15,158.683,289.75,104,230.3,106.417,299.433,257.467,229.467,214.867,296.417,114.667,77.417,122.767,66.517,280.733
"Benton",131.017,169.633,0,176.15,92.883,26.4,150.133,149.45,270.25,105.333,194.633,294.25,160.4,180.467,131.8,115.167,334.35,124.833,184.65,59.65,165.167,200.633,310.483,312.55,168,173.25,286.867,190.3,133.233,153.633,128.433,136.933,182.7,279.517,313.417,276.283,165.65,292.25,294.25,286.4,168.417,268.933,231.017,272.483,160.55,65.667,90.2,345.767,320.117,264.817,228.767,152.95,69.667,328.067,175.717,165.883,183.867,187.833,42.033,303.333,59.65,168.083,144.533,147.833,118.683,326.6,336.117,246.85,185.05,332.283,142.35,68.467,88.6,314.6,315.3,76.233,87.9,120.1,335.667,257.633,265.183,176.3,188.983,336.783,191.383,185.983,144.017,335.967,321.367,182.967,240.833,203.6,135.05,173.25,387.233
"Bledsoe",54.95,22.867,174.433,0,227.917,156.167,139.65,91.083,174.183,231.25,112.783,184.25,286.3,176.9,257.717,67.35,238.283,163.767,200.85,181.483,129.983,104.567,214.433,216.483,202.25,76.683,190.817,48.117,259.133,279.533,103.233,262.833,308.617,183.467,193.35,134.1,291.55,196.2,184.25,190.333,113.617,126.733,134.95,176.433,135.267,191.583,216.1,249.7,224.05,168.767,111.567,49.783,195.567,232,97.483,291.8,309.767,65.95,174.267,177.683,181.483,168.117,259.85,27.45,213.167,230.55,240.067,139.05,185.083,240.367,136.583,164.383,188.783,186.817,219.25,201.567,113.467,246.017,239.6,161.583,169.117,302.217,116.967,240.733,119.367,311.883,269.917,215.883,225.3,308.867,98.65,61.4,134.883,76.683,291.167
"Blount",183.883,214.883,92.133,227.2,0,88.4,107.467,167.033,275.533,44.517,191.933,299.533,101.883,140.233,70.983,168.033,330.733,78.833,144.417,71.917,130.433,205.917,315.767,317.833,127.767,182.633,292.167,227.217,72.4,92.8,180.983,76.1,121.883,284.817,318.7,303.4,104.817,297.55,299.533,291.683,128.183,300.45,236.3,277.783,148.783,60.683,29.367,351.05,325.4,270.117,246.183,205.8,43.833,333.35,169.067,107.167,123.033,205.233,67.717,308.617,71.917,127.85,85.8,200.683,73.467,331.883,341.4,252.133,144.817,329.383,102.117,95.567,48.367,319.883,320.6,79.383,140.767,54.333,340.95,262.933,268.817,115.483,169.8,342.067,172.217,125.15,85.483,341.25,326.65,122.133,272.367,241.567,114.117,182.633,392.517
"Bradley",111.333,149.95,25.917,156.467,88.167,0,130.45,129.767,250.567,91.483,174.95,274.567,146.55,166.6,117.95,95.483,314.667,107.983,170.8,41.717,145.483,180.95,290.8,292.867,154.15,153.567,267.183,170.617,119.367,139.783,108.75,123.083,168.85,259.833,293.733,256.6,151.8,272.567,274.567,266.717,158.917,249.25,211.333,252.8,140.867,51.817,76.333,326.083,300.433,245.133,209.083,133.267,55.817,308.383,156.033,152.033,170.017,168.15,34.5,283.65,41.717,154.233,130.683,128.15,104.833,306.917,316.433,227.167,171.2,312.6,132.867,48.8,74.733,294.917,295.617,59.367,68.217,106.25,315.983,237.95,245.5,162.45,169.3,317.1,171.7,172.133,130.15,316.283,301.683,169.1,221.15,183.917,115.367,153.567,367.55
"Campbell",97.567,127.533,148.783,139.85,105.467,130.517,0,74.217,188.183,109.55,104.6,212.2,164.6,56.983,136,81.717,243.4,41.567,77.333,106.65,43.1,118.567,228.433,230.483,80.217,95.283,204.817,139.867,137.433,157.833,91.633,141.133,186.917,197.467,231.367,216.067,169.85,210.2,212.2,204.333,40.833,213.117,148.95,190.433,56.917,96.85,94.4,263.7,238.05,182.767,158.85,148.533,93.633,246.017,81.733,170.1,188.067,117.9,111.85,221.267,106.65,44.6,137.65,120.95,90.967,244.55,254.067,164.8,61.567,242.05,16.033,103.8,66.583,232.55,233.25,102.417,113.25,124.317,253.617,175.583,181.483,180.517,82.467,254.733,84.867,190.183,148.217,253.9,239.317,187.167,185.033,154.217,20.367,95.283,305.167
"Cannon",56.767,80.017,148.667,92.333,165.933,130.417,75.283,0,165.433,170.017,89.817,189.433,225.083,115.183,196.483,40.917,229.533,100.567,139.133,135.867,40.367,95.817,205.667,207.733,140.533,68.45,182.067,104.983,197.917,218.317,66.317,201.617,247.383,174.717,208.6,185.583,230.333,187.45,189.433,181.583,50.2,178.233,126.2,167.683,48,157.333,154.883,240.95,215.3,160.017,123.95,106.45,154.1,223.25,70.9,230.567,248.55,83.017,153.817,198.517,135.867,106.4,198.133,80.15,151.433,221.8,231.317,142.033,123.367,227.467,74.85,115.617,127.067,209.783,210.5,152.8,87.717,184.783,230.85,152.833,160.367,240.983,82.983,231.983,85.383,250.667,208.7,231.15,216.55,247.65,150.133,119.333,60.2,68.45,282.417
"Carroll",175.7,163.25,267.617,174.283,274.933,249.35,186.933,162.85,0,279.017,126.217,45.033,334.083,224.183,305.483,159.85,80.817,211.05,248.133,276.133,188.15,94.983,45.767,58.933,249.533,125.417,22.15,159.117,306.917,327.317,198.05,310.617,356.383,76.683,59.717,90.65,339.333,38.65,45.033,67.633,160.9,120.75,81.6,18.783,206.933,266.333,263.883,92.15,66.5,14.85,111.717,194.083,263.1,74.45,123.6,339.567,357.55,129.533,267.433,52.217,276.133,215.4,307.133,191.85,260.433,73,82.517,90.417,232.367,71.7,183.85,257.567,236.067,63.5,50.583,271.9,206.65,293.783,82.05,33.617,117.05,349.983,143.9,83.183,147.167,359.667,317.7,82.25,67.75,356.65,116.867,164.1,196.25,125.417,133.617
"Carter",187.467,218.467,110.033,230.767,45.083,91.983,111.05,170.617,279.117,0,195.517,303.117,76.217,143.817,37.567,171.617,334.317,82.417,146.983,75.483,134.017,209.5,319.35,321.417,127.567,186.217,295.733,230.8,42.683,59.383,184.567,42.683,88.467,288.383,322.283,306.983,71.4,301.117,303.117,295.267,131.767,304.033,239.883,281.35,152.367,64.267,18.45,354.633,328.983,273.683,249.767,209.383,53.083,336.933,172.65,96.467,89.617,208.817,71.3,312.2,75.483,131.433,75.117,204.267,77.583,335.467,344.983,255.717,148.4,332.967,105.7,99.133,51.95,323.467,324.167,82.967,144.35,25.867,344.533,266.5,272.4,82.067,173.383,345.65,175.8,91.733,59.833,344.833,330.233,88.717,275.95,245.15,117.7,186.217,396.1
"Cheatham",100.15,101.783,192.05,112.95,190.967,173.8,102.967,87.3,125.517,195.05,0,149.517,250.117,140.2,221.517,84.3,168.017,127.067,164.167,192.167,104.183,51.9,165.75,167.817,165.55,50.633,142.15,97.8,222.933,243.333,122.483,226.65,272.417,126.717,168.683,153.383,255.367,147.533,149.517,134.983,76.917,160.05,89.55,127.767,122.967,182.35,179.9,187.833,175.383,120.1,114.133,132.75,179.133,183.333,34.167,255.6,273.583,75.833,191.883,158.6,192.167,131.417,223.15,119.35,176.467,168.683,191.4,102.117,148.4,166.667,99.883,182.017,152.1,169.867,170.583,187.933,131.1,209.817,190.933,112.917,92.833,266.017,54.45,192.067,57.717,275.7,233.717,191.233,176.633,272.667,136.417,112.15,112.267,50.633,242.5
