"","Anderson","Andrews","Angelina","Aransas","Archer","Armstrong","Atascosa","Austin","Bailey","Bandera","Bastrop","Baylor","Bee","Bell","Bexar","Blanco","Borden","Bosque","Bowie","Brazoria","Brazos","Brewster","Briscoe","Brooks","Brown","Burleson","Burnet","Caldwell","Calhoun","Callahan","Cameron","Camp","Carson","Cass","Castro","Chambers","Cherokee","Childress","Clay","Cochran","Coke","Coleman","Collin","Collingsworth","Colorado","Comal","Comanche","Concho","Cooke","Coryell","Cottle","Crane","Crockett","Crosby","Culberson","Dallam","Dallas","Dawson","Deaf Smith","Delta","Denton","DeWitt","Dickens","Dimmit","Donley","Duval","Eastland","Ector","Edwards","El Paso","Ellis","Erath","Falls","Fannin","Fayette","Fisher","Floyd","Foard","Fort Bend","Franklin","Freestone","Frio","Gaines","Galveston","Garza","Gillespie","Glasscock","Goliad","Gonzales","Gray","Grayson","Gregg","Grimes","Guadalupe","Hale","Hall","Hamilton","Hansford","Hardeman","Hardin","Harris","Harrison","Hartley","Haskell","Hays","Hemphill","Henderson","Hidalgo","Hill","Hockley","Hood","Hopkins","Houston","Howard","Hudspeth","Hunt","Hutchinson","Irion","Jack","Jackson","Jasper","Jeff Davis","Jefferson","Jim Hogg","Jim Wells","Johnson","Jones","Karnes","Kaufman","Kendall","Kenedy","Kent","Kerr","Kimble","King","Kinney","Kleberg","Knox","La Salle","Lamar","Lamb","Lampasas","Lavaca","Lee","Leon","Liberty","Limestone","Lipscomb","Live Oak","Llano","Loving","Lubbock","Lynn","Madison","Marion","Martin","Mason","Matagorda","Maverick","McCulloch","McLennan","McMullen","Medina","Menard","Midland","Milam","Mills","Mitchell","Montague","Montgomery","Moore","Morris","Motley","Nacogdoches","Navarro","Newton","Nolan","Nueces","Ochiltree","Oldham","Orange","Palo Pinto","Panola","Parker","Parmer","Pecos","Polk","Potter","Presidio","Rains","Randall","Reagan","Real","Red River","Reeves","Refugio","Roberts","Robertson","Rockwall","Runnels","Rusk","Sabine","San Augustine","San Jacinto","San Patricio","San Saba","Schleicher","Scurry","Shackelford","Shelby","Sherman","Smith","Somervell","Starr","Stephens","Sterling","Stonewall","Sutton","Swisher","Tarrant","Taylor","Terrell","Terry","Throckmorton","Titus","Tom Green","Travis","Trinity","Tyler","Upshur","Upton","Uvalde","Val Verde","Van Zandt","Victoria","Walker","Waller","Ward","Washington","Webb","Wharton","Wheeler","Wichita","Wilbarger","Willacy","Williamson","Wilson","Winkler","Wise","Wood","Yoakum","Young","Zapata","Zavala"
"Anderson",0,763.631,216.052,355.336,513.707,501.295,350.978,200.117,397.609,394.686,152.087,190.227,343.609,393.75,316.85,276.147,134.519,206.033,438.913,215.915,406.382,920.238,822.143,321.745,701.92,304.669,270.005,92.341,262.526,455.572,132.937,354.086,427.619,410.641,884.839,203.622,325.737,687.32,53.392,57.49,315.595,414.202,339.741,1194.858,147.594,293.375,337.278,462.677,401.629,247.673,702.898,714.632,117.543,141.866,1005.289,1006.252,287.75,194.985,946.627,410.751,352.322,236.233,675.621,884.839,778.678,455.715,405.159,404.397,536.187,1199.537,257.882,208.834,147.505,281.668,117.631,574.548,354.189,644.667,129.483,103.253,138.678,380.321,799.295,210.709,687.594,321.881,631.319,296.831,218.248,364.911,388.496,295.161,536.592,755.428,849.884,347.842,283.929,966.631,641.841,155.897,183.396,176.686,983.29,577.689,217.143,269.304,249.678,628.214,238.826,71.252,408.859,336.997,130.12,249.721,1058.084,439.504,910.571,547.626,437.788,331.788,221.299,957.221,340.319,566.499,437.713,794.139,283.813,321.304,273.5,362.813,326.553,946.366,417.325,495.679,1032.716,511.217,285.381,606.063,249.571,345.807,814.988,260.462,315.803,864.895,91.902,172.323,149.658,919.067,307.541,316.25,472.37,753.293,726.476,55.179,276.883,202.526,371.877,226.172,338.892,48.611,191.493,435.275,416.063,441.173,728.217,265.202,402.21,422.457,440.945,42.284,381.018,372.633,752.714,204.649,191.257,245.763,522.421,399.512,933.245,126.479,307.611,436.376,319.935,325.234,901.858,898.621,1213.624,873.05,1058.114,302.493,899.401,131.381,473.227,408.437,898.621,324.653,1214.341,232.038,318.879,462.037,188.765,288.245,260.501,36.328,401.353,319.544,521.386,263.444,470.966,85.78,388.496,175.371,305.666,630.807,449.072,580.003,297.867,80.015,847.172,320.25,176.534,316.67,286.656,525.421,372.451,509.521,154.847,89.194,247.487,324.331,158.784,447.502,623.455,263.645,255.237,55.207,62.603,194.386,27.685,528.838,152.337,804.606,514.321,594.457,551.459,57.778,726.607,181.176,269.373,299.52,210.915,164.229,644.825,208.511
"Andrews",763.499,0,808.28,813.116,459.914,927.622,627.845,571.279,669.683,549.079,618.468,576.937,776.126,665.824,605.84,531.147,788.299,572.742,518.436,935.82,443.174,284.776,530.983,619.279,89.933,531.724,498.153,682.092,841.931,308.61,634.105,771.926,699.693,862.386,267.799,1004.786,447.247,406.792,741.804,794.493,724.719,338.779,600.252,485.39,640.862,627.96,423.151,309.876,616.534,539.1,355.827,109.259,799.578,959.974,295.821,453.237,567.519,640.041,301.354,697.992,572.533,749.967,257.172,267.799,406.098,822.318,365.707,676.471,421.312,490.069,579.955,557.567,616.719,770.025,667.049,250.267,641.43,413.025,887.055,671.525,714.992,728.311,45.857,1013.486,170.583,477.741,131.809,754.081,720.092,861.519,660.57,771.741,233.952,177.313,254.964,844.78,476.71,533.819,427.557,949.025,579.18,588.017,430.275,327.259,578.924,940.471,787.598,1002.963,596.62,808.255,623.764,693.876,932.897,596.811,348.616,504.339,477.759,269.82,463.811,817.487,950.691,273.115,837.257,871.117,810.254,120.59,681.107,694.382,618.952,555.118,703.498,236.898,509.458,423.351,479.701,524.538,589.032,367.177,839.573,880.164,196.458,490.953,611.04,412.554,746.154,953.341,632.269,580.949,617.248,451.815,440.283,176.209,131.495,780.824,634.122,912.68,409.714,946.207,606.492,720.13,577.448,739.893,549.881,348.723,68.078,927.462,674.284,343.644,535.643,792.117,670.401,782.356,306.111,854.067,650.625,992.21,238.935,831.345,566.89,781.322,1050.051,435.162,839.736,601.757,256.876,151.876,504.156,374.131,403.122,670.916,345.762,632.497,521.576,788.458,151.876,827.642,504.873,1017.974,606.12,285.528,790.895,1089.409,899.898,837.248,799.928,431.992,316.758,620.094,328.577,705.853,660.57,590.412,482.296,909.045,366.362,171.438,501.525,683.31,294.544,550.384,601.522,617.262,1029.096,382.386,754.211,241.085,614.712,842.325,724.326,769.112,630.013,532.076,997.453,663.011,795.744,823.575,799.606,712.183,762.417,709.154,872.122,546.207,482.702,471.822,977.786,710.291,150.461,683.456,658.394,718.1,764.852,694.111,823.169,900.401
"Angelina",218.007,787.625,0,581.535,448.488,727.494,562.844,400.572,248.745,587.571,337.607,239.412,580.258,278.536,525.609,477.178,352.527,255.218,373.694,368.334,357.47,1016.371,756.924,534.983,725.914,284.118,414.327,257.399,488.725,479.566,264.547,146.6,273.696,207.096,833.599,280.993,444.268,622.101,264.606,275.498,162.649,519.958,283.473,1237.885,347.694,487.433,403.712,524.445,351.003,296.858,637.679,834.139,98.672,272.498,1048.316,941.033,222.531,202.682,881.408,225.952,301.696,454.241,642.203,833.599,713.459,681.914,423.389,278.039,729.072,1242.564,227.613,258.019,224.556,518.317,335.639,598.542,225.992,579.448,334.757,199.253,158.284,637.862,823.289,360.273,711.588,522.912,729.925,533.48,436.256,161.366,330.107,90.254,560.586,779.422,784.665,144.627,350.363,901.412,576.622,231.026,268.336,225.871,918.071,528.777,424.762,150.443,40.836,854.413,236.072,294.195,358.233,190.409,282.348,219.452,1101.111,632.389,845.352,683.181,372.569,122.966,174.262,1025.61,137.104,762.122,663.912,818.133,138.424,496.859,169.121,555.698,502.108,989.393,610.21,587.613,967.497,721.009,200.321,540.844,475.77,572.006,838.982,378.993,526.601,799.676,153.84,243.21,180.324,868.441,503.377,462.718,407.151,777.287,750.47,162.827,460.772,136.251,516.29,432.513,280.503,232.445,240.678,649.444,608.948,538.396,752.211,137.502,343.821,450.424,390.319,226.548,592.884,146.52,687.495,56.435,158.793,200.143,580.82,625.711,868.026,89.961,283.12,387.464,104.435,266.845,925.852,904.371,1256.651,807.831,1155.617,167.699,834.182,221.626,683.019,232.583,904.371,550.852,1257.368,247.805,223.198,580.482,26.353,314.401,109.87,197.371,627.552,438.075,618.609,178.098,494.96,303.788,330.107,287.15,331.991,857.006,457.654,682.006,498.898,240.885,781.953,255.031,308.975,193.347,277.324,476.509,164.965,638.607,250.936,144.047,77.183,116.845,359.037,657.294,849.654,140.867,487.114,176.839,280.611,103.008,245.693,740.704,379.067,739.387,449.102,529.238,777.658,225.037,750.601,141.736,154.105,146.574,428.923,145.432,856.691,123.972
"Aransas",355.328,812.999,581.642,0,756.708,177.869,230.391,257.363,695.689,288.311,252.732,433.248,38.208,691.83,205.737,283.296,224.142,437.796,681.914,239.164,555.612,815.614,1004.817,196.828,726.824,551.652,362.199,314.207,110.832,583.808,345.48,691.97,725.699,742.843,958.736,373.325,407.265,872.711,320.346,297.961,730.909,518.014,633.551,1090.234,240.245,238.152,480.72,524.963,676.805,448.771,821.745,703.637,482.669,334.766,900.665,1144.402,584.197,489.192,992.291,715.695,632.804,125.179,788.772,958.736,945.341,119.737,553.316,702.477,431.563,1094.913,538.309,452.572,436.917,90.428,230.917,671.362,659.133,809.959,255.114,387.839,531.573,93.552,824.199,366.313,761.491,318.958,681.935,75.241,179.151,697.113,686.576,635.624,655.047,829.325,902.726,680.374,440.059,1130.455,845.245,379.539,402.054,444.035,1121.44,712.004,238.87,567.822,589.976,304.788,485.809,319.506,684.035,711.579,299.433,534.829,953.46,334.88,1074.395,568.302,680.657,670.604,512.164,852.597,672.851,212.497,100.49,839.742,682.4,95.865,620.245,258.189,86.897,841.742,312.701,391.055,1170.866,366.343,590.325,764.111,133.518,85.455,888.885,366.76,203.198,1060.316,484.797,365.223,488.287,1084.127,221.093,379.897,715.239,827.19,800.373,452.13,192.188,499.06,387.239,210.393,636.972,377.694,433.759,129.158,309.688,439.588,729.606,576.956,700.29,590.959,699.122,364.55,213.028,694.158,833.379,523.881,536.94,543.284,607.008,81.592,1115.919,493.627,477.314,576.787,640.182,623.314,975.755,793.997,1109,1021.893,953.49,683.344,993.524,453.524,328.126,806.161,793.997,30.913,1109.717,471.846,623.823,533.941,556.189,457.948,560.689,393.727,77.927,432.877,514.122,582.006,624.248,269.841,686.576,381.949,537.429,307.381,631.446,616.845,322.729,361.168,942.306,605.732,318.22,621.614,456.359,678.057,771.914,546.363,378.249,437.602,640.382,662.215,257.693,302.628,300.029,664.304,98.739,409.868,328.614,587.281,323.515,250.173,203.76,987.28,757.322,837.458,228.033,355.477,800.504,574.071,659.687,692.415,151.758,557.124,296.105,513.338
"Archer",506.803,459.898,467.121,745.611,0,924.113,649.784,487.512,257.247,510.653,531.269,325.737,709.916,219.949,612.549,441.815,556.448,342.408,75.929,692.056,147.998,688.644,324.671,621.923,398.187,207.082,362.713,453.619,733.619,173.675,405.63,424.138,265.235,514.598,405.413,675.582,343.843,189.848,488.075,540.764,376.931,238.278,197.325,910.158,553.663,574.373,229.016,310.096,151.388,316.347,190.091,506.412,470.374,630.77,720.589,508.78,227.308,315.399,438.968,350.204,164.415,637.765,213.855,405.413,281.206,818.809,163.36,234.424,498.455,914.837,250.751,334.456,362.99,708.666,519.915,229.22,270.717,131.86,612.757,417.796,385.788,724.802,443.699,684.282,303.118,436.72,402.198,693.486,583.813,520.36,203.794,430.582,232.859,315.181,337.077,503.621,254.183,469.159,144.369,619.821,355.276,334.288,485.818,129.802,511.702,599.312,446.439,999.454,271.978,554.526,146.434,346.088,603.693,267.607,773.384,480.148,413.099,376.952,72.179,476.328,609.532,697.883,496.098,867.608,806.745,400.312,339.948,660.386,280.789,497.764,658.841,661.666,471.032,422.27,535.244,631.6,250.869,112.496,675.646,774.048,371.268,327.253,613.541,367.423,416.95,624.137,360.036,403.981,590.317,371.211,55.707,315.201,342.386,451.62,582.659,571.521,368.693,756.235,230.577,466.401,324.623,736.384,511.455,372.375,424.484,586.303,209.398,175.507,93.136,537.221,679.824,434.568,239.907,512.908,321.421,635.413,253.093,827.836,435.773,452.118,720.847,129.038,498.577,230.654,458.138,576.644,928.924,375.578,827.89,323.128,401.929,378.768,520.514,351.647,576.644,735.801,929.641,688.77,250.08,278.013,449.736,760.205,558.739,508.044,796.419,318.232,405.73,281.931,131.67,533.97,203.794,386.78,218.895,1002.047,119.387,354.279,460.504,429.581,349.7,200.8,442.182,277.071,699.892,77.534,406.423,332.378,372.695,513.121,383.167,427.953,542.814,584.122,993.944,321.852,683.052,494.371,545.877,390.348,508.688,827.644,635.611,307.134,41.425,96.985,974.277,456.562,345.039,354.252,317.235,385.937,628.573,364.907,943.631,559.242
"Armstrong",500.708,927.22,727.022,177.354,923.353,0,344.612,438.076,862.334,402.532,402.79,599.893,187.041,858.475,319.958,397.517,369.522,604.441,848.559,384.544,700.729,929.835,1119.038,311.049,841.045,718.297,476.42,459.587,256.212,698.029,490.86,956.274,892.344,888.223,1072.957,518.705,521.486,986.932,465.726,443.341,897.554,632.235,800.196,1204.455,384.194,352.373,636.444,639.184,843.45,615.416,935.966,817.858,628.049,480.146,1014.886,1258.623,750.842,655.837,1106.512,882.34,799.449,269.128,902.993,1072.957,1059.562,126.886,709.04,869.122,545.784,1209.134,704.954,619.217,603.562,234.377,376.297,785.583,825.778,924.18,400.494,533.219,685.596,207.773,938.42,511.693,875.712,433.179,796.156,219.19,323.1,842.493,853.221,781.004,769.268,943.546,1016.947,825.754,585.176,1244.676,959.466,524.919,568.699,610.68,1235.661,826.225,419.583,713.202,735.356,151.061,652.454,464.886,850.68,878.224,444.813,701.474,1067.681,449.101,1188.616,682.523,847.302,815.984,657.544,966.818,818.231,134.135,115.024,953.963,849.045,245.923,786.89,372.41,236.955,955.963,426.922,505.276,1285.087,480.564,756.97,878.332,278.898,192.589,1003.106,511.877,317.419,1174.537,630.177,510.603,654.932,1198.348,335.314,494.118,819.588,941.411,914.594,597.51,352.684,644.44,501.46,355.773,803.617,523.074,600.404,243.379,423.909,553.809,843.827,722.336,866.935,705.18,865.767,509.93,327.249,966.704,947.6,669.261,703.585,688.664,721.229,126.292,1230.14,639.007,622.694,749.905,785.562,789.959,1089.976,908.218,1223.221,1136.114,1067.711,849.989,1107.745,620.169,442.347,972.806,908.218,176.293,1223.938,617.226,790.468,648.162,701.569,603.328,706.069,539.107,126.43,547.098,628.343,748.651,738.469,415.221,853.221,548.594,704.074,203.769,745.667,731.066,436.95,506.548,1056.527,772.377,494.975,788.259,601.739,792.278,938.559,660.584,590.326,582.982,785.762,807.595,390.449,416.849,123.231,830.949,244.119,555.248,473.994,732.661,468.895,265.378,349.14,1101.501,923.967,913.66,51.235,500.857,914.725,710.823,826.332,886.038,295.707,702.504,216.706,658.718
"Atascosa",351.617,628.772,560.057,230.407,650.507,344.913,0,165.23,589.488,101.792,199.089,327.047,193.417,585.629,40.145,117.809,218.368,331.595,575.713,365.889,421.021,631.387,820.59,44.414,542.597,445.451,196.712,278.398,259.222,399.581,279.978,683.428,619.498,773.888,774.509,425.028,223.038,688.484,312.227,294.25,624.708,333.787,527.35,906.007,203.758,79.527,337.996,340.736,570.604,342.57,637.518,519.41,434.671,386.469,716.438,960.175,477.996,382.991,808.064,609.494,526.603,173.741,604.545,774.509,761.114,239.609,410.592,596.276,247.336,910.686,432.108,346.371,330.716,187.316,222.798,487.135,552.932,625.732,317.124,326.996,412.75,145.602,639.972,431.039,577.264,134.731,497.708,171.372,150.161,756.611,580.375,666.833,470.82,645.098,718.499,739.872,305.468,946.228,661.018,431.242,295.853,337.834,937.213,527.777,146.737,619.54,580.208,420.254,379.608,341.914,577.834,605.378,350.45,428.628,769.233,150.653,890.168,384.075,574.456,712.579,563.882,668.37,732.349,248.836,227.545,655.515,576.199,111.673,514.044,73.962,120.789,657.515,128.474,206.828,986.639,191.285,484.124,579.884,256.864,297.455,704.658,232.169,39.269,876.089,388.114,416.926,382.086,899.9,62.468,195.67,521.14,642.963,616.146,372.307,82.331,550.778,203.012,376.276,530.771,322.81,327.558,117.612,123.411,255.361,545.379,628.674,594.089,406.732,592.921,393.067,37.97,693.858,649.152,575.599,430.739,594.987,422.781,248.636,931.692,443.607,529.017,451.457,691.9,517.113,791.528,609.77,924.773,837.666,769.263,577.143,809.297,347.323,153.071,699.96,609.77,244.933,925.49,523.549,517.622,349.714,533.706,509.651,612.407,387.946,217.219,248.65,329.895,475.805,440.021,261.722,580.375,275.748,431.228,387.653,447.219,432.618,138.502,313.472,758.079,499.531,222.129,515.413,508.062,493.83,665.713,362.136,317.48,474.257,532.295,664.204,195.964,127.57,414.744,558.103,213.035,446.523,324.457,485.721,315.396,185.79,302.191,803.053,651.121,615.212,395.077,319.668,616.277,437.977,553.486,613.192,194.921,444.79,301.777,565.056
"Austin",200.442,571.563,397.292,257.498,487.742,438.882,164.553,0,426.723,189.28,54.68,164.282,221.803,422.864,127.318,79.859,138.966,168.83,412.948,281.305,298.463,648.274,796.178,136.692,510.067,282.686,87.253,128.973,253.614,322.986,117.213,520.663,456.733,611.123,731.459,340.444,147.128,661.355,171.93,189.702,461.943,271.512,364.585,922.894,77.074,89.142,223.571,287.691,407.839,179.805,553.754,536.297,278.773,301.885,733.325,917.125,315.231,220.226,765.014,446.729,363.838,157.76,546.943,731.459,752.713,333.578,296.167,433.511,330.781,927.573,269.343,183.606,167.951,228.661,103.261,445.87,390.167,525.063,232.54,164.231,249.985,239.571,607.442,346.455,534.214,125.593,451.404,213.481,103.808,593.846,417.61,504.068,398.323,602.048,675.449,577.107,182.91,940.666,615.876,346.658,133.088,175.069,894.163,444.013,27.443,443.524,417.443,514.223,216.843,202.771,415.069,442.613,265.866,265.863,786.12,234.098,884.606,367.711,411.691,549.814,441.051,685.257,569.584,382.377,321.514,622.985,413.434,161.821,351.279,157.407,178.836,674.402,211.919,223.715,943.589,322.718,321.359,496.12,240.71,294.043,661.608,109.611,128.31,838.93,225.349,332.342,219.321,875.488,105.086,119.76,446.273,599.913,573.096,222.882,97.428,427.947,175.387,291.692,368.006,173.385,164.793,251.153,210.657,236.226,510.83,439.422,431.324,301.552,430.156,227.784,194.593,531.093,591.55,365.879,267.974,465.515,379.731,342.605,907.28,287.709,444.433,319.638,572.063,354.348,748.478,626.657,941.66,794.616,786.15,414.378,766.247,184.558,284.728,537.195,626.657,255.796,942.377,438.965,354.857,317.184,370.941,425.067,421.731,236.771,311.188,168.694,317.783,313.04,351.561,142.065,417.61,112.983,268.463,516.816,342.039,400.088,101.579,150.707,715.029,336.766,59.364,352.648,423.478,401.133,502.948,329.606,154.715,291.069,369.53,501.439,66.225,259.003,508.713,395.338,203.047,257.082,194.122,322.956,175.099,342.413,217.607,778.641,488.356,568.492,489.046,170.243,573.227,275.212,390.721,450.427,148.568,282.025,458.4,393.661
"Bailey",397.948,669.567,248.47,685.48,257.36,863.982,589.653,427.381,0,614.38,471.138,265.606,649.785,37.451,552.418,503.987,496.317,282.277,181.431,583.201,239.412,898.313,603.382,561.792,607.856,175.857,441.136,393.488,697.878,361.508,345.499,148.579,44.266,239.039,627.287,566.727,431.709,415.789,436.35,455.439,101.372,401.9,78.182,1119.827,493.532,514.242,345.506,494.507,109.601,323.917,431.367,716.081,271.78,521.915,930.258,734.721,113.471,233.886,675.096,55.928,106.554,577.634,474.427,627.287,507.147,758.678,305.331,26.515,644.571,1124.506,159.651,274.325,302.859,648.535,459.784,480.484,46.713,373.136,543.91,347.047,276.933,664.671,705.231,575.427,593.53,549.721,611.867,633.355,523.682,235.642,55.451,193.414,442.528,575.753,578.353,217.029,314.949,736.953,370.31,510.966,295.145,274.157,711.759,396.084,451.571,380.665,227.792,939.323,211.902,469.201,133.201,65.122,494.838,176.507,983.053,659.198,639.04,565.123,233.622,202.507,390.881,907.552,209.506,807.477,746.614,700.075,125.349,600.255,109.387,582.507,598.71,871.335,637.019,568.386,761.185,747.818,118.461,373.068,684.923,713.917,631.84,405.802,553.41,593.364,308.095,515.282,265.432,624.866,530.186,489.527,268.204,575.773,632.412,342.765,522.528,352.87,518.682,647.38,66.776,404.189,264.492,676.253,635.757,526.768,634.153,367.656,58.35,332.366,164.224,428.366,619.693,159.009,481.183,291.278,212.566,416.762,462.762,767.705,702.298,262.988,499.739,269.406,279.93,85.201,718.71,786.313,1138.593,601.519,1037.559,82.621,627.87,318.637,666.63,130.223,786.313,675.67,1139.31,464.424,82.13,462.424,231.085,651.35,340.092,399.189,736.288,406.098,593.901,120.782,376.902,483.729,55.451,326.649,239.752,941.916,339.596,563.948,525.707,369.45,575.641,131.163,382.051,90.118,493.943,338.095,130.864,520.549,312.564,317.72,159.057,158.632,482.683,684.103,933.813,120.149,622.921,385.516,460.552,201.292,425.634,767.513,588.22,585.845,242.79,322.926,914.146,396.781,632.543,245.397,116.275,110.378,568.442,256.052,883.5,340.591
"Bandera",395.154,549.227,584.846,288.232,515.598,402.738,87.884,190.019,614.277,0,232.112,351.836,251.242,610.418,85.918,100.665,261.905,356.384,600.502,409.426,390.088,551.842,741.045,94.395,463.052,470.24,188.708,311.421,317.047,343.821,304.767,708.217,644.287,798.677,694.964,468.565,167.704,608.939,355.764,337.787,649.497,278.027,552.139,826.462,254.506,104.316,282.662,261.191,595.393,367.359,557.973,439.865,466.327,430.006,636.893,880.63,502.785,407.78,728.519,634.283,551.392,231.566,525,694.964,681.569,277.809,361.516,621.065,167.791,831.141,456.897,371.16,355.505,245.141,266.335,407.59,577.721,546.187,360.661,351.785,437.539,203.427,560.427,474.576,497.719,78.988,418.163,229.197,193.698,781.4,605.164,691.622,391.275,565.553,638.954,764.661,284.232,866.683,581.473,474.779,320.642,362.623,857.668,448.232,171.526,663.077,604.997,478.079,404.397,385.451,602.623,630.167,393.987,453.417,689.688,62.235,810.623,304.53,456.338,737.368,607.419,588.825,757.138,303.1,285.37,575.97,600.988,169.498,538.833,40.199,178.614,577.97,40.879,127.283,907.094,178.292,508.913,500.339,314.689,355.28,625.113,219.455,91.118,796.544,412.903,460.463,406.875,820.355,97.326,140.336,465.38,563.418,536.601,405.33,110.478,594.315,147.252,419.813,555.56,355.833,352.347,171.876,22.175,175.816,465.834,672.211,618.878,350.972,617.71,436.604,85.478,718.647,569.607,553.433,455.528,638.524,343.236,306.461,852.147,475.263,572.554,396.123,759.617,541.902,711.983,530.225,845.228,758.121,689.718,601.932,729.752,372.112,81.033,724.749,530.225,302.758,845.945,567.086,542.411,270.169,558.495,553.188,655.944,431.483,275.044,193.316,250.35,500.594,384.261,305.259,605.164,300.537,360.401,440.502,391.459,353.073,101.483,338.261,678.534,524.32,246.918,540.202,551.599,438.07,690.502,282.591,342.269,517.794,557.084,688.993,239.501,114.577,472.569,582.892,270.86,490.06,367.994,510.51,358.933,238.639,345.728,723.508,541.944,592.795,452.902,352.691,536.732,462.766,578.275,637.981,238.458,469.579,354.626,608.593
