"","Anderson","Andrews","Angelina","Aransas","Archer","Armstrong","Atascosa","Austin","Bailey","Bandera","Bastrop","Baylor","Bee","Bell","Bexar","Blanco","Borden","Bosque","Bowie","Brazoria","Brazos","Brewster","Briscoe","Brooks","Brown","Burleson","Burnet","Caldwell","Calhoun","Callahan","Cameron","Camp","Carson","Cass","Castro","Chambers","Cherokee","Childress","Clay","Cochran","Coke","Coleman","Collin","Collingsworth","Colorado","Comal","Comanche","Concho","Cooke","Coryell","Cottle","Crane","Crockett","Crosby","Culberson","Dallam","Dallas","Dawson","Deaf Smith","Delta","Denton","DeWitt","Dickens","Dimmit","Donley","Duval","Eastland","Ector","Edwards","El Paso","Ellis","Erath","Falls","Fannin","Fayette","Fisher","Floyd","Foard","Fort Bend","Franklin","Freestone","Frio","Gaines","Galveston","Garza","Gillespie","Glasscock","Goliad","Gonzales","Gray","Grayson","Gregg","Grimes","Guadalupe","Hale","Hall","Hamilton","Hansford","Hardeman","Hardin","Harris","Harrison","Hartley","Haskell","Hays","Hemphill","Henderson","Hidalgo","Hill","Hockley","Hood","Hopkins","Houston","Howard","Hudspeth","Hunt","Hutchinson","Irion","Jack","Jackson","Jasper","Jeff Davis","Jefferson","Jim Hogg","Jim Wells","Johnson","Jones","Karnes","Kaufman","Kendall","Kenedy","Kent","Kerr","Kimble","King","Kinney","Kleberg","Knox","La Salle","Lamar","Lamb","Lampasas","Lavaca","Lee","Leon","Liberty","Limestone","Lipscomb","Live Oak","Llano","Loving","Lubbock","Lynn","Madison","Marion","Martin","Mason","Matagorda","Maverick","McCulloch","McLennan","McMullen","Medina","Menard","Midland","Milam","Mills","Mitchell","Montague","Montgomery","Moore","Morris","Motley","Nacogdoches","Navarro","Newton","Nolan","Nueces","Ochiltree","Oldham","Orange","Palo Pinto","Panola","Parker","Parmer","Pecos","Polk","Potter","Presidio","Rains","Randall","Reagan","Real","Red River","Reeves","Refugio","Roberts","Robertson","Rockwall","Runnels","Rusk","Sabine","San Augustine","San Jacinto","San Patricio","San Saba","Schleicher","Scurry","Shackelford","Shelby","Sherman","Smith","Somervell","Starr","Stephens","Sterling","Stonewall","Sutton","Swisher","Tarrant","Taylor","Terrell","Terry","Throckmorton","Titus","Tom Green","Travis","Trinity","Tyler","Upshur","Upton","Uvalde","Val Verde","Van Zandt","Victoria","Walker","Waller","Ward","Washington","Webb","Wharton","Wheeler","Wichita","Wilbarger","Willacy","Williamson","Wilson","Winkler","Wise","Wood","Yoakum","Young","Zapata","Zavala"
"Anderson",0,441.8,147.183,244.433,287.983,304.65,202.767,139.15,219.067,236.533,108.417,115.7,225.5,220.433,184.533,197.75,91.25,127.517,239.2,125.8,225.9,481.717,462.867,186.967,409.417,175.383,186.633,60.517,179.483,282.433,84.967,229.217,243.483,282.917,518.617,116.5,214.8,377.983,42.95,40.5,207.467,272.267,184.1,608.883,105.483,178.167,218.517,294.883,217.15,152.65,386.383,443.033,79.3,98.533,514.133,571.7,155.55,136.1,535.2,223.567,193.533,162.8,415.883,518.617,434.233,294.267,256.05,224.817,305.433,612.5,145.95,130.867,89.267,185.3,87.583,348.633,201.75,352.517,81.35,66.65,84.85,239.983,465.883,123.567,401.683,232,391.7,194.317,138.817,249.85,207.217,199.05,323.617,446.017,477.833,241.317,185,555.45,350.633,114.6,115.217,105.383,556.9,344.467,154.45,185.3,171.733,384.217,140.7,44.1,227.233,216.7,75.9,141.833,540.133,259,520.867,343.833,253.283,232.483,159.9,503.733,234.033,328.333,277.583,472.017,180.883,198.683,159.7,212.65,202.55,486.183,239.917,273.817,587.417,306.1,154.867,359.883,165.583,217.25,475.583,165.75,181.617,490.733,59.117,117.767,97.917,505.283,182.4,217.633,276.067,444.05,425.917,36.633,166.167,148.5,253.05,164.75,186.967,32.95,117.417,247.317,253.267,284.033,419.133,178.95,215.517,271.683,253.7,31.883,214.817,243.983,415.4,136.3,115.317,176.683,339.75,251.317,530.567,87.233,170.9,243.667,208.15,180.467,526.217,474.583,622.483,490.4,564.55,192.417,506.083,78.3,283.567,269.683,474.583,203.6,622.267,172.4,173.783,300.483,129.683,166.15,173.3,27.3,250,203.083,329.633,150.133,297.433,63.8,207.217,111.733,192.083,391.65,283.933,361.033,212.333,44.7,476.317,174.2,114.067,173.917,158.867,312.95,243.733,322.467,95.983,64.067,168.667,209.2,121.067,267.083,369.5,164.233,175.717,40.1,40.333,128.133,23.117,288.067,112.9,452.6,280.6,322.65,332.167,40.283,426.75,110.267,170.05,193.583,146.183,104.833,365.067,153.783
"Andrews",439.4,0,432.85,469.717,267.817,485.667,341.05,357.8,354.233,303.133,386.167,331.483,412.767,355.617,323.083,330.75,415.533,330.867,311.35,516.017,237.267,171.35,305.583,331.617,56.25,276.4,304.633,405.667,478.967,166.017,372,403.383,378.65,462.033,175.767,519.8,271.417,245.967,436.35,459.883,384.25,193.533,312.367,259.433,399.483,334.617,231.4,189.033,320.683,306.617,214.6,66.25,419.833,497.967,164.683,291.533,297.633,339.9,198.7,369.633,300.833,419.85,168.467,175.767,240.083,442.567,195.25,359.983,240.25,263.033,306.05,322,354.383,433.183,416.5,140.283,347.817,246.167,482.5,391.8,378.617,384.167,31.767,529.383,106.633,289.317,85.217,422.333,382.783,452.867,342.383,397.75,130.317,111.367,149.233,444.817,264.883,309.8,266.283,511.517,335.583,336.633,276.733,191.033,363.2,512.617,415.267,547.65,309.717,463.483,330.783,365.217,481.7,316.867,190.683,280.517,275.217,158.8,276.433,431.983,529.75,172.983,437.533,476.033,437.117,81.533,354.783,381.783,322.317,295.517,389.017,136.733,275.433,231.833,307.233,299.2,306.667,218.3,476.533,471.433,129.25,296.667,324.217,233.8,386.217,517.433,364.133,337.417,326.783,272.033,259.983,110.433,84.533,404.783,343.567,503.617,246.083,523.15,318.983,421.05,331.05,395.017,302.75,207.833,53.083,503.517,350.683,187.917,325.067,458.517,354.2,413.5,186.367,460.133,346.983,546.833,134.4,432.533,325.883,422.533,577.367,232.65,438.35,318.367,165.083,97.95,273.033,206.7,251.383,369.967,196.767,361.533,284.7,417.983,97.95,445.717,272.8,566.733,319.85,174.117,419.85,569.45,486.133,434,418.633,260.367,187.3,328.333,182.933,443.2,342.383,342.867,275.6,567.033,209.183,100.533,309.333,393.967,168.733,286.483,371.7,325,565.333,216.983,395.367,145.317,356.483,446.283,380.783,406.083,396.733,313.617,538.767,345.317,450.367,426.583,459.7,387.483,441.6,427.4,470.567,298.45,277.033,270.733,513.183,418.817,94.9,363.05,343.15,386.017,416.667,374.067,504.717,497.533
"Angelina",147.533,434,0,365.217,277,425.433,337.5,249.867,178.333,357.683,232.067,165.483,349,200.233,316.133,307.067,238.8,177.3,228.217,230,217.8,561.483,451.867,322.233,401.617,175.683,266.267,178.117,300.25,274.633,184.917,114.683,197.45,145.4,500.2,197.833,292.617,367,184,188.05,115.233,305.133,165.6,648.233,242.083,294.567,272.267,355.65,200.533,202.433,375.383,455.817,68.433,189.533,553.483,560.717,144.55,143.517,524.2,157.6,176.917,310.35,403.4,500.2,423.25,415.05,247.45,198.583,426.567,651.85,149.183,180.65,157.8,308.783,235.133,340.833,162.45,341.517,207.833,139.683,112.6,371.467,458.083,224.833,393.883,341.317,408.25,317.8,286.367,112.35,188.617,65.883,315.817,438.217,466.833,104.3,238.75,544.45,339.633,160.2,180.033,155.167,545.917,336.367,263.883,103.833,35.9,505,168.267,183.483,210.633,135.383,178.65,145.067,579.483,380.15,509.867,406.85,242.283,99.133,121.783,561.783,97,456.8,398.35,464.217,95.833,344.25,116.417,333.8,348.133,525.533,361.05,383.017,576.433,439.167,132,348.883,286.35,338.033,467.783,243.55,314.767,479.733,100.783,169.867,125.433,488.667,304.467,302,265.083,436.25,418.133,110.45,308.583,95.65,333.883,275.683,168.367,162.3,167.2,382.3,374.4,363.567,411.333,97.45,196.917,263.833,237.083,160.2,349.533,118.3,404.4,42.55,112.783,141.4,334.433,372.1,519.583,69.2,197.317,235.567,70.417,161.867,518.417,486.75,661.833,479.417,640.183,116.083,495.083,157.683,416.633,171.233,486.75,324.383,661.6,173.35,146.767,341.6,20.933,214,77.333,138.367,370.783,280.883,409.183,121.6,289.65,211.35,188.617,201.217,214.333,512.433,271.283,390.467,321.65,159.35,465.317,163.217,218.133,120.683,189.767,304.85,129.2,380.833,176.233,98.7,66.55,94.65,251.15,400.167,490.283,99.083,296.367,123.483,187.883,76.55,170.667,422.8,235.567,441.617,269.617,311.65,452.95,160.183,418.95,98.05,108.617,101.333,293.733,103.767,499.8,89.567
"Aransas",244.55,470.167,367.05,0,460.617,124.617,165.083,207.067,422.333,204.55,204.65,281.617,61.583,423.717,150.617,199.9,166.883,286.633,411.817,186.367,400.983,449.733,616.8,146.417,448.517,342.717,257.317,230.767,95.367,380.383,250.267,455.167,446.767,479.733,578.817,234.467,269.15,534.367,240.333,205.367,444.217,338.8,383.783,576.917,204.583,167.217,344.517,322.317,405.3,302.983,503.467,401.633,299.717,215.05,482.15,678.317,357.567,320.8,601.75,429.133,385.45,117.933,487.683,578.817,582.633,123.75,398.3,428.1,273.45,580.517,334.267,291.933,288.75,93.45,172.217,415.083,407.317,499.267,170.25,282.367,311.417,99,504.983,230.9,461.867,211.967,402.117,84.75,154.7,446.667,410.483,406.367,405.117,506.217,540.65,438.617,317.4,694.4,522.283,246.217,265.733,287.783,663.517,438.25,202.217,362.55,376.317,204.183,308.033,206.167,415.383,424.717,194.267,340.283,508.15,227.017,659.817,342.183,426.383,438.833,325.083,471.75,431.317,155.983,109.967,519.517,408.55,96.767,376.083,180.667,88.55,454.217,207.933,241.833,694.033,258.267,360.433,471.4,104.517,77.233,535.783,271.983,147.333,625.217,285.683,234.283,315.283,666.167,157.133,251.6,449.167,504.25,486.117,272.7,166.367,315.083,256.267,160.467,390.233,258.7,281.183,120.017,221.283,269.7,433.8,360.55,418.8,392.25,425.167,236.133,163.867,458,515.983,331.567,357.833,333.8,376.15,71.5,684.517,308.95,288.867,416.2,404.75,383.733,586.4,442.6,590.517,598.117,532.583,422.6,588.183,300.483,245.083,477.467,442.6,43.033,590.283,288.733,379.35,326.883,350.1,284.117,353.067,257.883,69.967,284.933,302.25,376.45,405.867,203.917,410.483,257.333,351.217,211.617,414.983,375.467,222.8,263.65,560.15,369.067,228.667,379.483,276.817,439.917,454.867,336.9,272.85,269.017,395.233,435.133,201.117,218.983,189.467,399.083,85.4,251.5,211.967,354.7,241.133,187.5,140.183,606.533,453.217,495.267,152.133,262.967,486.933,336.833,396.917,420.15,136.683,331.4,212.083,325.8
"Archer",288.217,266.6,274.983,464.45,0,491.617,356.15,268.517,176.733,338.983,293.733,187,410.033,150.1,334.783,299.833,348.083,198.433,53.333,382.167,103.733,394.083,203.6,340.883,234.217,124.783,243.35,277.383,429.15,115.15,242.7,241.417,179.633,300.067,255.333,367.05,228.533,118.717,290.817,314.35,222.283,155.667,137.75,480.833,307.067,313.217,155.5,201.483,108.983,216.25,119.717,288.417,267.083,345.2,386.083,312.433,136.55,188.3,278.267,207.667,110.483,363.433,129.033,255.333,174.967,448.517,107.3,157.95,321.817,484.45,153.3,195.133,208.867,406.017,318.55,141.95,175.083,85.833,355.2,246.283,225.867,390.117,265.867,376.617,186.733,279.267,240.85,396.533,325.85,295,142.817,239.867,148.417,191.7,211.15,286.95,175.017,296.183,91.367,358.75,198.683,191.117,297.633,82.35,282.533,354.733,257.383,553.583,158.117,317.95,101.617,203.25,328.95,164.117,412.083,319.2,261.6,239.083,46.533,274.1,371.883,394.383,279.65,481.967,443.05,242.35,196.9,367.067,165.217,318.133,376.017,358.133,311.283,271.15,328.15,388.933,149.567,74.517,425.25,447.533,222.883,220.05,333.417,231.467,233.467,364.667,218.183,252.95,323.117,246.267,34.367,192.567,211.867,252.033,322.983,345.75,236.033,427.85,144.833,275.517,184.217,400.95,338.6,238.5,243.933,345.633,148.117,121.35,67.217,303.067,368.2,251.533,148.717,302.25,194.233,391.5,167.033,438.483,271.3,269.767,424.617,89.3,280.483,146.7,273.517,319.35,494.433,231.133,472.783,208,246.8,216.017,324.467,234,319.35,422.533,494.2,413.983,155.217,180.083,261.967,416.683,328.25,281.25,424.567,213,255.4,171.233,86.2,331.217,142.817,219,162.9,561.017,78.017,223.067,299.267,248.433,217.05,121.917,259.75,164.45,412.583,51.083,233.4,213.067,219.6,293.517,222.917,248.2,304.317,366.55,544.717,187.45,398.95,273.833,314.183,233.867,296.083,441.45,386.75,193.333,29.983,63.367,519.117,273.3,211.283,210.3,185.267,226.767,359.75,221.317,518.45,339.65
"Armstrong",304.783,488.417,427.283,126.083,491.933,0,183.317,231.317,453.667,222.783,254.233,312.95,110.8,455.05,168.85,218.133,227.117,317.967,443.15,246.6,427.483,467.967,635.033,164.65,466.75,374.05,275.55,290.983,155.583,398.633,310.483,494.2,478.1,539.95,597.05,294.7,287.383,552.6,300.567,265.6,475.55,357.033,415.117,595.15,251.667,185.45,361.5,340.55,436.617,334.317,521.7,419.867,359.95,275.283,500.383,696.55,388.9,352.117,619.983,460.467,416.767,165.017,505.917,597.05,600.867,83.033,415.267,459.433,291.683,598.75,365.6,323.267,320.067,140.55,232.45,433.317,438.65,517.5,230.483,342.6,369.25,117.233,523.217,291.117,480.117,230.2,420.35,131.833,201.8,506.9,441.817,466.583,423.35,524.45,558.883,498.85,343.9,712.633,540.517,306.45,297.067,319.117,681.75,456.483,226.483,422.783,436.55,86.583,339.367,266.4,446.717,456.05,254.483,371.617,526.383,245.267,678.05,360.417,457.7,499.067,385.3,490,491.55,81.8,77.667,537.767,439.883,146.35,407.417,198.917,138.133,472.45,226.167,260.083,712.267,276.5,391.767,489.633,164.733,115.883,554.017,298.483,165.567,643.45,345.9,294.517,346.617,684.4,175.367,269.833,484.033,522.483,504.35,332.933,188.467,375.3,274.5,220.683,421.567,318.917,312.517,138.25,239.517,287.933,452.033,420.783,450.117,410.483,456.5,296.35,182.1,504.317,534.233,391.8,389.167,394.033,394.4,76.383,702.75,369.183,349.083,437.033,464.967,415.067,604.65,460.833,608.75,616.35,550.817,453.933,606.417,331.817,263.317,508.8,460.833,103.25,608.517,348.967,410.667,345.117,410.333,344.333,413.283,318.117,78.733,303.167,320.483,407.783,424.1,264.133,441.817,288.667,382.533,121.367,433.217,393.7,241.033,323.867,578.383,400.383,264.633,410.817,337.05,458.15,486.183,355.133,316.017,329.233,455.467,495.367,251.017,237.217,67.367,430.417,145.633,311.733,272.2,414.933,301.367,163.917,200.4,624.783,484.55,530.883,30.033,323.2,505.183,392.283,428.25,471.117,183.783,391.633,136.817,386.033
"Atascosa",202.983,344.6,336,166.033,356.567,181.983,0,95.95,318.3,68.683,115.25,177.583,109.083,319.667,28.783,79.85,117.533,182.583,307.783,218.017,289.2,324.167,491.233,32.067,322.95,238.667,137.267,167.767,175.283,254.817,175.05,358.833,342.717,417.483,453.25,226.467,143.583,408.783,191.15,163.817,340.183,213.233,279.733,451.333,123.083,50.083,217.7,196.733,301.25,198.95,377.9,276.067,276.233,207.05,356.583,552.75,253.517,216.75,476.183,325.1,281.4,116.067,362.1,453.25,457.067,138.883,271.467,324.05,147.883,454.95,230.233,187.9,184.7,129.483,123.033,289.517,303.267,373.7,184.517,207.45,233.867,80.483,379.417,233.15,336.3,86.4,276.55,118.65,84.783,402.6,306.45,347.467,279.55,380.65,415.083,394.55,205.6,568.833,396.717,238.217,161.683,183.75,537.95,312.683,91.1,350.2,348.4,243.95,203.983,179.467,311.35,320.667,185.483,236.233,382.583,101.45,534.25,216.617,322.333,381.7,312.717,346.183,387.25,156.05,133.417,393.95,304.5,78.1,272.05,55.1,85.333,328.633,82.367,116.267,568.467,118.833,256.4,345.817,172.85,167.733,410.2,160.2,27.417,499.65,245.917,226.283,211.25,540.6,40,126.017,340.233,378.683,360.55,233.55,53.683,302.717,130.683,225.167,286.2,200.05,177.133,75.033,85.7,144.133,308.233,348.2,314.75,266.683,321.117,215.717,24.433,368.95,390.417,319.217,253.783,325.8,250.583,128.85,558.933,284.15,280.85,293.233,392.383,279.7,460.833,317.033,464.933,472.55,407,318.55,462.617,196.45,106.717,373.433,317.033,142.033,464.717,280.733,275.3,201.317,314.333,276.1,340.7,230.3,114.933,159.367,176.683,272.417,280.3,154.717,306.45,153.3,247.167,237,289.417,249.9,97.217,195.467,434.583,265.017,129.25,275.433,268.817,314.35,350.817,211.333,180.65,251.967,332.083,355.8,115.05,79.55,235.083,295.05,146.683,234.467,179.95,294.867,191.95,97.7,172.583,480.967,349.183,387.083,209.483,199.967,361.367,256.917,292.867,335.75,118.667,265.167,174.7,313.45
"Austin",142.533,355.867,248.717,209.617,269.283,230.633,95.183,0,231.017,115.367,39.2,90.3,155.2,232.383,73.817,65.717,97.317,95.3,220.5,189.333,200.517,365.967,444.15,79.917,327.95,151.383,63.917,89.967,174.817,213.017,87.767,271.55,255.433,330.2,450.017,197.783,102.167,359.283,122.6,126.117,252.9,179.867,192.45,493.133,52.533,52.25,144.05,193.883,213.967,111.667,346.883,317.867,192.25,178.367,398.383,549.517,166.233,129.467,472.95,237.817,194.117,109.1,348.3,450.017,415.533,187.55,197.833,236.767,184.25,496.75,142.95,100.617,97.417,151.683,69.533,281.033,215.983,337.05,155.817,120.167,146.583,129.15,384.4,204.467,333.067,99.967,285.567,142.2,71.533,315.317,219.167,260.183,255.233,377.417,411.85,307.267,116.933,536.733,331.917,209.533,74.4,96.467,534.717,281.667,22.533,302.317,261.117,292.617,116.7,134.017,224.067,233.383,156.8,148.95,424.383,137.833,502.15,237.7,235.05,294.417,276.517,387.983,299.967,221,182.083,398.95,217.217,113.267,184.767,91.483,121.683,370.433,118.733,158.067,565.233,196.85,169.117,314.8,167.167,193.2,406.967,71.517,72.45,472.017,158.633,197.6,123.967,493.517,62.15,84.6,257.833,375.45,357.317,155.75,62.017,266.517,120.017,196.467,198.917,122.25,89.85,139.983,132.083,159.2,325.183,295.967,227.467,199.567,233.833,161.133,107.217,281.667,376.617,249.25,166.5,293.3,247.35,177.517,511.867,200.167,252.167,215.733,300.8,192.417,457.6,358.833,506.733,469.317,448.8,231.267,459.383,109.167,174.317,286.15,358.833,168.2,506.5,252.05,188.017,206.233,227.05,247.417,286.25,169.833,163.6,109.383,207.533,185.133,228.883,96.233,219.167,66.017,159.883,300.05,222.283,254.9,80.3,108.183,431.333,177.733,41.967,188.15,240.133,259.4,263.533,216.333,93.367,204.933,244.8,268.517,49.783,157.85,283.733,207.767,144.617,180.967,130.25,207.583,123.417,180.483,143.883,433.9,261.9,303.933,258.15,122.167,358.133,169.633,205.583,248.467,105.417,177.883,257.483,272.867
"Bailey",219.517,354.867,177.85,427.333,177.583,454.5,319.033,231.4,0,339.217,256.617,149.883,372.917,27.95,297.667,288.6,310.967,161.317,125.15,313.467,138.667,482.35,336.983,303.767,322.483,101.967,247.8,240.267,380,195.5,205.583,92.85,35.75,151.5,390.95,298.35,271.917,257.75,252.133,260.033,73.717,226,57.767,569.1,269.95,276.1,196.85,283.867,74.033,186.467,266.133,376.683,198.083,276.5,474.35,451.467,69.217,141.15,414.95,37.017,83.433,326.317,290.2,390.95,314,411.4,168.317,21.533,389.6,572.7,97.867,158.017,171.75,368.9,281.433,261.7,36.867,232.267,287.583,193.867,157.167,353,378.933,307.917,314.733,322.85,329.117,359.417,288.733,159.733,40.383,144.833,236.683,352.883,357.583,147.233,192.283,430.783,230.383,290.05,161.567,154,436.667,244.117,245.417,259.967,162.617,516.467,120.933,263.633,94.65,49.383,260.25,108.667,500.35,361.683,400.617,327.717,145.8,134.033,274.733,482.65,139.95,444.85,405.933,385.083,96.35,329.95,94.833,315.333,338.9,446.4,342.583,338.95,467.183,420.7,78.867,235.7,366.1,410.417,384.067,225.1,296.3,370.483,164.767,295.967,155.1,363.15,286,283.533,168.583,353.75,338.983,183.333,285.867,248.6,302.567,359.133,48.933,230.433,147.1,363.833,355.933,307.567,332.2,250.867,44.083,184.7,111.2,234.367,331.083,102.967,295.15,206.2,125.533,294.35,255.3,401.367,403.6,191.883,350.267,156.433,185.7,59.2,434.7,407.617,582.7,370.167,561.05,65.483,385.833,178.9,392.25,90.817,407.617,385.417,582.467,326.3,60.383,262.467,164.833,347.983,233.467,212.533,387.45,256.383,344.033,102.8,210.5,283.333,40.383,181.883,141.867,523.9,192.15,311.333,303.183,211.317,356.067,78.95,222.633,77.583,342.717,216.867,84.833,301.7,182.483,226.75,127.583,110.6,267.2,381.7,507.6,91.383,361.833,205.133,259.867,149.367,242.65,404.333,315.3,326.3,160.367,202.4,482,228.3,339.8,141.583,100.133,78.217,322.633,152.617,481.333,242.517
"Bandera",237.817,305.1,356.883,205.367,338,221.317,68.933,116.817,339.167,0,140.217,198.45,148.417,340.55,59.983,80.783,152.367,203.467,328.65,252.833,271.567,284.667,451.733,67.25,283.45,259.533,135.15,192.717,214.617,227.65,195.917,379.7,363.6,438.35,413.75,261.3,117.283,369.283,225.967,198.633,361.05,186.05,300.6,411.833,153.533,70.95,191.4,157.233,322.117,219.817,338.383,236.55,300.4,241.883,317.083,513.25,274.4,237.617,436.683,345.967,302.267,155.4,322.6,413.75,417.567,176.817,243.1,344.933,108.383,415.45,251.1,208.767,205.567,168.817,157.867,250,324.15,334.183,219.333,228.317,254.75,119.817,339.9,267.983,296.8,58.217,237.05,157.983,119.6,423.467,327.317,368.333,240.05,341.15,375.583,415.417,196.75,529.333,357.2,273.05,182.567,204.617,498.45,273.183,111.967,385.017,369.267,283.283,224.867,214.283,332.217,341.55,220.3,257.117,343.083,54.983,494.75,177.1,316.183,402.583,347.55,306.683,408.117,191.367,172.75,354.45,325.367,117.433,292.917,36.233,124.667,289.133,32.05,76.767,528.95,116.767,277.267,306.317,212.183,207.067,370.7,158.267,61.117,460.133,266.783,261.117,232.117,501.083,63.683,99.733,313.05,339.167,321.05,258.517,79.917,337.55,103.517,259.983,307.067,225.017,198.017,110.35,19.583,104.633,268.717,383.017,335.617,239.517,342,250.533,57.25,389.817,350.917,357.4,274.667,360.617,211.083,168.183,519.433,308.317,315.683,266.933,408.95,300.567,421.333,277.517,425.433,433.05,367.5,339.433,423.117,217.317,66.633,394.3,277.517,181.367,425.2,315.567,296.167,161.817,335.2,310.933,375.533,265.117,154.283,133.067,137.167,293.283,253.117,189.55,327.317,174.167,249.467,272.767,262.233,210.4,77.883,216.333,395.067,285.883,150.133,296.317,303.65,287.167,371.683,171.833,201.517,286.783,352.967,376.683,149.867,77.75,274.417,315.917,186.017,269.283,214.783,315.733,226.767,133.467,207.4,441.467,361.65,352.883,248.817,224.933,321.867,277.783,313.733,356.617,153.5,286.033,210.45,348.267
