"","Bear River","Beaver","Box Elder","Cache","Carbon","Central Utah","Daggett","Davis","Duchesne","Emery","Garfield","Grand","Iron","Juab","Kane","Millard","Morgan","Piute","Rich","Salt Lake","San Juan","Sanpete","Sevier","Southeast Utah","Southwest Utah","Summit","Tooele","TriCounty","Uintah","Utah","Wasatch","Washington","Wayne","Weber","Weber-Morgan"
"Bear River",0,401.369,202.725,249.047,240.273,572.803,181.319,146.371,152.054,329.891,168.786,425.334,455.808,243.799,583.961,147.37,126.996,413.342,96.507,150.698,511.817,281.871,370.476,151.924,151.924,467.427,195.825,289.347,152.289,151.924,151.436,563.148,398.308,130.164,126.996
"Beaver",401.058,0,411.428,457.75,291.876,172.618,576.422,310.957,386.995,201.296,337.524,378.417,55.623,160.07,183.776,310.859,387.444,97.498,491.59,319.407,464.9,174.914,73.279,251.418,251.418,67.242,292.196,200.281,363.041,251.418,253.02,162.963,172.381,390.612,387.444
"Box Elder",203.631,412.229,0,49.548,283.905,583.663,297.717,106.552,277.664,373.523,118.577,468.966,466.668,254.659,594.821,116.273,79.288,424.202,148.556,97.157,555.449,292.731,381.336,164.467,164.467,478.287,142.566,300.207,51.52,164.467,165.277,574.008,409.168,82.456,79.288
"Cache",249.458,458.056,49.521,0,329.732,629.49,343.544,152.379,323.491,419.35,164.404,514.793,512.495,300.486,640.648,162.1,125.115,470.029,130.124,142.984,601.276,338.558,427.163,210.294,210.294,524.114,188.393,346.034,97.347,210.294,211.104,619.835,454.995,128.283,125.115
"Carbon",240.15,292.238,283.062,329.384,0,463.672,281.795,182.591,88.095,90.58,209.158,186.025,346.677,188.726,425.645,182.493,259.078,264.467,363.224,191.041,272.508,156.793,221.601,123.052,123.052,358.296,236.197,176.273,234.675,123.052,124.654,454.017,168.874,262.246,259.078
"Central Utah",572.453,172.175,582.823,629.145,463.271,0,747.817,482.352,558.39,372.691,508.919,549.812,120.265,331.465,171.787,482.254,558.839,216.075,662.985,490.802,636.295,346.309,244.674,422.813,422.813,107.467,463.591,371.676,534.436,422.813,424.415,49.219,307.045,562.007,558.839
"Daggett",181.634,577.417,296.865,343.187,281.95,748.851,0,267.695,194.242,371.568,290.11,450.255,631.856,419.847,760.009,268.694,221.136,589.39,189.356,272.022,536.738,457.919,546.524,298.583,298.583,643.475,317.149,465.395,246.429,298.583,298.095,739.196,449.862,224.304,221.136
"Davis",146.379,311.164,106.248,152.57,182.84,482.598,267.714,0,180.334,272.458,32.344,367.901,365.603,153.594,493.756,9.056,82.264,323.137,182.882,14.227,454.384,191.666,280.271,63.402,63.402,377.222,59.383,199.142,57.861,63.402,64.212,472.943,308.103,85.432,82.264
"Duchesne",152.054,387.425,275.899,322.221,88.218,558.859,194.21,180.536,0,177.836,202.951,273.279,441.864,229.855,512.901,181.535,200.17,351.723,281.012,184.863,359.762,219.362,308.857,154.23,154.23,453.483,229.99,238.842,225.463,154.23,153.742,549.204,256.13,203.338,200.17
"Emery",329.964,201.657,372.876,419.198,90.579,373.091,371.609,272.405,177.909,0,298.972,217.437,256.096,158.311,335.064,272.307,348.892,173.886,453.038,280.855,303.92,123.833,131.02,212.866,212.866,267.715,315.175,149.2,324.489,212.866,214.468,363.436,78.293,352.06,348.892
