"","Bear River","Beaver","Box Elder","Cache","Carbon","Central Utah","Daggett","Davis","Duchesne","Emery","Garfield","Grand","Iron","Juab","Kane","Millard","Morgan","Piute","Rich","Salt Lake","San Juan","Sanpete","Sevier","Southeast Utah","Southwest Utah","Summit","Tooele","TriCounty","Uintah","Utah","Wasatch","Washington","Wayne","Weber","Weber-Morgan"
"Bear River",0,246.683,114.583,146.883,197.35,344.267,117.15,105.15,131.783,252.383,115.2,301.133,271.683,175.883,360.9,104.383,75.733,269.183,64.85,105.3,356.5,206.683,241.233,121.883,121.883,276.517,134.533,253.283,88.583,121.883,122.783,323.333,262.417,81.267,75.733
"Beaver",245.1,0,205,237.3,162.65,104.317,303.717,155.567,213.483,103.4,168.6,195.667,31.75,77.983,120.967,154.467,196.033,63.533,252.583,158.733,251.033,99.667,38.417,123.2,123.2,36.583,172.167,158.6,183.3,123.2,130.767,83.4,101.083,201.383,196.033
"Box Elder",115.467,207.65,0,37.933,162.8,305.217,171.817,62.8,160.817,217.833,67.9,266.583,232.633,136.833,321.85,66.233,45.367,230.133,116.167,58.467,321.95,167.633,202.183,91.517,91.517,237.483,82.75,214.233,32.367,91.517,99.933,284.283,223.367,50.7,45.367
"Cache",147.767,239.933,36.983,0,195.1,337.517,204.117,95.083,193.117,250.133,100.2,298.867,264.933,169.133,354.15,98.533,77.65,262.433,103.117,90.767,354.233,199.933,234.467,123.8,123.8,269.767,115.05,246.517,64.65,123.8,132.233,316.583,255.65,83,77.65
"Carbon",194.533,162.883,160.383,192.683,0,260.467,204.783,110.95,64.683,58.933,123.983,108.583,187.883,112.467,259.233,109.85,151.433,154.317,207.983,114.117,163.95,117.1,126.35,78.583,78.583,192.717,143.317,173.15,138.683,78.583,86.15,239.533,116.133,156.767,151.433
"Central Utah",342.7,102.667,302.6,334.9,260.25,0,401.317,253.167,311.083,201,266.2,293.267,77.55,175.583,118.217,252.067,293.633,134.333,350.183,256.333,348.633,197.267,136.017,220.8,220.8,70.867,269.767,256.2,280.9,220.8,228.367,39.15,193.433,298.983,293.633
"Daggett",119.9,308.317,171.833,204.117,205.267,405.883,0,160.85,140.95,260.3,170.9,297.767,333.317,237.517,422.533,160.083,132.983,330.817,122.75,161,353.133,268.3,302.85,189.883,189.883,338.15,190.233,314.9,145.817,189.883,190.8,384.967,317.5,138.5,132.983
"Davis",106.283,157.1,61.033,93.333,112.267,254.667,159,0,113.15,167.3,24.633,216.033,182.1,86.3,271.317,13.75,52.067,179.6,107.883,14.767,271.4,117.083,151.633,40.967,40.967,186.933,43.967,163.683,39.333,40.967,49.4,233.75,172.817,57.417,52.067
"Duchesne",129.85,213.617,159.183,191.467,65.567,311.183,142.517,113.217,0,120.6,123.267,169.333,238.617,142.817,320.883,112.45,120.333,215.967,167.25,113.367,224.7,145.633,188.017,102.217,102.217,243.45,142.6,201.683,133.167,102.217,103.117,290.267,177.783,125.85,120.333
"Emery",250.317,103.95,216.183,248.467,59.25,201.517,260.583,166.733,120.467,0,179.767,116.817,128.933,89.85,200.283,165.633,207.217,95.367,263.767,169.9,172.183,75.533,67.4,134.367,134.367,133.767,194.317,134.483,194.467,134.367,141.933,180.583,57.183,212.55,207.217
"Garfield",115.933,169.333,65.917,98.217,124.5,266.9,168.667,24.767,122.8,179.533,0,228.267,194.333,98.533,283.55,27.317,56.867,191.833,117.533,21.617,283.633,129.317,163.867,53.2,53.2,199.167,24.7,175.917,44.133,53.2,61.633,245.983,185.05,62.217,56.867
"Grand",299.117,198,264.983,297.267,109.017,295.567,300.367,215.533,169.267,117.517,228.567,0,222.983,183.917,294.333,214.433,256.017,189.417,312.567,218.717,55.35,169.6,161.467,183.167,183.167,227.833,247.9,228.533,243.267,183.167,190.733,274.65,151.85,261.35,256.017
"Iron",270.533,30.5,230.45,262.733,188.1,79.117,329.15,181,238.933,128.833,194.033,221.117,0,103.417,109.383,179.9,221.483,62.167,278.033,184.167,276.483,125.1,63.85,148.633,148.633,11.383,197.6,184.033,208.733,148.633,156.2,58.2,121.283,226.817,221.483
"Juab",174.417,79.817,134.333,166.617,111.3,177.383,233.033,84.883,142.817,92.083,97.917,184.35,104.817,0,194.033,83.783,125.367,102.317,181.917,88.05,239.717,48.733,74.35,52.517,52.517,109.65,112.983,94.983,112.617,52.517,60.083,156.467,95.533,130.7,125.367
"Kane",359.817,119.783,319.733,352.017,258.033,118.55,418.433,270.283,319.25,198.767,283.317,291.05,108.783,192.7,0,269.183,310.767,106.633,367.317,273.45,291.633,195.033,131.683,237.917,237.917,109.467,286.883,253.983,298.017,237.917,245.483,86.083,165.75,316.1,310.767
"Millard",104.283,156.8,65.033,97.317,111.95,254.367,157.017,13.683,111.15,166.983,28.2,215.733,181.783,85.983,271,0,56.067,179.283,105.883,18.767,271.1,116.783,151.333,40.667,40.667,186.633,47.533,163.383,43.333,40.667,49.083,233.433,172.517,61.417,56.067
"Morgan",75.583,199.5,44.733,77.033,154.65,297.067,131.933,54.65,121.483,209.683,59.683,258.433,224.483,128.683,313.7,58.083,0,221.983,80.817,50.317,313.8,159.483,194.033,83.367,83.367,229.333,74.533,206.083,18.717,83.367,91.067,276.133,215.217,8.75,0
"Piute",268.05,61.317,227.95,260.25,154.417,134.917,326.667,178.517,215.633,95.15,191.55,187.433,62.333,100.933,106.767,177.417,218.983,0,275.533,181.683,242.8,91.417,28.067,146.15,146.15,67.167,202.75,150.367,206.25,146.15,153.717,113.983,66.35,224.333,218.983
"Rich",65.9,255.483,115.067,104.283,210.65,353.067,122.283,108.017,168.383,265.683,118.083,314.433,280.483,184.683,369.7,107.267,80.15,277.983,0,108.167,369.8,215.483,250.033,137.05,137.05,285.317,137.417,262.083,94.583,137.05,137.967,332.133,271.217,85.683,80.15
"Salt Lake",106.35,160.15,56.25,88.55,115.317,257.717,159.067,15.183,113.217,170.35,22.033,219.083,185.15,89.35,274.367,18.75,47.3,182.65,107.95,0,274.45,120.133,154.683,44.017,44.017,189.983,37.25,166.733,34.55,44.017,52.45,236.8,175.867,52.633,47.3
"San Juan",353.367,252.25,319.233,351.533,163.267,349.833,354.617,269.8,223.517,171.767,282.833,54.25,277.25,238.167,289.85,268.7,310.267,243.683,366.817,272.967,0,223.85,215.717,237.433,237.433,282.083,302.167,282.783,297.533,237.433,245,328.9,206.1,315.617,310.267
"Sanpete",207.283,100,167.183,199.467,118.567,197.567,265.883,117.733,147.7,76.667,130.783,168.95,125,48.467,196.333,116.633,158.217,91.417,214.767,120.917,224.317,0,63.467,85.383,85.383,129.833,145.883,91.433,145.467,85.383,92.95,176.65,86.283,163.567,158.217
"Sevier",239.967,40.167,199.867,232.167,126.333,137.733,298.583,150.433,187.55,67.067,163.467,159.35,65.15,72.85,132.867,149.333,190.917,27.95,247.467,153.6,214.717,63.333,0,118.067,118.067,70,174.683,122.283,178.167,118.067,125.633,116.817,64.767,196.25,190.917
"Southeast Utah",123.3,125.867,90.183,122.467,81.033,223.433,189.033,40.733,103.25,136.067,53.767,184.8,150.85,55.05,240.067,39.633,81.217,148.35,137.9,43.917,240.167,85.85,120.4,0,0,155.7,73.117,132.45,68.467,0,10.85,202.517,141.583,86.55,81.217
"Southwest Utah",123.3,125.867,90.183,122.467,81.033,223.433,189.033,40.733,103.25,136.067,53.767,184.8,150.85,55.05,240.067,39.633,81.217,148.35,137.9,43.917,240.167,85.85,120.4,0,0,155.7,73.117,132.45,68.467,0,10.85,202.517,141.583,86.55,81.217
"Summit",275.133,35.083,235.033,267.317,192.683,72.683,333.733,185.583,243.517,133.417,198.617,225.7,9.967,108,111.233,184.483,226.067,66.75,282.617,188.767,281.067,129.683,68.433,153.217,153.217,0,202.183,188.617,213.317,153.217,160.783,51.767,125.867,231.4,226.067
