"","Addison","Bennington","Caledonia","Chittenden","Essex","Franklin","Grand Isle","Lamoille","Orange","Orleans","Rutland","Washington","Windham","Windsor"
"Addison",0,168.099,164.361,63.02,55.889,118.038,85.964,116.377,122.844,164.556,86.579,125.258,142.629,136.479
"Bennington",168.017,0,250.935,102.78,195.866,286.055,253.981,244.163,202.332,302.67,88.752,187.172,72.073,133.715
"Caledonia",162.625,245.769,0,169.836,118.357,134.931,158.183,63.3,66.035,53.433,168.662,72.642,183.794,118.732
"Chittenden",62.929,102.802,169.464,0,101.719,173.741,141.667,156.593,114.762,221.199,13.188,99.602,77.332,76.771
"Essex",55.763,195.908,121.005,101.739,0,68.636,35.997,61.126,79.488,104.389,107.134,81.902,227.17,162.108
"Franklin",117.68,267.582,136.764,173.413,68.601,0,79.462,69.751,151.254,82.95,178.808,153.668,298.936,233.874
"Grand Isle",85.01,234.912,160.101,140.743,35.979,80.049,0,86.956,118.584,130.219,146.138,120.998,266.266,201.204
"Lamoille",117.106,244.919,65.511,157.318,58.999,69.73,87.649,0,74.573,52.575,156.144,76.987,222.255,157.193
"Orange",123.406,202.32,65.774,114.719,79.138,151.038,118.964,73.326,0,117.509,113.545,6.606,164.5,99.438
"Orleans",165.206,297.402,56.047,221.469,102.239,82.89,130.889,52.615,117.668,0,220.295,124.275,235.427,170.365
"Rutland",86.337,88.774,168.281,14.028,107.114,179.136,147.062,155.41,113.579,220.016,0,98.419,63.304,75.588
"Washington",125.881,187.199,72.381,99.598,81.613,153.513,121.439,75.801,6.606,124.116,98.424,0,151.723,86.661
"Windham",142.899,72.633,189.52,77.662,233.975,305.875,273.801,228.163,170.999,241.255,63.634,158.932,0,72.3
"Windsor",137.154,127.784,117.778,76.775,162.233,234.133,202.059,156.421,99.257,169.513,75.601,87.19,65.809,0
