"","Addison","Bennington","Caledonia","Chittenden","Essex","Franklin","Grand Isle","Lamoille","Orange","Orleans","Rutland","Washington","Windham","Windsor"
"Addison",0,118.117,128.05,63.45,55.317,93.433,73.817,98.55,93.217,141.033,63.683,95.967,109.633,114.75
"Bennington",117.267,0,158.95,81.217,171.517,210.417,190.783,185.217,156,186.483,66.683,155.05,54.683,101.933
"Caledonia",129.067,159.2,0,120.25,92.4,104.1,115.417,56.333,46.633,33.283,118.05,54.533,115.717,68.017
"Chittenden",62.55,80.8,120.1,0,102.55,144.383,124.767,121.917,92.7,147.633,15.517,91.733,72.317,73.533
"Essex",57.567,171.917,95.133,104.183,0,55.317,34.383,59.35,60.283,98.133,107.05,63.033,145,97.317
"Franklin",95.833,214.283,103.267,146.55,56.283,0,62.517,62.083,102.45,73.9,149.417,105.2,187.167,139.483
"Grand Isle",75.167,193.617,116.617,125.883,35.033,63.667,0,77.817,81.783,116.583,128.75,84.517,166.5,118.8
"Lamoille",98.533,182.85,57.3,118.733,59.417,62.167,76.333,0,65.4,47.733,116.517,68.15,150.117,102.417
"Orange",94.883,154.433,47.083,90.317,58.2,100.85,81.217,65.067,0,74.617,88.1,7.883,114.083,66.4
"Orleans",141.717,186.117,33.2,147.167,97.8,74.533,114.717,48.05,73.55,0,144.95,81.45,142.633,94.933
"Rutland",61.95,66.333,116.717,14.983,105.3,147.15,127.517,118.533,89.317,144.25,0,88.367,57.833,70.15
"Washington",97.483,154.767,54.117,90.633,60.8,103.45,83.817,67.667,7.017,81.65,88.433,0,114.35,66.667
"Windham",108.217,55.417,115.05,72.167,143.617,186.267,166.65,150.483,115.767,142.583,57.633,113.95,0,58.017
"Windsor",114.633,101.483,66.767,75.05,95.333,137.983,118.367,102.2,67.483,94.3,72.85,65.667,58,0
