"","Accomack","Albemarle","Alexandria","Alleghany","Amelia","Amherst","Appomattox","Arlington","Augusta","Bath","Bedford","Bland","Botetourt","Bristol","Brunswick","Buchanan","Buckingham","Buena Vista","Campbell","Caroline","Carroll","Charles City","Charlotte","Charlottesville","Chesapeake","Chesterfield","Clarke","Colonial Heights","Covington","Craig","Culpeper","Cumberland","Danville","Dickenson","Dinwiddie","Emporia","Essex","Fairfax","Fairfax City","Falls Church","Fauquier","Floyd","Fluvanna","Franklin","Franklin City","Frederick","Fredericksburg","Galax","Giles","Gloucester","Goochland","Grayson","Greene","Greensville","Halifax","Hampton","Hanover","Harrisonburg","Henrico","Henry","Highland","Hopewell","Isle of Wight","James City","King and Queen","King George","King William","Lancaster","Lee","Lexington","Loudoun","Louisa","Lunenburg","Lynchburg","Madison","Manassas","Manassas Park","Martinsville","Mathews","Mecklenburg","Middlesex","Montgomery","Nelson","New Kent","Newport News","Norfolk","Northampton","Northumberland","Norton","Nottoway","Orange","Page","Patrick","Petersburg","Pittsylvania","Poquoson","Portsmouth","Powhatan","Prince Edward","Prince George","Prince William","Pulaski","Radford","Rappahannock","Richmond","Richmond City","Roanoke","Roanoke City","Rockbridge","Rockingham","Russell","Salem","Scott","Shenandoah","Smyth","Southampton","Spotsylvania","Stafford","Staunton","Suffolk","Surry","Sussex","Tazewell","Virginia Beach","Warren","Washington","Waynesboro","Westmoreland","Williamsburg","Winchester","Wise","Wythe","York"
"Accomack",0,230.95,205.017,353.583,213.133,276.383,266.917,204.35,258.117,320.75,314.767,387.967,313.867,435.267,203.767,299.85,248.45,286.8,224.417,201.033,389.533,157.467,269.35,226.533,103.317,181.083,264.717,184.933,312.683,353.117,259.117,225.417,308.783,507.067,195,177.683,194.967,222.133,222.133,213.5,253.233,369.217,223.317,141.333,43.117,290.117,213.617,406.517,374.317,144.783,198.1,403.083,253.183,179.333,280.483,104.183,180.167,273.317,253,180.417,366.133,178.1,127.9,144.35,170.283,228.15,170.25,194.333,211.45,285.767,236.633,217.083,250.167,293.967,254.117,242.367,236.2,344.317,163.067,235.4,20.233,344.633,121.917,149.55,108.217,93.517,110.183,211.35,488.817,224.017,238.333,479.5,372.05,182.933,319.9,114.35,96.183,204.867,243.233,177.067,227.133,364.283,354.367,219.883,167.967,167.967,324.8,324.8,289.317,277.583,265.217,323.667,249.967,280.3,400.733,179,214.367,218.533,260.55,115.75,149,176.267,433.167,102.517,251.7,281.7,250.367,225.15,131.083,281.4,492.2,108.167,135.167
"Albemarle",230.733,0,140.717,134.4,89.167,56.7,87.55,133.6,38.933,101.55,95.767,168.783,94.683,216.083,144.467,80.667,59.65,67.617,27.683,96.833,170.35,103.417,113.817,9.65,163.517,77.8,125.117,89.65,93.5,171.533,66.617,77.467,139.817,287.883,104.733,127.967,116.767,120.933,120.933,128.483,85.117,150.033,34.933,154.933,271.433,121.067,103.267,182.283,155.133,129.7,52.2,183.883,34.05,124.583,135.083,134.217,79.383,54.117,153.833,82.217,146.95,95.95,157.25,125.983,119.583,123.067,100.317,153.333,132.633,66.583,133.067,41.117,124.867,73,38.55,107.917,116.9,158.167,147.117,144.417,217.15,125.45,127.733,93.717,134.467,155.417,132.267,150.283,269.633,113.25,47.1,260.3,184.883,93.5,118.9,131.867,153.583,69.3,87.583,99.717,125.883,145.083,135.183,153.35,70.317,70.317,105.617,105.617,70.133,58.383,129.75,104.483,86.333,61.167,181.55,71.917,86.1,109.667,41.367,160.583,133.633,114.667,213.967,163.6,38.35,77.8,31.183,146.967,112.217,113.617,273.017,134.417,135.25
"Alexandria",203.617,142.083,0,248.467,137.517,190.917,191.3,17.117,142.867,215.933,229.983,282.833,208.733,330.133,172.817,194.717,169.45,181.667,126.017,83.55,284.4,127.117,190.733,140.833,187.217,113.817,79.65,118,207.55,285.6,95.65,146.417,257.4,401.933,133.083,156.317,109.55,29.15,29.15,26.75,64.183,264.083,138.583,183.283,184.55,105.033,57.317,296.35,269.183,153.4,116.717,297.95,122.967,152.933,216.183,157.933,90.933,126.45,202.867,100.533,261,119.1,179.4,149.683,131.8,77.133,113.367,146.733,17.3,180.633,51.55,108.117,182.467,207.217,106.55,52.317,47.15,283.967,170.817,185.25,220.2,239.5,151.433,117.433,158.183,179.133,155.967,144.683,383.683,160.9,99.067,374.367,298.95,121.85,253.133,155.583,177.283,125.867,167.617,122.167,32.983,259.15,249.233,146.75,98.683,98.683,219.667,219.667,184.183,129.117,83.433,218.533,60.9,140.85,295.6,103.35,67.583,44.617,151.417,184.3,156.783,143.017,328.033,187.317,166.233,92.65,158.617,132.117,135.933,96.317,387.067,158.133,158.967
"Alleghany",354.217,137.033,246.767,0,185.05,119.083,129.267,239.65,112,132.283,83.067,64.833,58.683,112.133,239.967,60.45,154.3,85.317,150.967,220.317,66.4,226.9,160.817,138.267,287,201.283,198.183,213.133,104.983,98.317,197.817,178.067,145.017,183.933,221.75,256.567,240.25,226.967,226.967,234.517,210.2,46.083,158.417,278.417,394.917,194.133,226.55,78.35,34.583,253.183,175.683,79.95,163.633,257.883,160.5,257.7,202.867,127.2,196.067,205.7,38.1,219.433,280.733,249.467,243.067,246.35,223.8,276.817,238.683,84.183,226.467,164.6,193.067,113.317,169.733,219.45,224.033,114.583,270.6,206.083,340.633,19.75,251.217,217.2,257.95,278.9,255.75,273.767,165.683,185.433,172.6,144.55,80.95,216.983,123.633,255.35,277.067,192.783,161.167,223.2,236.867,41.15,30.95,276.833,193.8,193.8,47.6,47.6,76.933,131.467,202.817,39.45,210.167,151.667,77.6,195.4,209.583,232.95,113.75,284.067,257.117,238.15,98.117,287.083,161.833,192.9,117.333,270.45,235.7,186.7,169.067,257.9,258.733
"Amelia",211.25,90.133,136.467,183.017,0,90.05,56.85,139.433,117.283,179.917,104.7,217.4,150.933,264.7,81.867,139.933,57.933,127.983,83.583,83.367,218.967,77.117,56.283,85.717,145.633,37.917,186.75,50.75,169.367,167.283,129.583,42.95,122.95,336.5,53.733,89.067,104.367,138.233,138.233,140.517,136.517,191.9,70.483,116.033,251.95,195.433,95.95,230.9,203.75,110.217,37.117,232.5,112.35,85.683,81.733,114.733,65.767,132.483,90.017,69.717,195.567,57.05,118.35,106.5,104.2,110.483,87.9,138.95,128.417,137.133,163.067,76.25,48.033,83.9,113.3,135.317,137.717,158.467,127.633,81.35,197.667,174.067,108.25,74.233,114.983,135.933,112.783,137.883,318.25,29.65,97.517,308.917,186.217,54.6,120.033,112.383,134.1,25.383,33.167,60.817,121.25,193.7,183.8,140.933,48.567,48.567,143.883,143.883,138.033,136.75,194.317,153.1,137.733,139.483,230.167,44.767,96.7,100.867,119.733,126.083,94.733,75.767,262.583,144.117,90.367,152.55,109.533,134.55,92.75,189.983,321.633,114.933,115.767
"Amherst",275.65,57.75,189.983,118.733,91.683,0,35.9,185.5,72.583,101.133,44.117,153.117,79,200.417,146.6,65,38.717,39.917,72.4,141.75,154.683,148.333,67.483,59.7,208.433,116.55,158.767,129.4,81.3,122.8,118.533,62.5,88.183,272.217,128.383,163.217,161.683,172.833,172.833,180.383,137.017,131.317,79.85,194.667,316.35,154.717,147.983,166.617,139.467,174.617,97.1,168.217,85.95,164.517,83.433,179.133,124.3,87.783,119.017,127.133,131.267,135.7,197,170.9,164.5,167.783,145.233,198.25,181.933,49.05,184.967,86.033,99.883,21.35,90.45,159.817,168.8,106.533,192.033,113.617,262.067,109.783,172.65,138.633,179.383,200.333,177.183,195.2,253.95,92.067,94.033,244.633,141.75,133.233,67.267,176.783,198.5,86.233,67.817,139.45,174.767,129.417,119.5,198.267,115.233,115.233,83.3,83.3,53.717,92.05,163.4,88.817,138.233,108.95,165.867,119.233,131.017,154.383,75.017,204.717,173.367,154.417,198.3,208.517,54.65,129.7,63.15,191.883,157.133,147.283,257.35,179.333,180.167
"Appomattox",266.55,87.383,191.783,128.617,57.75,35.65,0,194.75,102.217,134.8,50.3,163,96.533,210.3,112.667,85.533,29.867,73.583,99.55,138.667,164.567,132.417,33.55,85.833,195.583,93.217,188.4,105.933,114.967,128.183,148.167,53.65,93.567,282.1,94.45,129.267,159.667,193.55,193.55,195.817,166.65,137.5,77.183,167.6,307.25,184.35,151.267,176.5,149.35,165.517,88.25,178.1,115.583,130.583,64.6,170.05,121.083,117.417,89.45,125.033,141.167,112.367,168.3,161.8,159.5,165.783,143.2,194.267,183.733,82.733,214.6,108.1,65.95,29.5,120.083,189.45,193.033,111.9,182.933,79.683,252.983,119.667,163.567,129.55,170.3,189.233,168.083,193.183,263.85,58.133,118.167,254.517,147.117,104.1,72.65,167.7,187.95,77.383,33.883,111.783,176.567,139.3,129.4,196.233,103.883,103.883,89.483,89.483,83.633,121.683,193.033,98.7,167.867,138.583,175.767,100.067,150.35,156.167,104.65,176.017,150.05,121.733,208.183,199.433,60.2,159.35,92.783,189.85,148.05,176.917,267.233,170.25,171.083
"Arlington",200.167,134.283,16.533,240.667,139.483,187.033,193.25,0,135.067,208.133,219.8,275.05,200.95,322.35,174.767,186.933,171.4,173.867,127.967,85.5,276.617,129.083,192.683,138.467,189.167,115.767,69.55,119.95,199.767,277.8,87.85,148.367,259.35,394.15,135.033,158.267,111.5,25.283,25.283,16.65,56.383,256.3,140.533,185.233,181.1,94.933,59.283,288.55,261.4,155.35,118.667,290.15,115.167,154.883,218.133,159.883,92.883,118.667,204.817,102.5,253.2,121.05,181.35,151.633,133.75,79.083,115.317,148.7,19.1,172.833,41.45,110.067,184.433,203.333,98.767,45.517,39.35,276.167,172.767,187.2,216.75,231.717,153.4,119.383,160.133,181.083,157.917,145.65,375.9,162.85,101.017,366.567,291.15,123.8,249.25,157.533,179.25,127.817,169.567,124.117,34.933,251.35,241.45,148.7,100.633,100.633,211.883,211.883,176.4,121.333,73.333,210.75,53.117,133.05,287.817,105.3,69.533,46.567,143.633,186.25,158.733,144.983,320.233,189.267,168.183,84.85,150.817,140.083,137.883,86.217,379.283,160.083,160.917
"Augusta",258,40.817,141.017,110.967,116.45,71.917,102.767,133.9,0,76.133,90.1,145.35,71.233,192.65,171.733,57.233,90.083,44.167,54.75,124.1,146.917,130.683,134.35,42.05,190.783,105.067,92.433,116.917,70.05,148.1,101.6,104.733,155.05,264.45,132,155.233,144.05,121.217,121.217,128.767,104.45,126.583,62.2,182.2,298.7,88.383,130.35,158.85,131.7,156.967,79.467,160.45,57.883,151.85,150.3,161.483,106.65,21.45,181.1,109.5,123.5,123.217,184.517,153.25,146.85,150.133,127.583,180.6,132.933,43.133,120.717,68.383,152.133,88.217,73.533,113.7,118.283,146.467,174.383,171.7,244.417,102.017,155,121,161.75,182.683,159.533,177.567,246.183,140.517,76.383,236.867,161.45,120.767,134.133,159.133,180.85,96.567,114.867,126.983,131.117,121.65,111.733,180.617,97.6,97.6,82.183,82.183,46.683,25.717,97.067,81.05,104.417,45.917,158.1,99.183,113.367,136.733,11.717,187.867,160.9,141.933,190.533,190.867,65.633,87.133,21.117,174.233,139.5,80.95,249.583,161.683,162.517
"Bath",320.633,103.467,213.417,128.917,179.083,100.75,134.9,206.317,76.55,0,112.917,153.767,75.667,210.6,234.367,80.05,137.667,66.983,117.383,186.733,164.867,193.333,166.483,104.7,253.433,167.717,164.85,179.567,38.6,166.05,164.25,161.45,187.183,271.717,194.65,217.883,206.683,193.633,193.633,201.183,176.85,144.55,124.85,244.85,361.333,160.8,192.983,176.8,129.05,219.617,142.117,178.4,130.3,214.5,182.433,224.133,169.3,93.867,218.017,172.133,141.467,185.867,247.167,215.883,209.5,212.783,190.217,243.25,205.35,61.833,193.133,131.033,198.883,120.917,136.167,186.117,190.7,164.433,237.033,212.617,307.067,119.967,217.65,183.633,224.383,245.333,222.167,240.2,261.05,191.067,139.017,216.867,179.4,183.4,166.267,221.783,243.5,159.217,166.817,189.633,203.533,139.617,129.7,243.25,160.233,160.233,100.133,100.133,66.033,98.133,169.483,99,176.833,118.333,176.067,161.833,176.017,199.367,73.867,250.5,223.55,204.583,170.433,253.517,128.267,159.55,83.767,236.867,202.133,153.367,264.433,224.333,225.167
