,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
Adams,0,510.045,317.49,301.036,135.741,401.926,355.159,179.59,287.042,491.771,70.403,92.005,204.804,87.479,132.664,43.148,43.872,195.922,384.082,335.564,412.557,439.074,385.379,57.027,538.805,312.983,165.294,95.28,325.515,57.763,459.311,10.954,108.808,255.778,430.779,140.887,428.897,239.488
Asotin,513.617,0,265.992,384.052,638.698,289.218,213.272,566.14,349.163,376.053,501.959,597.752,665.205,583.782,635.621,535.455,567.763,321.769,428.296,552.488,263.259,177.003,391.624,510.512,259.173,276.834,661.601,591.587,506.292,531.722,179.679,508.085,569.209,665.518,166.854,637.194,170.289,344.169
Benton,316.894,267.241,0,266.142,441.975,285.704,57.347,301.419,237.346,374.83,305.236,401.029,468.482,387.059,438.898,338.732,371.04,139.482,163.575,300.907,281.158,252.861,328.093,313.789,352.592,75.001,464.878,394.864,266.548,334.999,273.098,311.362,372.486,425.774,132.967,440.471,131.085,79.448
Chelan,299.907,383.956,267.425,0,384.944,153.647,247.228,426.281,36.027,194.654,288.249,384.042,451.495,314.985,381.867,321.745,354.053,181.1,369.26,499.989,173.728,278.581,86.535,296.802,325.673,233.189,370.796,300.782,467.247,236.635,246.179,294.375,355.499,502.469,317.933,346.389,316.051,224.666
Clallam,134.602,636.55,443.995,380.81,0,528.431,481.664,263.107,366.816,546.729,220.877,172.033,254.595,94.298,4.109,164.818,134.285,322.427,502.008,419.081,539.062,565.579,437.069,196.017,665.31,439.488,105.579,155.92,409.032,155.637,585.816,137.459,196.409,339.295,557.284,194.968,555.402,365.993
Clark,400.7,288.319,284.168,153.35,525.781,0,231.448,527.074,128.249,89.132,389.042,484.835,552.288,470.865,522.704,422.538,454.846,208.852,413.497,544.226,55.723,159.375,118.775,397.595,207.668,254.71,485.953,415.939,524.468,351.792,128.174,395.168,456.292,603.262,302.153,461.546,300.271,268.903
Columbia,372.726,214.07,57.103,248.24,497.807,232.533,0,357.251,213.351,321.659,361.068,456.861,524.314,442.891,494.73,394.564,426.872,164.055,219.407,339.384,227.987,199.69,298.44,369.621,299.421,67.945,520.71,450.696,293.188,390.831,219.927,367.194,428.318,452.414,79.796,496.303,77.914,135.28
Cowlitz,177.876,567.303,301.116,425.782,262.975,526.672,357.409,0,411.788,616.517,163.977,120.264,137.121,258.218,259.898,142.367,157.225,320.668,243.644,160.717,537.303,563.82,510.125,137.269,663.551,315.106,336.033,266.019,150.668,209.147,584.057,175.343,72.332,80.931,433.029,311.626,431.147,222.953
Douglas,286.815,349.102,237.076,36.062,371.852,128.243,212.374,413.189,0,218.088,275.157,370.95,438.403,301.893,368.775,308.653,340.961,156.982,361.627,492.356,138.874,243.727,116.485,283.71,290.819,202.84,357.704,287.69,459.614,223.543,211.325,281.283,342.407,489.377,283.079,333.297,281.197,217.033
Ferry,490.539,377.504,373.294,194.622,544.01,89.132,320.574,616.913,218.088,0,478.881,574.674,642.127,449.681,540.933,512.377,544.685,298.691,503.336,634.065,144.849,249.041,109.023,487.434,186.764,344.549,457.944,397.97,601.323,428.854,198.748,485.007,546.131,693.101,391.279,422.828,389.397,358.742
Franklin,69.426,496.757,304.202,287.748,221.01,388.638,341.871,164.493,273.754,478.483,0,122.254,189.707,139.685,217.933,75.124,92.265,182.634,370.794,233.679,399.269,425.786,372.091,35.014,525.517,299.695,217.504,147.49,310.418,87.625,446.023,63.988,93.711,240.681,417.491,193.097,415.609,226.2
Grant,89.884,592.973,400.418,383.964,172.145,484.854,438.087,120.783,369.97,574.699,122.159,0,112.271,141.18,169.068,80.353,49.82,278.85,359.684,276.757,495.485,522.002,468.307,97.299,621.733,395.911,225.031,224.201,266.708,167.329,542.239,133.525,54.085,196.971,513.707,269.808,511.825,322.416
Grays Harbor,203.082,659.997,467.442,450.988,254.829,551.878,505.111,136.579,436.994,641.723,189.183,112.118,0,231.641,251.752,167.573,150.253,345.874,375.48,292.553,562.509,589.026,535.331,162.475,688.757,462.935,361.239,291.225,282.504,234.353,609.263,200.549,97.538,161.207,580.731,336.832,578.849,389.44
Island,86.826,579.291,386.736,315.151,94.328,471.172,424.405,258.319,301.157,452.43,139.631,141.159,231.581,0,91.251,125.239,103.411,265.168,453.328,414.293,481.803,508.32,342.77,132.18,608.051,382.229,83.85,61.621,404.244,81.514,528.557,89.683,187.537,334.507,500.025,100.669,498.143,308.734
Jefferson,131.456,633.404,440.849,377.664,4.178,525.285,478.518,259.961,363.67,543.583,217.731,168.887,251.449,91.152,0,161.672,131.139,319.281,498.862,415.935,535.916,562.433,433.923,192.871,662.164,436.342,103.762,152.774,405.886,152.491,582.67,134.313,193.263,336.149,554.138,191.822,552.256,362.847
King,43.805,530.911,338.356,321.902,164.584,422.792,376.025,142.545,307.908,512.637,75.384,80.06,167.759,125.561,161.507,0,31.927,216.788,381.446,298.519,433.423,459.94,406.245,50.524,559.671,333.849,203.376,133.362,288.47,85.997,480.177,42.686,71.763,218.733,451.645,178.969,449.763,260.354
