,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
Adams,0,321.683,181.3,200.517,146.917,252.15,212.467,113.633,190.35,322.2,69.667,111.767,143.233,98.783,143.85,73.433,74.133,116.55,237.967,231.333,260.983,254.6,253.167,46.783,313.617,225.367,161.367,66.6,196.533,48.917,252.617,19.8,75.217,169.267,262.217,94.183,262.217,140.217
Asotin,326.683,0,179.083,277.667,447.917,218.333,152.783,375.15,243.983,285.133,322.1,385.15,419.783,392.267,444.85,366.833,354.6,214.167,285.267,363.083,199.617,138.733,293.183,318.883,192.533,219.967,454.983,360.217,310.983,334.617,131.517,316.783,351.783,407,123.783,387.8,126.75,218.5
Benton,182.983,177.517,0,192.217,304.217,184.75,35.067,203.5,160.483,266.017,178.383,241.45,276.083,248.55,301.15,223.133,210.883,78.3,113.617,209.383,174.267,150.05,220.2,175.183,209.067,83.533,311.283,216.517,157.167,190.9,148.05,173.083,208.067,253.183,84.817,244.1,84.817,46.867
Chelan,201.533,276.417,190.033,0,319.467,118.483,177.85,265.05,46.55,135.933,196.95,260.017,294.65,257.467,316.4,241.7,229.45,129.933,251.35,350.967,127.217,195.05,63.817,193.75,238.05,203.967,309.883,215.117,301.467,179.7,177.05,191.65,226.633,320.683,223.383,242.7,223.383,153.6
Clallam,146.617,442.683,302.3,322.833,0,373.15,333.467,191,312.667,449.617,168.667,137.467,205.5,107.733,8.117,157.183,106.517,237.55,330.633,308.7,381.983,375.6,374.667,144.983,434.617,346.367,160.383,163.3,273.9,154.767,373.617,140.783,154.95,246.633,383.217,187.233,383.2,261.217
Clark,253.767,217.883,184.267,117.783,375.017,0,157.967,317.283,85.25,81.9,249.183,312.25,346.883,319.35,371.95,293.933,281.683,141.25,271.733,371.333,51.117,127.7,105.8,245.967,161.95,214.183,385.033,290.267,316.183,254.85,100.95,243.867,278.867,372.917,203.5,317.85,203.5,173.983
Columbia,211.783,151.583,36.25,179.183,333.017,158.817,0,232.317,145.5,240.083,207.2,270.267,304.883,277.367,329.95,251.95,239.7,103.767,142.417,216.167,148.333,124.117,197.383,203.983,183.117,77.133,340.083,245.317,164.083,219.717,122.117,201.883,236.883,260.1,58.883,272.9,58.883,75.667
Cowlitz,113.9,374.2,203.033,263.817,189.65,315.467,231.767,0,253.65,385.5,107.583,79.4,101.883,185.733,186.583,113.1,94.617,179.85,146.2,124.267,324.283,317.9,316.483,80.85,376.917,255.783,248.317,153.55,89.467,130.167,315.917,104.45,40.667,62.2,281.517,181.133,281.5,161.783
Douglas,191.733,243.5,159.383,47.15,309.65,85.483,144.933,255.25,0,155.517,187.15,250.217,284.85,247.667,306.583,231.9,219.65,100.383,230.85,330.467,94.3,162.133,80.833,183.933,205.15,173.3,300.083,205.317,280.967,169.9,144.133,181.833,216.833,310.883,190.467,232.9,190.467,133.1
Ferry,321.767,283.95,264.283,136.05,447.067,80.15,237.983,385.283,153.25,0,317.183,380.25,414.883,340.567,444,361.933,349.683,209.25,339.733,439.333,131.133,199.5,76.817,313.967,150.183,282.183,379.7,292.383,389.85,304.367,157.683,311.867,346.867,440.917,283.517,307.833,283.517,241.983
Franklin,71.083,316.567,176.183,195.383,168.083,247.033,207.35,109.017,185.217,317.067,0,103.983,138.6,136,165.017,92,73.417,111.417,232.833,207.3,255.85,249.467,248.05,37.7,308.483,220.233,198.733,103.967,191.917,78.35,247.483,60.517,70.6,164.65,257.083,131.533,257.083,135.1
Grant,112.867,378.8,238.417,257.633,134.967,309.267,269.583,81.35,247.467,379.3,101.383,0,95.85,135.583,131.9,93.883,43.233,173.667,220.983,199.05,318.083,311.717,310.283,77.717,370.733,282.467,243.983,147.35,164.25,123.967,309.733,98.267,45.3,136.983,319.333,174.933,319.317,197.333
Grays Harbor,142.45,413.533,273.15,292.367,203.967,344,304.317,98.633,282.2,414.05,136.133,93.717,0,207.417,200.883,141.633,123.95,208.4,238.267,216.333,352.833,346.45,345.017,109.383,405.467,317.217,276.85,182.083,181.533,158.7,344.467,133,69.217,127.767,354.067,209.667,354.067,232.067
Island,97.983,387.45,247.067,258.767,106.5,317.917,278.233,186,248.6,341.867,138.883,138.4,209.017,0,103.417,148.6,107.45,182.317,303.733,303.7,326.75,320.367,266.917,116.65,379.383,291.133,108.383,55.55,268.9,84.833,318.383,92.167,147.583,241.633,327.983,79.483,327.983,205.983
Jefferson,142.217,438.283,297.9,318.433,8.7,368.75,329.067,186.6,308.267,445.217,164.267,133.067,201.1,103.333,0,152.767,102.117,233.15,326.233,304.3,377.567,371.2,370.267,140.583,430.217,341.95,157.75,158.9,269.5,150.367,369.217,136.383,150.55,242.233,378.817,182.833,378.8,256.817
King,74.117,362.733,222.333,241.55,154.617,293.2,253.517,114.767,231.383,363.233,91.667,94.033,144.367,148.783,151.55,0,56.417,157.583,254.4,232.467,302.017,295.633,294.2,68,354.65,266.4,211.367,116.6,197.667,99.167,293.65,67.5,76.35,170.4,303.25,144.183,303.25,181.25
Kitsap,75.6,350.733,210.35,229.567,105.867,281.2,241.517,95.767,219.4,351.233,73.317,45.3,127.017,106.483,102.8,56.983,0,145.6,235.4,213.467,290.017,283.65,282.217,49.633,342.667,254.4,214.883,118.083,178.667,95.9,281.65,68.983,57.35,151.4,291.267,145.667,291.25,169.267
Kittitas,117.65,211.483,78.933,128.767,238.883,141.95,102.267,181.15,101.733,211.983,113.05,176.117,210.75,183.217,235.817,157.8,145.567,0,135.6,235.217,150.767,144.4,161.45,109.85,203.417,115.15,245.95,151.183,185.717,125.583,142.417,107.75,142.733,236.783,152.017,178.767,152,37.85
Klickitat,241.383,284.267,113.083,252.5,329.483,272.317,141.817,145.917,232.1,342.35,236.8,219.25,241.717,306.967,326.417,252.933,234.467,136.717,0,112.15,281.133,256.8,291.817,220.683,315.817,185.183,369.7,274.933,67.017,249.317,254.8,231.5,180.5,163.033,181.217,302.517,181.2,105.267
Lewis,230.767,362.767,210.933,343.25,306.5,363.05,216.583,122.95,322.833,433.1,207.633,196.267,218.733,302.6,303.433,229.95,211.483,227.45,113.533,0,358.9,334.667,382.55,197.7,393.683,286.183,365.167,270.4,79.35,247.033,332.683,221.317,157.533,140.05,249.583,297.983,249.583,206.283
Lincoln,261.767,198.95,172.217,126.917,383,48.85,145.917,325.267,93.233,130.1,257.167,320.233,354.867,327.333,379.933,301.917,289.683,149.233,279.717,356.217,0,108.767,123.7,253.967,143.017,222.167,393.017,298.25,304.117,262.833,82.017,251.867,286.85,380.9,188.233,325.833,190.133,181.967
Mason,257.717,137.667,151.617,196.4,378.967,127.567,125.317,321.233,162.717,200.717,253.133,316.2,350.833,323.3,375.883,297.883,285.633,145.2,257.8,335.617,108.85,0,202.417,249.917,108.117,192.5,386.017,291.25,283.533,265.65,47.117,247.817,282.817,376.867,167.65,318.833,169.533,177.933
Okanogan,253.15,291.75,219.633,63,371.933,106.167,198.083,316.65,79.067,76.983,248.55,311.617,346.25,265.433,368.867,293.3,281.05,160.633,291.117,390.717,124.983,201.567,0,245.35,227.167,233.567,304.583,217.267,341.233,231.3,174.817,243.25,278.233,372.283,243.617,232.7,243.617,193.367
Pacific,47.633,313.25,172.867,192.083,145.333,243.717,204.033,83,181.917,313.767,35.85,81.233,112.6,116.617,142.267,69.25,50.667,108.117,222.633,200.7,252.55,246.167,244.733,0,305.183,216.933,179.333,84.567,165.9,58.967,244.183,38.183,44.583,138.633,253.783,112.15,253.783,131.783
Pend Oreille,313.05,190.883,206.95,237.783,434.3,159.7,180.65,376.567,204.1,152.033,308.467,371.533,406.167,378.633,431.233,353.217,340.967,200.533,313.133,390.967,141,106.433,234.567,305.25,0,247.833,441.367,346.6,338.867,320.983,65.45,303.167,338.15,432.2,222.983,374.183,224.867,233.267
Pierce,228.867,219.233,83.367,206.083,350.1,214.583,76.8,256.083,174.367,284.617,224.283,287.333,321.967,294.45,347.033,269.017,256.783,116.35,185.333,284.95,223.4,200.067,234.067,221.067,259.083,0,357.167,262.4,235.45,236.8,198.083,218.967,253.967,317.85,126.55,289.983,126.533,99.433
San Juan,161.167,450.817,310.433,311.117,160.8,384.967,341.6,249.183,300.933,381.833,202.25,246.783,278.783,108.367,159.25,211.783,212.5,245.683,367.1,366.883,393.783,383.733,306.883,180.017,442.75,354.5,0,95.517,332.083,137.167,381.75,155.333,210.767,304.817,391.35,119.45,391.35,269.35
Skagit,65.633,355.3,214.917,215.583,162.117,289.45,246.083,153.667,205.417,292.5,106.733,148.633,183.267,55.617,159.05,116.267,116.967,150.167,271.583,271.367,298.267,288.217,217.567,84.5,347.233,258.967,94.75,0,236.567,41.65,286.233,59.817,115.25,209.3,295.833,30.133,295.817,173.833
Skamania,197.333,309.55,157.617,301.583,273.067,316.133,163.35,89.517,281.167,391.433,191.017,162.833,185.3,269.167,270,196.517,178.05,185.783,67.233,78.45,305.667,281.433,340.883,164.283,340.45,234.25,331.75,236.983,0,213.6,279.45,187.883,124.1,106.633,196.35,264.55,196.35,154.35
Snohomish,49.45,330.683,190.3,180.117,153.267,253.983,221.483,131.083,169.95,304.9,82.117,126.05,160.683,85.117,150.183,99.167,99.883,125.55,246.967,248.783,262.8,263.6,232.783,59.9,322.617,234.367,137.533,42.767,213.983,0,261.617,41.483,92.667,186.717,271.217,70.35,271.217,149.217
Spokane,253.4,131.233,147.3,178.117,374.65,100.05,121,316.917,144.45,158.85,248.817,311.883,346.517,318.983,371.567,293.567,281.317,140.883,253.483,331.3,81.35,46.783,174.917,245.6,68.433,188.183,381.7,286.933,279.217,261.333,0,243.5,278.5,372.55,163.333,314.517,165.217,173.617
Stevens,22.617,312,171.617,190.833,142.15,242.467,202.783,106.583,180.667,312.5,62.617,106.483,136.183,94.017,139.083,69.183,69.883,106.867,228.283,224.283,251.3,244.917,243.483,39.733,303.933,215.683,156.6,61.833,189.483,41.767,242.933,0,68.167,162.217,252.533,89.4,252.517,130.533
Thurston,76.717,347.817,207.433,226.65,154.133,278.283,238.6,41.183,216.483,348.317,70.4,43.9,70.767,148.55,151.067,75.917,57.45,142.683,180.817,158.883,287.1,280.733,279.3,43.667,339.75,251.483,211.133,116.367,124.083,92.983,278.733,67.283,0,96.817,288.35,143.95,288.333,166.35
Wahkiakum,170.867,404.083,252.15,320.783,246.6,372.417,257.883,63.033,310.617,442.45,164.533,136.367,128.7,242.7,243.533,170.05,151.583,236.817,161.767,139.833,381.25,374.867,373.433,137.8,433.883,317.433,305.267,210.5,105.033,187.117,372.883,161.417,97.617,0,290.883,238.083,290.883,223.433
Walla Walla,259.367,121.867,83.833,222.083,380.6,201.717,57.517,279.9,188.4,282.983,254.783,317.85,352.467,324.95,377.533,299.517,287.283,151.35,178.817,249.833,190,165.783,240.283,251.567,224.8,124.717,387.667,292.9,197.75,267.3,163.783,249.467,284.467,293.767,0,320.483,8.983,123.25
Whatcom,93.067,382.733,242.35,243.017,183.933,316.883,273.517,181.1,232.85,308.567,134.167,176.05,210.683,77.433,180.867,143.7,144.4,177.583,299,298.8,325.7,315.65,233.633,111.933,374.65,286.4,116.583,29.617,263.983,69.083,313.65,87.25,142.683,236.717,323.25,0,323.25,201.267
Whitman,260.5,124.1,84.967,223.217,381.733,202.85,58.65,281.033,189.533,284.117,255.917,318.983,353.6,326.083,378.667,300.65,288.417,152.483,179.95,250.967,192.183,167.95,241.417,252.7,226.967,125.85,388.8,294.033,198.883,268.433,165.967,250.6,285.6,294.9,8.867,321.617,0,124.383
