"","Barbour","Berkeley","Boone","Braxton","Brooke","Cabell","Calhoun","Clay","Doddridge","Fayette","Gilmer","Grant","Greenbrier","Hampshire","Hancock","Hardy","Harrison","Jackson","Jefferson","Kanawha","Lewis","Lincoln","Logan","Marion","Marshall","Mason","McDowell","Mercer","Mineral","Mingo","Monongalia","Monroe","Morgan","Nicholas","Ohio","Pendleton","Pleasants","Pocahontas","Preston","Putnam","Raleigh","Randolph","Ritchie","Roane","Summers","Taylor","Tucker","Tyler","Upshur","Wayne","Webster","Wetzel","Wirt","Wood","Wyoming"
"Barbour",0,299.406,267.508,101.491,184.768,300.986,9.72,179.123,83.912,205.585,95.518,213.484,557.075,126.219,241.688,306.155,151.659,290.174,231.749,152.064,246.894,320.532,310.127,126.373,198.414,222.165,329.356,301.268,131.332,99.882,66.053,288.301,196.53,168.687,199.217,137.209,125.075,144.545,65.465,257.226,244.223,41.393,116.725,177.36,105.939,133.377,50.767,100.003,34.249,322.933,18.681,127.74,171.858,235.471,298.194
"Berkeley",300.477,0,533.811,367.794,342.984,567.289,293.093,445.426,337.365,471.888,361.821,358.88,440.945,163.968,64.233,451.722,417.962,515.847,498.052,405.517,500.347,520.879,576.43,346.51,487.814,475.618,504.753,458.536,154.341,307.655,239.981,381.464,449.983,434.99,357.433,220.1,378.528,315.724,235.111,523.529,437.297,264.341,370.178,443.663,359.392,141.444,229.026,353.456,343.978,589.236,281.795,358.236,425.311,488.924,498.541
"Boone",266.888,532.628,0,175.026,360.258,122.316,275.154,126.253,240.987,125.269,187.078,416.561,678.979,403.757,474.91,161.338,138.3,22.665,51.926,174.052,128.11,105.04,50.197,266.187,126.305,149.045,147.428,156.451,390.338,268.796,299.767,216.175,137.115,128.246,335.011,364.756,214.248,245.407,320.576,78.556,99.64,268.94,222.686,126.658,244.422,379.44,299.679,249.48,231.215,101.167,273.492,247.048,168.864,113.997,92.839
"Braxton",102.915,368.655,175.051,0,241.859,208.529,111.181,86.666,83.476,113.128,12.728,270.575,658.648,239.784,310.937,213.698,59.202,197.717,139.292,114.314,214.323,228.075,217.67,170.61,108.298,225.618,236.899,208.811,226.365,124.847,135.794,195.844,205.199,76.23,256.308,200.783,110.418,164.025,156.603,164.769,151.766,104.967,86.396,87.244,65.427,215.467,135.706,111.655,67.242,230.476,109.519,171.977,102.374,202.248,205.737
"Brooke",176.03,356.161,361.487,240.071,0,394.965,185.959,317.703,148.012,344.165,234.098,55.248,770.316,227.29,298.443,444.735,290.239,384.153,325.728,200.418,284.541,458.949,404.106,84.754,272.008,259.81,467.936,439.848,255.095,312.469,112.796,426.881,234.175,307.267,26.979,349.796,144.835,357.132,159.459,311.086,382.803,253.98,164.662,262.712,231.669,284.477,203.356,119.732,216.255,416.912,157.348,85.398,221.665,273.118,436.774
"Cabell",301.833,567.573,122.961,209.971,395.203,0,310.099,161.198,275.932,186.1,222.023,451.506,761.073,438.702,509.855,243.432,173.245,145.627,73.932,208.997,69.577,166.481,111.638,301.132,161.25,90.512,266.633,238.545,425.283,303.741,334.712,298.269,123.61,226.016,369.956,399.701,249.193,313.811,355.521,63.536,186.282,303.885,257.631,161.603,279.367,414.385,334.624,284.425,266.16,28.388,308.437,281.993,203.809,98.984,235.471
"Calhoun",9.72,292.286,276.093,110.076,207.201,309.571,0,187.708,93.491,214.17,104.103,235.917,547.354,125.807,234.568,314.74,160.244,298.759,240.334,161.643,256.473,329.117,318.712,135.952,206.999,231.744,337.941,309.853,130.92,90.161,75.982,233.431,206.109,177.272,221.65,127.488,134.654,134.824,65.053,265.811,252.808,31.672,126.304,185.945,115.518,132.965,50.355,109.582,46.91,331.518,28.61,137.319,181.437,245.05,306.779
"Clay",178.28,444.02,126.939,86.418,317.224,160.417,186.546,0,203.514,74.636,98.47,345.94,646.532,315.149,386.302,168.798,17.525,149.605,91.18,194.024,166.211,183.175,169.558,245.975,88.135,177.506,191.999,163.911,301.73,150.042,211.159,183.728,157.087,46.029,331.673,276.148,147.986,150.183,231.968,116.657,106.866,180.332,123.964,67.081,151.17,290.832,211.071,166.161,142.607,182.364,184.884,196.757,108.129,154.136,160.837
"Doddridge",83.465,337.473,241.37,83.744,151.609,274.848,93.044,203.565,0,230.027,71.016,203.109,655.524,208.602,279.755,330.597,176.101,264.036,205.611,69.594,164.424,338.832,283.989,80.121,151.891,139.695,353.798,325.71,236.407,198.331,104.612,312.743,114.06,193.129,123.666,235.658,42.605,242.994,125.421,190.969,268.665,139.842,34.255,122.349,23.469,213.53,134.091,28.279,102.117,296.795,78.337,62.601,89.388,153.001,322.636
"Fayette",209.148,474.888,125.021,117.286,348.092,184.708,217.414,71.796,234.382,0,129.338,376.808,592.769,346.017,417.17,108.887,88.74,112.636,115.471,224.587,190.502,123.264,149.094,276.843,176.84,208.069,132.088,104,332.598,159.808,242.027,129.965,187.65,44.11,362.541,244.993,264.783,140.117,262.836,140.948,46.955,211.2,203.007,169.891,182.038,321.7,241.939,250.473,173.475,206.655,215.752,278.21,219.399,184.699,100.926
"Gilmer",95.394,361.134,187.357,12.728,234.338,220.835,103.66,98.972,70.748,125.434,0,263.054,613.128,232.263,303.416,226.004,71.508,210.023,151.598,101.586,226.629,240.381,229.976,163.089,102.895,170.979,249.205,221.117,218.844,135.346,128.273,208.15,150.572,88.536,248.787,193.262,97.69,176.331,149.082,177.075,164.072,97.446,73.668,81.841,52.699,207.946,128.185,98.927,59.721,242.782,101.998,133.249,89.646,147.609,218.043
"Grant",204.396,358.928,415.451,268.437,55.799,448.929,214.325,346.069,238.008,372.531,262.464,0,773.083,255.656,301.333,473.101,318.605,438.117,379.692,254.382,338.505,512.913,458.07,141.475,325.972,313.774,496.302,468.214,269.545,340.835,141.162,455.247,288.139,335.633,83.559,378.162,197.151,385.498,187.825,365.05,411.169,282.346,216.978,316.676,260.035,312.843,231.722,175.921,244.621,470.876,185.714,141.587,275.629,327.082,465.14
"Greenbrier",560.419,441.581,679.116,659.957,758.997,762.096,550.698,648.354,658.47,589.822,672.009,774.893,0,528.635,480.246,592.239,631.411,656.364,692.859,801.975,767.89,661.396,692.822,762.523,754.228,785.457,645.27,599.053,514.999,506.527,655.994,521.981,765.038,587.695,773.446,439.312,699.633,475.186,565.55,718.336,577.814,516.967,691.283,712.562,639.647,455.196,542.778,674.561,559.802,784.043,579.309,774.249,796.787,762.087,639.058
"Hampshire",126.194,162.952,404.395,238.378,227.298,437.873,125.782,316.01,207.949,342.472,232.405,256.014,514.707,0,105.234,443.042,288.546,427.061,368.636,276.101,370.931,457.419,447.014,217.094,358.398,346.202,466.243,438.155,14.196,186.873,110.565,299.628,320.567,305.574,241.747,124.705,249.112,209.104,71.306,394.113,381.11,128.384,240.762,314.247,229.976,73.745,93.069,224.04,164.52,459.82,115.028,228.82,295.895,359.508,435.081
"Hancock",242.383,63.501,475.717,309.7,284.89,509.195,234.999,387.332,279.271,413.794,303.727,300.786,477.656,105.874,0,472.061,359.868,498.383,439.958,347.423,442.253,528.741,518.336,288.416,429.72,417.524,537.565,509.477,96.247,286.01,181.887,401.803,391.889,376.896,299.339,201.748,320.434,291.155,177.017,465.435,452.432,221.521,312.084,385.569,301.298,136.083,186.206,295.362,285.884,531.142,223.701,300.142,367.217,430.83,506.403
"Hardy",303.949,451.462,158.472,212.087,442.893,241.452,312.215,167.678,329.183,108.129,224.139,471.609,590.584,440.818,473.472,0,183.541,135.72,172.215,281.331,247.246,140.752,172.178,373.466,233.584,264.813,56.782,15.43,427.399,246.136,336.828,64.721,244.394,138.911,442.29,251.27,321.527,202.004,357.637,197.692,69.519,306.001,329.965,233.937,276.839,315.812,336.74,356.759,268.276,263.399,310.553,354.327,276.143,241.443,118.414
"Harrison",151.302,417.042,139.044,53.556,290.246,172.522,159.568,17.525,176.536,81.76,71.492,318.962,627.28,288.171,359.324,182.33,0,161.71,103.285,144.644,178.316,196.707,181.663,218.997,96.569,189.611,205.531,177.443,274.752,132.516,184.181,164.476,169.192,44.862,304.695,249.17,140.748,132.657,204.99,128.762,120.398,153.354,116.726,75.515,124.192,263.854,184.093,158.923,115.629,194.469,157.906,189.519,116.747,166.241,174.369
"Jackson",289.545,517.323,23.08,197.683,382.915,144.973,297.811,148.91,263.644,112.819,209.735,439.218,656.445,426.414,497.567,138.804,160.957,0,74.583,196.709,150.767,76.068,72.854,288.844,148.962,171.702,124.894,133.917,412.995,267.005,322.424,193.641,159.772,143.601,357.668,322.491,236.905,222.873,343.233,101.213,77.106,291.597,245.343,149.315,267.079,402.097,322.336,272.137,253.872,123.824,296.149,269.705,191.521,136.654,70.305
"Jefferson",231.372,497.112,51.713,139.51,324.742,72.888,239.638,90.737,205.471,115.639,151.562,381.045,690.612,368.241,439.394,172.971,102.784,74.379,0,138.536,78.682,149.175,94.332,230.671,90.789,99.617,196.172,168.084,354.822,233.28,264.251,227.808,101.599,155.555,299.495,329.24,178.732,243.35,285.06,26.201,115.821,233.424,187.17,91.142,208.906,343.924,264.163,213.964,195.699,94.835,237.976,211.532,133.348,64.569,165.01
"Kanawha",151.354,405.362,174.684,114.343,199.197,208.162,160.933,194.055,69.608,225.28,101.615,255.5,800.253,276.491,347.644,282.612,144.705,197.35,138.925,0,97.738,272.146,217.303,105.126,85.205,76.928,305.813,277.725,304.296,266.22,172.501,337.449,51.293,190.152,173.95,303.547,42.869,277.947,193.31,124.283,225.462,207.731,51.307,68.679,73.043,281.419,201.98,78.101,170.006,230.109,146.226,85.987,28.569,86.315,274.651
"Lewis",246.209,500.217,128.305,215.315,283.734,69.659,255.788,166.542,164.463,191.444,227.367,340.037,766.417,371.346,442.499,248.776,178.589,150.971,79.276,97.528,0,225.767,170.924,189.663,64.971,20.934,271.977,243.889,399.151,309.085,267.356,303.613,54.739,231.36,258.487,405.045,137.724,319.155,288.165,54.247,191.626,309.229,146.162,86.246,167.898,419.729,339.968,172.956,271.504,101.454,241.081,170.524,92.34,30.251,240.815
"Lincoln",318.835,520.624,103.634,226.973,457.625,168.397,327.101,182.564,338.354,123.015,239.025,513.928,659.746,455.704,526.857,122.087,198.427,76.265,149.293,271.419,225.477,0,55.874,363.554,223.672,246.412,75.321,100.577,442.285,270.306,351.714,196.942,234.482,153.797,432.378,325.792,311.615,226.174,372.523,175.923,82.258,320.887,320.053,224.025,291.725,390.334,351.626,346.847,283.162,148.932,325.439,344.415,266.231,211.364,22.337
