"","Barbour","Berkeley","Boone","Braxton","Brooke","Cabell","Calhoun","Clay","Doddridge","Fayette","Gilmer","Grant","Greenbrier","Hampshire","Hancock","Hardy","Harrison","Jackson","Jefferson","Kanawha","Lewis","Lincoln","Logan","Marion","Marshall","Mason","McDowell","Mercer","Mineral","Mingo","Monongalia","Monroe","Morgan","Nicholas","Ohio","Pendleton","Pleasants","Pocahontas","Preston","Putnam","Raleigh","Randolph","Ritchie","Roane","Summers","Taylor","Tucker","Tyler","Upshur","Wayne","Webster","Wetzel","Wirt","Wood","Wyoming"
"Barbour",0,187.767,159.367,77.45,132.6,171.75,10.167,112.85,61.55,130.333,63.333,160.783,364.85,109.967,153.017,182.367,105.683,181.517,136.25,102.2,163.233,215.9,185.533,121.933,149.2,149.917,219.967,181.983,114.117,88.867,63.7,205.3,130.15,104.4,126.317,115.35,93.583,126.5,56.6,149.333,158.517,39.783,82.867,132.583,83,112.25,44.633,83.483,35.033,190.967,16.983,115.117,127.083,155.233,196.617
"Berkeley",189.7,0,292.033,210.117,211,304.4,188.367,245.517,188.017,263,196,219.217,255.167,106.85,42.117,255.45,238.35,298.433,268.917,228.683,289.7,302.967,318.2,225.933,275.483,276.4,304.083,259.633,102.8,234.15,137.683,215.967,256.617,237.067,204.733,145.4,220.05,215.95,140.8,282,236.783,185.217,209.333,265.233,209.483,101.05,153.633,209.967,190.717,323.633,171.733,229.683,253.567,281.7,283.683
"Boone",158.983,292.117,0,113.833,209.567,80.267,162.65,84.183,139.95,103.9,108.733,240.217,389.25,239.75,257.367,121.45,94.533,22.133,42.783,103.367,89.55,81.1,37.917,183.367,84.217,109.633,142.433,121.067,249.05,190.567,169.983,163,88.65,117.917,184.9,232.4,133.133,188.2,202.433,57.85,93.967,156.833,131.583,95.517,153,245.683,176.7,155.383,134.733,84.683,160.033,165.867,110.7,89.367,89.967
"Braxton",77.15,210.267,113.7,0,154.883,126.083,80.8,67.183,86.3,84.667,19.867,183.067,385.883,157.9,175.517,136.7,60.017,135.85,90.583,105.817,135.367,170.233,139.867,145.883,96.283,148.717,174.3,136.317,167.217,123.083,88.15,159.633,126.7,58.733,148.6,150.567,116.367,133.4,120.6,103.667,112.85,74.983,87.367,79.667,72.117,163.833,94.867,111.633,52.9,145.3,78.183,139.067,97.4,131.6,150.95
"Brooke",134.717,209.2,208.5,154.1,0,220.867,142.833,189.5,136.55,206.983,139.983,44.683,431.05,156.833,174.45,259.017,182.333,230.633,185.383,119.283,175.3,277.85,234.667,78.717,161.083,162.817,296.617,258.633,164.217,205.883,83.283,281.95,143.033,181.05,28.217,232.367,130.767,243.5,122.817,193.617,235.167,156.783,142.467,174.733,153.467,200.217,159.233,109.767,134.7,240.083,116.767,78.05,137.967,167.3,273.25
"Cabell",172.933,306.067,79.933,127.783,223.517,0,176.6,98.133,153.9,123.317,122.7,254.167,407.117,253.7,271.317,139.317,108.5,102.083,51.467,117.317,60.5,145.867,102.683,197.317,98.167,80.583,176.917,138.933,263,204.517,183.933,180.867,108.383,127.75,198.85,246.35,147.083,202.4,216.383,44.317,114.467,170.783,145.55,109.467,166.95,259.633,190.667,169.333,148.7,31.117,173.983,179.817,124.65,76.483,153.567
"Calhoun",9.633,187.267,162.55,80.633,139.467,174.933,0,116.033,70.083,133.533,66.533,167.65,354.683,106.5,152.517,185.55,108.867,184.7,139.433,110.733,171.767,219.083,188.733,130.467,152.383,158.45,223.15,185.167,110.633,78.7,72.75,205.867,138.683,107.583,133.183,105.183,102.117,116.317,53.117,152.533,161.7,29.6,91.4,135.767,91.533,108.783,41.167,92.017,37.833,194.15,26.033,123.65,135.617,163.767,199.8
"Clay",113.267,246.383,85.317,68.1,191,97.683,116.917,0,121.617,69.083,63.017,219.183,385.433,194.017,211.633,117.217,21.25,107.467,62.2,113.033,106.983,150.75,111.483,182,79.883,120.333,154.817,116.833,203.333,144.75,124.267,159.2,98.317,56.817,184.717,186.683,138.95,138.567,156.717,75.283,93.367,111.1,109.95,63.267,115.05,199.95,130.983,150.35,89.017,116.917,114.3,178.15,100.3,103.2,131.467
"Doddridge",63.9,189.583,140.867,86.45,134.75,153.25,71.333,120.6,0,138.083,66.45,161.183,412.967,137.217,154.833,190.117,113.433,163.017,117.75,46.65,107.683,210.217,167.05,79.7,93.45,94.367,227.7,189.733,144.6,136.983,67.45,213.033,74.6,112.15,108.583,163.45,38.017,174.6,99.9,125.983,166.25,87.883,27.3,105.867,27.45,171.167,105.8,26.95,65.8,172.467,57.5,58.2,71.533,99.683,204.35
"Fayette",132.883,266.017,104.467,87.717,210.617,121.717,136.533,69.083,141.233,0,82.633,238.8,342.15,213.633,231.25,71.7,74.517,95.983,86.217,140.3,131,105.233,133.3,201.617,121.15,147.583,109.3,71.333,222.95,138.617,143.883,115.9,125.567,35.867,204.333,196.617,170.05,113.367,176.333,99.3,47.85,130.733,149.917,118.417,134.667,219.567,150.6,163.167,108.633,140.933,133.917,194.8,147.617,130.467,85.95
"Gilmer",63.567,196.683,108.383,20.283,141.3,120.75,67.217,61.867,66.2,79.35,0,169.483,386.483,144.317,161.933,131.383,54.7,130.517,85.267,85.717,130.05,164.9,134.55,132.3,85.85,146.733,168.967,131,153.633,113.967,74.567,154.3,125.483,53.417,135.017,136.983,96.283,128.067,107.017,98.35,107.533,61.4,67.283,69.233,52.017,150.25,81.283,91.533,39.317,139.967,64.6,122.783,77.3,129.6,145.617
"Grant",161.033,218.517,242.8,180.417,45.6,255.183,169.15,215.817,158.317,233.3,166.3,0,440.367,183.15,183.817,285.333,208.65,264.95,219.683,153.6,209.6,312.15,268.967,107.033,195.383,197.117,322.933,284.95,189.467,232.2,109.6,308.267,177.35,207.367,64.483,258.667,158.817,269.817,149.133,227.917,261.483,183.1,170.533,209.05,179.783,226.533,185.55,137.8,161.017,274.4,143.067,106.083,172.283,201.6,299.567
"Greenbrier",368.517,258.733,393.867,387.367,436.617,408.867,358.883,389.3,417.533,341.967,382.283,444.833,0,332.233,267.717,329.1,374.167,372.083,373.383,427.467,418.167,376.617,409.417,451.533,408.317,434.75,377.733,333.3,317.833,321.667,363.283,289.617,412.733,336.033,430.333,259.15,449.567,291.283,357.733,386.467,310.433,329.417,438.85,418.067,428.433,279.483,332.083,439.467,362.817,428.1,384.917,455.283,434.783,417.617,357.333
