"","Adams","Ashland","Barron","Bayfield","Brown","Buffalo","Burnett","Calumet","Chippewa","Clark","Columbia","Crawford","Dane","Dodge","Door","Douglas","Dunn","Eau Claire","Florence","Fond du Lac","Forest","Grant","Green","Green Lake","Iowa","Iron","Jackson","Jefferson","Juneau","Kenosha","Kewaunee","La Crosse","Lafayette","Langlade","Lincoln","Manitowoc","Marathon","Marinette","Marquette","Menominee","Milwaukee","Monroe","Oconto","Oneida","Outagamie","Ozaukee","Pepin","Pierce","Polk","Portage","Price","Racine","Richland","Rock","Rusk","Sauk","Sawyer","Shawano","Sheboygan","St. Croix","Taylor","Trempealeau","Vernon","Vilas","Walworth","Washburn","Washington","Waukesha","Waupaca","Waushara","Winnebago","Wood"
"Adams",0,398.411,271.609,434.882,210.591,193.573,134.385,149.315,338.845,182.511,139.168,197.674,109.527,194.458,285.759,53.498,132.464,190.533,337.16,128.658,144.579,237.309,181.997,81.452,150.664,336.672,188.011,176.487,139.096,288.92,253.446,152.573,208.396,236.053,258.317,233.929,147.16,294.379,90.416,199.872,233.217,181.997,259.23,179.116,163.07,272.638,258.922,262.324,184.208,65.797,212.71,274.215,248.577,193.66,260.051,68.751,357.344,191.967,187.489,334.766,140.492,170.822,220.448,192.379,217.269,415.42,172.858,210.007,99.125,54.582,125.857,80.458
"Ashland",397.824,0,192.311,36.47,414.466,364.505,480.83,460.539,77.734,223.314,287.752,489.342,468.915,345.764,481.146,417.67,491.852,264.132,242.822,454.088,470.009,246.417,562.178,430.162,561.06,61.622,513.424,535.875,492.713,613.749,460.445,397.269,262.183,253.737,232.872,476.501,254.767,380.213,435.784,318.866,557.525,562.178,390.292,404.392,420.405,552.047,349.222,457.711,509.621,425.633,261.322,599.044,168.781,553.048,190.488,448.925,92.302,351.372,513.783,230.75,336.335,358.764,575.769,242.301,576.657,17.008,277.867,569.395,356.478,373.88,418.858,267.135
"Barron",272.3,193.142,0,218.974,373.304,186.67,385.095,419.377,147.445,145.598,165.247,311.507,352.217,167.929,439.984,301.605,375.154,86.297,327.322,412.926,428.847,55.73,414.558,344.299,383.225,227.843,472.262,419.177,396.668,531.61,419.283,219.434,84.348,269.344,248.479,435.339,212.078,417.387,338.736,318.115,475.907,414.558,382.238,363.23,379.243,515.328,131.432,416.549,468.459,316.769,299.51,516.905,85.771,436.35,37.783,301.312,101.674,310.21,472.621,63.333,158.5,180.929,463.138,268.154,459.959,199.512,100.032,452.697,315.316,332.718,377.696,210.76
"Bayfield",434.385,36.56,218.051,0,451.027,390.245,517.391,497.1,115.486,261.066,368.822,515.082,505.476,371.504,517.707,454.231,528.413,289.872,279.383,490.649,506.57,272.157,598.739,466.723,586.8,98.183,549.985,572.436,529.274,650.31,497.006,423.009,287.923,290.298,269.433,513.062,292.519,416.774,472.345,355.427,594.086,598.739,426.853,440.953,456.966,588.608,374.962,494.272,546.182,462.194,297.883,635.605,206.533,589.609,228.753,504.887,118.042,387.933,550.344,256.49,362.075,384.504,612.33,278.862,613.218,19.461,303.607,605.956,393.039,410.441,455.419,304.887
"Brown",211.143,412.041,370.726,448.512,0,378.965,144.124,75.879,352.475,246.419,270.539,386.608,230.536,361.864,70.109,199.587,225.36,312.701,181.137,117.382,98.796,344.328,295.686,130.583,295.8,350.302,176.718,208.574,156.007,247.205,46.246,337.965,285.616,142.391,176.794,67.747,160.79,88.514,156.015,73.286,188.19,295.686,53.365,18.649,49.121,143.293,397.791,46.674,172.915,193.456,134.028,232.5,312.485,286.556,359.168,220.171,456.461,62.868,105.029,433.883,313.379,356.214,224.38,169.52,276.296,429.05,326.436,214.738,114.583,139.994,77.223,233.944
"Buffalo",183.765,364.434,187.231,390.266,378.831,0,288.985,340.172,290.549,185.268,105.716,152.055,256.107,16.808,453.999,205.495,279.044,106.349,452.605,315.467,330.794,150.775,318.448,248.189,212.576,368.971,344.604,323.067,300.558,435.5,421.686,51.612,124.018,354.194,373.762,416.156,251.748,462.619,242.626,327.344,379.797,318.448,427.47,347.356,331.31,419.218,64.563,430.564,340.801,220.659,339.18,420.795,232.711,340.24,175.673,205.202,272.966,319.439,378.357,210.132,62.823,21.229,367.028,307.824,363.849,370.804,98.668,356.587,267.365,222.822,294.097,151.445
"Burnett",134.413,480.769,384.194,517.24,143.359,287.979,0,69.773,421.203,315.147,251.753,249.382,93.31,288.864,218.527,88.211,88.134,303.118,319.77,45.068,60.395,349.894,158.46,56.625,158.574,419.03,56.191,64.752,12.185,156.516,186.214,246.979,320.981,242.666,266.983,145.757,229.518,227.147,60.431,173.552,100.292,158.46,191.998,135.494,96.597,75.349,353.328,195.092,52.388,68.61,233.014,141.811,381.213,123.53,372.636,95.325,469.929,163.134,107.958,447.351,253.077,265.228,110.617,274.737,135.285,497.778,285.443,100.176,127.344,100.091,75.454,246.705
"Calumet",149.196,460.125,418.81,496.596,75.244,337.657,68.956,0,400.559,294.503,262.656,311.44,155.368,338.542,150.412,137.889,150.192,333.967,251.655,25.44,22.917,392.412,220.518,68.016,220.632,398.386,85.338,133.406,80.839,185.663,118.099,296.657,333.7,197.945,222.262,63.642,208.874,159.032,89.162,128.831,129.439,220.518,123.883,67.336,46.196,94.055,403.006,126.977,81.535,118.288,189.573,170.958,360.569,211.388,407.252,145.003,504.545,118.413,67.601,481.967,302.755,314.906,147.683,254.093,199.599,477.134,316.292,117.457,106.7,115.857,68.797,226.061
"Chippewa",339.185,77.733,147.428,114.204,355.827,293.225,422.191,401.9,0,162.753,228.196,401.374,410.276,274.484,422.507,359.031,433.213,192.852,219.689,395.449,411.37,175.384,503.539,371.523,472.133,79.853,454.785,477.236,434.074,555.11,401.806,309.301,165.767,205.005,184.14,417.862,194.206,320.734,377.145,274.358,498.886,503.539,364.761,345.753,361.766,493.408,277.942,399.072,450.982,366.994,229.655,540.405,87.478,494.409,127.83,390.286,83.774,292.733,455.144,210.585,240.566,287.484,517.13,189.601,518.018,94.742,206.587,510.756,297.839,315.241,360.219,206.574
"Clark",182.206,222.826,145.442,259.297,248.899,187.79,315.263,294.972,157.329,0,65.212,268.14,303.348,169.049,315.579,252.103,326.285,87.417,288.53,288.521,304.442,119.044,396.611,264.595,324.844,224.946,347.857,370.308,327.146,448.182,294.878,179.329,60.332,190.119,209.687,310.934,87.673,292.982,270.217,193.71,391.958,396.611,257.833,238.825,254.838,386.48,172.507,292.144,344.054,260.066,175.105,433.477,69.863,387.481,106.06,242.931,178.628,185.805,348.216,208.599,110.981,182.049,410.202,143.749,411.09,239.835,101.152,403.828,190.911,208.313,253.291,98.404
"Columbia",140.124,287.746,164.991,368.026,269.861,105.652,252.919,262.474,227.9,65.239,0,196.446,220.041,94.141,345.029,169.429,242.978,83.915,328.622,256.023,271.944,130.691,282.382,212.123,251.049,289.866,315.359,287.001,264.492,399.434,312.716,109.71,101.778,230.211,249.779,293.199,123.118,323.716,206.56,224.444,343.731,282.382,288.567,238.386,222.34,334.527,145.168,321.594,311.556,184.593,208.692,384.729,122.134,304.174,153.433,169.136,250.726,216.539,314.854,228.148,45.656,95.78,330.962,183.841,327.783,348.564,66.24,320.521,158.413,175.815,220.793,57.021
"Crawford",197.471,504.756,327.553,530.588,386.283,151.974,249.386,312.697,399.556,268.636,196.426,0,158.183,153.529,461.451,180.402,172.606,246.477,504.802,287.992,303.319,276.028,161.705,255.055,92.354,504.314,320.232,234.354,242.397,346.787,429.138,94.6,264.34,403.695,425.959,388.681,305.772,470.071,223.303,405.281,291.084,161.705,434.922,378.418,339.521,330.505,217.323,438.016,280.65,181.33,380.352,332.082,315.419,213.315,315.995,159.75,413.288,397.376,350.882,385.213,171.424,129.893,278.315,360.021,261.765,511.126,218.416,267.874,304.534,260.017,318.378,225.951
"Dane",100.38,459.267,342.685,495.738,230.828,246.47,93.931,157.242,399.701,293.645,210.244,158.224,0,247.355,305.996,54.178,42.129,261.609,398.016,132.537,147.864,308.385,97.177,110.502,77.386,397.528,128.998,86.152,86.942,198.585,273.683,205.47,279.472,296.909,319.173,233.226,208.016,314.616,78.75,260.728,142.882,97.177,279.467,222.963,184.066,182.303,311.819,282.561,125.195,36.777,273.566,183.88,359.711,103.325,331.127,51.313,428.42,252.823,195.427,405.842,211.568,223.719,130.113,253.235,126.934,476.276,243.934,119.672,159.981,115.464,162.923,176.447
"Dodge",185.071,345.693,168.49,371.525,361.188,16.808,290.291,341.478,271.808,166.527,94.143,153.113,257.413,0,436.356,206.801,280.35,87.608,433.864,316.773,332.1,132.034,319.754,249.495,230.319,350.23,345.91,324.373,301.864,436.806,404.043,61.04,105.277,335.453,355.021,384.526,233.007,438.316,243.932,339.044,381.103,319.754,403.167,329.713,313.667,420.524,72.06,412.921,342.107,221.965,320.439,422.101,213.97,341.546,156.932,206.508,254.225,331.139,379.663,231.647,51.25,22.535,368.334,289.083,365.155,352.063,79.927,357.893,249.74,224.128,295.403,139.872
"Door",287.395,480.743,439.428,517.214,69.718,455.217,220.376,152.131,421.177,315.121,346.791,462.86,306.788,438.116,0,275.839,301.612,381.403,246.863,193.634,205.665,413.03,371.938,206.835,372.052,419.004,235.305,284.826,232.259,308.968,50.349,414.217,354.318,211.093,242.52,129.51,229.492,154.24,232.267,141.988,249.953,371.938,119.091,89.217,125.373,205.056,466.493,41.398,249.167,269.708,202.73,294.263,381.187,362.808,427.87,296.423,525.163,131.57,166.792,502.585,389.631,432.466,286.143,238.222,338.059,497.752,395.138,276.501,190.835,216.246,153.475,310.196
"Douglas",53.48,418.145,299.905,454.616,198.538,203.69,88.281,139.468,358.579,252.523,167.464,180.778,63.423,204.575,273.706,0,86.36,218.829,356.894,114.763,130.09,265.605,156.686,69.38,124.385,356.406,137.038,130.383,92.992,242.816,241.393,162.69,236.692,255.787,278.051,215.452,166.894,282.326,46.915,219.606,187.113,156.686,247.177,190.673,151.776,226.534,269.039,250.271,133.235,19.693,232.444,228.111,318.589,147.556,288.347,43.433,385.64,211.701,177.653,363.062,168.788,180.939,174.344,212.113,171.165,435.154,201.154,163.903,118.859,74.342,130.633,139.959
"Dunn",133.533,492.42,375.838,528.891,224.754,279.623,87.857,151.168,432.854,326.798,243.397,172.658,43.035,280.508,299.922,87.331,0,294.762,401.165,126.463,141.79,341.538,74.238,122.452,81.85,430.681,158.703,72.825,80.868,185.258,267.609,238.623,312.625,330.062,352.326,227.152,241.169,308.542,96.691,254.947,129.555,74.238,273.393,216.889,177.992,168.976,344.972,276.487,119.121,69.93,306.719,170.553,392.864,76.627,364.28,87.353,461.573,244.529,189.353,438.995,244.721,256.872,116.786,286.388,100.236,509.429,277.087,106.345,193.134,148.617,156.849,209.6
