"","Adams","Ashland","Barron","Bayfield","Brown","Buffalo","Burnett","Calumet","Chippewa","Clark","Columbia","Crawford","Dane","Dodge","Door","Douglas","Dunn","Eau Claire","Florence","Fond du Lac","Forest","Grant","Green","Green Lake","Iowa","Iron","Jackson","Jefferson","Juneau","Kenosha","Kewaunee","La Crosse","Lafayette","Langlade","Lincoln","Manitowoc","Marathon","Marinette","Marquette","Menominee","Milwaukee","Monroe","Oconto","Oneida","Outagamie","Ozaukee","Pepin","Pierce","Polk","Portage","Price","Racine","Richland","Rock","Rusk","Sauk","Sawyer","Shawano","Sheboygan","St. Croix","Taylor","Trempealeau","Vernon","Vilas","Walworth","Washburn","Washington","Waukesha","Waupaca","Waushara","Winnebago","Wood"
"Adams",0,261.883,161.867,295.3,137.733,115.733,107.483,133.317,223.267,140.683,99.417,161.233,74.7,119.283,179.1,43.25,87.117,121.317,226.433,116.767,128.133,149.883,137.367,72.433,108.367,216.367,145.433,111.567,111.233,177.867,165.6,96.117,126.4,153.583,168.2,166.45,88.567,179.25,71.917,134.75,138.767,137.367,160.65,132.5,111.433,162.417,156.467,169.033,141.85,53.067,136.033,172.383,185.367,120.5,161.833,48.483,210.9,126.433,159.033,211.617,95.95,100.85,138.583,113.683,142.35,277.833,109.6,128.283,74.75,43.483,101.617,69.2
"Ashland",260.667,0,134.417,33.4,272.817,243.483,314.2,303.8,67.767,169.2,219.6,340.517,290.517,232.133,310.917,264.967,302.933,171.683,166.75,292.467,303.833,164.383,353.817,284.85,339.75,46.867,320.833,327.383,324.15,383.267,303.933,271.317,167.85,193.067,178.6,305.683,191.717,269.017,285,244.233,344.2,353.817,276.45,265.483,274.65,341.95,234.617,300.833,317.25,269.7,198.467,377.783,128.933,336.317,150.183,284.3,70.317,235.633,322.883,178.433,209.65,240.8,354.683,183.333,358.167,15.933,180.083,344.1,238.6,247.767,273.75,210.35
"Barron",162.3,132.9,0,155.683,209.583,123.583,222.467,240.567,117.65,84.333,98.983,220.617,185.2,112.233,247.667,167.783,197.617,51.783,244.35,229.217,240.6,43.617,248.867,206.917,219.85,163.767,257.583,222.067,222.817,288.383,240.7,151.417,47.967,200.6,186.133,242.45,119.467,243.55,201.417,180.717,249.283,248.867,224.95,202.233,211.4,272.917,107.967,237.6,254,168.783,174.367,282.9,67.933,231.017,30.533,159.967,65.933,172.383,259.65,51.55,89.767,120.917,249.083,150.483,252.867,138.217,60.183,238.8,175.367,184.533,210.517,129.283
"Bayfield",294.45,33.767,156.833,0,306.6,265.9,347.967,337.583,101,202.45,241.3,362.933,324.3,254.55,344.683,298.733,336.717,194.1,200.517,326.233,337.617,186.8,387.6,318.633,362.167,80.633,354.6,361.15,357.917,417.05,337.717,293.733,190.283,226.85,212.367,339.467,224.95,302.783,318.783,278.017,377.983,387.6,310.217,299.25,308.417,375.733,257.05,334.617,351.017,303.483,232.233,411.567,162.167,370.1,176.067,302.283,92.75,269.4,356.667,200.867,232.083,263.233,388.45,217.117,391.95,17.65,202.5,377.883,272.383,281.55,307.533,243.583
"Brown",136.633,272.433,211.2,305.85,0,238.567,94.933,63.567,233.8,146.433,167.3,250.167,139.65,239.183,52.717,139.5,137.8,181.383,127.333,73.2,84.783,202.1,188.683,87.917,180.55,226.917,101.567,140.883,104.883,147.083,45.7,218.95,166,105.283,125.033,46.933,99.117,58.083,106.233,54.667,105.95,188.683,39.483,20.317,37.383,83.2,244.333,42.633,97.983,135.483,102,141.6,191.117,171.183,211.167,157.417,260.233,44.433,64.133,260.95,201.433,223.683,128.183,114.45,161.283,288.367,189.783,124.15,70.55,97.683,49.667,137.333
"Buffalo",119.85,242.5,126.5,265.283,240.7,0,178.85,217.75,215.517,127.4,84.3,111.1,141.6,14.1,282.067,124.167,154.017,86.083,306.3,201.617,211.517,112.7,205.25,163.3,176.483,271.45,218.95,178.467,179.217,244.767,268.567,39.883,91.033,229.033,248.067,265.15,162.533,282.217,157.817,226.017,205.667,205.25,263.633,235.467,214.4,229.317,52.583,272,215.367,125.167,217.433,239.283,161.7,187.4,126.467,116.367,175.533,217.7,244.333,167.067,50.3,17.15,205.483,193.55,209.25,247.817,75.917,195.183,177.717,146.45,204.583,114.417
"Burnett",106.95,311.717,224,345.133,93.1,177.633,0,51.283,273.083,185.7,161.55,169.067,58.55,181.183,134.483,74.933,56.7,183.433,203.883,35.15,45.05,212,107.583,50.483,99.45,266.183,48.683,49.1,13.1,111.117,120.967,158.017,188.533,173.35,195.333,98.683,138.383,134.633,50.35,123.35,72.05,107.583,116.033,89.95,66.517,74.533,218.367,124.4,45.1,55.683,167.2,105.633,230.383,84.967,223.967,77.6,273.033,113.1,77.867,273.733,158.067,162.75,79.25,163.5,98.3,327.65,171.717,68.967,81.867,84.833,53.383,148.633
"Calumet",132.4,304.967,243.733,338.383,64.55,211.1,48.583,0,266.333,178.967,171.85,203.817,93.317,214.65,105.933,108.4,91.45,217.067,175.333,21.7,21.5,234.617,142.35,63.617,134.2,259.433,55.833,94.533,58.533,118.267,92.433,191.483,198.533,152.817,174.8,57.033,131.65,106.083,71,102.817,79.2,142.35,87.483,60.967,43.683,75.817,251.833,95.85,52.25,89.133,150.15,112.783,223.65,124.833,243.7,111.067,292.767,92.567,54.283,293.467,191.533,196.217,89.683,156.75,122.783,320.9,205.35,85.883,75.117,89.983,48.817,141.883
"Chippewa",221.683,67.983,117.6,101.4,233.833,216.417,275.2,264.817,0,129.817,175.867,312.133,251.533,205.067,271.917,225.967,263.95,144.617,178.883,253.467,264.85,139.517,314.833,245.867,310.817,70.75,281.833,288.383,285.15,344.283,264.95,242.95,129.233,165.417,150.933,266.7,152.317,256.1,246.017,205.067,305.217,314.833,249.2,226.483,235.65,302.967,207.567,261.85,278.25,230.717,171.433,338.8,72.5,297.333,102,245.317,69.3,196.633,283.9,167.35,182.667,213.75,315.683,144.567,319.183,83.917,153.017,305.117,199.617,208.783,234.767,170.967
"Clark",139.567,171.4,85.683,204.817,147.617,127.667,188.983,178.6,124.583,0,53.75,213.583,165.317,116.317,185.7,139.75,177.733,55.867,201.267,167.25,178.633,76.567,228.617,159.65,211.883,174.167,195.633,202.167,198.933,258.067,178.733,146.45,40.483,124,143.033,180.483,57.5,181.583,159.8,118.75,219,228.617,162.983,140.267,149.433,216.75,118.817,175.633,192.05,144.5,112.4,252.583,52.117,211.117,83.017,152,131.6,110.433,197.683,135.433,86.983,125,229.483,88.517,232.967,187.333,64.267,218.9,113.4,122.567,148.55,77.35
