"","Albany","Big Horn","Campbell","Carbon","Converse","Crook","Fremont","Goshen","Hot Springs","Johnson","Laramie","Lincoln","Natrona","Niobrara","Park","Platte","Sheridan","Sublette","Sweetwater","Teton","Uinta","Washakie","Weston"
"Albany",0,522.884,458.772,166.231,276.543,521.565,363.432,267.699,447.625,474.46,57.613,478.92,329.91,320.867,581.497,178.505,528.964,497.258,412.495,620.733,499.117,500.926,515.391
"Big Horn",522.875,0,161.268,398.692,308.517,258.989,376.551,460.794,248.3,51.833,466.873,688.14,270.824,396.635,251.673,404.649,13.728,664.354,525.33,536.602,751.253,194.999,210.913
"Campbell",460.22,160.967,0,377.735,184.663,99.792,437.557,339.158,314.628,118.161,404.218,667.183,249.867,252.367,403.353,283.013,167.047,643.397,504.373,659.713,730.296,261.327,57.14
"Carbon",170.563,399.195,377.78,0,252.697,475.54,284.776,277.794,369.683,350.771,114.561,400.264,206.221,323.164,503.555,180.802,405.275,418.602,333.839,542.077,420.461,422.984,434.399
"Converse",278.003,308.606,184.749,252.818,0,282.509,312.64,156.941,288.412,260.182,222.001,542.266,124.95,92.782,422.284,100.796,314.686,518.48,379.456,534.796,605.379,341.713,241.368
"Crook",522.373,258.448,98.714,475.236,282.164,0,535.058,291.976,412.109,215.642,466.371,764.684,347.368,200.91,500.834,345.166,264.528,740.898,601.874,757.214,827.797,358.808,156.833
"Fremont",363.475,376.776,437.642,285.56,312.559,535.402,0,464.836,128.285,324.91,360.808,240.785,187.724,400.677,262.157,408.691,382.856,216.999,77.975,256.977,335.08,181.586,494.261
"Goshen",267.07,460.715,337.772,277.915,155.543,291.975,464.749,0,440.521,412.291,212.582,685.491,277.059,91.277,574.393,94.664,466.795,670.589,531.565,686.905,705.688,493.822,394.391
"Hot Springs",447.568,248.49,312.507,369.546,288.296,410.228,128.25,440.573,0,196.624,437.727,367.114,163.461,376.414,135.232,384.428,254.57,343.328,204.304,350.406,461.409,53.3,362.152
"Johnson",474.541,51.999,116.016,350.358,260.183,213.737,324.875,412.46,196.624,0,418.539,563.739,222.49,348.301,272.208,356.315,58.079,539.953,400.929,547.031,702.919,143.323,165.661
"Laramie",57.314,467.408,403.296,114.593,221.067,466.089,358.235,213.296,437.896,418.984,0,473.723,274.434,265.391,571.768,123.029,473.488,492.061,407.298,615.536,493.92,491.197,459.915
"Lincoln",475.952,688.559,667.144,398.037,542.061,764.904,240.726,683.371,367.03,563.655,473.285,0,426.469,630.179,500.902,562.503,694.639,169.238,181.867,258.182,80.984,420.331,723.763
"Natrona",330.267,271.332,249.917,206.084,124.834,347.677,187.689,277.111,163.461,222.908,274.265,426.553,0,212.952,297.333,220.966,277.412,402.767,263.743,409.845,520.848,216.762,306.536
"Niobrara",321.675,396.678,252.564,323.478,91.506,200.91,400.712,91.278,376.484,348.254,265.673,630.338,213.022,0,510.356,144.468,402.758,606.552,467.528,622.868,693.451,429.785,310.683
"Park",581.442,251.246,403.535,503.42,422.17,501.256,262.124,574.447,135.213,272.22,571.601,500.988,297.335,510.288,0,518.302,238.718,477.202,338.178,285.167,595.283,146.348,453.18
"Platte",179.025,404.718,281.775,180.828,99.546,344.568,408.752,94.631,384.524,356.294,123.023,564.756,221.062,143.87,518.396,0,410.798,583.094,475.568,630.908,584.953,437.825,338.394
"Sheridan",529.009,13.724,167.402,404.826,314.651,265.123,382.685,466.928,254.434,57.967,473.007,694.274,276.958,402.769,239.093,410.783,0,670.488,531.464,524.022,757.387,201.133,217.047
"Sublette",497.569,664.741,643.326,419.654,518.243,741.086,216.908,670.52,343.212,539.837,494.902,169.422,402.651,606.361,477.084,584.12,670.821,0,158.049,123.881,252.597,396.513,699.945
"Sweetwater",412.406,525.808,504.393,334.491,379.31,602.153,77.975,531.587,204.279,400.904,409.739,181.926,263.718,467.428,338.151,475.442,531.888,158.14,0,281.615,276.221,257.58,561.012
"Teton",621.189,536.142,659.767,543.274,534.684,757.527,256.92,686.961,350.41,547.035,618.522,258.207,409.849,622.802,285.134,630.816,523.614,123.83,281.669,0,306.784,403.711,716.386
"Uinta",499.237,752.155,730.74,421.322,605.657,828.5,335.551,706.656,461.855,703.731,496.57,81.163,521.294,693.775,595.727,585.788,758.235,254.716,276.692,306.688,0,515.156,787.359
"Washakie",500.869,195.189,259.206,422.847,341.597,356.927,181.551,493.874,53.3,143.323,491.028,420.415,216.762,429.715,146.34,437.729,201.269,396.629,257.605,403.707,514.71,0,308.851
"Weston",516.706,210.777,57.144,434.221,241.149,157.547,494.043,395.644,364.438,167.971,460.704,723.669,306.353,310.122,453.163,339.499,216.857,699.883,560.859,716.199,786.782,311.137,0
