"","Albany","Big Horn","Campbell","Carbon","Converse","Crook","Fremont","Goshen","Hot Springs","Johnson","Laramie","Lincoln","Natrona","Niobrara","Park","Platte","Sheridan","Sublette","Sweetwater","Teton","Uinta","Washakie","Weston"
"Albany",0,303.683,276.167,108.567,164.967,313.783,228.683,155.45,296.417,279.35,40.267,274.983,206.967,193.083,377.417,119.25,304.933,292.933,270.25,377.917,280.583,331.517,314.583
"Big Horn",301.867,0,87.9,232,157.683,133.583,259.233,244.55,169.667,37.033,265.55,385.667,141.083,207.667,182.633,204.483,16.533,368.967,302.2,409.533,398.733,134.467,120.483
"Campbell",274.367,88.283,0,245.5,116.133,52.7,270.183,205.133,199.4,66.767,238.05,399.167,154.583,148.7,251.517,165.05,89.517,382.467,315.683,417.583,412.217,164.217,40.883
"Carbon",113.65,232.85,245.7,0,158.267,292.083,173.533,181.433,233.483,208.517,77.333,219.833,136.133,195.75,314.483,121.917,234.083,237.783,215.1,322.767,225.433,268.6,284.117
"Converse",164.433,158.65,116.8,159.617,0,163.183,184.317,95.2,166.067,134.317,128.117,313.283,68.717,58.3,247.067,55.117,159.883,296.583,229.817,331.717,326.35,201.183,155.217
"Crook",311.717,134.083,51.433,293.067,163.7,0,317.767,178.6,245.2,112.567,275.4,446.733,202.167,121.667,297.317,202.417,135.317,430.033,363.267,465.167,459.8,210.017,89.733
"Fremont",228.067,261.967,272.283,174.75,184.833,318.667,0,271.717,90.417,225,202.917,145.5,116.233,234.817,171.417,231.633,263.217,128.8,62.033,171.9,188.983,125.533,310.683
"Goshen",156.5,245.667,205.5,181.117,94.3,179.133,271.333,0,253.083,221.333,122.467,364.783,155.733,58.433,334.083,67.85,246.9,383.6,316.833,418.733,370.4,288.2,243.917
"Hot Springs",295.9,171.55,201.017,233.933,166.733,246.7,89.55,253.6,0,134.567,267.483,232.5,98.133,216.717,81.917,213.533,172.783,215.8,149.017,236.95,275.983,35.1,233.6
"Johnson",276.733,38.15,67.617,206.867,132.55,113.3,224.483,219.417,134.917,0,240.417,367.417,115.95,182.533,189.15,179.35,39.383,350.717,283.95,371.883,373.6,99.733,100.2
"Laramie",40.667,265.933,238.4,77.867,127.2,276.017,202.667,122.217,266.567,241.6,0,248.967,169.2,155.333,347.567,81.5,267.167,266.933,244.233,351.9,254.583,301.667,276.817
"Lincoln",273.667,385.267,398.117,220.35,310.683,444.5,144.033,363.7,230.617,365.2,248.517,0,256.433,360.667,311.617,315.633,386.5,104.5,127.833,165.2,49.533,265.733,436.533
"Natrona",205.667,143.167,156.033,135.8,68.583,202.417,115.6,155.467,97.35,118.833,169.35,258.533,0,118.583,178.35,115.4,144.4,241.833,175.067,263,302.017,132.45,194.45
"Niobrara",192.083,207.283,149.833,195.717,55.917,121.717,232.95,58.95,214.7,182.95,155.767,361.917,117.35,0,295.7,82.767,208.517,345.217,278.45,380.35,374.983,249.817,188.133
"Park",376.117,181.033,251.417,314.15,246.933,297.1,169.767,333.817,81.5,190.383,347.7,312.7,178.35,296.933,0,293.75,171.567,296.017,229.233,227.817,356.2,94.017,283.983
"Platte",117.733,204.9,164.733,121.367,53.533,202.35,230.567,66.95,212.317,180.567,81.417,313.4,114.967,81.65,293.317,0,206.133,331.35,276.067,377.967,319,247.433,203.15
"Sheridan",304.367,16.417,90.417,234.5,160.183,136.1,261.733,247.067,172.167,39.533,268.05,388.167,143.6,210.183,172.617,207,0,371.467,304.7,399.517,401.233,136.983,122.983
"Sublette",290.35,370.217,383.067,237.033,295.633,429.45,128.983,382.5,215.567,350.15,265.2,105.25,241.383,345.617,296.567,332.317,371.45,0,112.783,86.333,153.75,250.683,421.483
"Sweetwater",267.65,302.333,315.183,214.333,227.733,361.567,61.083,314.617,147.683,282.25,242.5,129.75,173.5,277.733,228.683,274.55,303.567,113.067,0,198.033,173.25,182.783,353.6
"Teton",374.7,405.633,420.067,321.383,332.617,466.45,171.817,419.5,238.2,372.783,349.55,165.05,264.017,382.6,226.5,379.417,396.15,86.483,197.133,0,208.233,273.317,458.467
"Uinta",277.667,398.567,411.417,224.35,323.983,457.8,188.833,367.7,275.417,374.233,252.517,49.717,301.25,373.967,356.417,319.617,399.8,153.583,172.65,205.45,0,310.533,449.833
"Washakie",331.1,136.433,165.917,269.133,201.917,211.6,124.75,288.8,35.183,99.45,302.683,267.683,133.317,251.9,93.867,248.717,137.667,250.983,184.217,272.15,311.167,0,198.483
"Weston",312.667,121.45,42.033,283.783,154.417,91.6,308.483,243.417,232.567,99.933,276.35,437.45,192.883,187.583,284.683,203.35,122.683,420.75,353.983,455.883,450.517,197.367,0
