county,population,area
Adair,7682,569
Adams,4029,424
Allamakee,14330,640
Appanoose,12884,496
Audubon,6119,443
Benton,26076,716
Black Hawk,131090,567
Boone,26306,572
Bremer,25276,428
Buchanan,20958,571
Buena Vista,20260,575
Butler,14867,580
Calhoun,9670,570
Carroll,20816,569
Cass,13956,564
Cedar,18499,580
Cerro Gordo,44151,568
Cherokee,12072,577
Chickasaw,12439,505
Clarke,9286,431
Clay,16667,569
Clayton,18129,779
Clinton,49116,695
Crawford,17096,714
Dallas,66135,586
Davis,8753,503
Decatur,8457,532
Delaware,17764,578
Des Moines,40325,416
Dickinson,16667,381
Dubuque,93653,608
Emmet,10302,396
Fayette,20880,731
Floyd,16303,501
Franklin,10680,582
Fremont,7441,511
Greene,9336,568
Grundy,12453,503
Guthrie,10954,591
Hamilton,15673,577
Hancock,11341,571
Hardin,17534,569
Harrison,14928,697
Henry,20145,434
Howard,9566,473
Humboldt,9815,434
Ida,7089,432
Iowa,16355,586
Jackson,19848,636
Jasper,36842,730
Jefferson,16843,435
Johnson,130882,614
Jones,20638,575
Keokuk,10511,579
Kossuth,15543,973
Lee,35862,517
Linn,211226,718
Louisa,11387,402
Lucas,8898,431
Lyon,11581,588
Madison,15679,561
Mahaska,22381,571
Marion,33309,554
Marshall,40648,572
Mills,15059,437
Mitchell,10776,469
Monona,9243,693
Monroe,7970,433
Montgomery,10740,424
Muscatine,42745,439
O'Brien,14398,573
Osceola,6462,399
Page,15932,535
Palo Alto,9421,564
Plymouth,24986,864
Pocahontas,7310,578
Polk,430640,570
Pottawattamie,93158,954
Poweshiek,18914,585
Ringgold,5131,538
Sac,10350,576
Scott,165224,458
Shelby,12167,591
Sioux,33704,768
Story,89542,573
Tama,17767,721
Taylor,6317,534
Union,12534,424
Van Buren,7570,485
Wapello,35625,432
Warren,46225,572
Washington,21704,569
Wayne,6403,526
Webster,38013,715
Winnebago,10866,400
Winneshiek,21056,690
Woodbury,102172,873
Worth,7598,400
Wright,13229,581
