county,population,area
Adams,101407,522
Allegheny,1223348,745
Armstrong,68941,664
Beaver,170539,444
Bedford,49762,1015
Berks,411442,866
Blair,127089,527
Bradford,62622,1161
Bucks,625249,622
Butler,183862,795
Cambria,143679,693
Cameron,5085,399
Carbon,65249,387
Centre,153990,1112
Chester,498886,760
Clarion,39988,609
Clearfield,81642,1154
Clinton,39238,898
Columbia,67295,490
Crawford,88765,1038
Cumberland,235406,551
Dauphin,268100,558
Delaware,558979,191
Elk,31946,832
Erie,280566,799
Fayette,136606,798
Forest,7716,431
Franklin,149618,771
Fulton,14845,438
Greene,38686,578
Huntingdon,45913,889
Indiana,88880,834
Jefferson,45200,657
Juniata,24636,394
Lackawanna,214437,465
Lancaster,519445,984
Lawrence,91108,363
Lebanon,133568,363
Lehigh,349497,349
Luzerne,320918,907
Lycoming,116111,1244
McKean,43450,984
Mercer,116638,683
Mifflin,46682,415
Monroe,169842,617
Montgomery,799874,487
Montour,18267,132
Northampton,297735,377
Northumberland,94528,477
Perry,45969,556
Philadelphia,1526006,143
Pike,57369,567
Potter,17457,1081
Schuylkill,148289,778
Snyder,39702,332
Somerset,77742,1081
Sullivan,6428,452
Susquehanna,43356,832
Tioga,41981,1137
Union,44947,317
Venango,54984,683
Warren,41815,898
Washington,207820,861
Wayne,52822,751
Westmoreland,365169,1036
Wyoming,28276,405
York,434972,910
