county,population,area
Adams,19983,1925
Asotin,22582,636
Benton,204390,1700
Chelan,77200,2920
Clallam,77331,1738
Clark,488241,629
Columbia,3985,869
Cowlitz,110593,1139
Douglas,43429,1819
Ferry,7627,2204
Franklin,95222,1242
Grant,97733,2680
Grays Harbor,75061,1902
Island,85141,209
Jefferson,32221,1804
King,2252782,2115
Kitsap,271473,395
Kittitas,47935,2297
Klickitat,22425,1872
Lewis,80707,2403
Lincoln,10939,2311
Mason,66768,959
Okanogan,42243,5268
Pacific,22471,933
Pend Oreille,13724,1400
Pierce,904980,1670
San Juan,17582,174
Skagit,129205,1731
Skamania,12083,1656
Snohomish,822083,2087
Spokane,522798,1764
Stevens,45723,2478
Thurston,290536,722
Wahkiakum,4488,264
Walla Walla,60760,1270
Whatcom,229247,2107
Whitman,50104,2159
Yakima,250873,4296
